qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
2.5,1.0417,1,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
3.0,1.25,1,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
3.5,1.4583,1,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,F#4,F#3,F#2
4.0,1.6667,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
5.0,2.0833,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,B3,B2,B1
6.0,2.5,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A3,A2,A1
7.0,2.9167,2,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,C#4,C#3,C#2
8.0,3.3333,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,D4,D3,D2
9.0,3.75,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,F#4,B2,B1
10.0,4.1667,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,C#5,A4,A2,A1
11.0,4.5833,3,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,G4,C#3,C#2
12.0,5.0,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,F#4,D3,D2
13.0,5.4167,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,G#5,D5,B2,B1
14.0,5.8333,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,A5,C#5,A2,A1
15.0,6.25,4,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,A4,C#3,C#2
16.0,6.6667,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,B4,D3,D2
17.0,7.0833,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,F#4,B2,B1
18.0,7.5,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,A4,C#3,C#2
19.0,7.9167,5,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C#5,E4,A2,A1
20.0,8.3333,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,B4,D3,D2
21.0,8.75,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,F#4,B2,B1
22.0,9.1667,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,A4,C#3,C#2
23.0,9.5833,6,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C#5,E4,A2,A1
24.0,10.0,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,C#5,F4,D3,D2
25.0,10.4167,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,D5,F4,B2,B1
25.5,10.625,7,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,F#4,B2,B1
26.0,10.8333,7,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,E4,F#3,F#2
26.5,11.0417,7,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,F#3,F#2
27.0,11.25,7,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,F#4,C#4,D3,D2
27.5,11.4583,7,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,F#4,B3,D3,D2
28.0,11.6667,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,D4,E3,E2
28.5,11.875,8,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,C#4,E3,E2
