id	performers	publisher	year	imslp_number	imslp_link	score_id
1	Advent Chamber Orchestra	Pandora Records/Al Goldstein Archive		83284	https://imslp.org/images/b/bf/PMLP82079-3Bach1.mp3	25
2	Advent Chamber Orchestra	Pandora Records/Al Goldstein Archive		83285	https://imslp.org/images/0/03/PMLP82079-4Bach2.mp3	26
3	Advent Chamber Orchestra	Pandora Records/Al Goldstein Archive		83286	https://imslp.org/images/1/17/PMLP82079-5Bach3.mp3	27
4	United States Marine Band	Washington, DC: United States Marine Band.	2019	589444	https://imslp.org/images/f/fa/PMLP01582-BEETHOVEN_Symphony_No._1_in_C%2C_Opus_21_Mvt._1_-_Marine_Chamber_Orchestra.mp3	35
5	United States Marine Band	Washington, DC: United States Marine Band.	2019	589445	https://imslp.org/images/7/79/PMLP01582-BEETHOVEN_Symphony_No._1_in_C%2C_Opus_21_Mvt._2_-_Marine_Chamber_Orchestra.mp3	36
6	United States Marine Band	Washington, DC: United States Marine Band.	2019	589446	https://imslp.org/images/3/3b/PMLP01582-BEETHOVEN_Symphony_No._1_in_C%2C_Opus_21_Mvt._3_-_Marine_Chamber_Orchestra.mp3	37
7	United States Marine Band	Washington, DC: United States Marine Band.	2019	589447	https://imslp.org/images/7/75/PMLP01582-BEETHOVEN_Symphony_No._1_in_C%2C_Opus_21_Mvt._4_-_Marine_Chamber_Orchestra.mp3	38
8	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736426	https://imslp.org/images/1/14/PMLP1582-01.01._Symphony_No._1_In_C_Major%2C_Opus_21-_Adagio_Molto%2C_Allegro_Con_Brio.mp3	35
9	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736427	https://imslp.org/images/3/31/PMLP1582-01.02._Symphony_No._1_In_C_Major%2C_Opus_21-_Andante_Cantabile_Con_Moto.mp3	36
10	Pittsburgh Symphony Orchestra, William Steinberg	Command. CC 11024 SD.	1964	736428	https://imslp.org/images/2/24/PMLP1582-01.03._Symphony_No._1_In_C_Major%2C_Opus_21-_Menuetto-_Allegro_Molto_E_Vivace.mp3	37
