qstamp,measure,beat,label,partName,partNum
0.0,1,4.5,a,Vln,0
12.5,5,1,a,Vln,0
24.5,8,1,a,Vln,0
32.0,9,4.5,a,Vln,0
34.0,10,2.5,a,Vla,3
36.0,10,4.5,a,Vc,6
39.0,11,3.5,b,Vln,0
41.0,12,1.5,b,Vln,1
43.0,12,3.5,b,Vln,2
44.5,13,1,a,Vln,0
60.0,16,4.5,a,Vln,0
62.0,17,2.5,a,Vla,3
64.0,17,4.5,a,Vc,6
65.0,18,1.5,b,Vla,3
69.0,19,1.5,b,Vla,4
71.0,19,3.5,b,Vla,5
72.0,19,4.5,a,Vla,3
79.0,21,3.5,b,Vln,1
81.0,22,1.5,b,Vln,2
83.0,22,3.5,b,Vln,0
85.0,23,1.5,a,Vla,3
86.0,23,2.5,a,Vln,0
87.0,23,3.5,a,Vla,3
88.0,23,4.5,a,Vln,0
100.5,27,1,a,Vln,1
113.0,30,1.5,a,Vln,0
122.5,32,3,c,Vln,0
130.5,34,3,c,Vla,3
138.5,36,3,a,Vc,6
149.0,39,1.5,a,Vla,3
151.0,39,3.5,a,Vln,0
154.0,40,2.5,a,Vla,3
157.0,41,1.5,a,Vln,0
164.5,43,1,a,Vln,0
176.5,46,1,a,Vln,0
183.75,47,4.25,d,Vln,0
198.75,51,3.25,a,Vla,3
199.75,51,4.25,d,Vln,1
212.0,54,4.5,a,Vln,0
214.0,55,2.5,a,Vla,3
216.0,55,4.5,a,Hpschd,10
217.0,56,1.5,a,Vln,0
221.0,57,1.5,a,Vla,3
223.0,57,3.5,a,Vln,0
231.0,59,3.5,b,Vla,3
233.0,60,1.5,b,Vla,4
235.0,60,3.5,b,Vla,5
237.0,61,1.5,b,Vln,0
241.0,62,1.5,b,Vln,1
243.0,62,3.5,b,Vln,2
247.0,63,3.5,b,Vc,6
249.0,64,1.5,b,Vc,7
251.0,64,3.5,b,Vc,8
253.0,65,1.5,b,Vc,7
255.0,65,3.5,b,Vln,0
257.0,66,1.5,b,Vla,3
259.0,66,3.5,b,Vc,6
260.0,66,4.5,a,Vln,0
262.0,67,2.5,a,Vla,3
263.75,67,4.25,d,Vln,2
276.0,70,4.5,a,Vln,0
287.0,73,3.5,a,Vln,0
295.0,75,3.5,a,Vc,6
297.0,76,1.5,a,Vla,3
299.0,76,3.5,a,Vln,0
301.0,77,1.5,a,Vla,3
302.0,77,2.5,a,Vln,0
303.0,77,3.5,a,Vla,3
304.0,77,4.5,a,Vln,1
314.5,80,3,e,Vln,0
317.0,81,1.5,a,Vln,0
322.5,82,3,e,Vln,1
326.5,83,3,e,Vln,0
330.5,84,3,e,Vln,0
334.5,85,3,e,Vln,0
340.0,86,4.5,a,Vla,3
346.5,88,3,f,Vln,0
360.5,92,1,d,Vln,0
368.5,94,1,d,Vln,0
376.5,96,1,d,Vln,0
385.0,98,1.5,a,Vln,0
386.0,98,2.5,a,Vln,1
387.0,98,3.5,a,Vln,2
389.0,99,1.5,a,Vln,0
390.0,99,2.5,a,Vln,1
391.0,99,3.5,a,Vln,2
393.0,100,1.5,a,Vln,0
394.0,100,2.5,a,Vln,1
395.0,100,3.5,a,Vln,2
397.0,101,1.5,a,Vln,0
402.5,102,3,e,Vla,3
410.5,104,3,e,Vln,0
419.0,106,3.5,e,Vla,3
427.0,108,3.5,a,Vla,3
427.75,108,4.25,d,Vln,1
432.5,110,1,d,Vln,0
436.5,111,1,d,Vln,2
440.5,112,1,d,Vla,3
444.5,113,1,d,Vla,4
448.5,114,1,d,Vla,5
452.5,115,1,d,Vc,6
460.5,117,1,d,Vc,6
468.5,119,1,d,Vc,6
473.0,120,1.5,a,Vln,0
474.0,120,2.5,a,Vln,1
475.0,120,3.5,a,Vln,2
477.0,121,1.5,a,Vln,0
478.0,121,2.5,a,Vln,1
479.0,121,3.5,a,Vln,2
481.0,122,1.5,a,Vln,0
482.0,122,2.5,a,Vln,1
483.0,122,3.5,a,Vln,2
485.0,123,1.5,b,Vla,3
487.0,123,3.5,b,Vla,4
489.0,124,1.5,b,Vla,5
491.0,124,3.5,b,Vc,6
496.5,126,1,a,Vln,0
512.5,130,1,a,Vln,0
527.0,133,3.5,a,Vc,6
529.0,134,1.5,a,Vla,3
531.0,134,3.5,a,Vln,0
