score_qstamp,qstamp,measure,beat,736441_tstamp,729167_tstamp,711707_tstamp,723421_tstamp,RNS_tstamp
0.0,0.0,1,3.875,2.58,2.38,2.44,2.62,8.78
0.125,0.125,2,1.0,3.2794,3.5218,5.026,3.9334,9.7372
1.625,1.625,2,2.5,7.2014,6.6214,7.6614,6.2014,12.4214
2.125,2.125,2,3.0,8.0628,7.5157,8.4557,7.0957,13.2828
2.625,2.625,2,3.5,8.81,8.24,9.21,8.07,14.09
3.125,3.125,3,1.0,9.6843,9.0043,9.9843,9.0443,14.9843
4.125,4.125,3,2.0,11.4929,10.4529,11.6529,10.8129,16.5329
5.125,5.125,3,3.0,13.2014,11.8814,13.1214,12.2614,18.4014
6.125,6.125,4,1.0,15.09,13.31,14.65,13.85,20.06
7.625,7.625,4,2.5,17.4929,15.3929,16.8129,16.3129,22.3929
8.125,8.125,4,3.0,18.3671,16.1871,17.5871,17.1426,23.2542
8.625,8.625,4,3.5,19.2014,16.9614,18.3214,18.1614,24.0414
9.125,9.125,5,1.0,20.0557,17.6757,19.0957,18.8914,25.0514
10.125,10.125,5,2.0,21.8243,19.1643,20.6443,20.7843,26.7643
10.625,10.625,5,2.5,22.5386,19.973,21.4586,21.4986,27.4786
11.0,11.0,5,2.875,23.2743,20.5543,22.1343,22.1543,28.0343
11.125,11.125,5,3.0,23.4529,20.7329,22.3129,22.3329,28.2129
11.5,11.5,5,3.375,24.0486,21.3086,22.9286,22.9086,28.7286
11.625,11.625,5,3.5,24.2342,21.4671,23.1342,23.1071,28.9071
12.0,12.0,5,3.875,24.8229,22.1229,23.7629,23.6429,29.4429
12.125,12.125,6,1.0,25.1614,22.3214,24.0214,24.0014,29.6414
13.625,13.625,6,2.5,28.3843,24.4643,26.4243,26.3443,32.2243
14.125,14.125,6,3.0,29.1186,25.3372,27.1386,27.4186,33.0586
14.625,14.625,6,3.5,29.9116,26.2374,27.8529,28.2129,33.7729
15.125,15.125,7,1.0,31.0671,27.1426,28.6271,29.2684,34.6471
16.125,16.125,7,2.0,32.9357,28.6557,30.0957,30.8357,36.3828
17.125,17.125,7,3.0,34.8043,30.2286,31.5843,32.5501,37.9286
18.125,18.125,8,1.0,36.6529,32.0329,33.1329,34.1529,39.6929
19.0,19.0,8,1.875,38.0829,33.1229,34.4429,35.5629,40.9029
19.125,19.125,8,2.0,38.2414,33.2414,34.6214,35.7014,41.0614
19.5,19.5,8,2.375,38.9571,33.9371,35.2771,36.3771,41.7371
19.625,19.625,8,2.5,39.1957,34.1157,35.4557,36.5557,41.9957
20.125,20.125,8,3.0,40.41,35.07,36.25,37.45,42.95
20.2917,20.2917,8,3.1667,40.6481,35.3081,36.5081,37.7443,43.3481
20.4583,20.4583,8,3.3333,40.8983,35.5261,36.7522,38.0061,43.5861
20.625,20.625,8,3.5,41.1972,35.7686,37.0043,38.2443,43.8843
20.7917,20.7917,8,3.6667,41.5648,36.0224,37.2424,38.592,44.1224
20.9583,20.9583,8,3.8333,41.8204,36.2804,37.4804,38.9004,44.3604
21.125,21.125,9,1.0,42.2386,36.5586,37.7786,39.2986,44.6972
21.625,21.625,9,1.5,42.9529,37.3129,38.6129,40.3729,45.4129
22.125,22.125,9,2.0,43.6871,38.2071,39.3271,41.3471,46.1271
22.625,22.625,9,2.5,44.7614,39.0614,40.2614,42.3214,47.1014
23.125,23.125,9,3.0,45.5114,39.7757,40.9957,43.0357,47.8157
23.625,23.625,9,3.5,46.47,40.73,41.85,44.01,48.67
24.125,24.125,10,1.0,47.4729,41.5243,42.7273,45.0529,49.6086
25.0,25.0,10,1.875,49.7143,43.0343,44.3143,46.8743,51.1943
25.125,25.125,10,2.0,49.8929,43.2129,44.4929,47.0529,51.3729
26.125,26.125,10,3.0,51.4014,44.6414,45.9214,48.4814,52.8214
26.625,26.625,10,3.5,52.1157,45.4557,46.8471,49.2557,53.8527
27.125,27.125,11,1.0,53.36,46.27,47.67,50.22,54.75
28.0,28.0,11,1.875,55.56,47.8,49.36,51.88,56.44
28.125,28.125,11,2.0,55.7386,47.9786,49.5386,52.0586,56.6186
29.125,29.125,11,3.0,57.1671,49.4742,51.0071,53.6871,58.1142
29.625,29.625,11,3.5,57.9814,50.2214,51.7414,54.4014,59.1014
30.125,30.125,12,1.0,58.9757,51.1185,52.5671,55.4185,59.9985
31.0,31.0,12,1.875,61.0657,52.4657,54.3057,57.0257,61.5457
31.125,31.125,12,2.0,61.2443,52.6443,54.4843,57.2043,61.7243
32.125,32.125,12,3.0,62.6929,54.1974,55.9129,58.6458,63.3458
32.625,32.625,12,3.5,63.4871,54.9471,56.6271,59.5071,64.1271
33.125,33.125,13,1.0,64.4814,55.8414,57.4614,60.5414,65.1014
33.375,33.375,13,1.25,64.9986,56.2786,58.0186,61.0386,65.8386
33.625,33.625,13,1.5,65.3557,56.6357,58.3957,61.3957,66.1957
33.875,33.875,13,1.75,65.7129,57.0329,58.8116,61.7529,66.5529
34.125,34.125,13,2.0,66.07,57.39,59.19,62.15,66.87
34.375,34.375,13,2.25,66.4871,57.7471,59.5471,62.5271,67.2271
34.5,34.5,13,2.375,66.6657,57.9257,59.7257,62.7057,67.4057
34.625,34.625,13,2.5,66.8843,58.1043,59.9043,62.8843,67.5843
34.75,34.75,13,2.625,67.0629,58.2829,60.0829,63.0629,67.7629
34.875,34.875,13,2.75,67.2414,58.4614,60.2614,63.2414,67.9414
35.0,35.0,13,2.875,67.42,58.64,60.44,63.42,68.12
35.125,35.125,13,3.0,67.6786,58.8186,60.6772,63.5986,68.3986
35.25,35.25,13,3.125,67.8571,58.9971,60.8571,63.7771,68.5771
35.375,35.375,13,3.25,68.0357,59.1757,61.0514,63.9557,68.7957
35.5,35.5,13,3.375,68.2143,59.3543,61.2343,64.1343,68.9743
35.625,35.625,13,3.5,68.3929,59.5329,61.4129,64.3129,69.1529
35.75,35.75,13,3.625,68.5714,59.7514,61.5914,64.4914,69.3314
35.875,35.875,13,3.75,68.75,59.93,61.79,64.67,69.52
36.0,36.0,13,3.875,69.0086,60.1086,61.9686,64.8486,69.8086
36.125,36.125,14,1.0,69.2013,60.2871,62.1871,65.0484,69.9871
36.375,36.375,14,1.25,69.6043,60.6843,62.6243,65.4443,70.4043
36.625,36.625,14,1.5,69.9614,61.0414,62.9814,65.8014,70.8414
36.875,36.875,14,1.75,70.3186,61.3986,63.3386,66.1586,71.1986
37.0,37.0,14,1.875,70.4971,61.5771,63.5171,66.3371,71.3771
37.125,37.125,14,2.0,70.6757,61.7757,63.6957,66.5157,71.5557
37.375,37.375,14,2.25,71.1529,62.2529,64.1129,66.9529,72.1329
37.5,37.5,14,2.375,71.3714,62.4314,64.3028,67.1514,72.3228
37.625,37.625,14,2.5,71.55,62.61,64.49,67.33,72.51
37.75,37.75,14,2.625,71.7486,62.8086,64.6686,67.5086,72.6886
37.875,37.875,14,2.75,71.9471,62.9871,64.8471,67.6871,72.9271
38.0,38.0,14,2.875,72.1457,63.1657,65.0257,67.8657,73.1057
38.125,38.125,14,3.0,72.3243,63.3443,65.2043,68.0443,73.2843
38.25,38.25,14,3.125,72.5087,63.5229,65.3829,68.2229,73.4629
38.375,38.375,14,3.25,72.7814,63.7414,65.5614,68.4042,73.6442
38.5,38.5,14,3.375,72.96,63.92,65.74,68.62,73.86
38.625,38.625,14,3.5,73.0986,64.0986,65.9186,68.7986,74.0386
38.75,38.75,14,3.625,73.2771,64.2771,66.0971,68.9771,74.2171
38.875,38.875,14,3.75,73.4957,64.5557,66.3557,69.1557,74.4357
39.0,39.0,14,3.875,73.6743,64.7343,66.5743,69.3343,74.7343
39.125,39.125,15,1.0,73.8929,64.9258,66.7529,69.5129,74.9129
39.375,39.375,15,1.25,74.35,65.35,67.17,69.99,75.27
39.625,39.625,15,1.5,74.7355,65.7071,67.5271,70.3471,75.7052
39.875,39.875,15,1.75,75.1443,66.0643,67.9686,70.7043,76.2843
40.125,40.125,15,2.0,75.5214,66.4242,68.3414,71.0614,76.6414
40.25,40.25,15,2.125,75.7,66.64,68.52,71.24,76.82
40.375,40.375,15,2.25,75.8786,66.8186,68.6986,71.4186,76.9986
40.5,40.5,15,2.375,76.0571,66.9971,68.8771,71.5971,77.2171
40.625,40.625,15,2.5,76.2357,67.1757,69.0757,71.7757,77.4557
40.75,40.75,15,2.625,76.4143,67.3743,69.2543,71.9543,77.6343
40.875,40.875,15,2.75,76.6329,67.5529,69.4329,72.1329,77.8529
41.0,41.0,15,2.875,76.8114,67.7314,69.6114,72.3114,78.0314
41.125,41.125,15,3.0,77.01,67.91,69.79,72.49,78.31
41.25,41.25,15,3.125,77.2086,68.1086,69.9886,72.6686,78.4886
41.375,41.375,15,3.25,77.4071,68.2871,70.2071,72.8471,78.7071
41.5,41.5,15,3.375,77.5857,68.4657,70.3857,73.0257,78.8857
41.625,41.625,15,3.5,77.7643,68.6443,70.5643,73.2043,79.0843
41.75,41.75,15,3.625,77.9829,68.8229,70.7429,73.3829,79.2629
41.875,41.875,15,3.75,78.1614,69.0014,70.9214,73.5614,79.4428
42.0,42.0,15,3.875,78.34,69.24,71.1,73.78,79.66
42.125,42.125,16,1.0,78.5186,69.4186,71.2786,73.9586,79.8386
42.375,42.375,16,1.25,78.9557,69.8757,71.7157,74.3957,80.3957
42.5,42.5,16,1.375,79.1343,70.0543,71.9143,74.5743,80.6143
42.625,42.625,16,1.5,79.3129,70.2329,72.0929,74.7529,80.7929
42.875,42.875,16,1.75,79.67,70.59,72.45,75.11,81.15
43.0,43.0,16,1.875,79.8572,70.7686,72.6286,75.2886,81.3286
43.125,43.125,16,2.0,80.0613,70.9471,72.8071,75.4871,81.5071
43.25,43.25,16,2.125,80.3257,71.1457,72.9857,75.6857,81.7857
43.375,43.375,16,2.25,80.5129,71.3243,73.1643,75.8643,81.9643
43.5,43.5,16,2.375,80.7258,71.5029,73.3429,76.0429,82.1429
43.625,43.625,16,2.5,80.9214,71.7014,73.5214,76.2214,82.3414
43.75,43.75,16,2.625,81.1,71.88,73.7,76.4,82.52
43.875,43.875,16,2.75,81.2786,72.0586,73.8786,76.5786,82.6986
44.0,44.0,16,2.875,81.4571,72.3571,74.0771,76.7571,82.8942
44.125,44.125,16,3.0,81.6357,72.5357,74.2557,76.9357,83.1157
44.25,44.25,16,3.125,81.8543,72.7143,74.4543,77.1143,83.2943
44.375,44.375,16,3.25,82.0329,72.8929,74.6329,77.2929,83.5129
44.5,44.5,16,3.375,82.2114,73.0714,74.8114,77.4714,83.8114
44.625,44.625,16,3.5,82.39,73.23,74.99,77.65,83.99
44.75,44.75,16,3.625,82.5972,73.4086,75.2086,77.8686,84.1686
44.875,44.875,16,3.75,82.8471,73.5871,75.4071,78.0471,84.3471
45.0,45.0,16,3.875,83.0257,73.7657,75.5857,78.2257,84.5514
45.125,45.125,17,1.0,83.2787,73.9443,75.7643,78.4043,84.8443
45.375,45.375,17,1.25,83.8414,74.3014,76.1214,78.7614,85.227
45.625,45.625,17,1.5,84.1986,74.6586,76.4786,79.1186,85.6586
45.875,45.875,17,1.75,84.5557,74.9957,76.8357,79.4757,86.0157
46.125,46.125,17,2.0,84.8729,75.3529,77.1929,79.8329,86.3729
46.25,46.25,17,2.125,85.0114,75.7256,77.4914,80.0114,86.6342
46.375,46.375,17,2.25,85.15,75.93,77.67,80.27,86.84
46.5,46.5,17,2.375,85.3286,76.1086,77.8686,80.4686,87.0686
46.625,46.625,17,2.5,85.5071,76.2871,78.0471,80.6471,87.2471
46.75,46.75,17,2.625,85.6857,76.4657,78.2657,80.8057,87.4257
46.875,46.875,17,2.75,85.8643,76.6443,78.4443,80.9243,87.6043
47.0,47.0,17,2.875,86.1029,76.8229,78.6629,81.1087,87.7945
47.125,47.125,17,3.0,86.2814,77.0014,78.8414,81.3214,88.0414
47.25,47.25,17,3.125,86.46,77.18,79.02,81.5,88.22
47.375,47.375,17,3.25,86.6386,77.3586,79.1986,81.6786,88.3986
47.5,47.5,17,3.375,86.8571,77.5571,79.3771,81.8571,88.6771
47.625,47.625,17,3.5,87.0357,77.7357,79.5557,82.0357,88.8557
47.75,47.75,17,3.625,87.2143,77.9886,79.7543,82.2143,89.0343
47.875,47.875,17,3.75,87.4129,78.1729,79.9329,82.3929,89.2329
48.0,48.0,17,3.875,87.5914,78.3514,80.1114,82.5714,89.4342
48.125,48.125,18,1.0,87.83,78.53,80.29,82.75,89.71
48.2917,48.2917,18,1.1667,88.2281,79.0681,80.6281,83.0881,90.2281
48.4583,48.4583,18,1.3333,88.4661,79.3061,80.8661,83.3261,90.4661
48.625,48.625,18,1.5,88.7129,79.5443,81.1215,83.5944,90.7043
48.75,48.75,18,1.625,88.9229,79.7229,81.4029,83.9029,90.9029
48.7917,48.7917,18,1.6667,88.9824,79.7824,81.4624,83.9624,90.9624
48.8125,48.8125,18,1.6875,89.0121,79.8121,81.4921,83.9921,90.9921
48.875,48.875,18,1.75,89.1014,79.9014,81.5814,84.0814,91.0814
48.9375,48.9375,18,1.8125,89.1907,79.9907,81.6707,84.1707,91.1707
48.9583,48.9583,18,1.8333,89.2204,80.0204,81.7004,84.2004,91.2004
49.0,49.0,18,1.875,89.28,80.08,81.76,84.26,91.26
49.0625,49.0625,18,1.9375,89.3693,80.1693,81.8493,84.3493,91.3493
49.125,49.125,18,2.0,89.4586,80.2195,81.9386,84.4386,91.4386
49.2917,49.2917,18,2.1667,89.7367,80.4567,82.2367,84.6767,91.6967
49.4583,49.4583,18,2.3333,89.9747,80.6947,82.4747,84.9147,91.9347
49.625,49.625,18,2.5,90.2129,80.9329,82.7129,85.1529,92.1729
49.75,49.75,18,2.625,90.3914,81.1114,82.9114,85.3314,92.3514
49.7917,49.7917,18,2.6667,90.451,81.171,82.971,85.391,92.411
49.8125,49.8125,18,2.6875,90.4807,81.2007,83.0007,85.4207,92.4407
49.875,49.875,18,2.75,90.57,81.29,83.13,85.51,92.53
49.9375,49.9375,18,2.8125,90.6593,81.3793,83.2193,85.5993,92.6193
49.9583,49.9583,18,2.8333,90.689,81.409,83.249,85.629,92.649
50.0,50.0,18,2.875,90.7486,81.4686,83.3086,85.6886,92.7086
50.0625,50.0625,18,2.9375,90.8379,81.5579,83.3979,85.7779,92.7979
50.125,50.125,18,3.0,90.9271,81.6471,83.4871,85.8671,92.8871
50.2917,50.2917,18,3.1667,91.1653,81.8853,83.7253,86.1053,93.1253
50.4583,50.4583,18,3.3333,91.4033,82.1233,83.9633,86.3433,93.3633
