measure_number,time,is_first_in_measure
2,9.7372,True
3,14.9843,True
4,20.06,True
5,25.0514,True
6,29.6414,True
7,34.6471,True
8,39.6929,True
9,44.6972,True
10,49.6086,True
11,54.75,True
12,59.9985,True
13,65.1014,True
14,69.9871,True
15,74.9129,True
16,79.8386,True
17,84.8443,True
18,89.71,True
19,94.3314,True
20,99.0014,True
21,103.7071,True
22,108.2129,True
23,113.0386,True
24,117.8443,True
25,123.2,True
26,128.2314,True
27,133.0614,True
28,138.0071,True
29,142.7374,True
30,147.4986,True
31,152.5086,True
32,157.37,True
33,162.3357,True
34,167.3414,True
35,172.0342,True
36,173.2871,True
37,174.5071,True
38,175.7071,True
39,177.0071,True
40,178.2471,True
41,179.4671,True
42,180.6471,True
43,181.9671,True
44,183.1671,True
45,184.4471,True
46,185.6671,True
47,186.9471,True
48,188.2471,True
49,189.5471,True
50,190.7671,True
51,192.0271,True
52,193.3671,True
53,194.5871,True
54,195.8671,True
55,197.1471,True
56,198.3871,True
57,199.6671,True
58,201.0271,True
59,202.3071,True
60,203.5271,True
61,204.9071,True
62,206.1071,True
63,207.4213,True
64,208.6955,True
65,209.9742,True
66,211.2542,True
67,212.5413,True
68,213.8271,True
69,215.1871,True
70,216.4871,True
71,217.8871,True
72,219.2071,True
73,220.5471,True
74,222.0871,True
75,223.3271,True
76,224.4471,True
77,225.6671,True
78,227.0355,True
79,228.3671,True
80,229.5942,True
81,230.9342,True
82,232.2342,True
83,233.5071,True
84,234.8071,True
85,236.0271,True
86,237.3955,True
87,238.6671,True
88,239.9671,True
89,241.2471,True
90,242.6013,True
91,243.8871,True
92,245.2071,True
93,246.5471,True
94,247.8471,True
95,249.1471,True
96,250.4871,True
97,251.8471,True
98,253.2013,True
99,254.5671,True
100,255.9142,True
101,257.2671,True
102,258.7071,True
104,261.4671,True
105,262.7871,True
106,263.9871,True
107,265.3071,True
108,266.6071,True
109,267.9142,True
110,269.3271,True
111,270.5871,True
112,271.9271,True
113,273.3071,True
114,274.5671,True
115,275.9071,True
116,277.1871,True
117,278.5471,True
118,279.8071,True
119,281.0871,True
120,282.3271,True
121,283.7471,True
122,285.1071,True
123,286.4271,True
124,287.7271,True
125,289.0271,True
126,290.3071,True
127,291.6271,True
128,292.8742,True
129,294.1871,True
130,295.4671,True
131,296.7871,True
132,298.1781,True
133,299.5071,True
134,300.6471,True
135,301.9471,True
36,303.1742,True
37,304.4471,True
38,305.7271,True
39,307.0471,True
40,308.2671,True
41,309.4871,True
42,310.7071,True
43,312.0471,True
44,313.2471,True
45,314.5742,True
46,315.8471,True
47,317.1471,True
48,318.4671,True
49,319.7671,True
50,321.0271,True
51,322.2471,True
52,323.6071,True
53,324.8071,True
54,326.1871,True
55,327.4671,True
