score_qstamp,qstamp,tstamp,measure,beat,instrument,duration_quarter,duration,pitch,velocity
7.625,7.625,10.8929,4,2.5,Bassoon 2,0.5,0.7143,57,0.4961
7.625,7.625,10.8929,4,2.5,Oboe 1,0.5,0.7143,78,0.4961
7.625,7.625,10.8929,4,2.5,Bassoon 1,0.5,0.7143,63,0.4961
7.625,7.625,10.8929,4,2.5,Oboe 2,0.5,0.7143,71,0.4961
8.125,8.125,11.6071,4,3.0,Oboe 2,0.5,0.7143,71,0.4961
8.125,8.125,11.6071,4,3.0,Bassoon 2,0.5,0.7143,55,0.4961
8.125,8.125,11.6071,4,3.0,Bassoon 1,0.5,0.7143,64,0.4961
8.125,8.125,11.6071,4,3.0,Oboe 1,0.5,0.7143,79,0.4961
8.625,8.625,12.3214,4,3.5,Oboe 2,0.5,0.7143,71,0.4961
8.625,8.625,12.3214,4,3.5,Bassoon 1,0.5,0.7143,67,0.4961
8.625,8.625,12.3214,4,3.5,Oboe 1,0.5,0.7143,83,0.4961
8.625,8.625,12.3214,4,3.5,Bassoon 2,0.5,0.7143,52,0.4961
9.125,9.125,13.0357,5,1.0,Bassoon 1,1.0,1.4286,66,0.4961
9.125,9.125,13.0357,5,1.0,Bassoon 2,1.0,1.4286,57,0.4961
9.125,9.125,13.0357,5,1.0,Oboe 1,1.0,1.4286,74,0.4961
9.125,9.125,13.0357,5,1.0,Oboe 2,1.0,1.4286,69,0.4961
10.125,10.125,14.4643,5,2.0,Bassoon 1,0.5,0.7143,64,0.4961
10.125,10.125,14.4643,5,2.0,Oboe 1,0.5,0.7143,73,0.4961
10.125,10.125,14.4643,5,2.0,Bassoon 2,0.5,0.7143,45,0.4961
10.125,10.125,14.4643,5,2.0,Oboe 2,0.5,0.7143,69,0.4961
10.625,10.625,15.1786,5,2.5,Bassoon 1,0.375,0.5357,64,0.5461
10.625,10.625,15.1786,5,2.5,Bassoon 2,0.375,0.5357,61,0.5461
10.625,10.625,15.1786,5,2.5,A Clarinet 2,0.375,0.5357,73,0.5461
10.625,10.625,15.1786,5,2.5,Flute 2,0.375,0.5357,85,0.5461
10.625,10.625,15.1786,5,2.5,Flute 1,0.375,0.5357,88,0.5461
10.625,10.625,15.1786,5,2.5,A Clarinet 1,0.375,0.5357,76,0.5461
11.0,11.0,15.7143,5,2.875,Bassoon 2,0.125,0.1786,59,0.5461
11.0,11.0,15.7143,5,2.875,A Clarinet 1,0.125,0.1786,74,0.5461
11.0,11.0,15.7143,5,2.875,A Clarinet 2,0.125,0.1786,71,0.5461
11.0,11.0,15.7143,5,2.875,Flute 2,0.125,0.1786,83,0.5461
11.0,11.0,15.7143,5,2.875,Flute 1,0.125,0.1786,86,0.5461
11.0,11.0,15.7143,5,2.875,Bassoon 1,0.125,0.1786,62,0.5461
11.125,11.125,15.8929,5,3.0,Flute 2,0.375,0.5357,81,0.5461
11.125,11.125,15.8929,5,3.0,Flute 1,0.375,0.5357,85,0.5461
11.125,11.125,15.8929,5,3.0,Bassoon 2,0.375,0.5357,57,0.5461
11.125,11.125,15.8929,5,3.0,Bassoon 1,0.375,0.5357,61,0.5461
11.125,11.125,15.8929,5,3.0,A Clarinet 2,0.375,0.5357,69,0.5461
11.125,11.125,15.8929,5,3.0,A Clarinet 1,0.375,0.5357,73,0.5461
11.5,11.5,16.4286,5,3.375,Bassoon 2,0.125,0.1786,55,0.5461
11.5,11.5,16.4286,5,3.375,A Clarinet 2,0.125,0.1786,67,0.5461
11.5,11.5,16.4286,5,3.375,Bassoon 1,0.125,0.1786,59,0.5461
11.5,11.5,16.4286,5,3.375,Flute 2,0.125,0.1786,79,0.5461
11.5,11.5,16.4286,5,3.375,A Clarinet 1,0.125,0.1786,71,0.5461
11.5,11.5,16.4286,5,3.375,Flute 1,0.125,0.1786,83,0.5461
11.625,11.625,16.6071,5,3.5,Flute 1,0.375,0.5357,81,0.5461
11.625,11.625,16.6071,5,3.5,Bassoon 1,0.375,0.5357,57,0.5461
11.625,11.625,16.6071,5,3.5,Bassoon 2,0.375,0.5357,54,0.5461
11.625,11.625,16.6071,5,3.5,A Clarinet 1,0.375,0.5357,69,0.5461
11.625,11.625,16.6071,5,3.5,A Clarinet 2,0.375,0.5357,66,0.5461
