qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,Eb Horn 3,Bb Trumpet 1,Bb Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,19.0,,,,,,,,,,,,,,,Main Part,,,,
19.0,42.0,,,Main Part,,,,,,,,,,,,,,,,
42.0,54.0,,,,,,,,,,,,,,,Main Part,P3(Violoncello)&P3(Contrabass),,P3(Violin 2)&P8(Contrabass),P3(Violin 2)&P8(Violoncello)
54.0,73.0,P8(Bassoon 1),,Main Part,,,,P8(Flute 1),,,,,,,,P8(Main),,,P8(Contrabass),P8(Violoncello)
73.0,84.0,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
84.0,91.0,,,,,,,,,,,,,,,Main Part,,,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
91.0,120.0,,,,,,,,,,,,,,,Main Part,,,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
120.0,143.0,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
143.0,151.0,Main Part,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
151.0,154.0,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
154.0,160.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
160.0,166.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
166.0,182.0,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
182.0,206.0,,,,,,,,,,,,,,,Main Part,P8(Main)&P8(Contrabass),,,P8(Main)&P8(Violin 2)
206.0,217.0,Main Part,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
217.0,228.0,Main Part,,,,,,,,,,,,,,P3(Violin 2)&P5(Viola),P3(Violin 1)&P3(Viola),P5(Violin 1)&P3(Violin 2),P8(Contrabass),P8(Violoncello)
228.0,240.0,,,P5(Bb Clarinet 1)&P8(Bassoon 1)&P5(Bassoon 2),,P5(Oboe 1)&P5(Bassoon 1)&P8(Bassoon 2),,P8(Oboe 1)&P5(Bb Clarinet 1)&P5(Bassoon 2),P5(Oboe 1)&P8(Bb Clarinet 1)&P5(Bassoon 1),,,,,,,,P3(Main)&P3(Violoncello)&P3(Contrabass),Main Part,P3(Violin 2)&P5(Main)&P8(Contrabass),P3(Violin 2)&P5(Main)&P8(Violoncello)
240.0,274.0,,,P8(Violin 1),,,,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,,P8(Oboe 1),,Main Part,P8(Contrabass),P8(Violoncello)
274.0,289.0,Main Part,P8(Bb Clarinet 2),P8(Main)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Violin 1)&P8(Violin 2),P8(Main)&U(Oboe 1)&P8(Bb Clarinet 1)&P8(Violin 1)&P8(Violin 2),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Violin 1)&P8(Violin 2),P8(Flute 2),,P8(Viola)&P8(Violoncello)&P8(Contrabass),,P8(Eb Horn 3)&U(Timpani),P8(Eb Horn 2)&P8(Timpani),P8(Bb Trumpet 2),P8(Bb Trumpet 1),U(Eb Horn 2)&P8(Eb Horn 3),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Violin 2),P8(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
289.0,313.0,Main Part,U(Main),U(Oboe 2)&P8(Bb Clarinet 2),U(Oboe 1)&P8(Bb Clarinet 2),P8(Violin 1)&U(Violin 2),P8(Oboe 1)&P8(Oboe 2),,P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Eb Horn 2)&P8(Eb Horn 3),P8(Eb Horn 1)&P8(Eb Horn 3),P8(Eb Horn 1)&P8(Eb Horn 2),P8(Bb Trumpet 2),P8(Bb Trumpet 1),,P8(Bb Clarinet 1)&P8(Violin 2),U(Bb Clarinet 1)&P8(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
313.0,356.0,,,,,,,,,,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,Main Part,P8(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
356.0,367.0,,,,,,,,,,,,,,,Main Part,,P3(Main)&P8(Violoncello)&P8(Contrabass),P3(Main)&P8(Viola)&P8(Contrabass),P3(Main)&P8(Viola)&P8(Violoncello)
367.0,380.0,P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Violin 2),,,,P8(Violin 1),,,,,,P8(Bb Trumpet 2),P8(Bb Trumpet 1),,P8(Bb Clarinet 2),P8(Flute 2),Main Part,P8(Flute 1)&P8(Main)&P8(Contrabass),P8(Flute 1)&P8(Main)&P8(Violoncello)
380.0,386.0,,,,,,,,,,,,,,,P7(Violin 2)&P3(Main)&P5(Violoncello),P7(Violin 1)&P5(Main)&P3(Violoncello),Main Part,P5(Violin 1)&P3(Violin 2)&P3(Main),
386.0,392.0,,,P2(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2),,P2(Oboe 1)&P4(Bassoon 1)&P3(Bassoon 2),,P3(Oboe 1)&P4(Bb Clarinet 1)&P6(Bassoon 2),P4(Oboe 1)&P3(Bb Clarinet 1)&P6(Bassoon 1),,,,,,,,P5(Viola),P5(Violin 2),Main Part,
392.0,398.0,,,,,,,P6(Bassoon 2),P6(Bassoon 1),,,,,,,P3(Violin 2)&P2(Viola)&P4(Main),P3(Violin 1)&P4(Viola)&P6(Main),P2(Violin 1)&P4(Violin 2)&P3(Main),Main Part,
