qstamp_start,qstamp_end,Hunting Horn,Bassoon 1,Bassoon 2,Bass solo,Continuo
0.0,6.0,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
6.0,12.5,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
12.5,15.5,Main Part,,,,
15.5,18.5,Main Part,,,,
18.5,21.5,Main Part,,,,
21.5,24.5,,,Main Part,,
24.5,33.5,Main Part,,,,
33.5,34.5,,Main Part,P3(Main),,
34.5,36.0,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
36.0,48.5,,,,Main Part,
48.5,57.0,P5(Bassoon 1)&P3(Bassoon 2),P5(Hunting Horn)&P3(Bassoon 2),P3(Hunting Horn)&P3(Bassoon 1),Main Part,
57.0,60.5,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
60.5,66.5,,,,Main Part,
66.5,72.5,,,,Main Part,
72.5,75.5,Main Part,,,,
75.5,84.0,,,,Main Part,
84.0,90.0,,P3(Bassoon 2),P3(Bassoon 1),Main Part,
90.0,93.5,,P3(Bassoon 2),P3(Bassoon 1),Main Part,
93.5,96.0,Main Part,,,,
96.0,100.0,,,,Main Part,
100.0,102.0,,Main Part,,,
102.0,108.5,,,,Main Part,
108.5,111.5,,,,Main Part,
111.5,117.5,,,,Main Part,
117.5,120.5,Main Part,,,,
120.5,125.0,,,,Main Part,
125.0,129.5,,,,Main Part,
129.5,132.0,P4(Bassoon 1)&P6(Bassoon 2),P4(Hunting Horn)&P3(Bassoon 2),P6(Hunting Horn)&P3(Bassoon 1),Main Part,
132.0,136.0,Main Part,,,,
136.0,138.0,,Main Part,,,
138.0,144.5,Main Part,,,,
144.5,154.0,Main Part,,,,
154.0,156.0,,Main Part,,,
156.0,159.5,,,,Main Part,
159.5,162.0,Main Part,,,,
162.0,165.5,,,,Main Part,
165.5,168.5,,Main Part,,,
168.5,169.5,,P3(Bassoon 2),P3(Bassoon 1),Main Part,
169.5,171.5,,Main Part,P3(Main),,
171.5,172.5,,P3(Bassoon 2)&P3(Continuo),P3(Bassoon 1)&P8(Continuo),Main Part,P3(Bassoon 1)&P8(Bassoon 2)
172.5,173.5,,Main Part,P3(Main),,
173.5,177.0,,,,Main Part,
177.0,184.0,Main Part,,,,
184.0,187.0,,Main Part,,,
187.0,198.5,,,,Main Part,
198.5,199.5,Main Part,P6(Bassoon 2),P6(Bassoon 1),,
199.5,201.5,,Main Part,,,
201.5,202.5,Main Part,P6(Bassoon 2)&P6(Continuo),P6(Bassoon 1)&P8(Continuo),,P6(Bassoon 1)&P8(Bassoon 2)
202.5,204.5,,Main Part,,,
204.5,207.5,Main Part,,,,
207.5,210.5,,,Main Part,,
210.5,213.0,Main Part,,,,
213.0,219.25,,Main Part,,,
219.25,222.0,,,Main Part,,
222.0,225.5,,,,Main Part,
225.5,228.5,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
228.5,231.5,,,,Main Part,
231.5,234.5,,Main Part,,,
234.5,238.5,,,,Main Part,
238.5,239.5,,Main Part,,,
239.5,241.5,,,,Main Part,
241.5,243.0,,Main Part,,,
243.0,246.25,Main Part,,,,
246.25,250.0,,,,Main Part,
250.0,253.0,,Main Part,,,
253.0,258.5,,,,Main Part,
258.5,259.5,,Main Part,,,
259.5,267.0,,,,Main Part,
267.0,276.5,,,,Main Part,
276.5,279.5,,Main Part,P3(Main),,
279.5,288.0,P5(Bassoon 1)&P3(Bassoon 2),P5(Hunting Horn)&P3(Bassoon 2),P3(Hunting Horn)&P3(Bassoon 1),Main Part,
288.0,291.5,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
291.5,295.0,,,,Main Part,
295.0,297.5,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
297.5,298.5,,P6(Bassoon 2),P6(Bassoon 1),Main Part,
298.5,300.5,,Main Part,,,
300.5,303.5,,,,Main Part,
303.5,306.5,Main Part,,,,
306.5,315.5,,,,Main Part,
315.5,316.5,Main Part,,,,
316.5,318.5,,Main Part,,,
318.5,321.5,,,,Main Part,
321.5,324.25,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
324.25,333.5,,,,Main Part,
333.5,341.5,Main Part,,,,
341.5,345.0,,P3(Bassoon 2),P3(Bassoon 1),Main Part,
345.0,351.0,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
351.0,357.5,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
357.5,358.5,Main Part,,,,
358.5,360.5,,Main Part,,,
360.5,361.5,Main Part,P6(Bassoon 2),P6(Bassoon 1),,
361.5,363.5,,Main Part,,,
363.5,366.5,Main Part,,,,
366.5,369.5,,,Main Part,,
369.5,378.5,Main Part,,,,
378.5,379.5,,Main Part,P3(Main),,
379.5,380.5,Main Part,P3(Bassoon 2),P3(Bassoon 1),,
