qstamp,tstamp,measure,beat,Hunting Horn,Bassoon 1,Bassoon 2,Bass solo,Continuo
0.0,0.0,1,1.0,D4,A3,F#3,r,D3
0.5,0.3571,1,1.5,D4,F#3,D3,r,D3
1.0,0.7143,1,2.0,D5,F#3,D3,r,r
1.5,1.0714,1,2.5,D5,G3,E3,r,r
2.0,1.4286,1,3.0,C#5,G3,E3,r,r
2.5,1.7857,1,3.5,C#5,F#3,D3,r,r
2.75,1.9643,1,3.75,C#5,G3,E3,r,r
3.0,2.1429,2,1.0,D5,A3,F#3,r,r
3.5,2.5,2,1.5,D5,G3,E3,r,r
3.75,2.6786,2,1.75,D5,A3,F#3,r,r
4.0,2.8571,2,2.0,D4,B3,G3,r,D2
4.5,3.2143,2,2.5,D4,A3,F#3,r,D2
5.0,3.5714,2,3.0,D4,G3,E3,r,D3
5.5,3.9286,2,3.5,D4,F#3,D3,r,D3
6.0,4.2857,3,1.0,A3,G3,E3,r,D3
6.5,4.6429,3,1.5,A3,E3,C#3,r,E3
6.75,4.8214,3,1.75,A3,E3,C#3,r,D3
7.0,5.0,3,2.0,G4,E3,C#3,r,C#3
7.5,5.3571,3,2.5,G4,F#3,D3,r,A2
8.0,5.7143,3,3.0,F#4,F#3,D3,r,A3
8.5,6.0714,3,3.5,F#4,E3,C#3,r,A3
8.75,6.25,3,3.75,F#4,F#3,D3,r,A3
9.0,6.4286,4,1.0,E4,G3,E3,r,A3
9.5,6.7857,4,1.5,E4,F#3,D3,r,A2
9.75,6.9643,4,1.75,E4,G3,E3,r,G2
10.0,7.1429,4,2.0,A3,A3,F#3,r,F#2
10.5,7.5,4,2.5,A3,G3,E3,r,G2
11.0,7.8571,4,3.0,A3,F#3,D3,r,A2
11.5,8.2143,4,3.5,A3,E3,C#3,r,A2
12.0,8.5714,5,1.0,r,F#3,D3,r,D2
12.5,8.9286,5,1.5,A4,F#3,D3,r,D3
12.75,9.1071,5,1.75,A4,F#3,D3,r,C#3
13.0,9.2857,5,2.0,B4,r,r,r,D3
13.5,9.6429,5,2.5,A4,D4,B3,r,B2
13.75,9.8214,5,2.75,A4,C#4,A3,r,B2
14.0,10.0,5,3.0,G#4,D4,B3,r,E3
14.5,10.3571,5,3.5,G#4,E4,C#4,r,D3
14.75,10.5357,5,3.75,G#4,D4,B3,r,E3
15.0,10.7143,6,1.0,A4,C#4,A3,r,A2
15.5,11.0714,6,1.5,E4,C#4,A3,r,A3
15.75,11.25,6,1.75,E4,C#4,A3,r,G3
16.0,11.4286,6,2.0,A4,r,r,r,F#3
16.5,11.7857,6,2.5,G4,C4,A3,r,E3
16.75,11.9643,6,2.75,G4,B3,G3,r,E3
17.0,12.1429,6,3.0,F#4,C4,A3,r,D3
17.5,12.5,6,3.5,F#4,D4,B3,r,C3
17.75,12.6786,6,3.75,F#4,C4,A3,r,D3
18.0,12.8571,7,1.0,F#4,B3,G3,r,G2
18.5,13.2143,7,1.5,B4,B3,G3,r,G2
18.75,13.3929,7,1.75,A4,B3,G3,r,G2
19.0,13.5714,7,2.0,G4,B3,G3,r,r
19.25,13.75,7,2.25,A4,B3,G3,r,r
19.5,13.9286,7,2.5,F#4,B3,G3,r,r
19.75,14.1071,7,2.75,G4,B3,G3,r,r
20.0,14.2857,7,3.0,E4,B3,G3,r,G3
20.25,14.4643,7,3.25,G4,B3,G3,r,G3
20.5,14.6429,7,3.5,F#4,A3,D3,r,G3
20.75,14.8214,7,3.75,E4,B3,D3,r,G3
21.0,15.0,8,1.0,A4,C#4,E3,r,G3
21.5,15.3571,8,1.5,A4,B3,D3,r,A3
21.75,15.5357,8,1.75,A4,C#4,E3,r,G3
22.0,15.7143,8,2.0,D4,D4,F#3,r,F#3
22.5,16.0714,8,2.5,D4,D4,G3,r,E3
23.0,16.4286,8,3.0,D4,A3,F#3,r,D3
23.5,16.7857,8,3.5,D4,A3,E3,r,C#3
24.0,17.1429,9,1.0,D4,A3,F#3,r,B2
24.5,17.5,9,1.5,D5,B3,D3,r,B2
24.75,17.6786,9,1.75,C#5,A3,D3,r,B2
25.0,17.8571,9,2.0,B4,G3,E3,r,r
25.25,18.0357,9,2.25,C#5,G3,E3,r,r
25.5,18.2143,9,2.5,A4,F#3,F#3,r,B2
25.75,18.3929,9,2.75,B4,F#3,F#3,r,B2
26.0,18.5714,9,3.0,G4,E3,G3,r,E3
26.25,18.75,9,3.25,A4,E3,G3,r,E3
26.5,18.9286,9,3.5,F#4,F#3,B3,r,D3
26.75,19.1071,9,3.75,G4,F#3,B3,r,D3
27.0,19.2857,10,1.0,E4,G3,B3,r,C#3
27.25,19.4643,10,1.25,F#4,G3,B3,r,C#3
27.5,19.6429,10,1.5,G4,E3,A3,r,E3
27.75,19.8214,10,1.75,G4,E3,G3,r,E3
28.0,20.0,10,2.0,G4,C#3,A3,r,A3
28.25,20.1786,10,2.25,E4,C#3,A3,r,A3
28.5,20.3571,10,2.5,F#4,D3,A3,r,G3
28.75,20.5357,10,2.75,G4,E3,A3,r,G3
29.0,20.7143,10,3.0,A4,F#3,A3,r,F#3
29.25,20.8929,10,3.25,B4,F#3,A3,r,F#3
29.5,21.0714,10,3.5,G4,C#3,A3,r,E3
29.75,21.25,10,3.75,A4,C#3,A3,r,E3
30.0,21.4286,11,1.0,F#4,D3,A3,r,D3
30.25,21.6071,11,1.25,G4,D3,A3,r,D3
30.5,21.7857,11,1.5,E4,r,G3,r,A2
30.75,21.9643,11,1.75,F#4,r,G3,r,A2
31.0,22.1429,11,2.0,D4,r,F#3,r,B2
31.25,22.3214,11,2.25,E4,r,E3,r,B2
31.5,22.5,11,2.5,D4,B3,F#3,r,G2
31.75,22.6786,11,2.75,E4,B3,D3,r,G2
32.0,22.8571,11,3.0,E4,A3,C#3,r,A2
32.5,23.2143,11,3.5,E4,G3,C#3,r,G2
32.75,23.3929,11,3.75,D4,G3,D3,r,A2
33.0,23.5714,12,1.0,D4,F#3,D3,r,B2
33.5,23.9286,12,1.5,D4,E4,G3,r,C#3
33.75,24.1071,12,1.75,D4,F#4,A3,r,C#3
33.875,24.1964,12,1.875,D4,G4,B3,r,C#3
34.0,24.2857,12,2.0,r,F#4,A3,r,D3
34.5,24.6429,12,2.5,D4,E4,G3,r,G3
35.0,25.0,12,3.0,A3,D4,F#3,r,A3
35.25,25.1786,12,3.25,F#3,D4,F#3,r,A3
35.5,25.3571,12,3.5,A3,C#4,E3,r,A2
36.0,25.7143,13,1.0,F#3,D4,F#3,D3,D2
37.0,26.4286,13,2.0,r,r,r,A3,D3
37.5,26.7857,13,2.5,r,F#3,D3,A3,D3
37.75,26.9643,13,2.75,r,E3,C#3,A3,D3
38.0,27.1429,13,3.0,r,F#3,D3,B3,G2
38.5,27.5,13,3.5,r,G3,E3,B3,G2
38.75,27.6786,13,3.75,r,F#3,D3,B3,G2
39.0,27.8571,14,1.0,A3,E3,C#3,C#3,G2
39.5,28.2143,14,1.5,A3,E3,C#3,C#3,A2
39.75,28.3929,14,1.75,A3,E3,C#3,C#3,B2
40.0,28.5714,14,2.0,r,r,r,E3,A2
40.5,28.9286,14,2.5,r,C#4,E3,E3,G2
40.75,29.1071,14,2.75,r,B3,D3,E3,G2
41.0,29.2857,14,3.0,r,C#4,E3,G3,F#2
41.5,29.6429,14,3.5,r,D4,F#3,G3,A2
41.75,29.8214,14,3.75,r,C#4,E3,G3,A2
42.0,30.0,15,1.0,D3,D4,D3,G3,D3
42.5,30.3571,15,1.5,D3,D4,D3,G3,D2
42.75,30.5357,15,1.75,D3,D4,D3,G3,C#2
43.0,30.7143,15,2.0,r,r,r,F#3,D2
43.5,31.0714,15,2.5,r,r,r,F#3,E2
43.75,31.25,15,2.75,r,r,r,F#3,F#2
44.0,31.4286,15,3.0,r,r,r,E3,G2
44.5,31.7857,15,3.5,r,r,r,E3,F#2
44.75,31.9643,15,3.75,r,r,r,E3,G2
45.0,32.1429,16,1.0,r,r,r,C#3,A2
45.5,32.5,16,1.5,r,E3,C#3,C#3,A2
46.0,32.8571,16,2.0,r,E3,C#3,C#3,r
46.5,33.2143,16,2.5,r,F#3,D3,B2,D3
46.75,33.3929,16,2.75,r,F#3,D3,C#3,D3
47.0,33.5714,16,3.0,r,F#3,D3,A2,D3
47.5,33.9286,16,3.5,r,E3,C#3,A2,E3
47.75,34.1071,16,3.75,r,F#3,D3,A2,D3
48.0,34.2857,17,1.0,r,G3,E3,r,C#3
48.5,34.6429,17,1.5,r,r,r,A2,D3
48.75,34.8214,17,1.75,r,r,r,A2,C#3
49.0,35.0,17,2.0,r,r,r,B2,B2
49.5,35.3571,17,2.5,r,r,r,C#3,C#3
49.75,35.5357,17,2.75,r,r,r,C#3,B2
50.0,35.7143,17,3.0,r,r,r,D3,A2
50.5,36.0714,17,3.5,r,r,r,E3,r
51.0,36.4286,18,1.0,r,r,r,F#3,r
51.5,36.7857,18,1.5,r,r,r,E3,D2
52.0,37.1429,18,2.0,r,r,r,G3,E2
52.5,37.5,18,2.5,r,r,r,F#3,F#2
53.0,37.8571,18,3.0,r,r,r,E3,G2
53.5,38.2143,18,3.5,r,r,r,D3,A2
53.75,38.3929,18,3.75,r,r,r,C#3,A2
54.0,38.5714,19,1.0,r,r,r,D3,B2
54.5,38.9286,19,1.5,r,r,r,B3,G2
55.0,39.2857,19,2.0,r,r,r,G3,E2
55.5,39.6429,19,2.5,r,r,r,G3,F#2
55.75,39.8214,19,2.75,r,r,r,G3,G2
56.0,40.0,19,3.0,r,r,r,G3,A2
56.5,40.3571,19,3.5,r,r,r,F#3,A2
57.0,40.7143,20,1.0,D4,A3,F#3,F#3,D2
57.5,41.0714,20,1.5,D4,F#3,D3,F#3,D2
58.0,41.4286,20,2.0,D5,F#3,D3,F#3,r
58.5,41.7857,20,2.5,D5,G3,E3,F#3,r
59.0,42.1429,20,3.0,C#5,G3,E3,r,r
59.5,42.5,20,3.5,C#5,F#3,D3,r,r
59.75,42.6786,20,3.75,C#5,G3,E3,r,r
60.0,42.8571,21,1.0,D5,A3,F#3,r,r
60.5,43.2143,21,1.5,D5,A3,F#3,A3,D3
60.75,43.3929,21,1.75,D5,A3,F#3,A3,C#3
61.0,43.5714,21,2.0,D4,r,r,B3,D3
61.5,43.9286,21,2.5,D4,D4,B3,A3,B2
61.75,44.1071,21,2.75,D4,C#4,A3,A3,B2
62.0,44.2857,21,3.0,r,D4,B3,G#3,E3
62.25,44.4643,21,3.25,r,D4,B3,A3,E3
62.5,44.6429,21,3.5,r,E4,C#4,F#3,D3
62.75,44.8214,21,3.75,r,D4,B3,G#3,E3
63.0,45.0,22,1.0,r,C#4,A3,A3,A2
63.5,45.3571,22,1.5,r,C#4,A3,E3,A3
63.75,45.5357,22,1.75,r,C#4,A3,E3,G3
64.0,45.7143,22,2.0,r,r,r,A3,F#3
64.5,46.0714,22,2.5,r,C4,A3,G3,E3
64.75,46.25,22,2.75,r,B3,G3,G3,E3
65.0,46.4286,22,3.0,r,C4,A3,F#3,D3
65.5,46.7857,22,3.5,r,D4,B3,F#3,C3
65.75,46.9643,22,3.75,r,C4,A3,F#3,D3
66.0,47.1429,23,1.0,r,B3,G3,F#3,G2
66.5,47.5,23,1.5,r,B3,G3,B3,G2
66.75,47.6786,23,1.75,r,B3,G3,A3,G2
67.0,47.8571,23,2.0,r,B3,G3,G3,r
67.25,48.0357,23,2.25,r,B3,G3,A3,r
67.5,48.2143,23,2.5,r,B3,G3,F#3,r
67.75,48.3929,23,2.75,r,B3,G3,G3,r
68.0,48.5714,23,3.0,r,B3,G3,E3,G3
68.25,48.75,23,3.25,r,B3,G3,G3,G3
68.5,48.9286,23,3.5,r,A3,D3,F#3,G3
68.75,49.1071,23,3.75,r,B3,D3,E3,G3
69.0,49.2857,24,1.0,r,C#4,E3,A3,G3
69.25,49.4643,24,1.25,r,C#4,E3,B3,G3
69.5,49.6429,24,1.5,r,D4,A3,A3,F#3
69.75,49.8214,24,1.75,r,D4,A3,G3,E3
70.0,50.0,24,2.0,r,D4,A3,F#3,F#3
70.25,50.1786,24,2.25,r,D4,A3,G3,F#3
70.5,50.3571,24,2.5,r,D4,A3,E3,B2
70.75,50.5357,24,2.75,r,D4,A3,F#3,B2
71.0,50.7143,24,3.0,r,D4,A3,D3,B3
71.25,50.8929,24,3.25,r,D4,A3,F#3,B3
71.5,51.0714,24,3.5,r,C#4,G3,E3,B2
71.75,51.25,24,3.75,r,D4,F#3,D3,B2
72.0,51.4286,25,1.0,r,B3,G3,G3,E3
72.5,51.7857,25,1.5,B4,B3,G3,G3,G3
72.75,51.9643,25,1.75,A4,B3,G3,G3,F#3
73.0,52.1429,25,2.0,G4,r,r,G3,E3
73.25,52.3214,25,2.25,A4,r,r,G3,E3
73.5,52.5,25,2.5,F#4,D4,B3,G3,D3
73.75,52.6786,25,2.75,G4,D4,B3,G3,D3
74.0,52.8571,25,3.0,E4,E4,C#4,G3,C#3
74.25,53.0357,25,3.25,G4,E4,C#4,G3,C#3
74.5,53.2143,25,3.5,F#4,F#4,D4,G3,B2
74.75,53.3929,25,3.75,E4,F#4,D4,G3,B2
75.0,53.5714,26,1.0,A4,E4,E4,G3,C#3
75.5,53.9286,26,1.5,A4,D4,A3,F#3,A2
75.75,54.1071,26,1.75,A4,C#4,A3,E3,A2
76.0,54.2857,26,2.0,A4,D4,D3,F#3,D3
76.5,54.6429,26,2.5,B4,r,r,G3,B2
76.75,54.8214,26,2.75,A4,r,r,F#3,B2
77.0,55.0,26,3.0,G4,r,r,E3,C#3
77.25,55.1786,26,3.25,F#4,r,r,D3,C#3
77.5,55.3571,26,3.5,E4,r,r,C#3,D3
77.75,55.5357,26,3.75,D4,r,r,B2,D3
