qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,"D, A Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,3.875,,,,,,,,,Main Part,P4(Main)&P4(Violin 2)&P4(Violoncello),,,,,,,U(Main)&P4(D Horn 2)&P8(Violoncello),,P8(Main)&P4(D Horn 2)&P8(Violin 2),
3.875,7.875,,,,,,,,,P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,Main Part,U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),P8(Contrabass),P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),P8(Viola)
7.875,11.875,,,,,,,,,P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,,U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),Main Part,P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),P8(Main)
11.875,15.875,,,,,P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),,,,P4(Bb Clarinet 1)&P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P8(Bb Clarinet 1)&P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,Main Part,P4(Bb Clarinet 1)&U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),P8(Contrabass),P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),P8(Viola)
15.875,20.0,,,,,P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),,,,P4(Bb Clarinet 1)&P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P8(Bb Clarinet 1)&P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,,P4(Bb Clarinet 1)&U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),Main Part,P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),P8(Main)
20.0,20.875,,Main Part,P4(Main)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2)&P8(Violoncello),,P8(Main)&P4(Oboe 1)&P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),,,,P4(Main)&P8(Oboe 1)&P4(Bb Clarinet 1)&P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P8(Main)&P4(Oboe 1)&P8(Bb Clarinet 1)&P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,,P4(Main)&P8(Oboe 1)&P4(Bb Clarinet 1)&U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),,P4(Main)&P8(Oboe 1)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),
20.875,23.875,,P4(Oboe 1)&P8(Bb Clarinet 1)&P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),P4(Flute 2)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2)&P8(Violoncello),,P8(Flute 2)&P4(Oboe 1)&P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),,,,P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P8(Flute 2)&P4(Oboe 1)&P8(Bb Clarinet 1)&P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,Main Part,P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),P8(Contrabass),P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),P8(Viola)
23.875,24.25,,P4(Oboe 1)&P8(Bb Clarinet 1)&P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),P4(Flute 2)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2)&P8(Violoncello),,P8(Flute 2)&P4(Oboe 1)&P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),,,,P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P8(Flute 2)&P4(Oboe 1)&P8(Bb Clarinet 1)&P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,,P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),Main Part,P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),P8(Main)
24.25,27.25,P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2)&P8(Violoncello),P4(Flute 1)&P4(Oboe 1)&P8(Bb Clarinet 1)&P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),P8(Flute 1)&P4(Flute 2)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2)&P8(Violoncello),,P4(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P4(D Horn 1)&P8(D Horn 2)&P4(Violin 2)&P4(Violoncello),,U(Bassoon 2),U(Bassoon 1),P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&P4(D Horn 2)&U(Violin 2)&P8(Violoncello),P4(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P8(Bb Clarinet 1)&P4(D Horn 1)&P4(Violin 2)&P4(Violoncello),,,,,,Main Part,P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&U(D Horn 1)&P4(D Horn 2)&P8(Violoncello),P8(Contrabass),P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Bb Clarinet 1)&P8(D Horn 1)&P4(D Horn 2)&P8(Violin 2),P8(Viola)
27.25,28.25,P8(Oboe 1)&P8(D Horn 1)&P8(Violin 2)&P8(Violoncello),P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2),P8(Flute 1)&P8(D Horn 1)&P8(Violin 2)&P8(Violoncello),P8(Bb Clarinet 2),P8(Flute 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(D Horn 2),P8(Oboe 2),P8(Flute 2)&P8(Bb Clarinet 1)&U(Bassoon 2)&P8(D Horn 2),P8(Flute 2)&P8(Bb Clarinet 1)&U(Bassoon 1)&P8(D Horn 2),P8(Flute 1)&P8(Oboe 1)&U(Violin 2)&P8(Violoncello),P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),,,,,,,P8(Flute 1)&P8(Oboe 1)&U(D Horn 1)&P8(Violoncello),Main Part,P8(Flute 1)&P8(Oboe 1)&P8(D Horn 1)&P8(Violin 2),P8(Main)
