qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Alto 1,Tenor 1,Bass 1,Soprano 2,Alto 2,Tenor 2,Bass 2,Continuo
0.0,2.5,,,,,P3(Traverso 2),P3(Traverso 1),,,,,,Main Part,U(Main)&P8(Tenor 1)&P8(Bass 1)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),P8(Main)&P8(Alto 1)&U(Bass 1)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2)&U(Bass 2),P8(Main)&P8(Alto 1)&U(Tenor 1)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2)&U(Bass 2),U(Main)&U(Alto 1)&P8(Tenor 1)&P8(Bass 1)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Main)&U(Alto 1)&P8(Tenor 1)&P8(Bass 1)&U(Soprano 2)&P8(Tenor 2)&P8(Bass 2),P8(Main)&P8(Alto 1)&U(Tenor 1)&U(Bass 1)&P8(Soprano 2)&P8(Alto 2)&U(Bass 2),P8(Main)&P8(Alto 1)&U(Tenor 1)&U(Bass 1)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2),
2.5,4.0,,,,,Main Part,,P3(Oboe 2),P3(Oboe 1),,,,U(Alto 1)&P8(Tenor 1)&P8(Bass 1)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Soprano 1)&P8(Tenor 1)&P8(Bass 1)&U(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),P8(Soprano 1)&P8(Alto 1)&U(Bass 1)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2)&U(Bass 2),P8(Soprano 1)&P8(Alto 1)&U(Tenor 1)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2)&U(Bass 2),U(Soprano 1)&U(Alto 1)&P8(Tenor 1)&P8(Bass 1)&U(Alto 2)&P8(Tenor 2)&P8(Bass 2),U(Soprano 1)&U(Alto 1)&P8(Tenor 1)&P8(Bass 1)&U(Soprano 2)&P8(Tenor 2)&P8(Bass 2),P8(Soprano 1)&P8(Alto 1)&U(Tenor 1)&U(Bass 1)&P8(Soprano 2)&P8(Alto 2)&U(Bass 2),P8(Soprano 1)&P8(Alto 1)&U(Tenor 1)&U(Bass 1)&P8(Soprano 2)&P8(Alto 2)&U(Tenor 2),
4.0,5.5,,,,,,,Main Part,,P3(Violin 2),P3(Violin 1),,,,,,,,,,
5.5,7.0,P3(Tromba 2)&P5(Tromba 3)&P5(Timpani)&P8(Viola),P3(Tromba 1)&P3(Tromba 3)&P3(Timpani)&P3(Viola),P5(Tromba 1)&P3(Tromba 2)&P8(Timpani)&P5(Viola),P5(Tromba 1)&P3(Tromba 2)&P8(Tromba 3)&P5(Viola),,,,,Main Part,,P8(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P5(Timpani),,,,,,,,,
7.0,9.0,Main Part,,,,,,,,,,,P5(Alto 1)&P3(Tenor 1)&P8(Bass 1)&U(Soprano 2)&P3(Alto 2)&P3(Tenor 2)&P8(Bass 2),P5(Soprano 1)&P3(Tenor 1)&P5(Bass 1)&P5(Soprano 2)&P3(Alto 2)&P3(Tenor 2)&P5(Bass 2),P3(Soprano 1)&P3(Alto 1)&P3(Bass 1)&P3(Soprano 2)&U(Alto 2)&P8(Tenor 2)&P3(Bass 2),P8(Soprano 1)&P5(Alto 1)&P3(Tenor 1)&P8(Soprano 2)&P3(Alto 2)&P3(Tenor 2)&U(Bass 2),U(Soprano 1)&P5(Alto 1)&P3(Tenor 1)&P8(Bass 1)&P3(Alto 2)&P3(Tenor 2)&P8(Bass 2),P3(Soprano 1)&P3(Alto 1)&U(Tenor 1)&P3(Bass 1)&P3(Soprano 2)&P8(Tenor 2)&P3(Bass 2),P3(Soprano 1)&P3(Alto 1)&P8(Tenor 1)&P3(Bass 1)&P3(Soprano 2)&P8(Alto 2)&P3(Bass 2),P8(Soprano 1)&P5(Alto 1)&P3(Tenor 1)&U(Bass 1)&P8(Soprano 2)&P3(Alto 2)&P3(Tenor 2),
9.0,15.0,,,,,U(Traverso 2),U(Traverso 1),U(Violin 1),,U(Oboe 1),,,Main Part,,,,,,,,
15.0,16.5,,,,,,,,,,,,Main Part,,,,P5(Alto 2)&P8(Tenor 2)&P3(Bass 2),P5(Soprano 2)&P5(Tenor 2)&P3(Bass 2),P8(Soprano 2)&P5(Alto 2)&P3(Bass 2),P3(Soprano 2)&P3(Alto 2)&P3(Tenor 2),
16.5,18.0,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P8(Traverso 1)&P8(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&P8(Violin 1)&P4(Violin 2)&P6(Viola)&P8(Soprano 1)&P8(Alto 1)&P6(Tenor 1)&P2(Bass 1),P4(Tromba 1)&P4(Tromba 3)&P4(Timpani)&P4(Traverso 1)&P4(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&P4(Violin 1)&U(Violin 2)&P3(Viola)&P4(Soprano 1)&P4(Alto 1)&P3(Tenor 1)&P3(Bass 1),P8(Tromba 1)&P4(Tromba 2)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 1)&P4(Violin 2)&P6(Viola)&U(Soprano 1)&U(Alto 1)&P6(Tenor 1)&P2(Bass 1),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P8(Traverso 1)&P8(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&P8(Violin 1)&P4(Violin 2)&P6(Viola)&P8(Soprano 1)&P8(Alto 1)&P6(Tenor 1)&P2(Bass 1),P8(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 1)&P4(Violin 2)&P6(Viola)&U(Soprano 1)&U(Alto 1)&P6(Tenor 1)&P2(Bass 1),P8(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Traverso 1)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 1)&P4(Violin 2)&P6(Viola)&U(Soprano 1)&U(Alto 1)&P6(Tenor 1)&P2(Bass 1),P4(Tromba 1)&U(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P4(Traverso 1)&P4(Traverso 2)&P3(Oboe 2)&P4(Violin 1)&U(Violin 2)&P3(Viola)&P4(Soprano 1)&P4(Alto 1)&P3(Tenor 1)&P3(Bass 1),P6(Tromba 1)&P3(Tromba 2)&P6(Tromba 3)&P6(Timpani)&P6(Traverso 1)&P6(Traverso 2)&P3(Oboe 1)&P6(Violin 1)&P3(Violin 2)&P8(Viola)&P6(Soprano 1)&P6(Alto 1)&P8(Tenor 1)&P5(Bass 1),P8(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&P4(Violin 2)&P6(Viola)&U(Soprano 1)&U(Alto 1)&P6(Tenor 1)&P2(Bass 1),P4(Tromba 1)&U(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P4(Traverso 1)&P4(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&P4(Violin 1)&P3(Viola)&P4(Soprano 1)&P4(Alto 1)&P3(Tenor 1)&P3(Bass 1),P6(Tromba 1)&P3(Tromba 2)&P6(Tromba 3)&P6(Timpani)&P6(Traverso 1)&P6(Traverso 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Violin 1)&P3(Violin 2)&P6(Soprano 1)&P6(Alto 1)&U(Tenor 1)&P5(Bass 1),P8(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 1)&P4(Violin 2)&P6(Viola)&U(Alto 1)&P6(Tenor 1)&P2(Bass 1),P8(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P8(Timpani)&U(Traverso 1)&U(Traverso 2)&P4(Oboe 1)&P6(Oboe 2)&U(Violin 1)&P4(Violin 2)&P6(Viola)&U(Soprano 1)&P6(Tenor 1)&P2(Bass 1),P6(Tromba 1)&P3(Tromba 2)&P6(Tromba 3)&P6(Timpani)&P6(Traverso 1)&P6(Traverso 2)&P3(Oboe 1)&P8(Oboe 2)&P6(Violin 1)&P3(Violin 2)&U(Viola)&P6(Soprano 1)&P6(Alto 1)&P5(Bass 1),P2(Tromba 1)&P3(Tromba 2)&P2(Tromba 3)&P2(Timpani)&P2(Traverso 1)&P2(Traverso 2)&P3(Oboe 1)&P5(Oboe 2)&P2(Violin 1)&P3(Violin 2)&P5(Viola)&P2(Soprano 1)&P2(Alto 1)&P5(Tenor 1),Main Part,,,,
18.0,21.0,Main Part,,,,U(Traverso 2)&P8(Soprano 1),U(Traverso 1)&P8(Soprano 1),,,,,,P8(Traverso 1)&P8(Traverso 2),,,P8(Bass 2),,,,P8(Bass 1),
21.0,24.0,,,,,,,,,,,,,Main Part,,,,,,,
