qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.5,1,1.5,0.1667,a,S 2,13,Ch
3.5,2,1.5,0.1667,a,B,16,Ch
6.5,3,1.5,0.1667,a,S 1,12,Ch
9.5,4,1.5,0.1667,a,B,16,Ch
13.5,5,2.5,0.5,b,Vln 1,9,Vln
16.5,6,2.5,0.5,b,Vln 1,9,Vln
19.5,7,2.5,0.5,b,Trv 1,4,Fl
21.0,8,1.0,0.0,a,T,15,Ch
24.0,9,1.0,0.0,a,S 1,12,Ch
27.5,10,1.5,0.1667,a,A,14,Ch
30.5,11,1.5,0.1667,a,S 2,13,Ch
33.5,12,1.5,0.1667,a,B,16,Ch
37.5,13,2.5,0.5,b,Trv 1,4,Fl
40.5,14,2.5,0.5,b,Trv 1,4,Fl
43.5,15,2.5,0.5,b,Vln 1,9,Vln
45.0,16,1.0,0.0,a,T,15,Ch
48.5,17,1.5,0.1667,a,B,16,Ch
51.5,18,1.5,0.1667,a,S 1,12,Ch
54.5,19,1.5,0.1667,a,A,14,Ch
61.0,21,2.0,0.3333,b,S 1,12,Ch
64.0,22,2.0,0.3333,b,S 1,12,Ch
67.0,23,2.0,0.3333,b,S 1,12,Ch
70.0,24,2.0,0.3333,b,S 1,12,Ch
72.5,25,1.5,0.1667,a,Tr 1,0,Tpt
75.5,26,1.5,0.1667,a,Tr 1,0,Tpt
78.5,27,1.5,0.1667,a,Tr 1,0,Tpt
81.5,28,1.5,0.1667,a,Tr 1,0,Tpt
84.5,29,1.5,0.1667,a,Tr 1,0,Tpt
87.5,30,1.5,0.1667,a,Tr 1,0,Tpt
89.5,30,3.5,0.8333,a,S 1,12,Ch
105.0,36,1.0,0.0,a,S 2,13,Ch
106.5,36,2.5,0.5,a,S 1,12,Ch
109.5,37,2.5,0.5,a,T,15,Ch
124.5,42,2.5,0.5,a,A,14,Ch
145.5,49,2.5,0.5,a,S 1,12,Ch
147.5,50,1.5,0.1667,a,T,15,Ch
159.5,54,1.5,0.1667,a,S 2,13,Ch
160.5,54,2.5,0.5,a,B,16,Ch
162.5,55,1.5,0.1667,a,A,14,Ch
170.0,57,3.0,0.6667,a,S 2,13,Ch
175.25,59,2.25,0.4167,a,S 2,13,Ch
176.25,59,3.25,0.75,a,B,16,Ch
183.5,62,1.5,0.1667,a,S 1,12,Ch
189.5,64,1.5,0.1667,a,Trv 1,4,Fl
195.5,66,1.5,0.1667,a,Vln 1,9,Vln
198.5,67,1.5,0.1667,a,Trv 1,4,Fl
201.0,68,1.0,0.0,a,S 1,12,Ch
204.5,69,1.5,0.1667,a,S 1,12,Ch
208.5,70,2.5,0.5,b,Vln 1,9,Vln
211.5,71,2.5,0.5,b,Vln 1,9,Vln
214.5,72,2.5,0.5,b,Trv 1,4,Fl
216.5,73,1.5,0.1667,a,S 1,12,Ch
220.5,74,2.5,0.5,a,S 1,12,Ch
225.5,76,1.5,0.1667,a,Trv 1,4,Fl
228.5,77,1.5,0.1667,a,Trv 1,4,Fl
231.5,78,1.5,0.1667,a,Trv 1,4,Fl
234.5,79,1.5,0.1667,a,Trv 1,4,Fl
236.5,79,3.5,0.8333,a,S 2,13,Ch
238.5,80,2.5,0.5,a,S 1,12,Ch
252.5,85,1.5,0.1667,a,S 2,13,Ch
253.5,85,2.5,0.5,a,A,14,Ch
254.5,85,3.5,0.8333,a,B,16,Ch
255.5,86,1.5,0.1667,a,T,15,Ch
258.5,87,1.5,0.1667,a,S 2,13,Ch
259.5,87,2.5,0.5,a,B,16,Ch
267.5,90,1.5,0.1667,a,S 2,13,Ch
268.5,90,2.5,0.5,a,T,15,Ch
269.5,90,3.5,0.8333,a,B,16,Ch
270.5,91,1.5,0.1667,a,S 1,12,Ch
271.5,91,2.5,0.5,a,S 2,13,Ch
282.5,95,1.5,0.1667,a,S 1,12,Ch
283.5,95,2.5,0.5,a,S 2,13,Ch
284.5,95,3.5,0.8333,a,B,16,Ch
285.5,96,1.5,0.1667,a,A,14,Ch
286.5,96,2.5,0.5,a,S 1,12,Ch
297.5,100,1.5,0.1667,a,S 1,12,Ch
298.5,100,2.5,0.5,a,B,16,Ch
300.5,101,1.5,0.1667,a,A,14,Ch
309.0,104,1.0,0.0,a,S 2,13,Ch
312.25,105,1.25,0.0833,a,A,14,Ch
313.5,105,2.5,0.5,a,B,16,Ch
318.25,107,1.25,0.0833,a,A,14,Ch
324.0,109,1.0,0.0,a,S 1,12,Ch
330.5,111,1.5,0.1667,a,Ob 1,6,Ob
333.5,112,1.5,0.1667,a,Ob 1,6,Ob
336.5,113,1.5,0.1667,a,Ob 1,6,Ob
339.5,114,1.5,0.1667,a,Ob 1,6,Ob
342.5,115,1.5,0.1667,a,Ob 1,6,Ob
345.5,116,1.5,0.1667,a,Ob 1,6,Ob
347.5,116,3.5,0.8333,a,S 1,12,Ch
363.5,122,1.5,0.1667,a,Tr 1,0,Tpt
375.25,126,1.25,0.0833,a,Trv 1,4,Fl
376.5,126,2.5,0.5,a,Tr 1,0,Tpt
