qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.5,3.5,P3(Bassoon)&P3(Continuo),P5(Tromba 3)&P8(Timpani)&P8(Bass),P5(Tromba 2)&P5(Timpani)&P5(Bass),P8(Tromba 2)&P5(Tromba 3)&U(Bass),,U(Oboe 2),,U(Traverso 2),P3(Tromba 1)&P8(Continuo),,,,,Main Part,,,P8(Tromba 2)&P5(Tromba 3)&U(Timpani),P3(Tromba 1)&P8(Bassoon)
3.5,6.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,P6(Alto),,P6(Soprano 1),,Main Part,U(Bassoon)
6.5,9.5,P3(Tromba 2)&P2(Tromba 3)&P2(Timpani)&P3(Tenor)&P2(Bass),P3(Tromba 1)&P4(Tromba 3)&P4(Timpani)&P8(Tenor)&P4(Bass),P2(Tromba 1)&P4(Tromba 2)&P8(Timpani)&P4(Tenor)&P8(Bass),P2(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P4(Tenor)&P8(Bass),U(Oboe 1),,U(Traverso 1),,P6(Soprano 2)&U(Continuo),,,,Main Part,P6(Bassoon)&P6(Continuo),,P3(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P4(Timpani)&P4(Bass),P2(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P8(Timpani)&P4(Tenor),U(Bassoon)&P6(Soprano 2)
9.5,13.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,,,P3(Tenor),P3(Alto),Main Part,U(Bassoon)
13.5,16.5,P3(Tromba 2)&U(Soprano 1)&P3(Soprano 2)&P8(Tenor),P3(Tromba 1)&P3(Soprano 1)&U(Soprano 2)&P3(Tenor),P8(Timpani),P8(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),Main Part,,,U(Tromba 1)&P3(Tromba 2)&P3(Soprano 2)&P8(Tenor),P3(Tromba 1)&U(Tromba 2)&P3(Soprano 1)&P3(Tenor),,P8(Tromba 1)&P3(Tromba 2)&P8(Soprano 1)&P3(Soprano 2),,U(Bassoon)
16.5,19.5,P3(Tromba 2)&U(Soprano 1)&P3(Soprano 2)&P8(Tenor),P3(Tromba 1)&P3(Soprano 1)&U(Soprano 2)&P3(Tenor),P5(Timpani),P5(Tromba 3),U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),Main Part,,,U(Tromba 1)&P3(Tromba 2)&P3(Soprano 2)&P8(Tenor),P3(Tromba 1)&U(Tromba 2)&P3(Soprano 1)&P3(Tenor),,P8(Tromba 1)&P3(Tromba 2)&P8(Soprano 1)&P3(Soprano 2),,U(Bassoon)
19.5,21.0,U(Soprano 1),U(Soprano 2),,,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2),U(Main)&U(Traverso 2)&U(Oboe 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Continuo),,,,U(Tromba 1),U(Tromba 2),,,,U(Bassoon)
21.0,24.0,U(Soprano 1),,,,U(Traverso 2)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Oboe 1)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Continuo),,,,U(Tromba 1),P6(Alto),P6(Soprano 2),Main Part,,U(Bassoon)
24.0,27.5,,,,,U(Oboe 1)&P3(Violin 2)&P8(Viola),U(Oboe 2),U(Traverso 1)&P3(Violin 2)&P8(Viola),U(Traverso 2),U(Continuo),,P3(Traverso 1)&P3(Oboe 1)&P3(Viola),P8(Traverso 1)&P8(Oboe 1)&P3(Violin 2),Main Part,,,,,U(Bassoon)
27.5,30.5,U(Tromba 2)&U(Tromba 3)&P8(Soprano 2)&P3(Tenor),U(Tromba 1)&U(Tromba 3)&P8(Soprano 2)&P3(Tenor),U(Tromba 1)&U(Tromba 2)&P8(Soprano 2)&P3(Tenor),,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,,P8(Tromba 1)&P8(Tromba 2)&P8(Tromba 3)&P3(Tenor),Main Part,P3(Tromba 1)&P3(Tromba 2)&P3(Tromba 3)&P3(Soprano 2),,U(Bassoon)
30.5,33.5,U(Tromba 2)&U(Tromba 3),U(Tromba 1)&U(Tromba 3),U(Tromba 1)&U(Tromba 2),,P6(Traverso 2)&U(Oboe 1)&P6(Oboe 2)&P4(Violin 1)&P6(Viola),P6(Traverso 1)&P6(Oboe 1)&U(Oboe 2)&P3(Violin 1)&U(Viola),U(Traverso 1)&P6(Traverso 2)&P6(Oboe 2)&P4(Violin 1)&P6(Viola),P6(Traverso 1)&U(Traverso 2)&P6(Oboe 1)&P3(Violin 1)&U(Viola),U(Continuo),P4(Traverso 1)&P3(Traverso 2)&P4(Oboe 1)&P3(Oboe 2)&P3(Viola),,P6(Traverso 1)&U(Traverso 2)&P6(Oboe 1)&U(Oboe 2)&P3(Violin 1),P5(Alto),Main Part,P5(Soprano 1),,,U(Bassoon)
33.5,37.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,,,,,Main Part,U(Bassoon)
37.5,40.5,,,,,Main Part,U(Main)&U(Oboe 1)&U(Oboe 2),U(Main)&U(Traverso 2)&U(Oboe 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Continuo),,,,P4(Tenor),P6(Alto),P6(Soprano 2),P4(Soprano 1),,U(Bassoon)
40.5,43.5,,,,,Main Part,U(Oboe 2),U(Main),U(Traverso 2),U(Continuo),,,,,P6(Alto)&P8(Tenor),P6(Soprano 2)&P6(Tenor),P8(Soprano 2)&P6(Alto),,U(Bassoon)
43.5,45.0,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),Main Part,U(Main),,,,,,,U(Bassoon)
45.0,48.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),U(Violin 2),U(Violin 1),,,,,Main Part,,U(Bassoon)
48.5,51.5,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,,,Main Part,U(Bassoon)
51.5,54.5,,,,,P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2),P3(Traverso 1)&P3(Oboe 1)&U(Oboe 2),U(Traverso 1)&P3(Traverso 2)&P3(Oboe 2),P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1),U(Continuo),U(Violin 2)&U(Viola)&P4(Bass),U(Violin 1)&U(Viola)&P4(Bass),U(Violin 1)&U(Violin 2)&P4(Bass),Main Part,,P3(Tenor),P3(Alto),P4(Violin 1)&P4(Violin 2)&P4(Viola),U(Bassoon)
54.5,61.0,,,,,U(Oboe 1),U(Oboe 2),U(Traverso 1),U(Traverso 2),U(Continuo),,,,,,Main Part,,,U(Bassoon)
