qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Bassoon,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,0.0,1,1.0,F#4,r,r,r,r,r,r,r,D4,r,r,r,r,r,r,r,r,D2
0.5,0.2727,1,1.5,F#4,r,r,r,r,D4,r,D4,D4,D4,D4,D4,r,D4,r,A3,r,D2
0.75,0.4091,1,1.75,F#4,r,r,r,r,E4,r,E4,D4,D4,D4,D4,r,D4,r,A3,r,D2
1.0,0.5455,1,2.0,r,r,r,r,r,F#4,r,F#4,r,D4,D4,D4,r,A4,r,F#4,r,r
1.25,0.6818,1,2.25,r,r,r,r,r,G4,r,G4,r,D4,D4,D4,r,A4,r,F#4,r,r
1.5,0.8182,1,2.5,r,r,r,r,r,A4,r,A4,r,D4,D4,D4,r,F#4,r,D4,r,r
1.75,0.9545,1,2.75,r,r,r,r,r,B4,r,B4,r,D4,D4,D4,r,F#4,r,D4,r,r
2.0,1.0909,1,3.0,r,r,r,r,r,C#5,r,C#5,r,D4,D4,D4,r,G4,r,E4,r,r
2.25,1.2273,1,3.25,r,r,r,r,r,E5,r,E5,r,D4,D4,D4,r,G4,r,E4,r,r
2.5,1.3636,1,3.5,r,r,r,r,r,D5,r,D5,r,D4,D4,D4,r,A4,r,F#4,r,r
2.75,1.5,1,3.75,r,r,r,r,r,C#5,r,C#5,r,D4,D4,D4,r,B4,r,G4,r,r
3.0,1.6364,2,1.0,r,r,r,r,r,D5,r,D5,r,D4,D4,D4,r,A4,r,F#4,r,r
3.5,1.9091,2,1.5,F#5,D5,A4,D3,r,r,r,r,D3,D6,A5,F#4,r,A4,r,F#4,D3,D3
3.75,2.0455,2,1.75,F#5,D5,A4,D3,r,r,r,r,D3,A5,F#5,D5,r,A4,r,F#4,D3,D3
4.0,2.1818,2,2.0,A5,F#5,A4,D3,r,r,r,r,D2,A5,F#5,D5,r,A4,r,F#4,D4,D2
4.25,2.3182,2,2.25,A5,F#5,A4,D3,r,r,r,r,D2,F#5,D5,A4,r,A4,r,F#4,D4,D2
4.5,2.4545,2,2.5,D6,A5,F#5,D3,A4,F#4,A4,F#4,D3,F#5,D5,A4,r,A4,r,F#4,D3,D3
4.75,2.5909,2,2.75,D6,A5,F#5,D3,A4,G4,A4,G4,D3,D5,A4,F#4,r,A4,r,G4,E3,D3
5.0,2.7273,2,3.0,A5,F#5,D5,D3,D5,A4,D5,A4,D2,D5,A4,F#4,r,D5,r,A4,F#3,D2
5.25,2.8636,2,3.25,A5,F#5,D5,D3,D5,B4,D5,B4,D2,A4,F#4,D4,r,D5,r,A4,F#3,D2
5.5,3.0,2,3.5,G5,E5,A4,D3,E5,C#5,E5,C#5,D3,A4,F#4,D4,r,E5,r,A4,A3,D3
5.75,3.1364,2,3.75,F#5,D5,A4,D3,F#5,D5,F#5,D5,D3,A4,F#4,D4,r,F#5,r,A4,A3,D3
6.0,3.2727,3,1.0,G5,E5,A4,A2,E5,A4,E5,A4,C#3,A4,A4,A3,r,E5,r,A4,C#4,C#3
6.25,3.4091,3,1.25,G5,E5,A4,A2,F#5,A4,F#5,A4,C#3,A4,A4,A3,r,E5,r,A4,C#4,C#3
6.5,3.5455,3,1.5,G5,E5,A4,A2,E5,r,E5,r,C#3,A3,A3,A3,A4,A4,C#4,E4,A3,C#3
