qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,D5,D5,D5,D5,D4,D4,D3,D3,r,r,r,r,r,D5,D4,D4,D3,D2
1.0,0.8451,1,2.0,D5,D5,D5,D5,D4,D4,D3,D3,r,r,r,r,r,D5,D4,D4,D3,D2
1.875,1.5845,1,2.875,D5,D5,D5,D5,D4,D4,D3,D3,r,r,r,r,r,D5,D4,D4,D3,D2
2.0,1.6901,1,3.0,A5,A5,A5,A5,A4,A4,A3,A3,r,r,r,r,r,A5,A4,A4,A3,A2
4.0,3.3803,2,1.0,D5,D5,D5,D5,D5,D5,D3,D3,r,r,r,r,r,D5,D4,D4,D3,D2
5.0,4.2254,2,2.0,D5,D5,D5,D5,D5,D5,D3,D3,r,r,r,r,r,D5,D4,D4,D3,D2
5.875,4.9648,2,2.875,D5,D5,D5,D5,D5,D5,D3,D3,r,r,r,r,r,D5,D4,D4,D3,D2
6.0,5.0704,2,3.0,A4,A4,A4,A4,A4,A4,A2,A2,r,r,r,r,r,A4,A3,A3,A2,A1
8.0,6.7606,3,1.0,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,D4,A3,F3,F2
9.0,7.6056,3,2.0,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,D4,A3,F3,F2
9.875,8.3451,3,2.875,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,E4,B-3,G3,G2
10.0,8.4507,3,3.0,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,E4,B-3,G3,G2
10.5,8.8732,3,3.5,r,r,r,r,r,r,A3,r,r,r,r,r,r,D5,E4,B-3,G3,G2
10.875,9.1901,3,3.875,r,r,r,r,r,r,A3,r,r,r,r,r,r,C#5,E4,B-3,G3,G2
11.0,9.2958,3,4.0,r,r,r,r,r,r,A3,r,r,r,r,r,r,C#5,E4,B-3,G3,G2
11.5,9.7183,3,4.5,r,r,r,r,r,r,A3,r,r,r,r,r,r,C#5,E4,B-3,G3,G2
12.0,10.1408,4,1.0,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,D4,A3,F3,F2
13.0,10.9859,4,2.0,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,D4,A3,F3,F2
13.875,11.7254,4,2.875,r,r,r,r,r,r,A3,r,r,r,r,r,r,r,E4,B-3,G3,G2
