qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,24.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
24.0,48.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1),U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1),,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
48.0,60.0,,,,,,,,U(Violoncello),,,,,,Main Part,P8(Main),,U(Bassoon 2),
60.0,72.0,P8(Flute 2)&P8(Oboe 1),P8(Flute 1)&U(Oboe 1),P8(Flute 1)&U(Flute 2),,,,,U(Violoncello),,,,,,Main Part,,,U(Bassoon 2),
72.0,99.0,,,,,,,U(Violoncello),P8(Contrabass),,,,,,Main Part,,,U(Bassoon 1),P8(Bassoon 2)
99.0,126.0,,,,,,,,,,,,,,Main Part,,P8(Violoncello),P8(Viola),
126.0,129.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,Main Part,P4(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
129.0,138.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
138.0,141.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,Main Part,P2(Main)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P4(Main)&P5(Violin 2)&P8(Violoncello)&P8(Contrabass),P4(Main)&P5(Violin 2)&P8(Viola)&P8(Contrabass),P4(Main)&P5(Violin 2)&P8(Viola)&P8(Violoncello)
141.0,150.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
150.0,156.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(C Clarinet 1)&U(C Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P3(Main),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
156.0,180.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,P8(Timpani),P8(C Trumpet 2),Main Part,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
180.0,198.0,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
198.0,220.0,P8(Oboe 1),,P8(Flute 1),P3(C Clarinet 1)&U(C Clarinet 2)&P3(Bassoon 2)&P3(Timpani),P3(Oboe 2)&P3(C Clarinet 2)&P8(Bassoon 2)&P8(Timpani),U(Oboe 2)&P3(C Clarinet 1)&P3(Bassoon 2)&P3(Timpani),,P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&U(Timpani),P8(C Horn 2),P8(C Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&U(Bassoon 2),Main Part,,,P8(Contrabass),P8(Violoncello)
220.0,244.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,P8(Violoncello)&P8(Contrabass),Main Part,,,P8(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello)
244.0,261.0,,,U(Oboe 2),U(Oboe 1),P8(C Clarinet 2),P8(C Clarinet 1),,,,P8(C Trumpet 2),,P8(C Horn 2),,P8(Violin 2),P8(Violin 1),Main Part,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
261.0,273.0,,,,,,,,U(Violoncello),,,,,,P8(Violin 2),P8(Violin 1),Main Part,U(Bassoon 2),
273.0,285.0,P8(Flute 2)&P8(Oboe 1),P8(Flute 1)&U(Oboe 1),P8(Flute 1)&U(Flute 2),,,,,U(Violoncello),,,,,,,,Main Part,U(Bassoon 2),
285.0,312.0,,,Main Part,,,,U(Violoncello),P8(Contrabass),,,,,,,,,U(Bassoon 1),P8(Bassoon 2)
312.0,339.0,,,Main Part,,,,,,,,,,,,,P8(Violoncello),P8(Viola),
339.0,342.0,,,Main Part,,,,P8(Main),,,,,,,P4(Violin 2),P4(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
342.0,351.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,,,Main Part,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
351.0,354.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,P2(Violin 2)&P4(Main)&P4(Violoncello)&P4(Contrabass),P2(Violin 1)&P5(Main)&P5(Violoncello)&P5(Contrabass),Main Part,P4(Violin 1)&P5(Violin 2)&P8(Main)&P8(Contrabass),P4(Violin 1)&P5(Violin 2)&P8(Main)&P8(Violoncello)
354.0,363.0,,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,,,Main Part,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
