qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,r,r,r
1.0,0.1852,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,C3,C3,C2
2.0,0.3704,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,F4,C4,C4,C3
3.0,0.5556,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,D4,C4,C4,C3
4.0,0.7407,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,C4,C3
5.0,0.9259,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,C4,C4,C3
6.0,1.1111,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,B3,B3,B2
7.0,1.2963,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,C4,C4,C3
8.0,1.4815,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,E4,A3,A3,A2
9.0,1.6667,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,F#4,D4,D4,D3
10.0,1.8519,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,B3,B3,B2
11.0,2.037,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,G4,G3,G3,G2
12.0,2.2222,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,G#4,E4,E3,E2
13.0,2.4074,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,F4,F3,F2
14.0,2.5926,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,D4,D3,D2
15.0,2.7778,6,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,B4,G4,G3,G2
16.0,2.963,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,C5,E4,E3,E2
17.0,3.1481,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,C5,C4,C3,C2
18.0,3.3333,7,3.0,C#6,C#6,C#5,C#5,C#5,C#5,C#4,C#3,r,r,r,r,r,C#6,C#5,C#4,C#3,C#2
