qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,3.0,0.0,a,Vc,16
13.0,6,1.0,0.0,a,Vln,13
24.0,9,3.0,0.6667,a,Vc,16
37.0,14,1.0,0.0,a,Vc,16
43.0,16,1.0,0.0,a,Fl,0
55.0,20,1.0,0.0,b,Hn,8
67.0,24,1.0,0.0,b,Hn,8
79.0,28,1.0,0.0,b,Vln,13
91.0,32,1.0,0.0,b,Vln,13
103.0,36,1.0,0.0,b,Vln,13
114.0,39,3.0,0.6667,b,Cl,4
117.0,40,3.0,0.6667,b,Vln,13
120.0,41,3.0,0.6667,b,Cl,4
123.0,42,3.0,0.6667,b,Vln,13
134.0,46,2.0,0.3333,a,Vc,16
145.0,50,1.0,0.0,a,Vln,13
156.0,53,3.0,0.6667,a,Vc,16
168.0,57,3.0,0.6667,a,Vla,15
182.0,62,2.0,0.3333,a,Vln,13
186.0,63,3.0,0.6667,a,Vla,15
188.0,64,2.0,0.3333,a,Vln,13
191.0,65,2.0,0.3333,a,Vla,15
202.0,69,1.0,0.0,a,Vla,15
211.0,72,1.0,0.0,b,Vln,14
223.0,76,1.0,0.0,b,Vln,14
229.0,78,1.0,0.0,b,Vln,13
235.0,80,1.0,0.0,b,Fl,0
247.0,84,1.0,0.0,b,Vln,13
259.0,88,1.0,0.0,b,Vln,13
270.0,91,3.0,0.6667,b,Ob,2
273.0,92,3.0,0.6667,b,Vln,13
276.0,93,3.0,0.6667,b,Ob,2
279.0,94,3.0,0.6667,b,Vln,13
290.0,98,2.0,0.3333,a,Vc,16
301.0,102,1.0,0.0,a,Fl,0
313.0,106,1.0,0.0,a,Fl,0
325.0,110,1.0,0.0,a,Vln,13
337.0,114,1.0,0.0,a,Vln,13
346.0,117,1.0,0.0,c,Vln,13
358.0,121,1.0,0.0,c,Vln,13
370.0,125,1.0,0.0,c,Vln,13
382.5,129,1.5,0.1667,c,Vln,13
397.0,134,1.0,0.0,b,Vln,13
409.0,138,1.0,0.0,b,Fl,0
420.0,142,3.0,0.0,d,Vc,16
430.0,146,1.0,0.0,d,Vc,16
438.0,148,3.0,0.6667,a,Bsn,6
448.0,152,1.0,0.0,d,Bsn,6
456.0,154,3.0,0.6667,a,Vln,14
462.0,156,3.0,0.6667,a,Vln,13
469.0,159,1.0,0.0,d,Vln,13
481.5,163,2.5,0.5,d,Vln,14
485.0,164,3.0,0.6667,d,Vc,16
497.0,168,3.0,0.6667,d,Vc,16
509.0,172,3.0,0.6667,d,Vla,15
533.0,180,3.0,0.6667,d,Vln,14
539.0,182,3.0,0.6667,d,Vln,13
545.0,184,3.0,0.6667,d,Fl,0
557.0,188,3.0,0.6667,d,Fl,0
563.0,190,3.0,0.6667,d,Fl,0
569.0,192,3.0,0.6667,d,Fl,0
582.0,197,1.0,0.0,d,Fl,0
589.5,199,2.5,0.5,d,Vln,14
593.0,200,3.0,0.6667,d,Vc,16
605.0,204,3.0,0.6667,d,Vc,16
617.0,208,3.0,0.6667,d,Vla,15
627.0,212,1.0,0.0,d,Vla,15
641.0,216,3.0,0.6667,d,Vln,14
647.0,218,3.0,0.6667,d,Vln,13
653.0,220,3.0,0.6667,d,Fl,0
663.0,224,1.0,0.0,d,Fl,0
679.0,229,2.0,0.3333,d,Ob,2
682.0,230,2.0,0.3333,d,Cl,4
693.0,234,1.0,0.0,d,Vc,16
708.0,239,1.0,0.0,a,Vc,16
723.0,244,1.0,0.0,a,Cl,4
734.0,247,3.0,0.6667,a,Bsn,6
746.0,251,3.0,0.6667,a,Bsn,6
753.0,254,1.0,0.0,a,Vln,13
765.0,258,1.0,0.0,b,Cl,4
765.0,258,1.0,0.0,a,Cl,5
777.0,262,1.0,0.0,b,Vln,13
789.0,266,1.0,0.0,b,Ob,2
801.0,270,1.0,0.0,b,Vln,13
813.0,274,1.0,0.0,b,Vln,13
824.0,277,3.0,0.6667,b,Bsn,6
827.0,278,3.0,0.6667,b,Vln,13
830.0,279,3.0,0.6667,b,Bsn,6
833.0,280,3.0,0.6667,b,Vln,13
842.0,283,3.0,0.6667,a,Vc,16
855.0,288,1.0,0.0,a,Vln,13
867.0,292,1.0,0.0,a,Vln,13
879.0,296,1.0,0.0,a,Vln,13
891.0,300,1.0,0.0,a,Vln,13
900.0,303,1.0,0.0,a,Vln,13
912.0,307,1.0,0.0,a,Vln,13
924.0,311,1.0,0.0,a,Vln,13
933.0,314,1.0,0.0,a,Vln,13
945.0,318,1.0,0.0,a,Vln,13
951.0,320,1.0,0.0,b,Vln,13
963.0,324,1.0,0.0,a,Vln,14
972.0,327,1.0,0.0,a,Vln,13
984.0,331,1.0,0.0,a,Vln,13
996.0,335,1.0,0.0,a,Vln,13
1008.0,339,1.0,0.0,a,Vln,13
1017.0,342,1.0,0.0,a,Vln,13
1028.0,345,3.0,0.6667,a,Vln,13
1040.0,349,3.0,0.6667,a,Vln,13
1052.0,353,3.0,0.6667,a,Vln,13
1064.0,357,3.0,0.6667,a,Vln,13
1076.0,361,3.0,0.6667,a,Vln,13
1088.0,365,3.0,0.6667,a,Vln,13
1101.0,370,1.0,0.0,a,Ob,3
1110.0,373,1.0,0.0,a,Ob,3
