qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,1,0.0,x,Vln,19
16.0,5,1,0.0,a,Ob,2
32.0,9,1,0.0,a,Ob,2
48.0,13,1,0.0,a,Ob,2
56.0,15,1,0.0,a,Fl,0
72.0,19,1,0.0,a,Vln,19
74.5,19,2.25,0.625,a,Vln,20
76.0,20,1,0.0,a,Vln,19
80.0,21,1,0.0,a,Vln,19
88.0,23,1,0.0,a,Cl,4
96.0,25,1,0.0,a,Cl,4
104.0,27,1,0.0,a,Ob,2
120.0,31,1,0.0,b,Vln,19
136.0,35,1,0.0,b,Vln,19
152.0,39,1,0.0,b,Vln,19
156.0,40,1,0.0,b,Violen,21
160.5,41,1.25,0.125,b,Vln,19
168.0,43,1,0.0,b,Bsn,6
184.0,47,1,0.0,b,Fl,0
200.0,51,1,0.0,b,Fl,0
204.0,52,1,0.0,b,Violen,21
208.0,53,1,0.0,b,Vln,19
212.0,54,1,0.0,b,Violen,21
216.0,55,1,0.0,b,Hn,8
224.0,57,1,0.0,b,Hn,8
230.5,58,2.25,0.625,b,Ob,3
232.0,59,1,0.0,b,Fl,0
236.0,60,1,0.0,b,Fl,0
240.0,61,1,0.0,b,Fl,0
248.0,63,1,0.0,b,Tpt,12
256.0,65,1,0.0,b,Fl,0
264.0,67,1,0.0,x,Vln,19
268.0,68,1,0.0,x,Fl,0
280.0,71,1,0.0,a,Fl,0
288.0,73,1,0.0,a,Fl,0
296.0,75,1,0.0,a,Bsn,6
304.0,77,1,0.0,a,Bsn,6
316.0,80,1,0.0,a,Hn,8
320.0,81,1,0.0,a,Bsn,6
324.0,82,1,0.0,a,Fl,0
328.0,83,1,0.0,a,Bsn,6
332.0,84,1,0.0,a,Fl,0
336.0,85,1,0.0,a,Fl,0
344.0,87,1,0.0,a,Fl,0
352.0,89,1,0.0,a,Fl,0
360.0,91,1,0.0,a,Fl,0
368.0,93,1,0.0,a,Fl,0
376.0,95,1,0.0,b,Cl,4
378.0,95,2,0.5,b,Bsn,6
380.0,96,1,0.0,b,Cl,4
382.0,96,2,0.5,b,Bsn,6
384.0,97,1,0.0,b,Fl,0
392.0,99,1,0.0,b,Bsn,6
400.0,101,1,0.0,c,Ob,2
402.0,101,2,0.5,c,Fl,0
404.0,102,1,0.0,c,Violen,21
408.0,103,1,0.0,c,Vc,22
412.0,104,1,0.0,c,Ob,2
416.0,105,1,0.0,c,Fl,0
424.0,107,1,0.0,b,Vln,19
440.0,111,1,0.0,b,Vln,19
456.0,115,1,0.0,b,Vln,19
464.0,117,1,0.0,b,Vln,19
472.5,119,1.25,0.125,b,Vln,19
480.0,121,1,0.0,b,Vc,22
488.0,123,1,0.0,b,Vc,22
496.0,125,1,0.0,b,Vc,22
504.0,127,1,0.0,b,Vln,19
520.0,131,1,0.0,b,Vln,19
528.0,133,1,0.0,b,Tpt,12
536.0,135,1,0.0,b,Vln,19
552.0,139,1,0.0,b,Fl,0
559.0,140,2.5,0.75,d,Fl,0
567.5,142,2.75,0.875,d,Fl,0
571.5,143,2.75,0.875,d,Fl,0
575.5,144,2.75,0.875,d,Fl,0
579.5,145,2.75,0.875,d,Fl,0
583.5,146,2.75,0.875,d,Fl,0
600.0,151,1,0.0,d,Fl,0
608.0,153,1,0.0,d,Ob,2
612.0,154,1,0.0,d,Bsn,6
616.0,155,1,0.0,d,Ob,2
620.0,156,1,0.0,d,Bsn,6
624.0,157,1,0.0,d,Fl,0
632.0,159,1,0.0,d,Fl,0
640.0,161,1,0.0,d,Fl,0
644.0,162,1,0.0,d,Fl,0
648.0,163,1,0.0,a,Fl,0
656.0,165,1,0.0,a,Fl,0
664.0,167,1,0.0,a,Fl,0
672.0,169,1,0.0,a,Fl,0
680.0,171,1,0.0,a,Hn,8
688.0,173,1,0.0,a,Ob,2
692.0,174,1,0.0,a,Fl,0
696.0,175,1,0.0,a,Ob,2
700.0,176,1,0.0,a,Fl,0
708.0,178,1,0.0,a,Vln,19
710.0,178,3,0.5,a,Fl,0
712.0,179,1,0.0,a,Hn,8
716.0,180,1,0.0,a,Tpt,13
720.0,181,1,0.0,a,Tpt,12
724.0,182,1,0.0,a,Tpt,12
728.0,183,1,0.0,a,Fl,0
736.0,185,1,0.0,a,Tpt,12
744.0,187,1,0.0,a,Altposaune,15
749.0,188,2,0.25,a,Tpt,12
752.0,189,1,0.0,a,Tpt,12
760.0,191,1,0.0,a,Tpt,12
768.0,193,1,0.0,a,Tpt,12
776.0,195,1,0.0,a,Ob,2
782.0,196,3,0.5,a,Tpt,12
786.0,197,3,0.5,a,Fl,0
791.0,198,4,0.75,a,Fl,0
793.0,199,2,0.25,a,Bsn,6
796.0,200,1,0.0,a,Hn,8
808.0,203,1,0.0,a,Cb,23
809.0,203,2,0.25,a,Vln,19
816.0,205,1,0.0,a,Hn,8
824.0,207,1,0.0,a,Ob,2
832.0,209,1,0.0,a,Fl,0
840.0,211,1,0.0,a,Vln,19
