qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,18.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,
18.0,35.0,,,,,,,,,,,Main Part,,,,
35.0,47.0,,,,,,,,,,,Main Part,,,,
47.0,60.0,P8(Oboe 1)&P8(C Horn 1),,P8(Flute 1)&P8(C Horn 1),,,,,,P8(Flute 1)&P8(Oboe 1),,Main Part,,,,
60.0,79.5,,P3(Oboe 2)&P8(C Horn 2),,P3(Flute 2)&P3(C Horn 2),,,,,Main Part,P8(Flute 2)&P3(Oboe 2),,,,,
79.5,88.5,Main Part,,,,,P3(Bassoon 1),P3(Bb Clarinet 2),,P8(C Horn 2),P8(C Horn 1),,,,,
88.5,91.5,P5(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2),P5(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P8(C Horn 1)&P8(C Horn 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 2)&P3(C Horn 1)&P3(C Horn 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(C Horn 1)&P3(C Horn 2),Main Part,,,,P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P8(C Horn 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P8(C Horn 1),,,,,
91.5,103.5,Main Part,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,
103.5,117.0,P5(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2),P5(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P5(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&P8(C Horn 1)&U(C Horn 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&U(Bb Clarinet 2)&P5(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 1)&U(Bassoon 2)&P8(C Horn 1),Main Part,,,,
117.0,129.0,Main Part,,,,,,P8(Main),,,,,,,,
129.0,139.5,,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,Main Part,,,,
139.5,145.0,P8(Oboe 1)&P8(Oboe 2),,P8(Flute 1)&U(Oboe 2),P8(Flute 1)&U(Oboe 1),Main Part,,,,,,,,,,
145.0,147.0,Main Part,,P8(Main)&U(Oboe 2)&P8(Bassoon 1),P8(Main)&U(Oboe 1)&P8(Bassoon 1),,,P8(Main)&P8(Oboe 1)&P8(Oboe 2),,,,P8(Viola)&P2(Violoncello),,P8(Violin 1)&P2(Violoncello),P2(Violin 1)&P2(Viola),
147.0,165.0,,,,,,,,,Main Part,,,,,,
165.0,182.5,,,Main Part,,,,,,,,,,,,
182.5,185.5,,,,,,,Main Part,,,,,,,P8(Contrabass),P8(Violoncello)
185.5,194.0,P3(Flute 2),P3(Flute 1),,,Main Part,,,,,,,,,P8(Contrabass),P8(Violoncello)
194.0,204.0,P3(C Horn 2),,,,Main Part,P8(Bassoon 2),,P8(Bb Clarinet 2),,P3(Flute 1),,,,,
204.0,205.5,,,,,Main Part,,,,,,,,,,
205.5,207.0,,,,,,,Main Part,,,,P8(Violoncello),,,P8(Violin 1),
207.0,224.5,,,,,,,,,,,Main Part,,,,
224.5,230.5,Main Part,P8(Bassoon 1),P8(Main),,,,P8(Flute 2),,,,P3(Violin 2)&P6(Viola)&P5(Violoncello)&P5(Contrabass),P3(Violin 1)&P4(Viola)&P3(Violoncello)&P3(Contrabass),P6(Violin 1)&P4(Violin 2)&P2(Violoncello)&P2(Contrabass),P5(Violin 1)&P3(Violin 2)&P2(Viola)&P8(Contrabass),P5(Violin 1)&P3(Violin 2)&P2(Viola)&P8(Violoncello)
230.5,240.5,Main Part,,P8(Bb Clarinet 2),,,P8(Oboe 1),,,,,U(Main),,,P8(Contrabass),P8(Violoncello)
240.5,243.5,P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&U(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P5(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(Main)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P5(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(C Horn 1)&P5(C Horn 2)&P5(Main)&P5(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(C Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(C Horn 1)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),Main Part,P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),,P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Main)&P8(Violin 2)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)
