qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,2.75,F#6,r,F#5,r,r,r,F#4,r,r,r,r,r,r,F#5,F#4,r,r,r
0.5,0.1136,2,1.0,G6,r,G5,r,r,r,G4,r,r,r,r,r,r,G5,G4,r,r,r
2.0,0.4545,2,1.75,C#5,C#5,C#5,C#5,r,r,C#3,C#3,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
2.5,0.5682,2,2.0,C#5,C#5,C#5,C#5,r,r,C#3,C#3,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
4.0,0.9091,2,2.75,B4,B4,B4,B4,r,r,B2,B2,r,r,r,r,r,B3,B3,B3,B2,B1
4.25,0.9659,2,2.875,C#5,C#5,C#5,C#5,r,r,C#3,C#3,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
4.5,1.0227,3,1.0,E5,E5,E5,E5,r,r,E3,E3,r,r,r,r,r,E4,E4,E4,E3,E2
5.5,1.25,3,1.5,A4,A4,A4,A4,r,r,A2,A2,r,r,r,r,r,A3,A3,A3,A2,A1
7.5,1.7045,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,G4,G4,r
8.0,1.8182,3,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,G4,G4,r
8.5,1.9318,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F#4,F#4,r
9.0,2.0455,4,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,F#4,F#4,r
9.5,2.1591,4,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,F#4,F#4,r
10.0,2.2727,4,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,F#4,F#4,r
10.5,2.3864,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,A4,C#4,C#4,r
11.0,2.5,4,2.25,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,C#4,C#4,r
11.5,2.6136,4,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,A4,C#4,C#4,r
12.0,2.7273,4,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,A4,C#4,C#4,r
12.5,2.8409,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,D4,D4,r
13.0,2.9545,5,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,D4,D4,r
13.5,3.0682,5,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,F#4,D4,D4,r
14.0,3.1818,5,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,F#4,D4,D4,r
