qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Bass Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
1.0,0.2273,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,A3,A3,A2,A1
2.0,0.4545,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,C#4,C#4,C#3,C#2
3.0,0.6818,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
4.0,0.9091,2,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
5.0,1.1364,2,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,E3,E2
6.0,1.3636,3,1.0,D6,D6,D5,D5,D5,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
7.0,1.5909,3,2.0,D6,D6,D5,D5,D5,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
8.0,1.8182,3,3.0,D6,D6,D5,D5,D5,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,G2
9.0,2.0455,4,1.0,A5,A5,A5,A5,C5,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,E3,E2
10.0,2.2727,4,2.0,A5,A5,A5,A5,C5,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
10.5,2.3864,4,2.5,G5,G5,G5,G5,G4,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
11.0,2.5,4,3.0,F5,F5,F5,F5,F4,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
11.5,2.6136,4,3.5,E5,E5,E5,E5,E4,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
12.0,2.7273,5,1.0,D5,D5,D5,D5,D4,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,B-3,B-2,B-1
13.0,2.9545,5,2.0,D5,D5,D5,D5,D4,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
14.0,3.1818,5,3.0,E5,E5,E5,E5,E4,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,G2
15.0,3.4091,6,1.0,F5,F5,F5,F5,F4,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
16.0,3.6364,6,2.0,D5,D5,D5,D5,D4,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
