qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
344.0,222.5092,88,2.0,E6,r,E5,r,A4,r,A3,r,r,E5,r,r,r,r,r,r,r,r,r,A4,A3,D4,F3,F2
344.5,222.7175,88,2.5,F6,r,F5,r,A4,r,A3,r,r,F5,r,r,r,r,r,r,r,r,r,A4,A3,D4,F3,F2
345.0,222.9259,88,3.0,E6,r,E5,r,A4,r,A3,r,r,E5,r,r,r,r,r,r,r,r,r,A4,D4,F3,r,r
346.0,223.3425,88,4.0,D6,r,D5,r,A4,r,A3,r,r,D5,r,r,r,r,r,r,r,r,r,D5,D4,A3,F2,F1
347.0,223.7592,89,1.0,D6,B5,D5,B4,G#4,r,G#3,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,E2,E1
348.0,224.1759,89,2.0,E6,B5,E5,B4,G#4,r,G#3,r,r,E5,r,r,r,r,r,r,r,r,r,B4,G#4,B3,r,E2
348.5,224.3842,89,2.5,F6,B5,F5,B4,G#4,r,G#3,r,r,F5,r,r,r,r,r,r,r,r,r,B4,G#4,B3,D2,D2
349.0,224.5925,89,3.0,E6,A5,E5,A4,A4,r,A3,r,r,E5,r,r,r,r,r,r,r,r,r,E5,A4,A3,C2,C2
350.0,225.0092,89,4.0,B5,G#5,B4,G#4,B4,r,E3,r,r,B4,r,r,r,r,r,r,r,r,r,B4,G#4,B3,E2,E2
351.0,225.4259,90,1.0,C6,A5,C5,A4,E4,r,A3,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
352.0,225.8425,90,2.0,C6,A5,C5,A4,E4,r,A3,r,r,C5,r,r,r,r,r,r,r,r,C3,C5,A4,C4,A3,A2
353.0,226.2592,90,3.0,A6,C6,A5,C5,C5,A4,F3,F2,r,C5,C4,A4,A4,r,r,r,r,r,C3,A5,F5,A4,F2,F1
354.0,226.6759,90,4.0,A6,C6,A5,C5,C5,A4,F3,F2,r,C5,C4,A4,A4,r,r,r,r,r,C3,C5,A4,C4,F3,F2
355.0,227.0925,91,1.0,G6,B5,G5,B4,D5,B4,F3,F2,r,D5,G4,G4,G4,r,r,r,r,r,G2,G5,G5,B4,r,r
356.0,227.5092,91,2.0,D6,B5,D5,B4,D5,B4,F3,F2,r,D5,G4,r,r,r,r,r,r,r,G2,A4,r,G3,F3,F2
356.5,227.7175,91,2.5,E6,C6,E5,C5,E5,C5,E3,E2,r,E5,C5,r,r,r,r,r,r,r,G2,A4,C5,G4,E3,E2
357.0,227.9259,91,3.0,F6,C6,F5,C5,F5,A4,D3,D2,r,F5,D5,r,r,r,r,r,r,r,r,F5,C5,A4,D3,D2
358.0,228.3425,91,4.0,G6,B5,G5,B4,D5,B4,G3,G2,r,D5,G4,r,r,r,r,r,r,r,G2,D5,B4,G4,G3,G2
358.5,228.5509,91,4.5,D6,B5,D5,B4,D5,B4,G3,G2,r,D5,G4,r,r,r,r,r,r,r,G2,D5,B4,G4,G3,G2
359.0,228.7592,92,1.0,E6,C6,E5,C5,E5,G4,C3,C3,r,E5,C5,r,r,r,r,r,r,r,C3,E5,C5,G4,C3,C2
360.0,229.1759,92,2.0,D6,F#5,D5,F#4,A4,F#4,D3,D3,r,D5,C5,r,r,r,r,r,r,r,C3,D5,A4,F#4,D3,D2
360.5,229.3842,92,2.5,A5,F#5,A4,F#4,A4,F#4,D3,D3,r,D5,C5,r,r,r,r,r,r,r,C3,D5,A4,F#4,D3,D2
361.0,229.5925,92,3.0,B5,G5,B4,G4,B4,G4,G2,G2,r,D5,G4,r,r,r,r,r,r,r,r,D5,B4,G4,G2,G1
362.0,230.0092,92,4.0,G5,G5,G4,G4,G4,G4,G3,G2,r,G4,G4,r,r,r,r,r,r,r,G2,G4,G4,G3,G3,G2
363.0,230.4259,93,1.0,A5,A5,A4,A4,A4,A4,G3,G2,r,A4,A4,r,r,r,r,r,r,r,r,r,r,r,r,r
364.0,230.8425,93,2.0,A5,A5,A4,A4,A4,A4,F3,F2,r,A4,A4,r,r,r,r,r,r,r,r,r,r,r,F3,F2
364.5,231.0509,93,2.5,A5,A5,A4,A4,A4,A4,E3,E2,r,A4,A4,r,r,r,r,r,r,r,r,r,r,r,E3,E2
365.0,231.2592,93,3.0,F6,A5,F5,A4,F5,A4,D3,D2,r,F5,A4,r,r,r,r,r,r,r,r,r,r,r,D3,D2
365.5,231.4675,93,3.5,F6,B5,F5,B4,F5,B4,D3,D2,r,F5,B4,r,r,r,r,r,r,r,r,r,r,r,D3,D2
366.0,231.6759,93,4.0,E6,C6,E5,C5,E5,C5,E3,E2,r,E5,C5,r,r,r,r,r,r,r,r,G5,G4,G4,E3,E2
367.0,232.0925,94,1.0,E6,C6,E5,C5,E5,C5,F3,F2,r,E5,C5,r,r,r,r,r,r,r,r,A5,A4,A4,F3,F2
368.0,232.5092,94,2.0,D6,A5,D5,A4,D5,A4,A3,F2,r,D5,A4,r,r,r,r,r,r,r,r,A5,A5,A4,r,r
368.5,232.7175,94,2.5,C6,A5,C5,A4,C5,A4,C4,F2,r,D5,A4,r,r,r,r,r,r,r,r,A5,A5,A4,r,r
369.0,232.9259,94,3.0,B5,B5,B4,B4,B4,B-4,B3,G2,r,r,G4,r,r,r,r,r,r,r,r,F6,A5,A4,G3,G2
370.0,233.3425,94,4.0,B5,B5,B4,B4,B4,B-4,B3,G2,r,G5,G4,G4,G3,G4,G4,r,r,r,G2,E6,G5,E5,r,r
370.5,233.5509,94,4.5,B5,B5,B4,B4,B4,B-4,B3,G2,r,G5,G4,G4,G3,G4,G4,r,r,r,G2,D6,F5,D5,r,r
371.0,233.7592,95,1.0,C6,C6,E5,C5,E5,C5,C3,C2,C2,C5,E4,G4,G3,C5,E4,r,r,r,C3,C6,E5,C5,C3,C2
371.5,233.9675,95,1.5,C6,C6,E5,C5,E5,C5,C4,C3,C3,C5,E4,G4,G3,C5,E4,r,r,r,C3,C6,E5,C5,C4,C3
372.0,234.1759,95,2.0,C6,C6,E5,C5,E5,C5,C4,C3,C3,C5,E4,G4,G3,C5,E4,r,r,r,C3,C6,E5,C5,C4,C3
372.5,234.3842,95,2.5,C6,C6,E5,C5,E5,C5,C4,C3,C3,C5,E4,G4,G3,C5,E4,r,r,r,C3,C6,E5,C5,C4,C3
373.0,234.5925,95,3.0,B5,B5,D5,B4,D5,B4,C4,C3,C3,D5,G4,G4,G3,D5,G4,r,r,r,r,B5,D5,B4,C4,C3
373.5,234.8009,95,3.5,B5,B5,D5,B4,D5,B4,C4,C3,C3,D5,G4,G4,G3,D5,G4,r,r,r,r,B5,D5,B4,C4,C3
374.0,235.0092,95,4.0,C6,C6,E5,C5,E5,C5,C4,C3,C3,E5,C5,G4,G3,E5,C5,r,r,r,C3,C6,E5,C5,C4,C3
374.5,235.2175,95,4.5,C6,C6,E5,C5,E5,C5,C4,C3,C3,E5,C5,G4,G3,E5,C5,r,r,r,C3,C6,E5,C5,C4,C3
375.0,235.4259,96,1.0,C6,C6,F5,D5,F5,A4,C3,C2,C2,F5,C4,A4,r,C5,C4,r,r,r,C3,A5,F5,A4,C3,C2
375.5,235.6342,96,1.5,C6,C6,F5,D5,F5,A4,C4,C3,C3,F5,C4,A4,r,C5,C4,r,r,r,C3,A5,F5,A4,C4,C3
376.0,235.8425,96,2.0,C6,C6,F5,D5,F5,A4,C4,C3,C3,F5,C4,A4,r,C5,C4,r,r,r,C3,A5,F5,A4,C4,C3
376.5,236.0509,96,2.5,C6,C6,F5,D5,F5,A4,C4,C3,C3,F5,C4,A4,r,C5,C4,r,r,r,C3,A5,F5,A4,C4,C3
377.0,236.2592,96,3.0,C6,C6,E5,C5,E5,G4,C4,C3,C3,E5,C4,G4,r,C5,C4,r,r,r,r,G5,E5,C5,C4,C3
377.5,236.4675,96,3.5,C6,C6,E5,C5,E5,G4,r,r,C2,E5,C4,G4,r,C5,C4,r,r,r,r,C6,E5,C5,C3,C2
378.0,236.6759,96,4.0,r,r,r,r,r,r,r,r,D2,r,r,r,r,r,r,r,r,r,r,B5,F5,B4,D3,D2
378.5,236.8842,96,4.5,r,r,r,r,r,r,r,r,E2,r,r,r,r,r,r,r,r,r,r,C6,G5,C5,E3,E2
379.0,237.0925,97,1.0,r,r,r,r,r,r,r,r,F2,r,r,r,r,r,r,r,r,r,r,A5,C5,A4,F3,F2
379.5,237.3009,97,1.5,r,r,r,r,r,r,r,r,G2,r,r,r,r,r,r,r,r,r,r,G5,B4,G4,G3,G2
380.0,237.5092,97,2.0,r,r,r,r,r,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,F5,C5,F4,A3,A2
380.5,237.7175,97,2.5,r,r,r,r,r,r,r,r,B2,r,r,r,r,r,r,r,r,r,r,G5,D5,G4,B3,B2
381.0,237.9259,97,3.0,r,r,r,r,r,r,r,r,C3,r,r,r,r,r,r,r,r,r,r,E5,G4,E4,C4,C3
381.5,238.1342,97,3.5,r,r,r,r,r,r,r,r,D3,r,r,r,r,r,r,r,r,r,r,D5,F#4,F#4,D4,D3
382.0,238.3425,97,4.0,r,r,r,r,r,r,r,r,E3,r,r,r,r,r,r,r,r,r,r,C5,G4,G4,E4,E3
382.5,238.5509,97,4.5,r,r,r,r,r,r,r,r,F#3,r,r,r,r,r,r,r,r,r,r,D5,A4,A4,F#4,F#3
383.0,238.7592,98,1.0,r,r,r,r,r,r,r,r,G3,r,r,r,r,r,r,r,r,r,r,G4,G4,B4,G4,G3
384.0,239.1759,98,2.0,r,r,r,r,r,r,A3,F#3,C3,r,r,r,r,r,r,r,r,r,r,E-5,E-4,A4,C4,C3
385.0,239.5925,98,3.0,r,r,r,r,r,r,A3,F#3,E-2,r,r,r,r,r,r,r,r,r,r,C6,F#5,A4,E-3,E-2
386.0,240.0092,98,4.0,A5,A5,G5,B4,D5,B4,A3,F#3,G2,G4,G3,r,r,G4,G4,r,r,r,G2,G5,G5,B4,G3,G2
387.0,240.4259,99,1.0,E6,C6,E5,C5,E5,C5,C3,C2,C2,C5,C4,E4,E3,E5,E4,r,r,r,C3,E6,C6,G4,C3,C2
387.5,240.6342,99,1.5,E6,C6,E5,C5,E5,C5,C4,C3,C3,C5,C4,E4,E3,E5,E4,r,r,r,C3,E6,C6,G4,C4,C3
388.0,240.8425,99,2.0,E6,C6,E5,C5,E5,C5,C4,C3,C3,E5,E4,E4,E3,E5,E4,r,r,r,C3,E6,C6,G4,C4,C3
388.5,241.0509,99,2.5,E6,C6,E5,C5,E5,C5,C4,C3,C3,E5,E4,E4,E3,E5,E4,r,r,r,C3,E6,C6,G4,C4,C3
389.0,241.2592,99,3.0,D6,B5,D5,B4,D5,B4,A2,A2,A1,E5,E4,E4,E3,E5,E4,r,r,r,r,D6,B5,B4,A2,A1
389.5,241.4675,99,3.5,D6,B5,D5,B4,D5,B4,A3,A3,A2,E5,E4,E4,E3,E5,E4,r,r,r,r,D6,B5,B4,A3,A2
390.0,241.6759,99,4.0,E6,C6,E5,C5,E5,C5,A3,A3,A2,E5,E4,E4,E3,E5,E4,r,r,r,C3,E6,C6,C5,A3,A2
390.5,241.8842,99,4.5,E6,C6,E5,C5,E5,C5,A3,A3,A2,E5,E4,E4,E3,E5,E4,r,r,r,C3,E6,C6,C5,A3,A2
391.0,242.0925,100,1.0,F#6,E-6,F#5,E-5,A5,E-5,E2,E2,E1,C5,E4,A4,E3,E5,E4,r,r,r,C3,F#6,E-5,C5,E2,E1
391.5,242.3009,100,1.5,F#6,E-6,F#5,E-5,A5,E-5,E3,E3,E2,C5,E4,A4,E3,E5,E4,r,r,r,C3,F#6,E-5,C5,E3,E2
392.0,242.5092,100,2.0,F#6,E-6,F#5,E-5,A5,E-5,E3,E3,E2,C5,E4,A4,E3,E5,E4,r,r,r,C3,F#6,E-5,C5,E3,E2
392.5,242.7175,100,2.5,F#6,E-6,F#5,E-5,A5,E-5,E3,E3,E2,C5,E4,A4,E3,E5,E4,r,r,r,C3,F#6,E-5,C5,E3,E2
393.0,242.9259,100,3.0,G6,E6,G5,E5,G5,E5,E3,E3,E2,E5,E4,G4,E3,E5,E4,r,r,r,r,G6,E5,B4,E3,E2
393.5,243.1342,100,3.5,G6,E6,G5,E5,G5,E5,E3,E3,E3,E5,E4,G4,E3,E5,E4,r,r,r,r,G4,B3,E5,E4,E3
394.0,243.3425,100,4.0,r,r,r,r,r,r,r,r,E-3,r,r,r,r,r,r,r,r,r,r,F#4,B3,E-5,E-4,E-3
394.5,243.5509,100,4.5,r,r,r,r,r,r,r,r,E3,r,r,r,r,r,r,r,r,r,r,G4,B3,E5,E4,E3
395.0,243.7592,101,1.0,r,r,r,r,r,r,r,r,G2,r,r,r,r,r,r,r,r,r,r,B4,E4,G4,G3,G2
395.5,243.9675,101,1.5,r,r,r,r,r,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,C5,E4,A4,A3,A2
396.0,244.1759,101,2.0,r,r,r,r,r,r,r,r,G#2,r,r,r,r,r,r,r,r,r,r,B4,E4,G#4,G#3,G#2
396.5,244.3842,101,2.5,r,r,r,r,r,r,r,r,A2,r,r,r,r,r,r,r,r,r,r,C5,E4,A4,A3,A2
397.0,244.5925,101,3.0,r,r,r,r,r,r,r,r,C2,r,r,r,r,r,r,r,r,r,r,E5,A4,C4,C3,C2
397.5,244.8009,101,3.5,r,r,r,r,r,r,r,r,E2,r,r,r,r,r,r,r,r,r,r,F#5,C5,E4,E3,E2
398.0,245.0092,101,4.0,r,r,r,r,r,r,r,r,C2,r,r,r,r,r,r,r,r,r,r,E5,C5,C4,C3,C2
398.5,245.2175,101,4.5,r,r,r,r,r,r,r,r,A1,r,r,r,r,r,r,r,r,r,r,F#5,C5,A3,A2,A1
399.0,245.4259,102,1.0,r,r,r,r,r,r,r,r,E1,r,r,r,r,r,r,r,r,r,r,G5,B4,E3,E2,E1
400.0,245.8425,102,2.0,r,r,r,r,r,r,E4,E3,E3,G5,B-4,r,r,r,r,r,r,r,r,C#5,B-4,E4,E4,E3
401.0,246.2592,102,3.0,r,r,r,r,r,r,C#3,C#2,C#2,G5,E5,r,r,r,r,r,r,r,r,B-5,E5,E4,C#3,C#2
402.0,246.6759,102,4.0,A5,F5,A4,F4,D5,A4,F3,F3,F2,F5,D5,A4,D4,D5,D5,r,r,r,r,A5,A4,A4,F3,F2
403.0,247.0925,103,1.0,A6,F6,A5,F5,A5,D5,F2,F2,F1,F5,D5,A4,D4,D5,D5,r,r,r,r,A6,A5,A4,F2,F1
403.5,247.3009,103,1.5,A6,F6,A5,F5,A5,D5,A2,A2,A1,F5,D5,A4,D4,D5,D5,r,r,r,r,A6,A5,A4,A2,A1
404.0,247.5092,103,2.0,A6,F6,A5,F5,A5,D5,D3,D3,D2,F5,D5,A4,D4,D5,D5,r,r,r,r,A6,A5,A4,D3,D2
404.5,247.7175,103,2.5,A6,F6,A5,F5,A5,D5,D3,D3,D2,F5,D5,A4,D4,D5,D5,r,r,r,r,F6,F5,A4,D3,D2
405.0,247.9259,103,3.0,A6,F6,A5,F5,A5,D5,D3,D3,D2,F5,D5,A4,D4,D5,D5,r,r,r,r,D6,D5,A4,D3,D2
405.5,248.1342,103,3.5,A6,F6,A5,F5,A5,D5,F3,F3,F2,F5,D5,A4,D4,D5,D5,r,r,r,r,D6,D5,A4,F3,F2
406.0,248.3425,103,4.0,A6,F6,A5,F5,A5,D5,A3,A3,A2,F5,D5,A4,D4,D5,D5,r,r,r,r,D6,D5,A4,A3,A2
406.5,248.5509,103,4.5,A6,F6,A5,F5,A5,D5,A3,A3,A2,F5,D5,A4,D4,D5,D5,r,r,r,r,A5,A4,A4,A3,A2
407.0,248.7592,104,1.0,A6,F6,A5,F5,A5,D5,A3,A3,A2,F5,D5,A4,D4,D5,D5,r,r,r,r,F5,F4,A4,A3,A2
407.5,248.9675,104,1.5,A6,F6,A5,F5,A5,D5,D4,D4,D3,F5,D5,A4,D4,D5,D5,r,r,r,r,F5,F4,A4,D4,D3
408.0,249.1759,104,2.0,A6,F6,A5,F5,A5,D5,F4,F4,F3,F5,D5,A4,D4,D5,D5,r,r,r,r,F5,F4,A4,F4,F3
408.5,249.3842,104,2.5,A6,F6,A5,F5,A5,D5,F4,F4,F3,F5,D5,A4,D4,D5,D5,r,r,r,r,D5,D4,A4,F4,F3
409.0,249.5925,104,3.0,A6,F6,A5,F5,A5,D5,F4,F4,F3,F5,D5,A4,D4,D5,D5,r,r,r,r,A4,A3,A4,F4,F3
410.0,250.0092,104,4.0,A6,F6,A5,F5,A5,D5,F2,F2,F1,D5,D5,A4,D4,D5,D5,r,r,r,r,A6,A5,A4,F2,F1
411.0,250.4259,105,1.0,A6,C6,A5,C5,A5,C5,E2,E2,E1,E5,C5,A4,E4,C5,C5,r,r,r,r,A6,A5,A4,E2,E1
411.5,250.6342,105,1.5,A6,C6,A5,C5,A5,C5,A2,A2,A1,E5,C5,A4,E4,C5,C5,r,r,r,r,A6,A5,A4,A2,A1
412.0,250.8425,105,2.0,A6,C6,A5,C5,A5,C5,C3,C3,C2,E5,C5,A4,E4,C5,E4,r,r,r,r,A6,A5,A4,C3,C2
412.5,251.0509,105,2.5,A6,C6,A5,C5,A5,C5,C3,C3,C2,E5,C5,A4,E4,C5,E4,r,r,r,r,E6,E5,A4,C3,C2
413.0,251.2592,105,3.0,A6,C6,A5,C5,A5,C5,C3,C3,C2,E5,C5,A4,E4,C5,E4,r,r,r,r,C6,C5,A4,C3,C2
413.5,251.4675,105,3.5,A6,C6,A5,C5,A5,C5,E3,E3,E2,E5,C5,A4,E4,C5,E4,r,r,r,r,C6,C5,A4,E3,E2
414.0,251.6759,105,4.0,A6,C6,A5,C5,A5,C5,A3,A3,A2,E5,C5,A4,E4,C5,E4,r,r,r,r,C6,C5,A4,A3,A2
414.5,251.8842,105,4.5,A6,C6,A5,C5,A5,C5,A3,A3,A2,E5,C5,A4,E4,C5,E4,r,r,r,r,A5,A4,A4,A3,A2
415.0,252.0925,106,1.0,A6,C6,A5,C5,A5,C5,A3,A3,A2,E5,C5,A4,E4,C5,E4,r,r,r,r,E5,E4,A4,A3,A2
415.5,252.3009,106,1.5,A6,C6,A5,C5,A5,C5,C4,C4,C3,E5,C5,A4,E4,C5,E4,r,r,r,r,E5,E4,A4,C4,C3
416.0,252.5092,106,2.0,A6,C6,A5,C5,A5,C5,E4,E4,E3,E5,C5,A4,E4,C5,E4,r,r,r,r,E5,E4,A4,E4,E3
416.5,252.7175,106,2.5,A6,C6,A5,C5,A5,C5,E4,E4,E3,E5,C5,A4,E4,C5,E4,r,r,r,r,C5,C4,A4,E4,E3
417.0,252.9259,106,3.0,A6,C6,A5,C5,C5,A4,E4,E4,E3,E5,C5,A4,E4,C5,E4,r,r,r,r,A4,A3,A4,E4,E3
418.0,253.3425,106,4.0,A6,C6,A5,C5,C5,A4,E3,E3,E2,E5,C5,A4,E4,C5,C5,r,r,r,C3,A6,A5,A4,E3,E2
419.0,253.7592,107,1.0,A6,F#6,A5,F#5,C5,A4,D2,D2,D2,D5,C5,A4,F#4,D5,C5,r,r,r,r,A6,A5,A4,D2,D2
420.0,254.1759,107,2.0,r,r,r,r,r,r,D3,D3,D2,r,r,r,r,r,r,r,r,r,r,r,r,D4,D3,D2
420.25,254.28,107,2.25,r,r,r,r,r,r,E3,E3,E2,r,r,r,r,r,r,r,r,r,r,r,r,E4,E3,E2
420.5,254.3842,107,2.5,r,r,r,r,r,r,F#3,F#3,F#2,r,r,r,r,r,r,r,r,r,r,r,r,F#4,F#3,F#2
420.75,254.4884,107,2.75,r,r,r,r,r,r,G3,G3,G2,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G2
421.0,254.5925,107,3.0,r,r,r,r,r,r,F#3,F#3,F#2,r,r,r,r,r,r,r,r,r,r,r,r,F#4,F#3,F#2
421.25,254.6967,107,3.25,r,r,r,r,r,r,G3,G3,G2,r,r,r,r,r,r,r,r,r,r,r,r,G4,G3,G2
421.5,254.8009,107,3.5,r,r,r,r,r,r,A3,A3,A2,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A2
421.75,254.905,107,3.75,r,r,r,r,r,r,B3,B3,B2,r,r,r,r,r,r,r,r,r,r,r,r,B4,B3,B2
422.0,255.0092,107,4.0,D6,D6,F#5,C5,D5,D5,A3,A3,A2,D5,D5,A4,F#4,r,r,r,r,r,r,D6,F#5,A4,A3,A2
422.25,255.1134,107,4.25,C6,C6,F#5,C5,C5,C5,B3,B3,B2,D5,D5,A4,F#4,r,r,r,r,r,r,C6,F#5,B4,B3,B2
422.5,255.2175,107,4.5,B5,B5,F#5,C5,B4,B4,C4,C4,C3,D5,D5,A4,F#4,r,r,r,r,r,r,B5,F#5,C5,C4,C3
422.75,255.3217,107,4.75,A5,A5,F#5,C5,A4,A4,D4,D4,D3,D5,D5,A4,F#4,r,r,r,r,r,r,A5,F#5,D5,D4,D3
423.0,255.4259,108,1.0,B5,B5,G5,B4,D5,B4,G3,G3,G2,D5,G4,B4,G4,r,r,r,r,r,r,B5,G5,B4,G3,G2
424.0,255.8425,108,2.0,C6,C6,E5,C5,C5,A4,C3,C2,C2,E5,C5,A4,E4,r,r,r,r,r,r,C6,E5,A4,C3,C2
425.0,256.2592,108,3.0,A5,A5,F#5,A4,A4,F#4,D3,D2,D2,D5,D5,A4,F#4,r,r,r,r,r,r,A5,F#5,A4,D3,D2
426.0,256.6759,108,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,r,D4,r,r
426.25,256.78,108,4.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,C4,r,r
426.5,256.8842,108,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,r,B3,r,r
426.75,256.9884,108,4.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,r,A3,r,r
427.0,257.0925,109,1.0,r,r,r,r,r,r,G3,G2,G2,r,r,r,r,r,r,r,r,r,r,B3,r,B3,G3,G2
427.25,257.1967,109,1.25,r,r,r,r,r,r,F#3,F#2,F#2,r,r,r,r,r,r,r,r,r,r,B3,r,B3,F#3,F#2
427.5,257.3009,109,1.5,r,r,r,r,r,r,E3,E2,E2,r,r,r,r,r,r,r,r,r,r,B3,r,B3,E3,E2
427.75,257.405,109,1.75,r,r,r,r,r,r,E-3,E-2,E-2,r,r,r,r,r,r,r,r,r,r,B3,r,B3,E-3,E-2
428.0,257.5092,109,2.0,r,r,r,r,C5,G4,E3,E2,E2,r,r,r,r,r,r,r,r,r,r,C4,C5,C5,E3,E2
428.25,257.6134,109,2.25,r,r,r,r,C5,G4,E3,E2,E2,r,r,r,r,r,r,r,r,r,r,C4,B4,C5,E3,E2
428.5,257.7175,109,2.5,r,r,r,r,C5,G4,E3,E2,E2,r,r,r,r,r,r,r,r,r,r,C4,A4,C5,E3,E2
428.75,257.8217,109,2.75,r,r,r,r,C5,G4,E3,E2,E2,r,r,r,r,r,r,r,r,r,r,C4,G#4,C5,E3,E2
429.0,257.9259,109,3.0,r,r,r,r,A4,F#4,F#3,F#2,F#2,r,r,r,r,r,r,r,r,r,r,A3,A4,A4,F#3,F#2
430.0,258.3425,109,4.0,B5,B5,F#5,B4,B4,B4,E-3,E-2,E-2,r,r,A4,F#4,r,r,r,r,r,r,B5,B4,A4,E-3,E-2
430.25,258.4467,109,4.25,A5,A5,F#5,B4,A4,A4,E-3,E-2,E-2,r,r,A4,F#4,r,r,r,r,r,r,A5,B4,A4,E-3,E-2
430.5,258.5509,109,4.5,G5,G5,F#5,B4,G4,G4,E-3,E-2,E-2,r,r,A4,F#4,r,r,r,r,r,r,G5,B4,A4,E-3,E-2
430.75,258.655,109,4.75,F#5,F#5,F#5,B4,F#4,F#4,E-3,E-2,E-2,r,r,A4,F#4,r,r,r,r,r,r,F#5,B4,A4,E-3,E-2
431.0,258.7592,110,1.0,G5,G5,G5,B4,B4,G4,E3,E2,E2,r,r,G4,E4,r,r,r,r,r,r,G5,B4,B3,E3,E2
432.0,259.1759,110,2.0,A5,A5,A5,C#5,E5,G4,A3,A3,A2,r,r,G4,E4,r,r,r,r,r,r,A5,C#5,A4,A3,A2
432.25,259.28,110,2.25,A5,A5,A5,C#5,E5,G4,G3,G3,G2,r,r,G4,E4,r,r,r,r,r,r,A5,C#5,A4,G3,G2
432.5,259.3842,110,2.5,A5,A5,A5,C#5,E5,G4,F#3,F#3,F#2,r,r,G4,E4,r,r,r,r,r,r,A5,C#5,A4,F#3,F#2
432.75,259.4884,110,2.75,A5,A5,A5,C#5,E5,G4,E3,E3,E2,r,r,G4,E4,r,r,r,r,r,r,A5,C#5,A4,E3,E2
433.0,259.5925,110,3.0,D5,D5,D5,D5,A4,F#4,F#3,F#3,F#2,r,r,F#4,D4,r,r,r,r,r,r,D5,D5,A4,F#3,F#2
433.25,259.6967,110,3.25,D5,D5,D5,D5,A4,F#4,E3,E3,E2,r,r,F#4,D4,r,r,r,r,r,r,D5,D5,A4,E3,E2
433.5,259.8009,110,3.5,D5,D5,D5,D5,A4,F#4,D3,D3,D2,r,r,F#4,D4,r,r,r,r,r,r,D5,D5,A4,D3,D2
433.75,259.905,110,3.75,D5,D5,D5,D5,A4,F#4,C#3,C#3,C#2,r,r,F#4,D4,r,r,r,r,r,r,D5,D5,A4,C#3,C#2
434.0,260.0092,110,4.0,r,r,r,r,r,r,D3,D3,D2,r,r,r,r,r,r,r,r,r,r,r,D4,r,D3,D2
434.25,260.1134,110,4.25,r,r,r,r,r,r,C3,C3,C2,r,r,r,r,r,r,r,r,r,r,r,C4,r,C3,C2
434.5,260.2175,110,4.5,r,r,r,r,r,r,B2,B2,B1,r,r,r,r,r,r,r,r,r,r,r,B3,r,B2,B1
434.75,260.3217,110,4.75,r,r,r,r,r,r,A2,A2,A1,r,r,r,r,r,r,r,r,r,r,r,A3,r,A2,A1
435.0,260.4259,111,1.0,r,r,r,r,G4,D4,B2,B2,B1,r,r,r,r,r,r,r,r,r,r,G4,B3,D4,B2,B1
435.25,260.53,111,1.25,r,r,r,r,G4,D4,B2,B2,B1,r,r,r,r,r,r,r,r,r,r,F#4,B3,D4,B2,B1
435.5,260.6342,111,1.5,r,r,r,r,G4,D4,B2,B2,B1,r,r,r,r,r,r,r,r,r,r,E4,B3,D4,B2,B1
435.75,260.7384,111,1.75,r,r,r,r,G4,D4,B2,B2,B1,r,r,r,r,r,r,r,r,r,r,E-4,B3,D4,B2,B1
436.0,260.8425,111,2.0,r,r,C5,G4,E4,C4,C3,C3,C2,r,r,E4,E4,r,r,r,r,r,r,E4,C5,C4,C3,C2
436.25,260.9467,111,2.25,r,r,C5,G4,E4,C4,C3,C3,C2,r,r,E4,E4,r,r,r,r,r,r,E4,B4,C4,C3,C2
436.5,261.0509,111,2.5,r,r,C5,G4,E4,C4,C3,C3,C2,r,r,E4,E4,r,r,r,r,r,r,E4,A4,C4,C3,C2
436.75,261.155,111,2.75,r,r,C5,G4,E4,C4,C3,C3,C2,r,r,E4,E4,r,r,r,r,r,r,E4,G#4,C4,C3,C2
437.0,261.2592,111,3.0,F#6,C6,A4,F#4,C5,E4,A3,A2,A1,r,r,F#4,F#4,r,r,r,r,r,r,F#5,A4,C5,A2,A1
437.25,261.3634,111,3.25,F#6,C6,A4,F#4,C5,E4,A3,A2,A1,r,r,F#4,F#4,r,r,r,r,r,r,E5,A4,C5,A2,A1
