qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
32.5,34.5,"P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)&P3(Contrabass)","P4(Flute 1)&P4(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)&P6(Contrabass)","P8(Flute 1)&P4(Flute 2)&P4(Oboe 2)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)&P3(Contrabass)","P4(Flute 1)&P8(Flute 2)&P4(Oboe 1)&P6(Bb Clarinet)&P4(Bb Clarinet 2)&P4(Eb Horn 1)&P4(Eb Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(C, G Timpani)&P6(Contrabass)","P3(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&P3(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(C, G Timpani)&P8(Contrabass)","P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(C, G Timpani)&P3(Contrabass)",U(Bassoon 2)&U(Violoncello),U(Bassoon 1)&U(Violoncello),"P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&U(Eb Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)&P3(Contrabass)","P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&U(Eb Horn 1)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(C, G Timpani)&P3(Contrabass)","P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&U(Eb Horn 1)&U(Eb Horn 2)&P8(C Trumpet 2)&P8(C, G Timpani)&P3(Contrabass)","P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet)&U(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(C Trumpet 1)&P8(C, G Timpani)&P3(Contrabass)",P8(Flute 1)&P4(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P3(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Contrabass),,Main Part,,U(Bassoon 1)&U(Bassoon 2),"P3(Flute 1)&P6(Flute 2)&P3(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet)&P3(Bb Clarinet 2)&P3(Eb Horn 1)&P3(Eb Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(C, G Timpani)"
34.5,42.5,P8(Violin 1),P8(Oboe 2),,P8(Flute 2),,,U(Bassoon 2)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&U(Violoncello)&P8(Contrabass),P8(Eb Horn 2),P8(Eb Horn 1),"P8(C Trumpet 2)&P8(C, G Timpani)","P8(C Trumpet 1)&P8(C, G Timpani)",P8(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 1),,Main Part,U(Bassoon 1)&U(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)
42.5,50.5,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Flute 2)&U(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&U(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&U(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 2)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Eb Horn 1)&P8(Main)&P8(Violoncello)&P8(Contrabass),,,,,,Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Main)&P8(Violoncello)
50.5,52.5,,,,,,,,,,,,,,Main Part,,,,
52.5,54.5,,,,,,,,,,,,,,Main Part,P4(Main)&P3(Viola),P2(Main)&P3(Violin 2),P8(Contrabass),P8(Violoncello)
54.5,56.5,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
56.5,58.5,,,,,,,,,,,,,,Main Part,,P5(Violoncello)&P5(Contrabass),P5(Viola)&P8(Contrabass),P5(Viola)&P8(Violoncello)
58.5,60.5,,,,,,,,,,,,,,,Main Part,,,
60.5,62.5,,,P3(Bb Clarinet)&P2(Eb Horn 1)&P2(Eb Horn 2)&P2(Violoncello)&P2(Contrabass),,P3(Oboe 1)&P4(Eb Horn 1)&P4(Eb Horn 2)&P4(Violoncello)&P4(Contrabass),,,,P2(Oboe 1)&P4(Bb Clarinet)&P8(Eb Horn 2)&P8(Violoncello)&P8(Contrabass),P2(Oboe 1)&P4(Bb Clarinet)&P8(Eb Horn 1)&P8(Violoncello)&P8(Contrabass),,,,P4(Main)&P2(Viola),Main Part,P2(Violin 1)&P3(Main),P2(Oboe 1)&P4(Bb Clarinet)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Contrabass),P2(Oboe 1)&P4(Bb Clarinet)&P8(Eb Horn 1)&P8(Eb Horn 2)&P8(Violoncello)
62.5,64.5,,,P3(Bb Clarinet),,P3(Oboe 1),,,,P8(Eb Horn 2),P8(Eb Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
