qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,English Horn,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,"B, D, E Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
212.0,218.0,"U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&U(Violin 1)&P5(Violoncello)&P5(Contrabass)","U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&U(Violin 1)&P5(Violoncello)&P5(Contrabass)","U(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&U(Violin 1)&P5(Violoncello)&P5(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&U(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P8(Violin 1)&P5(Violoncello)&P5(Contrabass)","U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&U(Violin 1)&P5(Violoncello)&P5(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P8(Violin 1)&P5(Violoncello)&P5(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&U(Bass Trombone)&P8(Tuba)&P5(B, D, E Timpani)&P5(Violin 1)&U(Violoncello)&P8(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&P8(Bass Trombone)&U(Tuba)&P5(B, D, E Timpani)&P5(Violin 1)&P8(Violoncello)&U(Contrabass)",,Main Part,U(Main),,,"P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P8(Violin 1)&P5(Violoncello)&P5(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&U(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P8(Violin 1)&P5(Violoncello)&P5(Contrabass)","P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&U(F Trumpet 2)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P8(Violin 1)&P5(Violoncello)&P5(Contrabass)","P4(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P4(Oboe 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P4(F Trumpet 1)&P4(F Trumpet 2)&P4(Tenor Trombone 1)&P2(Bass Trombone)&P2(Tuba)&P4(B, D, E Timpani)&P4(Violin 1)&P2(Violoncello)&P2(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&P8(Tuba)&P5(B, D, E Timpani)&P5(Violin 1)&U(Violoncello)&P8(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&P8(Bass Trombone)&P5(B, D, E Timpani)&P5(Violin 1)&P8(Violoncello)&U(Contrabass)",P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(Violin 1)&P5(Violoncello)&P5(Contrabass),"U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P4(Tenor Trombone 2)&P5(Bass Trombone)&P5(Tuba)&P8(B, D, E Timpani)&P5(Violoncello)&P5(Contrabass)",P8(Viola),P8(Violin 2),"P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&U(Bass Trombone)&P8(Tuba)&P5(B, D, E Timpani)&P5(Violin 1)&P8(Contrabass)","P5(Flute 1)&P5(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P5(A Clarinet 1)&P5(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P5(F Trumpet 1)&P5(F Trumpet 2)&P5(Tenor Trombone 1)&P2(Tenor Trombone 2)&P8(Bass Trombone)&U(Tuba)&P5(B, D, E Timpani)&P5(Violin 1)&P8(Violoncello)"
218.0,224.0,,,,,,,,,,,,,,,,,,,,,,Main Part,,,
224.0,236.0,P8(A Clarinet 1),,,,P8(Flute 1),,,,,,,,,,,,,,,,Main Part,P8(Main),,,
236.0,248.5,Main Part,P3(F Trumpet 1)&P3(F Trumpet 2),,,,,,,,,,P8(F Horn 4),P8(F Horn 3),P3(Flute 2)&P8(F Trumpet 2),P3(Flute 2)&P8(F Trumpet 1),,,,,,,,,,
248.5,254.5,U(Flute 2),U(Flute 1),,,,,P3(Viola),P5(F Horn 1),,P5(Bassoon 2)&P3(Main)&P3(F Trumpet 2),P3(Viola),,,Main Part,P3(F Horn 1)&P8(Main),P3(Tenor Trombone 2)&P8(Bass Trombone)&P5(Tuba),P3(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba),P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P5(Tuba),P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P5(Bass Trombone),,,,P3(Bassoon 1)&P3(F Horn 2),P8(Contrabass),P8(Violoncello)
254.5,272.5,,,,,,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
272.5,278.5,U(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Main)&P8(Violin 1),U(Flute 1)&P3(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P8(Main)&P8(Violin 1),P8(F Horn 1),P3(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Main)&P3(Violin 1),U(Flute 1)&U(Flute 2)&P3(Oboe 2)&P8(A Clarinet 2)&P8(Main)&P8(Violin 1),P8(Flute 1)&P8(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&U(Main)&P8(Violin 1),P8(Violoncello)&P8(Contrabass),,,P8(Oboe 1),"P8(B, D, E Timpani)",,,Main Part,P3(Tenor Trombone 1),P3(F Trumpet 2),,P8(Tuba),P8(Bass Trombone),P8(F Horn 2),P8(Flute 1)&P8(Flute 2)&P3(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P8(Main),,,P8(Bassoon 1)&P8(Contrabass),P8(Bassoon 1)&P8(Violoncello)
278.5,295.0,,,,,,,,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
295.0,298.0,P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Trumpet 2)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P8(Viola)&P3(Violoncello)&P3(Main),P8(Oboe 2)&P8(A Clarinet 2)&P8(F Horn 2),P8(Violin 1)&U(Violin 2),P8(Flute 2)&U(A Clarinet 2)&P8(F Horn 2),P8(Flute 1)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Trumpet 2)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P8(Viola)&P3(Violoncello)&P3(Main),P8(Flute 2)&U(Oboe 2)&P8(F Horn 2),P3(Flute 1)&P3(A Clarinet 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba)&P3(Viola)&P8(Violoncello)&P8(Main),P3(Flute 1)&P3(A Clarinet 1)&P8(Bassoon 1)&P3(F Horn 1)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba)&P3(Viola)&P8(Violoncello)&P8(Main),,P8(Flute 1)&P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Trumpet 2)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&U(Viola)&P3(Violoncello)&P3(Main),P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 2),P8(F Horn 4),P8(F Horn 3),P8(Tenor Trombone 1),P8(Flute 1)&P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&U(Viola)&P3(Violoncello)&P3(Main),P8(F Trumpet 1),P8(Flute 1)&P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1)&P8(F Trumpet 2)&P3(Bass Trombone)&P3(Tuba)&P8(Viola)&P3(Violoncello)&P3(Main),P3(Flute 1)&P3(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&P8(Tuba)&P3(Viola)&U(Violoncello)&P8(Main),P3(Flute 1)&P3(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P3(Viola)&P8(Violoncello)&U(Main),,P8(Oboe 1)&P8(Violin 2),U(Oboe 1)&P8(Violin 1),P8(Flute 1)&P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&U(F Trumpet 2)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Violoncello)&P3(Main),P3(Flute 1)&P3(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Trumpet 2)&P3(Tenor Trombone 2)&U(Bass Trombone)&P8(Tuba)&P3(Viola)&P8(Main),Main Part
298.0,308.0,U(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),U(Flute 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),,P8(Flute 1)&P8(Flute 2)&U(A Clarinet 1)&U(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&U(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 2)&P3(F Horn 2)&P8(F Horn 3)&U(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&U(Tuba)&U(Contrabass),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&U(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 2)&P8(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&P8(Tuba)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 2)&P8(F Horn 3)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(A Clarinet 1)&U(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&U(Tenor Trombone 1)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2)&P8(Tenor Trombone 2)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Tenor Trombone 1)&P3(Bass Trombone)&P3(Tuba)&P3(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 2)&P8(F Horn 3)&U(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Tuba)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&U(Contrabass),,Main Part,,,,P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P3(F Trumpet 1)&P3(F Trumpet 2)&P3(Tenor Trombone 1)&P3(Tenor Trombone 2)&P8(Bass Trombone)&U(Tuba)
