qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,English Horn,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,"B, D, E Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
308.0,319.0,,,,,,,,,,Main Part,,,,,,,,,,,P6(Violin 2)&P2(Contrabass),P6(Violin 1)&P5(Contrabass),,,P2(Violin 1)&P5(Violin 2)
319.0,341.5,,,,,,,P6(Bassoon 2)&P4(F Horn 1)&P2(F Horn 3)&P2(F Horn 4),P6(Bassoon 1)&P3(F Horn 1)&P5(F Horn 3)&P5(F Horn 4),,P4(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 3)&P3(F Horn 4),,P2(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1)&P8(F Horn 4),P2(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1)&P8(F Horn 3),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
341.5,359.0,,,,,Main Part,,,,,,,,,,,,,,,,,,,,
359.0,366.5,,,P3(Oboe 2),P3(Oboe 1),,,,,,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
366.5,385.75,P8(Flute 2),P8(Flute 1),,,Main Part,,P4(Bassoon 2)&P4(F Horn 4),P4(Bassoon 1)&U(F Horn 4),,,,,P4(Bassoon 1)&U(Bassoon 2),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
385.75,439.0,Main Part,,,,,,,,,,,,,,,,,P8(Tuba),P8(Bass Trombone),,,,,,
439.0,452.5,P2(F Horn 1)&P3(F Horn 2)&P2(F Horn 3)&P2(F Horn 4),,Main Part,,,,,,,P2(Flute 1)&P4(F Horn 2)&P3(F Horn 3)&P3(F Horn 4),P3(Flute 1)&P4(F Horn 1)&P2(F Horn 3)&P2(F Horn 4),P2(Flute 1)&P3(F Horn 1)&P2(F Horn 2)&P8(F Horn 4),P2(Flute 1)&P3(F Horn 1)&P2(F Horn 2)&P8(F Horn 3),,,,,,,,,,,,
452.5,463.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,,
463.0,469.0,P8(Oboe 1),,P8(Flute 1),,Main Part,,U(F Horn 4),P8(F Horn 3),,,,P8(Bassoon 2),U(Bassoon 1),,,,,,,,,,,,
469.0,499.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,P3(F Horn 3)&P6(F Horn 4),P3(F Horn 2)&P4(F Horn 4),P6(F Horn 2)&P4(F Horn 3),,,,P3(Tuba),,P3(Tenor Trombone 2),,Main Part,,,,
499.0,521.0,,,,,,,,,,,,,,,,P3(Tenor Trombone 2)&P6(Bass Trombone)&P5(Tuba),P3(Tenor Trombone 1)&P4(Bass Trombone)&P3(Tuba),P6(Tenor Trombone 1)&P4(Tenor Trombone 2)&P2(Tuba),P5(Tenor Trombone 1)&P3(Tenor Trombone 2)&P2(Bass Trombone),,,,Main Part,,
521.0,530.5,U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P3(Bassoon 2),,U(Flute 1)&P8(Oboe 2)&P8(A Clarinet 1)&P3(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(A Clarinet 1)&P3(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&U(Oboe 2)&P3(Bassoon 2),,,P3(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 1),,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
530.5,548.0,Main Part,,,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
548.0,557.5,,,,,,,,,,,Main Part,,,,P8(Bass Trombone),P7(Tenor Trombone 2),P7(Tenor Trombone 1),P8(F Trumpet 2),,,,,,P8(Contrabass),P8(Violoncello)
557.5,571.0,,,,,,P2(Bassoon 1),P2(A Clarinet 2),,,,,,,Main Part,U(Main),,,P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
571.0,578.5,P8(Flute 2)&P8(F Horn 1)&P3(F Horn 2)&P3(F Horn 4),P8(Flute 1)&P8(F Horn 1)&P3(F Horn 2)&P3(F Horn 4),Main Part,,,,,,,P8(Flute 1)&P8(Flute 2)&P3(F Horn 2)&P3(F Horn 4),P3(Flute 1)&P3(Flute 2)&P3(F Horn 1)&P5(F Horn 4),,P3(Flute 1)&P3(Flute 2)&P3(F Horn 1)&P5(F Horn 2),,,P3(Tenor Trombone 2)&P2(Bass Trombone)&P2(Tuba),P3(Tenor Trombone 1)&P4(Bass Trombone)&P4(Tuba),P2(Tenor Trombone 1)&P4(Tenor Trombone 2)&P8(Tuba),P2(Tenor Trombone 1)&P4(Tenor Trombone 2)&P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
578.5,596.0,Main Part,,,,,,,,,,,P4(F Trumpet 1)&P4(F Trumpet 2),,P4(F Horn 3)&P8(F Trumpet 2),P4(F Horn 3)&P8(F Trumpet 1),,,P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
596.0,599.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P8(Viola),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Viola),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P8(Viola),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(Viola),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P8(Viola),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P3(Viola),P8(Bassoon 2)&P2(Tenor Trombone 1)&P5(Tenor Trombone 2)&P2(Bass Trombone)&P8(Tuba)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P2(Tenor Trombone 1)&P5(Tenor Trombone 2)&P2(Bass Trombone)&U(Tuba)&P8(Violoncello)&U(Contrabass),,Main Part,P2(F Horn 4),,P2(F Horn 2),P8(F Trumpet 2),P8(F Trumpet 1),P2(Bassoon 1)&P2(Bassoon 2)&P4(Tenor Trombone 2)&P3(Bass Trombone)&P2(Tuba)&P2(Violoncello)&P2(Contrabass),P5(Bassoon 1)&P5(Bassoon 2)&P4(Tenor Trombone 1)&P6(Bass Trombone)&P5(Tuba)&P5(Violoncello)&P5(Contrabass),P2(Bassoon 1)&P2(Bassoon 2)&P3(Tenor Trombone 1)&P6(Tenor Trombone 2)&P2(Tuba)&P2(Violoncello)&P2(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P2(Tenor Trombone 1)&P5(Tenor Trombone 2)&P2(Bass Trombone)&P8(Violoncello)&U(Contrabass),,P8(Violin 2),P8(Violin 1),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2),U(Bassoon 1)&P8(Bassoon 2)&P2(Tenor Trombone 1)&P5(Tenor Trombone 2)&P2(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P2(Tenor Trombone 1)&P5(Tenor Trombone 2)&P2(Bass Trombone)&U(Tuba)&P8(Violoncello)
599.0,602.0,P8(Oboe 1)&P8(A Clarinet 1)&P8(Bass Trombone)&P8(Viola),P8(Oboe 2)&P8(A Clarinet 2),P8(Flute 1)&U(A Clarinet 1)&P8(Bass Trombone)&P8(Viola),P8(Flute 2)&U(A Clarinet 2),P8(Flute 1)&U(Oboe 1)&P8(Bass Trombone)&P8(Viola),P8(Flute 2)&U(Oboe 2),P8(Bassoon 2)&P2(Main)&P5(Tenor Trombone 2)&P8(Tuba)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P2(Main)&P5(Tenor Trombone 2)&U(Tuba)&P8(Violoncello)&P8(Contrabass),,,P2(F Horn 4),,P2(F Horn 2),P8(F Trumpet 2),P8(F Trumpet 1),Main Part,P5(Bassoon 1)&P5(Bassoon 2)&P4(Main)&P5(Tuba)&P5(Violoncello)&P5(Contrabass),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1)&P8(Viola),P8(Bassoon 1)&U(Bassoon 2)&P2(Main)&P5(Tenor Trombone 2)&P8(Violoncello)&P8(Contrabass),,P8(Violin 2),P8(Violin 1),P8(Flute 1)&P8(Oboe 1)&P8(A Clarinet 1)&P8(Bass Trombone),P8(Bassoon 1)&P8(Bassoon 2)&P2(Main)&P5(Tenor Trombone 2)&P8(Tuba)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P2(Main)&P5(Tenor Trombone 2)&P8(Tuba)&P8(Violoncello)
602.0,613.0,P8(Oboe 1),P8(Oboe 2)&P8(A Clarinet 2),P8(Flute 1),P8(Flute 2)&U(A Clarinet 2),,P8(Flute 2)&U(Oboe 2),U(Bassoon 2),U(Bassoon 1),,Main Part,,,,,,,,P8(Tuba)&U(Violoncello)&P8(Contrabass),P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),,P8(Violin 2),P8(Violin 1),,U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bass Trombone)&U(Tuba)&P8(Violoncello)
613.0,620.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(A Clarinet 1)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1),,,,,,,,,,P8(Tenor Trombone 2),P8(Tenor Trombone 1),,,,,,,P8(Contrabass),P8(Violoncello)
620.0,629.5,,,P3(Oboe 2)&U(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P8(F Trumpet 2)&P8(Violin 1)&P3(Violin 2)&P3(Viola),P3(Oboe 1)&P3(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&U(Viola),U(Oboe 1)&P3(Oboe 2)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P8(F Trumpet 2)&P8(Violin 1)&P3(Violin 2)&P3(Viola),P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&U(Viola),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 2)&P8(F Horn 1)&P3(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&P8(Viola),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&P8(F Horn 1)&P3(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&P8(Viola),,P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&U(Viola),P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&U(F Trumpet 2)&P8(Violin 1)&P3(Violin 2)&P3(Viola),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P3(F Horn 2)&U(F Horn 4)&P8(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&P8(Viola),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P3(F Horn 2)&U(F Horn 3)&P8(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&P8(Viola),P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2)&U(Viola),P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&U(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P8(Violin 1)&P3(Violin 2)&P3(Viola),P8(Tenor Trombone 2),P8(Tenor Trombone 1),Main Part,P8(Main),,P8(Oboe 1)&P3(Oboe 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2)&P3(F Horn 3)&P3(F Horn 4)&P3(F Trumpet 1)&P8(F Trumpet 2)&P3(Violin 2)&P3(Viola),P3(Oboe 1)&P8(Oboe 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Viola),P3(Oboe 1)&U(Oboe 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&P3(F Trumpet 2)&P3(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
629.5,635.5,,,,,,,,,,,,,,,,P8(Tenor Trombone 2),P8(Tenor Trombone 1),Main Part,P8(Main)&P8(Violoncello)&U(Contrabass),,,,,U(Main)&P8(Tuba)&P8(Contrabass),P8(Main)&U(Tuba)&P8(Violoncello)
635.5,638.5,,,,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),Main Part,P8(Main),P8(Tuba)&U(Violoncello)&P8(Contrabass),P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),,,,,U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bass Trombone)&U(Tuba)&P8(Violoncello)
638.5,643.0,,,,,,,,,,,,,,Main Part,P8(Main),P8(Tenor Trombone 2),P8(Tenor Trombone 1),,,,,,,,
643.0,656.5,,,,,,,,,,Main Part,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,,,,,,
656.5,661.0,,,P8(Bassoon 1)&P4(Bassoon 2)&P2(F Horn 2)&P4(Violoncello)&P4(Contrabass),,Main Part,,P8(Oboe 1)&P4(Bassoon 2)&P2(F Horn 2)&P4(Violoncello)&P4(Contrabass),P4(Oboe 1)&P4(Bassoon 1)&P5(F Horn 2)&U(Violoncello)&P8(Contrabass),,P3(F Horn 3),P2(Oboe 1)&P2(Bassoon 1)&P5(Bassoon 2)&P5(Violoncello)&P5(Contrabass),P3(F Horn 1),,,,,,,,,P3(Violin 2)&P3(Viola),P3(Violin 1)&P5(Viola),P3(Violin 1)&P5(Violin 2),P4(Oboe 1)&P4(Bassoon 1)&U(Bassoon 2)&P5(F Horn 2)&P8(Contrabass),P4(Oboe 1)&P4(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 2)&P8(Violoncello)
661.0,665.5,,,Main Part,,P2(Bassoon 2)&P4(F Horn 2)&P2(F Horn 4),,,P2(A Clarinet 1)&U(F Horn 4),,,P4(A Clarinet 1),,P2(A Clarinet 1)&U(Bassoon 2),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
665.5,670.5,U(Flute 2),U(Flute 1),,,,,,U(Violoncello),,P4(F Horn 2)&P4(F Trumpet 1),P4(F Horn 1)&P8(F Trumpet 1),,,P4(F Horn 1)&P8(F Horn 2),,,,,,,Main Part,,,U(Bassoon 2),
670.5,673.0,Main Part,,,,,,,U(Violoncello),,,,,,,,,,,,,,,,U(Bassoon 2),
673.0,686.0,,,,,,,,,,,,U(F Horn 4),U(F Horn 3),P8(F Trumpet 2),P8(F Trumpet 1),,,,,,Main Part,,,,
686.0,695.0,,,,,P4(A Clarinet 2),P4(A Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,,,,,Main Part,P8(Main),P8(Tenor Trombone 2),P8(Tenor Trombone 1),P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
695.0,716.5,,,,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,P8(Tuba),P8(Bass Trombone),,Main Part,,,P8(Contrabass),P8(Violoncello)
716.5,722.5,P8(Flute 2),P8(Flute 1),P3(Oboe 2),P3(Oboe 1),,,,,,Main Part,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
722.5,725.5,P8(Flute 2)&U(Violin 1)&P8(Violin 2),P8(Flute 1)&P8(Violin 1)&U(Violin 2),Main Part,,P3(A Clarinet 2),P3(A Clarinet 1),,,,P3(F Horn 2)&P3(F Horn 3)&U(Viola),P3(F Horn 1)&U(F Horn 3)&P3(Viola),P3(F Horn 1)&U(F Horn 2)&P3(Viola),,,,,,P8(Tuba),P8(Bass Trombone),,U(Flute 1)&P8(Flute 2)&P8(Violin 2),P8(Flute 1)&U(Flute 2)&P8(Violin 1),U(F Horn 1)&P3(F Horn 2)&P3(F Horn 3),P8(Contrabass),P8(Violoncello)
725.5,728.5,P8(Flute 2)&U(Violin 1)&P8(Violin 2),P8(Flute 1)&P8(Violin 1)&U(Violin 2),P3(Oboe 2)&P8(F Horn 3)&P3(Bass Trombone)&P3(Tuba),P3(Oboe 1)&P3(F Horn 3)&P8(Bass Trombone)&P8(Tuba),Main Part,,,,,,,P8(Oboe 1)&P3(Oboe 2)&P3(Bass Trombone)&P3(Tuba),,,,,,P3(Oboe 1)&P8(Oboe 2)&P3(F Horn 3)&P8(Tuba),P3(Oboe 1)&P8(Oboe 2)&P3(F Horn 3)&P8(Bass Trombone),,U(Flute 1)&P8(Flute 2)&P8(Violin 2),P8(Flute 1)&U(Flute 2)&P8(Violin 1),,P8(Contrabass),P8(Violoncello)
728.5,769.0,,,,,,,,,,Main Part,,P8(F Horn 4),P8(F Horn 3),,,P8(Tenor Trombone 2),P8(Tenor Trombone 1),P8(Tuba),P8(Bass Trombone),,,,,P8(Contrabass),P8(Violoncello)
769.0,800.5,,,,,,,Main Part,P8(Main)&P8(Violoncello)&U(Contrabass),,,,,,,,,,,,,,,,U(Main)&P8(Bassoon 2)&P8(Contrabass),P8(Main)&U(Bassoon 2)&P8(Violoncello)
800.5,835.0,,,,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
835.0,850.0,P8(Flute 2),P8(Flute 1),P8(Oboe 2),P8(Oboe 1),Main Part,P8(Main),"P8(Bassoon 2)&U(B, D, E Timpani)&U(Violoncello)&P8(Contrabass)","P8(Bassoon 1)&P8(B, D, E Timpani)&P8(Violoncello)&U(Contrabass)",,P4(F Horn 2),P4(F Horn 1),P8(F Horn 4),P8(F Horn 3),,,,,P8(Tuba),P8(Bass Trombone),U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),,,,"U(Bassoon 1)&P8(Bassoon 2)&U(B, D, E Timpani)&P8(Contrabass)","P8(Bassoon 1)&U(Bassoon 2)&P8(B, D, E Timpani)&P8(Violoncello)"
850.0,859.0,,,P8(Oboe 2),P8(Oboe 1),,,"P8(Bassoon 2)&U(B, D, E Timpani)&U(Violoncello)&P8(Contrabass)","P8(Bassoon 1)&P8(B, D, E Timpani)&P8(Violoncello)&U(Contrabass)",,,,,,Main Part,P8(Main),P3(Tenor Trombone 2),P3(Tenor Trombone 1),P8(Tuba),P8(Bass Trombone),U(Bassoon 1)&P8(Bassoon 2)&U(Violoncello)&P8(Contrabass),P8(Violin 2),P8(Violin 1),,"U(Bassoon 1)&P8(Bassoon 2)&U(B, D, E Timpani)&P8(Contrabass)","P8(Bassoon 1)&U(Bassoon 2)&P8(B, D, E Timpani)&P8(Violoncello)"
859.0,872.5,,,,,,,,,,,,,,P8(F Trumpet 2),P8(F Trumpet 1),P3(Tenor Trombone 2),P3(Tenor Trombone 1),P8(Tuba),P8(Bass Trombone),,Main Part,,,P8(Contrabass),P8(Violoncello)
872.5,884.5,Main Part,,,,,,,,,P8(F Horn 4),,,P8(F Horn 1),,,,,,P8(Violoncello)&P8(Contrabass),,,,,P8(Tuba)&P8(Contrabass),P8(Tuba)&P8(Violoncello)
884.5,896.0,P3(Flute 2)&P3(A Clarinet 2)&P8(F Horn 2)&P3(F Horn 3)&P3(Viola),P3(Flute 1)&P8(A Clarinet 2)&P3(F Horn 2)&P8(F Horn 3)&P8(Viola),P3(Oboe 2),P3(Oboe 1),,P3(Flute 1)&P8(Flute 2)&P3(F Horn 2)&P8(F Horn 3)&P8(Viola),P8(Bassoon 2)&U(Bass Trombone)&P8(Tuba)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bass Trombone)&U(Tuba)&P8(Violoncello)&U(Contrabass),,Main Part,P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 2)&P3(F Horn 3)&P3(Viola),P3(Flute 1)&P8(Flute 2)&P8(A Clarinet 2)&P3(F Horn 2)&U(Viola),,P8(F Trumpet 2),P8(F Trumpet 1),P8(Tenor Trombone 2),P8(Tenor Trombone 1),U(Bassoon 1)&P8(Bassoon 2)&P8(Tuba)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Bass Trombone)&P8(Violoncello)&U(Contrabass),,P8(Violin 2),P8(Violin 1),P3(Flute 1)&P8(Flute 2)&P8(A Clarinet 2)&P3(F Horn 2)&U(F Horn 3),U(Bassoon 1)&P8(Bassoon 2)&U(Bass Trombone)&P8(Tuba)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Bass Trombone)&U(Tuba)&P8(Violoncello)
896.0,920.5,,,U(A Clarinet 1),U(A Clarinet 2),U(Oboe 1),U(Oboe 2),P8(Bassoon 2)&P8(F Horn 4),P8(Bassoon 1)&P8(F Horn 4),,,,,P8(Bassoon 1)&P8(Bassoon 2),Main Part,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
920.5,926.5,,,Main Part,P4(Main)&P4(A Clarinet 1)&U(A Clarinet 2),U(Main)&P4(Oboe 2)&P4(A Clarinet 2),P4(Main)&U(Oboe 2)&P4(A Clarinet 1),,,,P8(F Horn 2),P8(F Horn 1),,,,,P4(Tenor Trombone 2)&P2(Bass Trombone)&P3(Tuba),P4(Tenor Trombone 1)&P3(Bass Trombone)&P6(Tuba),P2(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Tuba),P3(Tenor Trombone 1)&P6(Tenor Trombone 2)&P4(Bass Trombone),,,,,U(Contrabass),U(Violoncello)
926.5,932.5,,,,,U(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&U(Viola),U(A Clarinet 1)&U(Bassoon 1)&U(Bassoon 2)&U(Viola),U(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 2)&U(Viola),U(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1)&U(Viola),,Main Part,P8(Main),,,,,,,,,,,,U(A Clarinet 1)&U(A Clarinet 2)&U(Bassoon 1)&U(Bassoon 2),,
932.5,958.0,,,,,Main Part,U(Violoncello),,,,,,,,,,,,,,,,,,U(A Clarinet 2),
958.0,988.0,,,,,Main Part,,,,,,,,,,,,,,,,,,,,
988.0,1002.5,,,,,,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1002.5,1012.0,U(Oboe 1)&P2(Oboe 2)&P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),,U(Flute 1)&P2(Oboe 2)&P8(A Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P2(Flute 1)&P2(Oboe 1)&P2(A Clarinet 1)&P4(Bassoon 1)&P2(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P2(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2),,P3(Flute 1)&P3(Oboe 1)&P4(Oboe 2)&P3(A Clarinet 1)&P5(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P2(Oboe 2)&P3(A Clarinet 1)&P5(Bassoon 1),,Main Part,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1012.0,1026.5,Main Part,,,,P8(Main),,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1026.5,1038.5,U(Flute 2)&P8(A Clarinet 1)&P8(A Clarinet 2),U(Flute 1)&P8(A Clarinet 1)&P8(A Clarinet 2),,P6(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(A Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(A Clarinet 1),,P6(Oboe 2),,,,,,Main Part,,,,,,,,,,,
1038.5,1066.0,Main Part,,,,,,,,,,,,,,,P4(Tenor Trombone 2)&P3(Bass Trombone),P4(Tenor Trombone 1)&P6(Bass Trombone),P3(Tenor Trombone 1)&P6(Tenor Trombone 2),,,,,,,
1066.0,1073.5,Main Part,P8(Main)&U(A Clarinet 1),,,P8(Main)&U(Flute 2),,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
1073.5,1102.5,U(Flute 2),U(Flute 1),,,,,,,,,,,,Main Part,,,,P8(Tuba),P8(Bass Trombone),,P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
