qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
124.5,126.0,P3(Oboe 1)&P6(Oboe 2)&P7(C Trumpet 1)&P7(C Trumpet 2)&U(Violin 1)&P3(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),,P3(Flute 1)&P4(Oboe 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P3(Violin 1)&U(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P6(Flute 1)&P4(Oboe 1)&P2(C Trumpet 1)&P2(C Trumpet 2)&P6(Violin 1)&P4(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),Main Part,,,,P8(F Horn 2),P8(F Horn 1),P7(Flute 1)&P5(Oboe 1)&P2(Oboe 2)&P8(C Trumpet 2)&P7(Violin 1)&P5(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P7(Flute 1)&P5(Oboe 1)&P2(Oboe 2)&P8(C Trumpet 1)&P7(Violin 1)&P5(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P5(Main),U(Flute 1)&P3(Oboe 1)&P6(Oboe 2)&P7(C Trumpet 1)&P7(C Trumpet 2)&P3(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(Flute 1)&U(Oboe 1)&P4(Oboe 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P3(Violin 1)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P4(Flute 1)&P2(Oboe 1)&P3(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Violin 1)&P2(Violin 2)&P8(Violoncello)&P8(Contrabass),P4(Flute 1)&P2(Oboe 1)&P3(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Contrabass),P4(Flute 1)&P2(Oboe 1)&P3(Oboe 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Violoncello)
126.0,127.0,Main Part,,P8(C Clarinet 1)&P3(C Clarinet 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Oboe 1)&P3(C Clarinet 2)&P5(C Trumpet 1)&P5(C Trumpet 2),P3(Oboe 1)&P3(C Clarinet 1)&P3(C Trumpet 1)&P3(C Trumpet 2),P3(Oboe 2)&P8(Bassoon 2)&U(F Horn 1)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Oboe 2)&P8(Bassoon 1)&P8(F Horn 1)&U(F Horn 2)&U(Violoncello)&P8(Contrabass),P3(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Oboe 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&U(Violoncello)&P8(Contrabass),P5(Oboe 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(C Trumpet 2),P5(Oboe 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(C Trumpet 1),,,,,P3(Oboe 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&U(F Horn 2)&P8(Contrabass),P3(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(Violoncello)
127.0,128.0,P2(Oboe 1)&P2(Oboe 2)&P3(C Clarinet 1)&P4(C Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P4(F Horn 1)&P4(F Horn 2),,P2(Flute 1)&U(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2),P2(Flute 1)&U(Oboe 1)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2),P3(Flute 1)&P4(Oboe 1)&P4(Oboe 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P4(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P7(F Horn 1)&P7(F Horn 2),P3(Flute 1)&P4(Oboe 1)&P4(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2)&P2(F Horn 1)&P2(F Horn 2),P4(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P7(F Horn 1)&P7(F Horn 2),P4(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P2(C Clarinet 1)&P7(C Clarinet 2)&P2(Bassoon 1)&P7(Bassoon 2)&P8(F Horn 2),P4(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P2(C Clarinet 1)&P7(C Clarinet 2)&P2(Bassoon 1)&P7(Bassoon 2)&P8(F Horn 1),,,,Main Part,P4(Main)&P3(Viola),P6(Main)&P3(Violin 2),,
128.0,129.0,,,Main Part,U(Main)&P4(C Clarinet 1)&P4(Bassoon 1),P4(Main)&P4(Oboe 2)&P8(Bassoon 1),P8(Bassoon 2),P4(Main)&P4(Oboe 2)&P8(C Clarinet 1),P8(C Clarinet 2),P8(F Horn 2),P8(F Horn 1),,,,P4(Violin 2)&P3(Viola),P4(Violin 1)&P6(Viola),P3(Violin 1)&P6(Violin 2),P8(Contrabass),P8(Violoncello)
129.0,130.0,P3(Oboe 1)&P3(Oboe 2)&P7(C Clarinet 1)&P5(C Clarinet 2)&P7(Bassoon 1)&P5(Bassoon 2),,P3(Flute 1)&U(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),P3(Flute 1)&U(Oboe 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),P7(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P7(F Horn 1)&P7(F Horn 2),P5(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2),P7(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P7(F Horn 1)&P7(F Horn 2),P5(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P5(F Horn 1)&P5(F Horn 2),P3(Oboe 1)&P3(Oboe 2)&P7(C Clarinet 1)&P5(C Clarinet 2)&P7(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 2),P3(Oboe 1)&P3(Oboe 2)&P7(C Clarinet 1)&P5(C Clarinet 2)&P7(Bassoon 1)&P5(Bassoon 2)&P8(F Horn 1),,,,Main Part,P4(Main)&P6(Viola),P3(Main)&P6(Violin 2),P8(Contrabass),P8(Violoncello)
130.0,131.0,,,Main Part,U(Main)&P3(C Clarinet 2)&P3(Bassoon 2),P8(Bassoon 1),P3(Main)&P3(Oboe 2)&P8(Bassoon 2),P8(C Clarinet 1),P3(Main)&P3(Oboe 2)&P8(C Clarinet 2),P8(F Horn 2),P8(F Horn 1),,,,P4(Violin 2)&P2(Viola),P4(Violin 1)&P3(Viola),P2(Violin 1)&P3(Violin 2),,
131.0,132.0,P7(Oboe 1)&P7(Oboe 2)&P3(C Clarinet 1)&P5(C Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P7(F Horn 1)&P7(F Horn 2),,P7(Flute 1)&U(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2),P7(Flute 1)&U(Oboe 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2),P5(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(F Horn 1)&P3(F Horn 2),P3(Flute 1)&P5(Oboe 1)&P5(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P5(F Horn 1)&P5(F Horn 2),P5(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(F Horn 1)&P3(F Horn 2),P7(Flute 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 2),P7(Flute 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(F Horn 1),,,,Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
132.0,133.0,,,Main Part,P3(Bassoon 2),P3(Bassoon 2),P3(Bassoon 1),P3(C Clarinet 2),P3(Oboe 2)&P3(C Clarinet 1),P8(F Horn 2)&P8(Timpani),P8(F Horn 1)&U(Timpani),,,P8(F Horn 1)&U(F Horn 2),P4(Violin 2)&P6(Viola),P4(Violin 1)&P3(Viola),P6(Violin 1)&P3(Violin 2),P8(Contrabass),P8(Violoncello)
133.0,138.5,Main Part,,,,,,,,P8(F Horn 2)&P8(Timpani),P8(F Horn 1)&U(Timpani),P8(C Trumpet 2),P8(C Trumpet 1),P8(F Horn 1)&U(F Horn 2),,,,P8(Contrabass),P8(Violoncello)
138.5,150.5,P7(Bassoon 2)&P7(Violoncello)&P7(Contrabass),,,P8(C Clarinet 1)&P5(F Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P8(Oboe 2)&P5(F Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P5(Viola),,P7(Flute 1)&U(Violoncello)&P8(Contrabass),,P5(Oboe 2)&P5(C Clarinet 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P5(Oboe 2)&P5(C Clarinet 1)&P8(F Horn 2)&P8(C Trumpet 2)&P8(Timpani),P5(Oboe 2)&P5(C Clarinet 1)&P8(F Horn 2)&P8(C Trumpet 1)&P8(Timpani),P5(Oboe 2)&P5(C Clarinet 1)&P8(F Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,P5(C Clarinet 2),P7(Flute 1)&U(Bassoon 2)&P8(Contrabass),P7(Flute 1)&P8(Bassoon 2)&P8(Violoncello)
