qstamp_start,qstamp_end,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
0.0,3.0,U(Violin 1),,Main Part,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
3.0,9.0,U(Violin 1)&P3(Viola),,Main Part,U(Principal Violin)&P3(Viola),,P3(Principal Violin)&P3(Violin 1),U(Continuo),,U(Violoncello)
9.0,12.0,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
12.0,18.25,,Main Part,,P3(Violin 2)&P3(Violoncello)&P3(Violone),P3(Violin 1)&P8(Violoncello)&P8(Violone),P8(Continuo),P3(Violin 1)&P8(Violin 2)&P8(Violone),P3(Violin 1)&P8(Violin 2)&P8(Violoncello),P8(Viola)
18.25,21.25,,,Main Part,,,,,,
21.25,24.25,,Main Part,,,P3(Viola),P3(Violin 2),U(Continuo),,U(Violoncello)
24.25,27.25,,,Main Part,,P3(Viola),P3(Violin 2),U(Continuo),,U(Violoncello)
27.25,30.25,Main Part,,,,,,U(Continuo),,U(Violoncello)
30.25,33.0,,Main Part,,,,,U(Continuo),,U(Violoncello)
33.0,36.0,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
36.0,42.25,,P3(Main),Main Part,P3(Viola),,P3(Violin 1),U(Continuo),,U(Violoncello)
42.25,45.0,Main Part,P8(Viola),,,,P8(Flute 1),P8(Continuo),,P8(Violoncello)
45.0,51.5,,,,Main Part,P3(Main),,,,
51.5,57.5,,Main Part,,,,,,,
57.5,61.75,,Main Part,,,,,,,
61.75,63.0,,,Main Part,,,,U(Continuo),,U(Violoncello)
63.0,69.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
69.25,72.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
72.25,75.25,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
75.25,78.25,,Main Part,,,,,U(Continuo),,U(Violoncello)
78.25,82.75,Main Part,,,,,,U(Continuo),,U(Violoncello)
82.75,84.0,,,Main Part,,,,U(Continuo),,U(Violoncello)
84.0,87.0,,,Main Part,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
87.0,93.0,,,Main Part,P3(Viola),,P3(Violin 1),U(Continuo),,U(Violoncello)
93.0,96.0,Main Part,,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
96.0,102.5,,Main Part,,,,P8(Continuo),P8(Violone),P8(Violoncello),P8(Viola)
102.5,111.25,,Main Part,,,,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
111.25,117.25,U(Violin 1),Main Part,,U(Principal Violin),,,P8(Violone)&U(Continuo),P8(Violoncello)&P8(Continuo),U(Violoncello)&P8(Violone)
