qstamp,tstamp,measure,beat,Principal Violin,Flute 1,Flute 2,Violin 1,Violin 2,Viola,Violoncello,Violone,Continuo
0.0,0.0,1,1.0,G5,D6,B5,G5,D5,B4,G3,G2,G3
0.25,0.1538,1,1.1667,G5,D6,D6,G5,D5,B4,G3,G2,G3
0.5,0.3077,1,1.3333,r,D6,G6,r,r,r,r,r,r
0.75,0.4615,1,1.5,r,D6,D6,r,r,r,r,r,r
1.0,0.6154,1,1.6667,r,D6,B5,r,r,r,r,r,r
1.25,0.7692,1,1.8333,r,D6,G5,r,r,r,r,r,r
1.5,0.9231,2,1.0,A5,D6,F#5,A5,F#5,A4,D3,D2,D3
1.75,1.0769,2,1.1667,A5,D6,A5,A5,F#5,A4,D3,D2,D3
2.0,1.2308,2,1.3333,r,D6,D6,r,r,r,r,r,r
2.25,1.3846,2,1.5,r,D6,A5,r,r,r,r,r,r
2.5,1.5385,2,1.6667,r,D6,F#5,r,r,r,r,r,r
2.75,1.6923,2,1.8333,r,D6,D5,r,r,r,r,r,r
3.0,1.8462,3,1.0,B5,D6,B5,B5,G5,G4,G2,G1,G2
3.5,2.1538,3,1.3333,r,C6,A5,r,r,r,r,r,r
4.0,2.4615,3,1.6667,r,B5,G5,r,r,r,r,r,r
4.5,2.7692,4,1.0,r,r,r,r,r,r,G3,r,G3
5.0,3.0769,4,1.3333,r,B5,G5,r,r,r,r,r,r
5.25,3.2308,4,1.5,r,C6,A5,r,r,r,r,r,r
5.5,3.3846,4,1.6667,r,D6,B5,r,r,r,r,r,r
6.0,3.6923,5,1.0,r,C6,A5,r,r,r,D3,r,D3
6.5,4.0,5,1.3333,r,B5,G5,r,r,r,r,r,r
7.0,4.3077,5,1.6667,r,A5,F#5,r,r,r,r,r,r
7.5,4.6154,6,1.0,r,r,r,r,r,r,D2,r,D2
8.0,4.9231,6,1.3333,r,A5,F#5,r,r,r,r,r,r
8.25,5.0769,6,1.5,r,B5,G5,r,r,r,r,r,r
8.5,5.2308,6,1.6667,r,C6,A5,r,r,r,r,r,r
9.0,5.5385,7,1.0,G5,B5,D5,G5,D5,B4,G2,G1,G2
9.25,5.6923,7,1.1667,G5,D6,D5,G5,D5,B4,G2,G1,G2
9.5,5.8462,7,1.3333,r,G6,D5,r,r,r,r,r,r
9.75,6.0,7,1.5,r,D6,D5,r,r,r,r,r,r
10.0,6.1538,7,1.6667,r,B5,D5,r,r,r,r,r,r
10.25,6.3077,7,1.8333,r,G5,D5,r,r,r,r,r,r
10.5,6.4615,8,1.0,A5,F#5,D5,A5,F#5,A4,D3,D2,D3
10.75,6.6154,8,1.1667,A5,A5,D5,A5,F#5,A4,D3,D2,D3
11.0,6.7692,8,1.3333,r,D6,D5,r,r,r,r,r,r
11.25,6.9231,8,1.5,r,A5,D5,r,r,r,r,r,r
11.5,7.0769,8,1.6667,r,F#5,D5,r,r,r,r,r,r
11.75,7.2308,8,1.8333,r,D5,D5,r,r,r,r,r,r
12.0,7.3846,9,1.0,B5,B5,D5,B5,G5,G4,G3,G2,G3
12.5,7.6923,9,1.3333,r,A5,C5,r,r,r,r,r,r
13.0,8.0,9,1.6667,r,G5,B4,r,r,r,r,r,r
13.5,8.3077,10,1.0,r,r,r,r,r,G3,r,r,G3
14.0,8.6154,10,1.3333,r,G5,B4,r,r,r,r,r,r
14.25,8.7692,10,1.5,r,A5,C5,r,r,r,r,r,r
14.5,8.9231,10,1.6667,r,B5,D5,r,r,r,r,r,r
15.0,9.2308,11,1.0,r,A5,C5,r,r,D4,r,r,D4
