qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
640.5,656.5,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(D Horn 2),P8(D Horn 1),,,,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
656.5,673.5,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(Bassoon 1),,,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2),,P8(D Horn 2),P8(D Horn 1),,,,P8(Violoncello)&P8(Contrabass),,,P8(Violin 1)&P8(Contrabass),P8(Violin 1)&P8(Violoncello)
673.5,680.5,,P8(Oboe 2)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2),,P8(Flute 2)&P3(Bassoon 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2),,,,P3(Flute 2)&P3(Oboe 2)&P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 2)&P8(D Horn 2)&U(D Trumpet 1)&U(D Trumpet 2),P3(Flute 2)&P3(Oboe 2)&U(Bassoon 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P3(Flute 2)&P3(Oboe 2)&P8(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
680.5,720.5,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,,,P8(D Horn 2)&U(Main)&U(D Trumpet 2),P8(D Horn 1)&P8(Main)&P8(D Trumpet 2),Main Part,U(D Horn 1)&P8(D Horn 2)&U(Main),,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
720.5,738.0,P8(Oboe 1),U(Oboe 2)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 1),U(Flute 2)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P3(Flute 2)&P3(Oboe 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2),P8(Flute 2)&P8(Oboe 2)&P3(Bassoon 2)&P8(D Horn 2)&U(D Trumpet 1)&U(D Trumpet 2),P8(Flute 2)&P8(Oboe 2)&P3(Bassoon 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 2)&P8(Oboe 2)&P3(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P8(Flute 2)&P8(Oboe 2)&P3(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
738.0,762.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,,
762.0,782.5,P8(Oboe 1),U(Oboe 2),P8(Flute 1),U(Flute 2),,,,,,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,P8(Violoncello),P8(Viola),
782.5,838.5,,,,,,,,,P8(D Horn 2),P8(D Horn 1),P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
838.5,842.5,,,,,,,,,,,,,,P6(Violin 2)&P8(Viola),P6(Violin 1)&P6(Viola),P8(Violin 1)&P6(Violin 2),Main Part,
842.5,856.5,,,,,,,,,,,,,,,Main Part,,,
856.5,862.5,,,,,P8(Bassoon 1)&P4(D Horn 1)&P4(D Horn 2),,P8(A Clarinet 1)&P4(D Horn 1)&P4(D Horn 2),,P4(A Clarinet 1)&P4(Bassoon 1)&U(D Horn 2),P4(A Clarinet 1)&P4(Bassoon 1)&U(D Horn 1),,,,Main Part,P8(Viola),P8(Violin 2),,
862.5,878.5,,,,,Main Part,,,,U(D Horn 2),U(D Horn 1),,,,,,,,
878.5,886.5,P8(Flute 2),P8(Flute 1),Main Part,,,P8(Timpani),,,P8(D Horn 2),P8(D Horn 1),,,P8(A Clarinet 2),P8(Violin 2),P8(Violin 1),,,
886.5,910.5,P8(Flute 2),P8(Flute 1),Main Part,,P8(A Clarinet 2),P8(A Clarinet 1),,,P8(D Horn 2),P8(D Horn 1),,,,,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
910.5,942.5,,,,,,,,,,,P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
942.5,950.5,,,,,,,,,P8(D Horn 2),P8(D Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
950.5,958.5,,,Main Part,,,,,,P8(D Horn 2),P8(D Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
958.5,966.5,,,,,,,,,Main Part,P8(Main),,,,P3(Violin 2),P3(Violin 1),,P8(Contrabass),P8(Violoncello)
966.5,974.5,,,Main Part,,,,,,P8(D Horn 2),P8(D Horn 1),,,,,,,P8(Contrabass),P8(Violoncello)
974.5,1006.5,,,Main Part,,U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,,,P8(D Horn 2),P8(D Horn 1),U(A Clarinet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Clarinet 1)&P8(D Trumpet 1)&P8(Timpani),P8(A Clarinet 1)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
1006.5,1014.5,,,,,Main Part,,,,P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
1014.5,1022.5,,,Main Part,,,,,,P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2),P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1),,,,,P8(Contrabass),P8(Violoncello)
1022.5,1050.5,,,,,,,Main Part,,P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
