qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
560.5,564.5,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),P8(D Horn 2)&P8(Main)&U(D Trumpet 2),P8(D Horn 1)&P8(Main)&P8(D Trumpet 2),Main Part,U(D Horn 1)&P8(D Horn 2)&P8(Main),,P5(Violin 2),P5(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
564.5,569.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),,,,,,,,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
569.5,571.5,,,Main Part,,,,P8(Main),,,,,,,P2(Violin 2),P2(Violin 1),,,
571.5,576.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
576.5,580.5,,,P8(Bassoon 1),,,,P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),U(D Horn 2)&P8(Main)&P8(D Trumpet 2),U(D Horn 1)&P8(Main)&P8(D Trumpet 2),Main Part,P8(D Horn 1)&P8(D Horn 2)&U(Main),,P3(Violin 2),P3(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
580.5,584.5,Main Part,,P8(Main)&P8(Bassoon 1),,,,P8(Main)&P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
584.5,588.5,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),U(D Horn 2)&P8(Main)&P8(D Trumpet 2),U(D Horn 1)&P8(Main)&P8(D Trumpet 2),Main Part,P8(D Horn 1)&P8(D Horn 2)&U(Main),,P5(Violin 2),P5(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
588.5,593.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),,,,,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
593.5,595.5,,,Main Part,,,,P8(Main),,,,,,,P2(Violin 2),P2(Violin 1),,,
595.5,597.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),,,,,,,,P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
597.5,599.5,,,Main Part,,,,P8(Main),,,,,,,P3(Violin 2),P3(Violin 1),,,
599.5,601.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),U(Violoncello)&P8(Contrabass),,,,,,P3(Violin 2),P3(Violin 1),,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
601.5,603.5,,,Main Part,,,,P8(Main),,,,,,,P3(Violin 2)&P3(Viola),P3(Violin 1)&P5(Viola),P3(Violin 1)&P5(Violin 2),,
603.5,605.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),U(Violoncello)&P8(Contrabass),,,,,,P3(Viola),,P3(Violin 1),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
605.5,607.5,,,Main Part,,,,P8(Main),,,,,,,P2(Violin 2)&P3(Viola),P2(Violin 1)&P4(Viola),P3(Violin 1)&P4(Violin 2),,
607.5,609.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),U(Violoncello)&P8(Contrabass),,,,,,,P8(Main),,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
609.5,611.5,,,Main Part,,,,P8(Main),,,,,,,P3(Violin 2)&P3(Viola),P3(Violin 1)&P5(Viola),P3(Violin 1)&P5(Violin 2),,
611.5,613.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),U(Violoncello)&P8(Contrabass),,,,,,P3(Viola),,P3(Violin 1),U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
613.5,615.5,,,Main Part,,,,P8(Main)&P4(Violin 2),,,,,,,P2(Violin 2)&P3(Viola),P4(Main)&P4(Bassoon 1)&P2(Violin 1)&P4(Viola),P3(Violin 1)&P4(Violin 2),,
615.5,617.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),U(Violoncello)&P8(Contrabass),,,,,,,,,U(Bassoon 2)&P8(Contrabass),P8(Bassoon 2)&P8(Violoncello)
617.5,619.5,,,Main Part,,,,P8(Main),,,,,,,P8(Violin 2),P8(Violin 1),,,
619.5,621.5,Main Part,,P8(Bassoon 1),,,,P8(Oboe 1),P8(Viola)&U(Violoncello)&P8(Contrabass),,,,,,P8(Violin 2),P8(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
621.5,623.5,,,Main Part,,,,P8(Main),,,,,,,P8(Violin 2),P8(Violin 1),,,
623.5,624.5,Main Part,,P8(Main)&P8(Bassoon 1)&P4(Violin 1)&P4(Violin 2),,,,P8(Main)&P8(Oboe 1)&P4(Violin 1)&P4(Violin 2),P8(Viola)&U(Violoncello)&P8(Contrabass),,,,,,P4(Main)&P4(Oboe 1)&P4(Bassoon 1)&P8(Violin 2),P4(Main)&P4(Oboe 1)&P4(Bassoon 1)&P8(Violin 1),P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),U(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
624.5,640.5,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2),,,P8(Flute 1)&P8(Oboe 1),,,,,,,Main Part,P8(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
