qstamp,measure,beat,label,partName,partNum
0.0,0,4.67,a,Eng Hn,11
24.0,4,4.67,a,Ob,3
72.0,12,4.67,a,Fl,1
84.0,14,4.67,a,Ob,3
104.0,18,2,trans,Vln,24
113.5,21,2,trans,Vln,25
124.5,27,1,b,Vln,24
132.5,31,1,b,Fl,1
133.5,31,2,b,Cl,5
134.5,32,1,b,Bsn,8
135.5,32,2,b,Bsn,9
136.5,33,1,b,Vln,25
146.75,38,1.25,b,Vln,24
156.5,43,1,c,Picc,0
162.5,46,1,c,Vln,24
177.75,53,2.25,b,Vln,25
178.75,54,1.25,b,Vln,24
179.75,54,2.25,b,Vln,25
182.5,56,1,b,Vln,24
183.75,56,2.25,b,Vln,25
184.75,57,1.25,b,Vln,24
186.0,57,2.5,a,Fl,1
202.5,66,1,a,Vln,24
206.5,68,1,a,Ob,3
218.5,74,1,b,Vln,24
225.5,77,2,b,Vln,25
231.0,80,1.5,c',Ob,3
233.0,81,1.5,c',Fl,1
234.5,82,1,c',Fl,1
249.5,89,2,X,Vla,27
259.5,94,2,a,Eng Hn,11
270.5,100,1,a,Cl,5
278.0,103,2.5,a,Ob,3
286.0,107,2.5,a,Fl,1
293.5,111,2,a,Eng Hn,10
298.5,114,1,a,Ob,3
302.5,116,1,a,Vln,24
310.5,120,1,a,Fl,1
319.5,124,2,a,Picc,0
331.5,130,2,X,Vln,24
335.5,132,2,X,Vln,25
336.5,133,1,X,Vln,24
337.5,133,2,X,Vln,25
338.5,134,1,X,Vln,24
339.5,134,2,X,Vln,25
340.5,135,1,X,Vla,27
341.5,135,2,X,Vln,24
342.5,136,1,X,Vln,25
343.5,136,2,X,Vla,27
344.5,137,1,X,Vln,25
345.5,137,2,X,Vla,27
346.5,138,1,X,Vln,25
347.5,138,2,X,Vla,27
348.5,139,1,X,Vln,25
349.5,139,2,X,Vla,27
350.5,140,1,X,Vln,25
351.5,140,2,X,Vla,27
352.5,141,1,X,Vln,25
353.5,141,2,X,Vla,27
358.5,144,1,X,Vc,28
361.0,145,1.5,X,Ob,3
371.5,150,2,X,Fl,1
380.5,155,1,X,Ob,3
383.0,156,1.5,X,Fl,1
393.5,161,2,X,Fl,1
399.5,164,2,X,Picc,0
406.5,168,1,a,Eng Hn,11
413.5,169,1.67,a',Cl,5
426.0,171,2,a,Eng Hn,10
466.0,177,4.67,a,Ob,3
490.0,181,4.67,a,Fl,1
502.0,183,4.67,a,Ob,3
515.25,186,1.5,a,Fl,1
540.0,190,2,a,Ob,3
568.5,195,1,X,Vln,24
576.0,198,2.5,X,Cl,5
578.75,200,1.25,X,Fl,1
580.75,201,1.25,X,Picc,0
585.5,203,2,X,Vln,24
588.5,205,1,X,Vln,25
589.5,205,2,X,Vln,24
593.5,207,2,X,Vln,25
594.5,208,1,X,Vln,24
595.5,208,2,X,Vln,25
596.5,209,1,X,Fl,1
600.5,211,1,X,Picc,0
