qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
411.0,419.0,P8(Oboe 1)&P6(C Horn 2)&P8(E Horn 3)&P8(Viola),P8(Oboe 2)&P3(C Horn 1),P8(Flute 1)&P6(C Horn 2)&P8(E Horn 3)&P8(Viola),P8(Flute 2)&P3(C Horn 1),P6(Bb Clarinet 2),P6(Bb Clarinet 1),U(Bassoon 2)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),U(Bassoon 1)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),P3(Flute 2)&P3(Oboe 2),P6(Flute 1)&P6(Oboe 1)&P6(E Horn 3)&P6(Viola),P8(Flute 1)&P8(Oboe 1)&P6(C Horn 2)&U(Viola),P3(C Trumpet 1),P3(E Horn 4),,,,,,Main Part,P8(Main),P8(Flute 1)&P8(Oboe 1)&P6(C Horn 2)&U(E Horn 3),U(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
419.0,437.0,Main Part,,,,,,P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),,,,,P2(C Trumpet 2),P2(C Trumpet 1),,,,,,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
437.0,451.0,Main Part,,,,,,P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),U(C Trumpet 1),,,,U(C Horn 1),,,,,,,,,P8(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
451.0,467.0,Main Part,P8(Contrabassoon)&P5(E Horn 4)&P3(C Trumpet 1)&P8(C Trumpet 2),,,,,,,P8(Flute 2)&P5(E Horn 4)&P3(C Trumpet 1)&P8(C Trumpet 2),,,,P5(Flute 2)&P5(Contrabassoon)&P3(C Trumpet 1)&P5(C Trumpet 2),P3(Flute 2)&P3(Contrabassoon)&P3(E Horn 4)&P3(C Trumpet 2),P8(Flute 2)&P8(Contrabassoon)&P5(E Horn 4)&P3(C Trumpet 1),,,,,,,,,
467.0,500.0,P8(Oboe 1)&P8(C Horn 1),,P8(Flute 1)&U(C Horn 1),,,,,,,P8(Flute 1)&U(Oboe 1),,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
500.0,524.0,P8(Bb Clarinet 1),,,,P8(Flute 1),,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,,,,
524.0,564.5,,,Main Part,,,,,,,,,P8(E Horn 4),P8(E Horn 3),,,,,,,,,,P8(Contrabass),P8(Violoncello)
564.5,579.0,P4(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P4(Flute 1)&U(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2),P4(Flute 1)&U(Flute 2)&P4(Oboe 2)&P4(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2),P8(Flute 1)&P4(Flute 2)&P4(Oboe 1)&U(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&P4(Flute 2)&P4(Oboe 1)&U(Oboe 2)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P4(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P2(Bassoon 1)&P2(Bassoon 2),P3(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 2),P3(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 1),,P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1),,,,,,,,P8(Contrabass),P8(Violoncello)
579.0,587.0,P4(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P4(Flute 1)&U(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P4(Flute 1)&U(Flute 2)&P4(Oboe 2)&P4(Bb Clarinet 1)&P8(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P8(Flute 1)&P4(Flute 2)&P4(Oboe 1)&U(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 1)&P4(Flute 2)&P4(Oboe 1)&U(Oboe 2)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&U(C Trumpet 1)&P8(C Trumpet 2),P4(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P2(Bassoon 1)&P2(Bassoon 2)&P4(C Trumpet 1)&P4(C Trumpet 2),P3(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2),P3(Flute 1)&P2(Flute 2)&P2(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1)&P2(Bb Clarinet 2)&P8(Bassoon 1)&P3(C Trumpet 1)&P3(C Trumpet 2),,,,,,P8(Flute 1)&P4(Flute 2)&P4(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 2),P8(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 1),,,,,Main Part,,,,
587.0,618.5,,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,,,,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
