qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
1039.0,1049.0,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1049.0,1065.5,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1065.5,1111.5,Main Part,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,P8(C Trumpet 2),P8(C Trumpet 1),P3(Trombone 2)&P6(Trombone 3),P3(Trombone 1)&P4(Trombone 3),P6(Trombone 1)&P4(Trombone 2),,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1111.5,1151.0,Main Part,,,,,,,,P8(Contrabass),,,,,,,,,,,,,,,P8(Contrabassoon)
1151.0,1155.0,,,U(C Horn 2),,,,U(Bassoon 2),U(Bassoon 1),P8(Timpani)&U(Contrabass),Main Part,U(Oboe 1),,,,,,,,P8(Contrabassoon)&P8(Contrabass),,,P3(Violoncello),P3(Viola),U(Contrabassoon)&P8(Timpani)
1155.0,1159.0,,,U(Main),,P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Violin 1),P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Violin 1),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P8(Violin 1),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Violin 1),P8(Timpani)&U(Contrabass),,Main Part,,,,,,,,P8(Contrabassoon)&P8(Contrabass),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2),,,,U(Contrabassoon)&P8(Timpani)
1159.0,1163.0,,,U(C Horn 2),,P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(Viola)&P8(Violoncello),P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(Viola)&P3(Violoncello),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P8(Viola)&U(Violoncello),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Viola)&P3(Violoncello),P8(Timpani)&U(Contrabass),Main Part,U(Oboe 1),,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Main),,U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(Violoncello),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P8(Viola),U(Contrabassoon)&P8(Timpani)
1163.0,1167.0,,,U(Main)&U(Violin 2),,P8(Bassoon 1)&U(Viola)&P8(Violoncello),P8(Bassoon 2),P8(Bb Clarinet 1)&P8(Viola)&U(Violoncello),P8(Bb Clarinet 2),P8(Timpani)&P8(Contrabass),,Main Part,,,,,,,,P8(Contrabassoon)&P8(Contrabass),,U(Oboe 1)&U(Main),U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Violoncello),P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Viola),P8(Contrabassoon)&P8(Timpani)
1167.0,1183.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(Bb Clarinet 1),P8(Bb Clarinet 2),P8(Timpani)&P8(Contrabass),Main Part,,,,,,,,,P8(Contrabassoon)&P8(Contrabass),,,P8(Violoncello),P8(Viola),P8(Contrabassoon)&P8(Timpani)
1183.0,1197.0,,,,,,,,,U(Contrabass),,,,,,,,,,,Main Part,,,,U(Contrabassoon)
1197.0,1251.5,,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,Main Part,,,,
1251.5,1260.0,P8(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,P8(Flute 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Oboe 1)&P8(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1),,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1260.0,1299.5,,,U(C Horn 1),,,,,,,U(Oboe 1),,,,,,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1299.5,1303.5,,,P6(Bassoon 1)&P8(Bassoon 2)&U(Violin 1),,,,P6(Oboe 1)&P6(Bassoon 2)&P6(Violin 1),P8(Oboe 1)&P6(Bassoon 1)&P8(Violin 1),,P8(C Horn 2),P8(C Horn 1),,,,,,,,,U(Oboe 1)&P6(Bassoon 1)&P8(Bassoon 2),,Main Part,P8(Contrabass),P8(Violoncello)
1303.5,1307.5,,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
1307.5,1323.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,Main Part,,,,
1323.0,1354.5,,,,,P3(Bb Clarinet 2),P3(Bb Clarinet 1),,,P8(Violoncello)&U(Contrabass),,,,,,,,,,,Main Part,P8(Main),,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1354.5,1362.5,Main Part,,P8(Main),,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1362.5,1370.5,P8(Oboe 1),P8(Bb Clarinet 2)&P8(C Horn 2)&P4(E Horn 3)&P4(E Horn 4)&P8(C Trumpet 2),P8(Flute 1),,U(C Horn 1),P8(Flute 2)&U(C Horn 2)&P4(E Horn 3)&P4(E Horn 4)&U(C Trumpet 2),P8(Bassoon 2),P8(Bassoon 1),,U(Bb Clarinet 1),P8(Flute 2)&U(Bb Clarinet 2)&P4(E Horn 3)&P4(E Horn 4)&U(C Trumpet 2),P4(Flute 2)&P4(Bb Clarinet 2)&P4(C Horn 2)&U(E Horn 4)&P4(C Trumpet 2),P4(Flute 2)&P4(Bb Clarinet 2)&P4(C Horn 2)&U(E Horn 3)&P4(C Trumpet 2),,P8(Flute 2)&U(Bb Clarinet 2)&U(C Horn 2)&P4(E Horn 3)&P4(E Horn 4),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1370.5,1403.0,,P5(Oboe 1)&P8(Oboe 2)&P8(Contrabassoon)&P5(C Horn 2)&P3(E Horn 3)&P3(E Horn 4)&P5(C Trumpet 1)&P5(C Trumpet 2),P5(Flute 2)&P5(Oboe 2)&P5(Contrabassoon)&P8(C Horn 2)&P3(E Horn 3)&P3(E Horn 4)&U(C Trumpet 1)&P8(C Trumpet 2),P8(Flute 2)&P5(Oboe 1)&P8(Contrabassoon)&P5(C Horn 2)&P3(E Horn 3)&P3(E Horn 4)&P5(C Trumpet 1)&P5(C Trumpet 2),Main Part,,,,P8(Flute 2)&P5(Oboe 1)&P8(Oboe 2)&P5(C Horn 2)&P3(E Horn 3)&P3(E Horn 4)&P5(C Trumpet 1)&P5(C Trumpet 2),,P5(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(Contrabassoon)&P3(E Horn 3)&P3(E Horn 4)&P8(C Trumpet 1)&U(C Trumpet 2),P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Contrabassoon)&P3(C Horn 2)&P8(E Horn 4)&P3(C Trumpet 1)&P3(C Trumpet 2),P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Contrabassoon)&P3(C Horn 2)&P8(E Horn 3)&P3(C Trumpet 1)&P3(C Trumpet 2),P5(Flute 2)&U(Oboe 1)&P5(Oboe 2)&P5(Contrabassoon)&P8(C Horn 2)&P3(E Horn 3)&P3(E Horn 4)&P8(C Trumpet 2),P5(Flute 2)&P8(Oboe 1)&P5(Oboe 2)&P5(Contrabassoon)&U(C Horn 2)&P3(E Horn 3)&P3(E Horn 4)&P8(C Trumpet 1),,,,,,,,P8(Contrabass),P8(Violoncello)
1403.0,1464.0,Main Part,,P8(Main),,,,,,P8(Violoncello)&U(Contrabass),,,,,,,,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1464.0,1466.0,,,,,,,P3(Bassoon 2)&U(Viola),P3(Bassoon 1)&P3(Main)&P3(Viola),,,Main Part,,,,,,,,,,,U(Bassoon 1)&P3(Bassoon 2),,
1466.0,1468.0,,,,,,,P3(Bassoon 2)&P5(C Horn 2)&U(Viola),P3(Bassoon 1)&P3(C Horn 2)&P3(Viola),,Main Part,P5(Bassoon 1)&P3(Bassoon 2)&P5(Viola),,,,,,,,,U(Violin 2),U(Violin 1),U(Bassoon 1)&P3(Bassoon 2)&P5(C Horn 2),,
1468.0,1472.0,,,,,,P8(E Horn 4),U(Viola),,,P5(C Horn 2),P5(C Horn 1),,P8(Bb Clarinet 2),,,,,,,Main Part,U(Main),U(Bassoon 1),P8(Contrabass),P8(Violoncello)
1472.0,1474.0,,,,,P8(E Horn 3),P8(Main),P2(Bassoon 2)&U(Viola),P2(Bassoon 1)&P2(Viola),,,,P8(Bb Clarinet 1),Main Part,,,,,,,,,U(Bassoon 1)&P2(Bassoon 2),,
1474.0,1476.0,,,,,P8(Main),P4(Bassoon 1)&P5(Bassoon 2)&P8(E Horn 4)&P4(Viola),P4(Bb Clarinet 2)&P2(Bassoon 2)&P4(E Horn 4)&U(Viola),P5(Bb Clarinet 2)&P2(Bassoon 1)&P5(E Horn 4)&P2(Viola),,,,Main Part,P8(Bb Clarinet 2)&P4(Bassoon 1)&P5(Bassoon 2)&P4(Viola),,,,,,,P8(Violin 2),P8(Violin 1),P4(Bb Clarinet 2)&U(Bassoon 1)&P2(Bassoon 2)&P4(E Horn 4),,
1476.0,1480.0,P8(Oboe 1),,P8(Flute 1),,P8(Viola),P4(E Horn 3)&P8(E Horn 4),,,,,,P4(Bb Clarinet 2)&P4(E Horn 4),P8(Bb Clarinet 2)&P4(E Horn 3),,,P3(Trombone 2),P3(Trombone 1),,,Main Part,,P8(Bb Clarinet 1),P8(Contrabass),P8(Violoncello)
1480.0,1559.0,Main Part,,,,,,,,,P8(C Horn 2)&P8(Timpani),P8(C Horn 1)&P8(Timpani),,,P8(C Trumpet 2),P8(C Trumpet 1),,,,P8(C Horn 1)&P8(C Horn 2),,,,P8(Contrabass),P8(Violoncello)
1559.0,1607.0,,,,,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1607.0,1623.0,Main Part,P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 2),P8(Main)&U(Bb Clarinet 1)&P8(Bassoon 1)&U(C Horn 1),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2)&U(C Horn 2),P8(Main)&U(Oboe 1)&P8(Bassoon 1)&U(C Horn 1),P8(Flute 2)&U(Oboe 2)&P8(Bassoon 2)&U(C Horn 2),P8(Main)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(C Horn 1),P8(Flute 2)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(C Horn 2),P8(Trombone 1)&P6(Trombone 2)&P8(Trombone 3),P8(Main)&U(Oboe 1)&U(Bb Clarinet 1)&P8(Bassoon 1),P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 2),,,,,P8(Contrabassoon)&P6(Trombone 2)&P8(Trombone 3),P6(Contrabassoon)&P6(Trombone 1)&P6(Trombone 3),P8(Contrabassoon)&P8(Trombone 1)&P6(Trombone 2),,,,,P8(Contrabass),P8(Violoncello)
1623.0,1662.3333,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),P8(Bassoon 1),,P8(Bb Clarinet 1),,P8(Trombone 3),,,,,,,,,P8(Contrabassoon),,Main Part,,,,
1662.3333,1672.3333,P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 2),P6(Flute 1)&P6(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P6(Bb Clarinet 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Bb Clarinet 2),P8(Bassoon 1),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Oboe 2),P8(Bb Clarinet 1),,P8(E Horn 3)&P8(E Horn 4),,U(C Trumpet 2),P8(Contrabassoon)&P8(E Horn 4),P8(Contrabassoon)&P8(E Horn 3),,U(C Horn 2),P6(Trombone 2)&P4(Trombone 3),P6(Trombone 1)&P3(Trombone 3),P4(Trombone 1)&P3(Trombone 2),P2(Contrabass),Main Part,P8(Main),,,P2(Timpani)
1672.3333,1783.0,Main Part,P8(Oboe 2),,P8(Flute 2),,,,,P8(Violoncello)&U(Contrabass),,,,,,,,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1783.0,1823.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2)&P8(Contrabassoon)&P8(Trombone 3)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Trombone 3)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Trombone 3)&P8(Violoncello)&U(Contrabass),,,,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&U(Trombone 3)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Trombone 3)&P8(Violoncello)
