qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Bass Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
55.0,42.7711,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,B-5,r,r,r
59.0,44.6172,15,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,B-5,B-3,B-3,r
61.0,45.5403,15,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,C#4,C#4,r
62.0,46.0019,15,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,B-3,B-3,r
62.75,46.348,15,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,G#3,G#3,r
63.0,46.4634,16,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,F#3,F#3,r
66.0,47.848,16,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#6,B-5,F3,F3,r
67.0,48.3096,17,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C5,r,r,r,r,r,r,r,C6,B-5,E3,E3,r
68.0,48.7711,17,1.5,r,r,r,r,r,r,r,r,r,r,r,r,C4,r,r,r,r,r,r,r,C6,B-5,E3,E3,r
69.0,49.2326,17,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,B-5,F3,F3,r
70.75,50.0403,17,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,B-5,C4,C4,r
71.0,50.1557,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,A5,F4,F4,r
72.75,50.9634,18,1.875,C6,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,A5,r,r,r
73.0,51.0788,18,2.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,A5,r,r,r
74.75,51.8865,18,2.875,C6,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C6,A5,r,r,r
75.0,52.0019,19,1.0,F6,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F6,C#6,C#4,C#4,r
77.0,52.9249,19,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,C#6,E4,E4,r
78.0,53.3865,19,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,C#6,C#4,C#4,r
78.75,53.7326,19,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,C#6,B3,B3,r
79.0,53.848,20,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C#5,r,r,r,r,r,r,r,E6,C#6,A3,A3,r
80.0,54.3096,20,1.5,r,r,r,r,r,r,r,r,r,r,r,r,C#4,r,r,r,r,r,r,r,E6,C#6,A3,A3,r
82.0,55.2326,20,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,C#6,G#3,G#3,r
83.0,55.6942,21,1.0,r,r,r,r,r,r,r,r,r,r,r,r,E-5,r,r,r,r,r,r,r,E-6,C#6,G3,G3,r
84.0,56.1557,21,1.5,r,r,r,r,r,r,r,r,r,r,r,r,E-4,r,r,r,r,r,r,r,E-6,C#6,G3,G3,r
85.0,56.6172,21,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-6,C#6,G#3,G#3,r
86.75,57.4249,21,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-6,C#6,E-4,E-4,r
87.0,57.5403,22,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-6,C6,G#4,G#4,r
91.0,59.3865,23,1.0,r,r,r,r,G#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
92.0,59.895,23,1.5,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
94.0,60.9119,23,2.5,r,r,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
94.75,61.2933,23,2.875,r,r,r,r,G#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
95.0,61.4204,24,1.0,r,r,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
96.0,61.9289,24,1.5,r,r,r,r,A5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
99.0,63.4543,25,1.0,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
99.6667,64.0257,25,1.3333,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
100.3333,64.5971,25,1.6667,r,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
101.0,65.1686,25,2.0,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
101.6667,65.74,25,2.3333,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
102.0,66.0257,25,2.5,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
102.3333,66.3114,25,2.6667,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
103.0,66.8828,26,1.0,A5,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
103.5,67.3114,26,1.25,A4,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
103.6667,67.4543,26,1.3333,A4,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
104.0,67.74,26,1.5,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
104.3333,68.0257,26,1.6667,r,r,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
105.0,68.5971,26,2.0,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,E4,E3,E2
105.6667,69.1686,26,2.3333,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
106.3333,69.74,26,2.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
107.0,70.3114,27,1.0,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,B-3,B-2,B-1
107.6667,70.8829,27,1.3333,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
108.0,71.1686,27,1.5,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
108.3333,71.4542,27,1.6667,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A4,A3,A2
109.0,72.0257,27,2.0,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
109.6667,72.5972,27,2.3333,r,r,C5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
110.0,72.8828,27,2.5,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
110.3333,73.1685,27,2.6667,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
110.5,73.3114,27,2.75,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
111.0,73.74,28,1.0,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,D4,D3,D2
111.6667,74.3114,28,1.3333,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
112.0,74.5971,28,1.5,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
112.3333,74.8828,28,1.6667,r,r,E4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
112.5,75.0257,28,1.75,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
113.0,75.4543,28,2.0,r,r,E4,r,r,r,r,r,E4,C#4,E3,A2,r,r,r,r,r,r,r,r,A3,A3,A3,A2,A1
115.0,77.1686,29,1.0,r,r,r,r,G#5,G#5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
116.0,77.677,29,1.5,r,r,r,r,G#4,G#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
118.0,78.694,29,2.5,r,r,r,r,G4,G4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
118.75,79.0753,29,2.875,r,r,r,r,G#4,G#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
119.0,79.2025,30,1.0,r,r,r,r,A4,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
120.0,79.7109,30,1.5,r,r,r,r,A5,A5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
123.0,81.2364,31,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2
124.0,81.7448,31,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
126.0,82.7618,31,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
126.75,83.1431,31,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
127.0,83.2703,32,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,B1
128.0,83.7787,32,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
130.0,84.7957,32,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3
130.75,85.177,32,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#3
131.0,85.3042,33,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,B2
131.75,85.6855,33,1.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2
132.0,85.8126,33,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
132.75,86.194,33,1.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
133.0,86.3211,33,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-2
134.0,86.8296,33,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2
135.0,87.3381,34,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,B-2,B-1
136.0,87.8465,34,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F4,F3
136.75,88.2279,34,1.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,E-4,E-3
137.0,88.355,34,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#3
137.75,88.7364,34,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C3
138.0,88.8635,34,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B-3,B-2
138.75,89.2448,34,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,G#3,G#2
139.0,89.372,35,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,B-3,B-2
139.75,89.7533,35,1.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,G#3,G#2
140.0,89.8804,35,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,F#3,F#2
140.75,90.2618,35,1.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,E-3,E-2
141.0,90.3889,35,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
141.75,90.7703,35,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C3,C2
142.0,90.8974,35,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,B-2,B-1
142.5,91.1516,35,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-4,C3,C2
142.75,91.2787,35,2.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,D3,D2
143.0,91.4058,36,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,E-3,E-2
143.75,91.7872,36,1.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-3,E-2
144.0,91.9143,36,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,B-3,B-2
144.75,92.2957,36,1.875,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,G#3,G#2
145.0,92.4228,36,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,F#3,F#2
145.75,92.8042,36,2.375,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,F3,F2
146.0,92.9313,36,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,E3,E2
