qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Bass Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,8.0,,,,,P8(Viola),,,,,,,,,,,,,,,,,,P8(Bb Clarinet 1),Main Part,P8(Main)
8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
12.0,43.0,,,,,,,,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
43.0,51.0,,,,,Main Part,,,,,,,,,,,,,,,,P6(Violin 2),P6(Violin 1),,,
51.0,59.0,,,,,,,,,,,,,,,,,,,,,Main Part,P6(Main),U(Violoncello),U(Viola),
59.0,72.75,,,,,,,,,,,,,,,,,,,,,,,Main Part,U(Main),
72.75,75.0,Main Part,,,,,,,,,,,,,,,,,,,,,,U(Violoncello),U(Viola),
75.0,91.0,,,,,,,,,,,,,,,,,,,,,,,Main Part,U(Main),
91.0,99.0,,,P5(Violin 1)&P5(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),,Main Part,,,,,,,,,,,,,,,,P5(Oboe 1)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P5(Oboe 1)&U(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P5(Oboe 1)&U(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P5(Oboe 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P5(Oboe 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
99.0,115.0,,,Main Part,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,P3(F Horn 2)&P8(F Horn 3)&P4(F Horn 4),P3(F Horn 1)&P3(F Horn 3)&P6(F Horn 4),P8(F Horn 1)&P3(F Horn 2)&P4(F Horn 4),P4(F Horn 1)&P6(F Horn 2)&P4(F Horn 3),,,,,,,,,U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
115.0,123.0,,,,,Main Part,U(Main),,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
123.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Main)
135.0,155.0,,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
155.0,167.0,,,,,,,,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
167.0,185.0,,,,,,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
