qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,"C, G Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-3,r
0.375,0.4891,1,1.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,r
0.5,0.6522,2,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,G#1
1.0,1.3043,2,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,G#1
1.375,1.7935,2,1.5833,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,G#1
1.5,1.9565,2,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,r
1.875,2.4457,2,1.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,r
2.0,2.6087,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F3,C#2
2.5,3.2609,3,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F3,C#2
2.875,3.75,3,1.5833,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,C#2
3.0,3.913,3,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,r
3.375,4.4022,3,1.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,r
3.5,4.5652,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,B-1
3.875,5.0543,4,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,B-1
4.0,5.2174,4,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,G1
4.375,5.7065,4,1.5833,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,G1
4.5,5.8696,4,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,B-1
4.875,6.3587,4,1.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,B-1
5.0,6.5217,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E3,C2
5.375,7.0109,5,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,C2
5.5,7.1739,5,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C2
6.0,7.8261,5,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,r
6.375,8.3152,5,1.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,r
6.5,8.4783,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A3,F2
6.875,8.9674,6,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,F3,F2
7.0,9.1304,6,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,B-1
7.75,10.1087,6,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,r
8.0,10.4348,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,E-2
8.375,10.9239,7,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-3,E-3,E-2
8.5,11.087,7,1.3333,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,G#1
9.0,11.7391,7,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,G#3,r
9.375,12.2283,7,1.9167,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,r
9.5,12.3913,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-1
11.0,14.3478,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,G#1
12.0,15.6522,9,1.6667,r,r,r,r,r,r,G#3,G#3,r,r,r,r,r,G#4,E-4,C4,C3,C2
12.375,16.1413,9,1.9167,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,C4,G#3,G#2,G#1
12.5,16.3043,10,1.0,r,r,r,r,r,r,E-4,E-4,r,r,r,r,r,E-5,B-3,G3,E-2,E-1
14.0,18.2609,11,1.0,r,r,r,r,r,r,C4,C4,r,r,r,r,r,C5,C4,G#3,G#2,G#1
15.0,19.5652,11,1.6667,G#5,r,E-5,r,E-5,C5,G#4,G#4,r,r,r,r,r,r,r,r,r,r
15.375,20.0543,11,1.9167,C6,r,E-5,r,C5,G#4,G#4,G#4,r,r,r,r,r,r,r,r,r,r
15.5,20.2174,12,1.0,E-6,r,E-5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
16.5,21.5217,12,1.6667,E-6,r,F5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
16.75,21.8478,12,1.8333,E-6,r,G5,r,E-5,B-4,G4,E-4,r,r,r,r,r,r,r,r,r,r
17.0,22.1739,13,1.0,C#6,r,G#5,r,C#5,G#4,F4,F4,r,r,r,r,r,r,r,r,r,r
17.5,22.8261,13,1.3333,C6,r,G#5,r,C5,G#4,F4,F4,r,r,r,r,r,r,r,r,r,r
18.5,24.1304,14,1.0,B-5,r,E-5,r,B-4,E-4,C4,C4,r,r,r,r,r,r,r,r,r,r
19.0,24.7826,14,1.3333,G#5,r,E-5,r,G#4,E-4,C4,C4,r,r,r,r,r,r,r,r,r,r
20.0,26.087,15,1.0,G5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
20.5,26.7391,15,1.3333,G5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
21.0,27.3913,15,1.6667,G5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
21.1667,27.6087,15,1.7778,G#5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
21.3333,27.826,15,1.8889,G#5,r,E-5,r,C#5,B-4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
21.375,27.8804,15,1.9167,r,r,E-5,r,C#5,G4,E-4,E-4,r,r,r,r,r,r,r,r,r,r
21.5,28.0435,16,1.0,G#5,r,E-5,r,C5,G#4,E-4,G#3,r,r,r,r,r,r,r,r,r,r
22.25,29.0217,16,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,G#3,r,r,r
22.5,29.3478,16,1.6667,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,r,r,r
22.75,29.6739,16,1.8333,r,r,r,r,r,r,r,r,r,r,r,r,r,E-5,E-4,r,r,r
23.0,30.0,17,1.0,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,E-5,E-4,G#4,F3,F2
23.25,30.3261,17,1.1667,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,C#5,C#4,G#4,F3,F2
23.5,30.6522,17,1.3333,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,C5,C4,G#4,F3,F2
24.25,31.6304,17,1.8333,r,r,r,r,r,r,G#3,G#2,r,r,r,r,r,C5,C4,G#4,F3,F2
24.5,31.9565,18,1.0,r,r,r,r,r,r,G#3,E-3,r,r,r,r,r,C5,C4,E-4,C3,C2
24.75,32.2826,18,1.1667,r,r,r,r,r,r,G#3,E-3,r,r,r,r,r,B-4,B-3,E-4,C3,C2
25.0,32.6087,18,1.3333,r,r,r,r,r,r,G#3,E-3,r,r,r,r,r,G#4,G#3,E-4,C3,C2
25.5,33.2609,18,1.6667,r,r,r,r,E-4,C4,G#3,E-3,r,r,r,r,r,G#4,G#3,E-4,C3,C2
25.75,33.587,18,1.8333,r,r,r,r,E-4,C4,G#3,E-3,r,r,r,r,r,G#4,G#3,E-4,C3,C2
26.0,33.913,19,1.0,r,r,r,r,E-4,C#4,B-3,E-3,r,r,r,r,r,G4,G3,C#4,E-3,E-2
26.5,34.5652,19,1.3333,r,r,r,r,E-4,C#4,B-3,E-3,r,r,r,r,r,G4,G3,C#4,E-3,E-2
