score_qstamp,qstamp,measure,beat,726696_tstamp,728534_tstamp,729214_tstamp,726691_tstamp,729227_tstamp,726680_tstamp,726652_tstamp,726628_tstamp,726688_tstamp,726641_tstamp
0.0,0.0,1,1.6667,2.64,6.62,1.68,3.06,4.2,163.1,2.68,169.96,3.44,2.64
0.375,0.375,1,1.9167,3.4091,7.4673,2.3291,3.8382,4.9873,163.7782,3.2491,170.8291,4.6291,3.1291
0.5,0.5,2,1.0,3.7976,7.6522,2.5444,4.2298,5.2288,164.1532,3.4122,171.0322,5.0688,3.3722
1.0,1.0,2,1.3333,4.6843,8.3443,3.2443,5.0443,5.9643,165.0443,4.0643,172.1243,5.9443,4.1243
1.375,1.375,2,1.5833,5.307,9.0535,3.747,5.7205,6.857,165.6415,4.5535,172.8015,6.555,4.627
1.5,1.5,2,1.6667,5.5565,9.3165,3.9565,5.9565,7.1565,165.9095,4.7165,173.0165,6.7765,4.8365
1.875,1.875,2,1.9167,6.2257,9.8857,4.4657,6.6257,7.8857,166.4657,5.2057,173.6857,7.3857,5.4057
2.0,2.0,3,1.0,6.3887,10.0687,4.6287,6.7887,8.0487,166.7679,5.2887,173.8487,7.6261,5.5687
2.5,2.5,3,1.3333,7.1135,10.8654,5.3009,7.5171,8.7499,167.6209,5.9409,174.5452,8.8445,6.2209
2.875,2.875,3,1.5833,8.1,11.45,5.79,8.5,9.52,168.23,6.43,175.58,9.41,6.63
3.0,3.0,3,1.6667,8.313,11.613,5.953,8.713,9.813,168.433,6.573,175.773,9.573,6.793
3.375,3.375,3,1.9167,9.0022,12.1822,6.5266,9.3622,10.471,169.1222,7.0622,176.5176,10.2044,7.2822
3.5,3.5,4,1.0,9.1652,12.3556,6.7252,9.5252,10.7052,169.2852,7.2052,176.8052,10.4216,7.4452
3.875,3.875,4,1.25,9.8743,12.8943,7.2143,10.2343,11.3943,169.8943,7.6743,177.4686,11.2487,7.9343
4.0,4.0,4,1.3333,10.0374,13.0974,7.3774,10.3974,11.5574,170.1974,7.8374,177.6374,11.4774,8.0974
4.375,4.375,4,1.5833,10.7465,13.6465,7.893,11.1065,12.126,170.6865,8.2265,178.3395,12.2465,8.5865
4.5,4.5,4,1.6667,10.9096,13.8096,8.0696,11.2696,12.3296,170.8496,8.3496,178.5296,12.4096,8.7496
4.875,4.875,4,1.9167,11.6987,14.4787,8.5587,11.8587,12.9774,171.5374,8.8387,179.2187,13.1187,9.2787
