qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
275.5,276.5,Main Part,P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Oboe 2),P8(Oboe 1),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Main)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Bb Clarinet 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(Flute 2)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 2)&P8(Bb Clarinet 2)&U(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P8(Flute 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Violin 2),P8(Violin 1),,P8(Contrabass),P8(Violoncello)
276.5,282.5,U(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),U(Flute 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,,P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),,,P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
282.5,287.0,,,,,,P8(Bassoon 1),P8(Bb Clarinet 2),,P8(C Horn 2),P8(C Horn 1),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
287.0,288.5,U(Oboe 1),P3(Oboe 2)&P3(Bb Clarinet 1),U(Flute 1),P3(Flute 2)&P8(Bb Clarinet 1),P3(Flute 2)&P8(Oboe 2),P8(Bassoon 1),P8(Bb Clarinet 2),P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P8(C Horn 2),P8(C Horn 1),P5(Bassoon 2)&P8(C Trumpet 2)&P8(Timpani),P5(Bassoon 2)&P8(C Trumpet 1)&P8(Timpani),P5(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
288.5,290.0,,,,,Main Part,P8(Main)&P8(Bassoon 1),P8(Main)&P8(Bb Clarinet 2),,U(C Horn 2)&P3(Violin 2),U(C Horn 1)&P3(Violin 2),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),,P3(C Horn 1)&P3(C Horn 2)&P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
290.0,291.0,P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),,,,P8(Flute 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),U(C Horn 2),U(C Horn 1),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Main)&P8(Contrabass),P8(Main)&P8(Violoncello)
291.0,298.25,Main Part,U(Oboe 2),,U(Flute 2),,,,,U(C Horn 2),U(C Horn 1),,,,P8(Viola),P8(Violoncello)&P8(Contrabass),P8(Violin 1),P8(Violin 2)&P8(Contrabass),P8(Violin 2)&P8(Violoncello)
298.25,304.5,P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),,,,P5(Flute 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P5(Flute 1)&U(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 2),P3(Flute 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
304.5,307.5,P5(Bb Clarinet 1)&P5(Bb Clarinet 2),,,,P5(Flute 1)&U(Bb Clarinet 2),P5(Flute 1)&U(Bb Clarinet 1),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
307.5,314.5,,,,,,,Main Part,,,,,,,,,,,
314.5,319.375,,,Main Part,,,,,,,,,,,,,,,
319.375,325.1667,U(Oboe 1),U(Oboe 2),U(Flute 1),U(Flute 2),,,,,U(C Horn 2),U(C Horn 1),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,P3(Viola),P3(Violin 2),,
325.1667,327.0,,,,,P8(Bassoon 1)&P8(Main)&P8(Violoncello),,P8(Bb Clarinet 1)&P8(Main)&U(Violoncello),,,,,,,Main Part,P3(Viola),P3(Violin 2),P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Main),
327.0,327.5,P3(Main),,,,,Main Part,,,,,,,,,,,,
327.5,328.0,P3(Bb Clarinet 2),,,,Main Part,P3(Flute 1)&P3(Main),,,,,,,,,,,,
328.0,329.0,P8(Bb Clarinet 1),,Main Part,,P8(Flute 1),,U(Bassoon 2),U(Bassoon 1),,,,,,,,,,
329.0,334.25,Main Part,,,,,,,,,,,,,P8(Viola),,P8(Violin 1),,
334.25,337.75,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),,P8(Flute 1)&U(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute 1)&U(Oboe 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2),P8(Flute 1)&U(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 2),P3(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 1),,,,,,,,Main Part,,P8(Main),P8(Contrabass),P8(Violoncello)
337.75,343.5,,,,P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Bassoon 1),P3(Oboe 2)&P8(Bassoon 2),P8(Bb Clarinet 1),P3(Oboe 2)&P8(Bb Clarinet 2),,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
343.5,346.5,,,,,Main Part,P8(Bassoon 2),P8(Main),P8(Bb Clarinet 2),,,,,,,P3(Viola),P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Viola)&P8(Contrabass),P3(Viola)&P8(Violoncello)
346.5,349.5,,,,,Main Part,,,,,,,,,,P3(Viola),P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Viola)&P8(Contrabass),P3(Viola)&P8(Violoncello)
349.5,351.0,,,,,P5(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P5(Bb Clarinet 1)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Violin 2)&P3(Viola)&P5(Violoncello)&P5(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),,,,,,Main Part,P5(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P3(Viola)&P5(Violoncello)&P5(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Violin 2)&P3(Viola)&P8(Contrabass),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Violin 2)&P3(Viola)&P8(Violoncello)
351.0,352.5,,,,,P5(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P5(Bb Clarinet 1)&P3(Bassoon 1)&P5(Bassoon 2),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1),,,,,,,Main Part,,P3(Bassoon 1)&P8(Contrabass),P3(Bassoon 1)&P8(Violoncello)
352.5,354.5,,,,,P5(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P5(Bb Clarinet 1)&P3(Bassoon 1)&P5(Bassoon 2),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1),,,,,,,,Main Part,P8(Main)&U(Contrabass),P8(Main)&U(Violoncello)
354.5,360.0,U(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani)&P8(Violin 1)&P8(Violin 2),U(Flute 1)&P3(Oboe 1)&P5(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani)&P8(Violin 1)&P8(Violin 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P3(Violin 1)&P3(Violin 2),P5(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P5(Violin 1)&P5(Violin 2),Main Part,P5(Main)&P3(Bassoon 1)&P5(Bassoon 2),P3(Main)&P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Main)&P5(Bb Clarinet 2)&P3(Bassoon 1),P5(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani)&P5(Violin 1)&P5(Violin 2),P5(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&U(C Horn 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani)&P5(Violin 1)&P5(Violin 2),P5(Flute 1)&P5(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani)&P5(Violin 1)&P5(Violin 2),P5(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(Timpani)&P5(Violin 1)&P5(Violin 2),P5(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P5(Violin 1)&P5(Violin 2),P8(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani)&U(Violin 2),P8(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani)&U(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
360.0,363.0,Main Part,P3(Oboe 1),P3(Flute 2)&P3(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P3(Violin 1)&P3(Violin 2),P3(Oboe 1)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P8(Main),,,,P3(Oboe 1)&P8(Oboe 2)&U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&U(C Horn 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P3(Oboe 1)&U(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P3(Oboe 1)&P8(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P3(Oboe 1),P3(Oboe 1),,P8(Contrabass),P8(Violoncello)
363.0,367.5,Main Part,P8(Oboe 2),,P8(Flute 2),,P8(Bassoon 2),P8(Main),P8(Bb Clarinet 2),U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),U(C Horn 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P5(Viola)&P5(Violoncello)&P5(Contrabass),,P5(Violin 1)&P8(Violoncello)&P8(Contrabass),P5(Violin 1)&P8(Viola)&P8(Contrabass),P5(Violin 1)&P8(Viola)&P8(Violoncello)
367.5,369.5,Main Part,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main),P8(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),U(C Horn 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(Violin 2),U(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
