qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
80.0,84.5,,,P8(Bassoon 1),U(Bb Clarinet 2)&P3(Bassoon 2),,U(Oboe 2)&P3(Bassoon 2),P8(Oboe 1),P3(Oboe 2)&P3(Bb Clarinet 2),,,,,,,,Main Part,U(Main),
84.5,87.75,,,P5(Oboe 2)&U(Bb Clarinet 1)&P5(Bb Clarinet 2),P5(Oboe 1)&P5(Bb Clarinet 1)&U(Bb Clarinet 2),U(Oboe 1)&P5(Oboe 2)&P5(Bb Clarinet 2),P5(Oboe 1)&U(Oboe 2)&P5(Bb Clarinet 1),,,,,,,,Main Part,,,,
87.75,90.5,Main Part,,,,,,,,,,,,,P8(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P8(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Violin 1)&P5(Violin 2)&P8(Violoncello)&P8(Contrabass),P5(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Contrabass),P5(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)
90.5,95.75,Main Part,,,,,,,,,,,,,P8(Violin 2),P8(Violin 1),,,
95.75,102.0,P3(Oboe 1),,P3(Flute 1),,,,,,,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
102.0,103.5,Main Part,P3(Oboe 2)&P8(Violin 1)&P3(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1),P3(Flute 2)&P3(Violin 1)&P8(Violin 2)&P7(Viola)&P5(Violoncello)&P5(Contrabass),P3(Oboe 1),,,,,,,,,P8(Flute 2)&P3(Oboe 2)&P3(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),P3(Flute 2)&P8(Oboe 2)&P3(Violin 1)&P7(Viola)&P5(Violoncello)&P5(Contrabass),P5(Flute 2)&P7(Oboe 2)&P5(Violin 1)&P7(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 2)&P5(Oboe 2)&P3(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Contrabass),P3(Flute 2)&P5(Oboe 2)&P3(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Violoncello)
103.5,106.5,,P8(Bb Clarinet 2)&P5(Viola),,P5(Violoncello)&P5(Contrabass),,P8(Flute 2)&P5(Viola),,,,,,,,Main Part,,P5(Flute 2)&P5(Bb Clarinet 2)&P5(Main),P5(Oboe 2)&P8(Contrabass),P5(Oboe 2)&P8(Violoncello)
106.5,112.5,,,,,Main Part,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
112.5,117.5,P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P3(Violoncello)&P3(Contrabass),P3(Bb Clarinet 2),P3(Bb Clarinet 1),P8(Flute 1)&P8(Oboe 1),,P3(Flute 2)&P3(Oboe 2)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 2)&P3(Oboe 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 2)&P3(Oboe 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 2)&P3(Oboe 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P5(Violoncello)&P5(Contrabass),P3(Flute 2)&P3(Oboe 2),Main Part,,,P3(Flute 2)&P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Contrabass),P3(Flute 2)&P3(Oboe 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P8(Violoncello)
117.5,120.0,P8(Bassoon 1)&P8(Main),,,,,,P8(Flute 1)&P8(Main),,P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),,Main Part,,,P8(Contrabass),P8(Violoncello)
120.0,126.0,,,P8(C Horn 1)&U(Main),P8(C Horn 2)&U(C Trumpet 2),,,,,P8(Oboe 1)&P8(Main),P8(Oboe 2)&P8(C Trumpet 2),Main Part,U(Oboe 2)&P8(C Horn 2),U(Violoncello)&P8(Contrabass),U(Violin 2)&P8(Viola),U(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),U(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello)
126.0,130.5,,,P3(Oboe 2)&U(Main)&P3(C Trumpet 2),P3(Oboe 1)&P3(Main)&U(C Trumpet 2),,,,,P3(C Horn 2),P3(C Horn 1),Main Part,P3(Oboe 1)&U(Oboe 2)&P3(Main),U(Violoncello)&P8(Contrabass),,,,U(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello)
130.5,135.5,,,,,,,,,P3(C Horn 2),P3(C Horn 1),,,,Main Part,P3(Viola),P3(Violin 2),,
135.5,147.0,P8(Oboe 1),,P8(Flute 1),,U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,,,Main Part,,,,
147.0,152.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,P8(Violin 2),P8(Violin 1),Main Part,U(Main),
152.0,158.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,,P8(Flute 1)&P8(Oboe 1),,,,,,,,,Main Part,U(Main),
158.0,164.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,Main Part,,,,
164.0,170.625,P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),P5(Flute 1)&P3(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 2)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),,P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),,P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 2)&U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 2)&U(Bassoon 2)&U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 2)&U(Bassoon 2)&U(C Horn 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P5(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 2)&U(Bassoon 2)&U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,,
170.625,176.0,,,,,,,,P8(Violin 1),,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),P8(Bassoon 2),,,Main Part,P8(Main)
176.0,180.5,,,,,,,P8(Violin 2),P8(Violin 1),,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),P8(Bassoon 2),P8(Bassoon 1),,Main Part,P8(Main)
180.5,184.5,P8(Oboe 2),P8(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1),P8(Flute 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 2),P8(Flute 2)&P8(Bb Clarinet 1),P8(Oboe 1)&P8(Bb Clarinet 2),U(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),U(C Horn 1)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),U(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
184.5,190.5,,,,,,,,,,,,,,Main Part,P7(Main)&P3(Viola)&P5(Violoncello),P5(Main)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Main)&P5(Violin 2)&P3(Viola),P3(Viola)
190.5,193.5,,,,,Main Part,,,,,,,,,P3(Violoncello)&P3(Contrabass),P3(Viola),P3(Violin 2),P3(Violin 1)&P8(Contrabass),P3(Violin 1)&P8(Violoncello)
193.5,196.5,,,,,,,Main Part,,,,,,,,,U(Violoncello)&P8(Contrabass),U(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
196.5,201.5,Main Part,,,,,,,,,,,,,P3(Violin 2)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P3(Violin 1)&P2(Viola)&P2(Violoncello)&P2(Contrabass),P2(Violin 1)&P2(Violin 2)&U(Violoncello)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&U(Viola)&P8(Contrabass),P2(Violin 1)&P2(Violin 2)&P8(Viola)&P8(Violoncello)
201.5,206.0,Main Part,,,,,,,,,,,,,,,,,
206.0,207.75,,,,,Main Part,,,,,,,,,,,,,
207.75,213.5,Main Part,,,,,,,,,,,,,,,,,
213.5,214.75,Main Part,,,,,,,,,,,,,P7(Violin 2)&P5(Viola)&P3(Violoncello)&P3(Contrabass),P7(Violin 1)&P3(Viola)&P5(Violoncello)&P5(Contrabass),P5(Violin 1)&P3(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Contrabass),P3(Violin 1)&P5(Violin 2)&P3(Viola)&P8(Violoncello)
214.75,215.75,P5(Oboe 1)&P5(Bb Clarinet 1)&P4(Bb Clarinet 2),,P5(Flute 1)&P8(Bb Clarinet 1)&P2(Bb Clarinet 2),,P5(Flute 1)&P8(Oboe 1)&P2(Bb Clarinet 2),P4(Flute 1)&P2(Oboe 1)&P2(Bb Clarinet 1),,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
215.75,219.0,Main Part,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,
219.0,220.5,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&U(Violin 1)&U(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Bassoon 1)&P8(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&U(Violin 1)&U(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P3(Violoncello)&P3(Contrabass),Main Part,P8(Main),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 2)&P8(Timpani)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 1)&P8(Timpani)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&U(Violin 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&U(Violin 1)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bassoon 1)&U(Bassoon 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani)&P8(Violin 1)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P8(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P8(Violoncello)
220.5,235.5,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,,,P8(C Trumpet 1),P8(C Trumpet 2),P8(C Horn 1),P8(C Horn 2),U(Violoncello)&P8(Contrabass),Main Part,,,U(Timpani)&P8(Contrabass),P8(Timpani)&P8(Violoncello)
