qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3
1.0,0.3061,1,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3
2.0,0.6122,1,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,r,r,r,r,A3
3.0,0.9184,1,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,r,r,r,r,F#3
4.0,1.2245,2,1.0,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r,B3
5.0,1.5306,2,1.5,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r,r,F#3
6.0,1.8367,2,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,F#4,r,r,r,D3
7.0,2.1429,2,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,F#4,r,r,r,B2
8.0,2.449,3,1.0,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,r,r,r,F#3
9.0,2.7551,3,1.5,r,r,r,r,r,r,r,r,r,r,r,F#4,A4,r,r,r,E3
10.0,3.0612,3,2.0,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,r,r,r,D3
11.0,3.3673,3,2.5,r,r,r,r,r,r,r,r,r,r,r,F#5,A4,r,r,r,C#3
12.0,3.6735,4,1.0,r,r,r,r,r,r,r,r,r,r,r,F#5,G#4,r,r,r,B2
13.0,3.9796,4,1.5,r,r,r,r,r,r,r,r,r,r,r,F#5,C#4,r,r,r,A2
13.5,4.1327,4,1.75,r,r,r,r,r,r,r,r,r,r,r,F#5,C#4,r,r,r,B2
14.0,4.2857,4,2.0,r,r,r,r,r,r,r,r,r,r,r,F5,C#5,C#4,r,r,C#3
15.0,4.5918,4,2.5,r,r,r,r,r,r,r,r,r,r,r,F5,C#5,C#4,r,r,C#4
16.0,4.898,5,1.0,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,D4,r,r,D4
17.0,5.2041,5,1.5,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,D4,r,r,D3
17.5,5.3571,5,1.75,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,D4,r,r,C#3
18.0,5.5102,5,2.0,r,r,r,r,r,r,r,r,r,r,r,F#4,B4,D4,F#3,r,D3
19.0,5.8163,5,2.5,r,r,r,r,r,r,r,r,r,r,r,F#4,B4,D4,F#3,r,B2
20.0,6.1224,6,1.0,r,r,r,r,r,r,r,r,r,r,r,F#4,C#5,C#4,A3,r,F#3
21.0,6.4286,6,1.5,r,r,r,r,r,r,r,r,r,r,r,G#4,C#5,F#3,A3,r,F3
22.0,6.7347,6,2.0,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,F#4,A3,r,F#3
23.0,7.0408,6,2.5,r,r,r,r,r,r,r,r,r,r,r,F#4,C#4,F#4,A3,r,A3
24.0,7.3469,7,1.0,r,r,r,r,r,r,r,r,r,r,r,B4,C#4,F#4,G#3,r,G#3
25.0,7.6531,7,1.5,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,F#4,C#3,r,F#3
26.0,7.9592,7,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,F4,F4,C#4,C#3,G#3
27.0,8.2653,7,2.5,r,r,r,r,r,r,r,r,r,r,r,B4,C#4,F4,C#4,C#3,C#3
28.0,8.5714,8,1.0,r,r,r,r,r,r,r,r,r,r,r,A4,F#4,F#4,C#4,D3,D3
29.0,8.8776,8,1.5,r,r,r,r,r,r,r,r,r,r,r,A4,G#4,F#4,C#4,D3,C#3
29.5,9.0306,8,1.75,r,r,r,r,r,r,r,r,r,r,r,A4,A4,F#4,C#4,D3,C#3
30.0,9.1837,8,2.0,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,F#4,B3,D3,D3
31.0,9.4898,8,2.5,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,G#4,B3,D3,D2
32.0,9.7959,9,1.0,r,r,r,r,r,r,r,r,r,r,r,E5,E4,A4,C#4,C#3,C#2
33.0,10.102,9,1.5,r,r,r,r,r,r,r,r,r,r,r,D5,E4,B4,C#4,F#2,F#2
34.0,10.4082,9,2.0,r,r,r,r,r,r,r,r,r,r,r,E5,C#4,C#5,A3,F#3,F#3
34.5,10.5612,9,2.25,r,r,r,r,r,r,r,r,r,r,r,E5,C#4,C#5,A3,F#3,F3
35.0,10.7143,9,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,C#4,A4,A3,F#3,F#3
36.0,11.0204,10,1.0,r,r,r,r,r,r,r,r,r,r,r,D5,G#4,B4,G#3,F#3,F#3
37.0,11.3265,10,1.5,r,r,r,r,r,r,r,r,r,r,r,D5,G#4,A4,A3,F#3,F#3
38.0,11.6327,10,2.0,r,r,r,r,r,r,r,r,r,r,r,D5,G#4,G#4,B3,F3,F3
39.0,11.9388,10,2.5,r,r,r,r,r,r,r,r,r,r,r,D5,B4,G#4,G#3,F3,E-3
39.5,12.0918,10,2.75,r,r,r,r,r,r,r,r,r,r,r,D5,B4,G#4,G#3,F3,F3
40.0,12.2449,11,1.0,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,G#4,A3,F#3,F#3
41.0,12.551,11,1.5,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,G#4,B3,G#3,G#3
42.0,12.8571,11,2.0,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,C#4,A3,A3
43.0,13.1633,11,2.5,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,A3,F#3,F#3
44.0,13.4694,12,1.0,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,D4,B3,B3
45.0,13.7755,12,1.5,r,r,r,r,r,r,r,r,r,r,r,C#5,A4,F#4,D4,B3,B2
46.0,14.0816,12,2.0,r,r,r,r,r,r,r,r,r,r,r,B4,G#4,D5,G#3,B3,B3
