scene_start,focal_instrument
0,Con
4.04,Orc
6.48,Con
12.12,Ob
27.16,Cl
29.28,Con
44.64,Hn
50.48,Ob
53.6,Vln
61.04,Ob
64.92,Vln
69.88,Fl
74.68,Vln
79.8,Vc
84.88,Con
91.92,Fl
95.64,Bsn
100.08,Ob
103.88,Vla
109.08,Hn
110.88,Ob
114.12,Orc
117.08,Timp
121,Tpt
125,Vc
138,Vln
147,Timp
148.84,Fl
152.08,Timp
167.72,Con
172,Vc
181.32,Cb
188.08,Timp
193.52,Con
204.56,Con
221.92,Cl
226.92,Vc
232.12,Cl
237.08,Timp
241.12,Con
250.44,Tpt
254.48,Vln
256.88,Con
270.6,Orc
280.8,Vln
284.48,Vc
299.2,Fl
301.4,Vc
318.04,Orc
324,Cl
328.72,Vln
334.72,Con
341.56,Vln
352.24,Cl
357.28,Vc
362.28,Fl
367.4,Vln
371.48,Hn
380.08,Timp
384.96,Vln
387.6,Bsn
391.28,Vc
393.68,Vln
400.88,Orc
411.44,Vln
419,Con
429.6,Fl
431.88,Vla
434.6,Ob
436.96,Cb
446.4,Vln
452.8,Vln
457.96,Vln
462.96,Cb
468.4,Con
473.96,Hn
479.04,Orc
484.76,Timp
490.08,Vln
499.36,Fl
511.4,Vln
521.32,Cb
525.96,Con
535.6,Hn
539.28,Vc
542.12,Vln
543.84,Cb
555.12,Fl
559.92,Orc
565.36,Vln
570,Timp
575.52,Hn
580.32,Vln
585.88,Cb
590.2,Con
613.76,Vln
621.2,Vln
626.52,Orc
637.6,Timp
652.56,Cl
655.44,Orc
658.08,Ob
660.28,Vln
665.84,Cb
669.44,Vln
671.04,Timp
672.32,Vln
673.64,Timp
676.68,Bsn
678.84,Timp
680.2,Bsn
681.52,Cb
689.32,Vln
692.08,Vc
700.32,Vln
702.84,Timp
705.72,Con
709.76,Orc
713,Vln
717.24,Orc
720.48,Orc
723.12,Con
