qstamp_start,qstamp_end,Violin 1,Violin 2,Violin 3,Viola 1,Viola 2,Viola 3,Violoncello 1,Violoncello 2,Violoncello 3,Violone,Harpsichord
0.0,12.5,Main Part,U(Main)&U(Violin 3),U(Main)&U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
12.5,24.5,Main Part,U(Main)&U(Violin 3),U(Main)&U(Violin 2),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
24.5,32.0,Main Part,,,U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
32.0,34.0,Main Part,,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
34.0,36.0,,,,Main Part,,,P6(Violoncello 2)&P4(Violoncello 3),P6(Violoncello 1)&P3(Violoncello 3),P4(Violoncello 1)&P3(Violoncello 2),,
36.0,39.0,,U(Violin 3),U(Violin 2),,,,Main Part,,,P8(Harpsichord),P8(Violone)
39.0,41.0,Main Part,,,P5(Viola 2),P5(Viola 1),,U(Violoncello 2)&P8(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&P8(Violoncello 3)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violone)&P8(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violoncello 3)&P8(Violone)
41.0,43.0,,Main Part,,P5(Viola 2),P5(Viola 1),,U(Violoncello 2)&P8(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&P8(Violoncello 3)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violone)&P8(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violoncello 3)&P8(Violone)
43.0,44.5,,,Main Part,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
44.5,60.0,Main Part,,P8(Main),U(Viola 2)&U(Viola 3),U(Viola 1)&U(Viola 3),U(Viola 1)&U(Viola 2),U(Violoncello 2)&P8(Violoncello 3)&P8(Violone)&P8(Harpsichord),U(Violoncello 1)&P8(Violoncello 3)&P8(Violone)&P8(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&U(Violoncello 3)&P8(Violone)
60.0,62.0,Main Part,,,P3(Viola 2)&P6(Viola 3),P3(Viola 1)&P4(Viola 3),P6(Viola 1)&P4(Viola 2),U(Violoncello 2)&P8(Violoncello 3)&P8(Violone)&P8(Harpsichord),U(Violoncello 1)&P8(Violoncello 3)&P8(Violone)&P8(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&U(Violoncello 3)&P8(Violone)
62.0,64.0,,,,Main Part,,,P4(Violoncello 2)&P3(Violoncello 3),P4(Violoncello 1)&P6(Violoncello 3),P3(Violoncello 1)&P6(Violoncello 2),,
64.0,65.0,U(Violin 2)&U(Violin 3)&P6(Viola 1)&P6(Viola 2)&P6(Viola 3)&P3(Violone)&P3(Harpsichord),U(Violin 1)&U(Violin 3)&P6(Viola 1)&P6(Viola 2)&P6(Viola 3)&P3(Violone)&P3(Harpsichord),U(Violin 1)&U(Violin 2)&P6(Viola 1)&P6(Viola 2)&P6(Viola 3)&P3(Violone)&P3(Harpsichord),P6(Violin 1)&P6(Violin 2)&P6(Violin 3)&U(Viola 2)&U(Viola 3)&P4(Violone)&P4(Harpsichord),P6(Violin 1)&P6(Violin 2)&P6(Violin 3)&U(Viola 1)&U(Viola 3)&P4(Violone)&P4(Harpsichord),P6(Violin 1)&P6(Violin 2)&P6(Violin 3)&U(Viola 1)&U(Viola 2)&P4(Violone)&P4(Harpsichord),Main Part,,,P3(Violin 1)&P3(Violin 2)&P3(Violin 3)&P4(Viola 1)&P4(Viola 2)&P4(Viola 3)&P8(Harpsichord),P3(Violin 1)&P3(Violin 2)&P3(Violin 3)&P4(Viola 1)&P4(Viola 2)&P4(Viola 3)&P8(Violone)
65.0,69.0,,,,Main Part,,,P8(Violone)&U(Harpsichord),,,P8(Violoncello 1)&P8(Harpsichord),U(Violoncello 1)&P8(Violone)
69.0,71.0,P5(Violin 2),P5(Violin 1),,,Main Part,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
71.0,72.0,P5(Violin 2),P5(Violin 1),,,,Main Part,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
72.0,79.0,U(Violin 3),,U(Violin 1),Main Part,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
79.0,81.0,,Main Part,,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
81.0,83.0,,,Main Part,,,,U(Violoncello 2)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 3)&P8(Violone)&U(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&P8(Violone)&U(Harpsichord),P8(Violoncello 1)&P8(Violoncello 2)&P8(Violoncello 3)&P8(Harpsichord),U(Violoncello 1)&U(Violoncello 2)&U(Violoncello 3)&P8(Violone)
