qstamp,tstamp,measure,beat,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
1.5,0.75,1,2.5,A4,F#4,D4,D3,A4,A4,A4,F#4,A4,F#4,D4,A4,F#4,D4,A4,D3,D3
2.0,1.0,1,3.0,D5,A4,D4,D3,D5,D5,D5,A4,D5,A4,D4,D5,A4,D4,F#4,F#3,F#3
2.5,1.25,1,3.5,E5,A4,A4,A2,E5,E5,E5,C#5,E5,C#5,A4,E5,C#5,A3,E4,A3,A3
3.0,1.5,2,1.0,F#5,A4,D4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,D4,D4,D4
3.5,1.75,2,1.5,G5,A4,D4,D3,G5,G5,G5,E5,G5,E5,B4,G5,E5,A4,D4,D4,D4
3.6667,1.8334,2,1.6667,F#5,A4,D4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,D4,D4,D4
3.8333,1.9166,2,1.8333,F#5,A4,D4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,D4,D4,D4
4.0,2.0,2,2.0,F#5,r,r,r,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,D4,D4,r
4.5,2.25,2,2.5,B5,G5,D5,D3,B5,B5,B5,G5,B5,G5,D5,G5,D5,B4,D4,G3,G3
5.0,2.5,2,3.0,A5,F#5,D5,A2,A5,A5,A5,F#5,A5,F#5,D5,F#5,D5,A4,D4,A3,A3
5.5,2.75,2,3.5,G5,E5,A4,A2,G5,G5,G5,E5,G5,E5,C#5,E5,C#5,G4,A3,A2,A2
6.0,3.0,3,1.0,F#5,D5,A4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,D5,D5,F#4,A3,D3,D3
6.25,3.125,3,1.25,F#5,D5,A4,D3,E5,F#5,E5,D5,F#5,D5,A4,D5,D5,F#4,A3,D3,D3
6.5,3.25,3,1.5,r,r,r,r,D5,A4,D5,A4,A5,F#5,D5,D5,D5,F#4,A3,D3,r
6.75,3.375,3,1.75,r,r,r,r,E5,A4,E5,A4,A5,F#5,D5,D5,D5,F#4,A3,D3,r
7.0,3.5,3,2.0,A5,F#5,D5,D3,F#5,D5,F#5,D5,F#5,D5,A4,A4,D5,F#4,A3,D3,D2
7.25,3.625,3,2.25,A5,F#5,D5,D3,G5,D5,G5,D5,F#5,D5,A4,A4,D5,F#4,A3,D3,D2
7.5,3.75,3,2.5,r,r,r,r,A5,F#5,A5,F#5,D5,A4,F#4,A4,D5,F#4,A3,D3,r
7.75,3.875,3,2.75,r,r,r,r,B5,E5,B5,E5,D5,A4,F#4,A4,D5,F#4,A3,D3,r
8.0,4.0,3,3.0,F#5,A5,F#5,D3,A5,F#5,A5,F#5,A4,F#4,D4,r,r,r,r,r,D3
8.25,4.125,3,3.25,F#5,A5,F#5,D3,G5,F#5,G5,F#5,A4,F#4,D4,r,r,r,r,r,D3
8.5,4.25,3,3.5,r,r,r,r,F#5,D5,F#5,D5,D5,A4,F#4,r,r,r,r,r,r
8.75,4.375,3,3.75,r,r,r,r,E5,D5,E5,D5,D5,A4,F#4,r,r,r,r,r,r
9.0,4.5,4,1.0,D5,B5,G5,D3,D5,D5,D5,B4,D5,B4,G4,r,r,r,r,r,G3
9.25,4.625,4,1.25,D5,B5,G5,D3,D5,D5,D5,B4,D5,B4,F#4,r,r,r,r,r,G3
9.5,4.75,4,1.5,E5,r,r,r,E5,E5,E5,C#5,E5,C#5,G4,r,r,r,r,r,F#3
9.75,4.875,4,1.75,F#5,r,r,r,F#5,F#5,F#5,D5,F#5,D5,A4,r,r,r,r,r,F#3
10.0,5.0,4,2.0,G5,r,r,r,G5,G5,G5,E5,G5,E5,B4,r,r,r,r,r,E3
10.5,5.25,4,2.5,A5,A5,E5,A2,A5,A5,A5,E5,A5,E5,A4,r,r,r,r,r,C#3
11.0,5.5,4,3.0,G5,A5,D5,D3,G5,G5,G5,A4,G5,A4,D5,r,r,r,r,r,D3
11.25,5.625,4,3.25,F#5,A5,D5,D3,F#5,F#5,F#5,A4,F#5,A4,D5,r,r,r,r,r,D3
11.5,5.75,4,3.5,E5,G#5,D4,D3,E5,E5,E5,B4,E5,B4,D4,r,r,r,r,r,B2
11.75,5.875,4,3.75,D5,G#5,D4,D3,D5,D5,D5,B4,D5,B4,D4,r,r,r,r,r,B2
12.0,6.0,5,1.0,E5,A5,A4,A2,E5,E5,E5,C#5,E5,C#5,A4,r,r,r,r,r,A2
12.5,6.25,5,1.5,F#5,A5,A4,A2,A4,A4,A4,C#5,A4,C#5,A4,r,r,r,r,r,A2
12.75,6.375,5,1.75,G5,A5,A4,A2,A4,A4,A4,C#5,A4,C#5,A4,r,r,r,r,r,A2
13.0,6.5,5,2.0,A5,r,r,r,C#5,C#5,C#5,r,C#5,r,r,r,r,r,r,r,r
13.25,6.625,5,2.25,G5,r,r,r,C#5,C#5,C#5,r,C#5,r,r,r,r,r,r,r,r
13.5,6.75,5,2.5,A5,A4,A4,A2,E5,E5,E5,C#5,E5,C#5,A4,r,r,r,r,r,A3
13.75,6.875,5,2.75,B5,A4,A4,A2,E5,E5,E5,C#5,E5,C#5,A4,r,r,r,r,r,G3
14.0,7.0,5,3.0,A5,A4,A4,A2,A5,A5,A5,D5,A5,D5,A4,r,r,r,r,r,F#3
14.25,7.125,5,3.25,G5,A4,A4,A2,G5,G5,G5,D5,G5,D5,A4,r,r,r,r,r,F#3
14.5,7.25,5,3.5,F#5,A4,A4,A2,F#5,F#5,F#5,C#5,F#5,C#5,A4,r,r,r,r,r,A3
14.75,7.375,5,3.75,E5,A4,A4,A2,E5,E5,E5,C#5,E5,C#5,A4,r,r,r,r,r,A3
15.0,7.5,6,1.0,F#5,A4,A4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,r,r,r,r,r,D3
15.5,7.75,6,1.5,G5,A4,A4,A2,G5,G5,G5,E5,G5,E5,A4,r,r,r,r,r,A3
15.6667,7.8334,6,1.6667,F#5,A4,A4,A2,F#5,F#5,F#5,D5,F#5,D5,A4,r,r,r,r,r,A3
15.75,7.875,6,1.75,F#5,A4,A4,A2,F#5,F#5,F#5,D5,F#5,D5,A4,r,r,r,r,r,A3
15.8333,7.9166,6,1.8333,F#5,A4,A4,A2,F#5,F#5,F#5,D5,F#5,D5,A4,r,r,r,r,r,A3
16.0,8.0,6,2.0,F#5,A4,A4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,r,r,r,r,r,D4
16.25,8.125,6,2.25,F#5,A4,A4,D3,F#5,F#5,F#5,E5,F#5,E5,A4,r,r,r,r,r,D4
16.5,8.25,6,2.5,G5,D5,D4,D3,G5,G5,G5,D5,G5,D5,B4,r,r,r,r,r,B3
16.75,8.375,6,2.75,G5,E5,D4,D3,G5,G5,G5,E5,G5,E5,B4,r,r,r,r,r,B3
17.0,8.5,6,3.0,A5,F#5,D5,D3,A5,A5,A5,D5,A5,D5,A4,r,r,r,r,r,F#3
17.25,8.625,6,3.25,A5,E5,D5,D3,A5,A5,A5,E5,A5,E5,A4,r,r,r,r,r,F#3
17.5,8.75,6,3.5,B5,F#5,D4,D3,B5,B5,B5,D5,B5,D5,D4,r,r,r,r,r,G3
17.75,8.875,6,3.75,B5,D5,D4,D3,B5,B5,B5,E5,B5,E5,D4,r,r,r,r,r,G3
18.0,9.0,7,1.0,E5,A5,A4,A2,E5,E5,E5,C#5,E5,C#5,A4,r,r,r,r,r,A3
18.25,9.125,7,1.25,E5,A5,A4,A2,A5,A5,A5,B4,A5,B4,F#4,r,r,r,r,r,A3
18.5,9.25,7,1.5,r,r,r,r,G#5,G#5,G#5,C#5,G#5,C#5,E4,r,r,r,r,r,B3
18.75,9.375,7,1.75,r,r,r,r,F#5,F#5,F#5,D5,F#5,D5,D4,r,r,r,r,r,B3
19.0,9.5,7,2.0,A5,C#6,E5,A2,E5,E5,E5,E5,E5,E5,C#4,r,r,r,r,r,C#4
19.25,9.625,7,2.25,A5,C#6,E5,A2,D5,D5,D5,E5,D5,E5,B3,r,r,r,r,r,C#4
19.5,9.75,7,2.5,r,r,r,r,C#5,C#5,C#5,A5,C#5,A5,A3,r,r,r,r,r,B3
19.75,9.875,7,2.75,r,r,r,r,D5,D5,D5,G#5,D5,G#5,B3,r,r,r,r,r,B3
20.0,10.0,7,3.0,E5,A5,A4,A2,E5,E5,E5,A5,E5,A5,C#4,r,r,r,r,r,A3
20.25,10.125,7,3.25,E5,A5,A4,A2,F#5,F#5,F#5,A5,F#5,A5,D4,r,r,r,r,r,A3
20.5,10.25,7,3.5,r,r,r,r,E5,E5,E5,E5,E5,E5,C#4,r,r,r,r,r,B3
20.75,10.375,7,3.75,r,r,r,r,F#5,F#5,F#5,E5,F#5,E5,D4,r,r,r,r,r,B3
21.0,10.5,8,1.0,E5,A5,A4,A2,E5,E5,E5,A4,E5,A4,E4,r,r,r,r,r,C#4
21.25,10.625,8,1.25,E5,A5,A4,A2,D5,D5,D5,A4,D5,A4,E4,r,r,r,r,r,C#4
21.5,10.75,8,1.5,F#5,A5,A4,A2,C#5,C#5,C#5,A4,C#5,A4,A4,r,r,r,r,r,A3
21.75,10.875,8,1.75,G#5,A5,A4,A2,B4,B4,B4,B4,B4,B4,A4,r,r,r,r,r,A3
22.0,11.0,8,2.0,A5,r,r,r,A4,A4,A4,C#5,A4,C#5,C#4,r,r,r,r,r,F#3
22.5,11.25,8,2.5,B5,F#5,D5,D3,D5,D5,D5,F#4,D5,F#4,B3,r,r,r,r,r,D3
22.75,11.375,8,2.75,B5,F#5,D5,D3,D5,D5,D5,F#4,D5,F#4,B3,r,r,r,r,r,D3
23.0,11.5,8,3.0,E5,E5,D5,D3,C#5,C#5,C#5,G#4,C#5,G#4,E4,r,r,r,r,r,E3
23.5,11.75,8,3.5,G#5,E5,D5,r,B4,B4,B4,E4,B4,E4,B3,r,r,r,r,r,E2
23.75,11.875,8,3.75,G#5,E5,D5,r,A4,A4,A4,E4,A4,E4,B3,r,r,r,r,r,E2
24.0,12.0,9,1.0,A5,E5,A4,A2,A4,A4,A4,E4,A4,E4,C#4,r,r,r,r,r,A2
24.5,12.25,9,1.5,A5,E5,A4,A2,A4,A4,A4,E4,A4,E4,C#4,r,r,r,r,r,A3
24.75,12.375,9,1.75,A5,E5,A4,A2,A4,A4,A4,E4,A4,E4,C#4,r,r,r,r,r,B3
25.0,12.5,9,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3
25.5,12.75,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,G3
26.0,13.0,9,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,F#3
26.5,13.25,9,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,E3
27.0,13.5,10,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,D3
27.25,13.625,10,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,D3
27.5,13.75,10,1.5,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,r,r,F#3,D3
27.75,13.875,10,1.75,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,r,r,E3,D3
28.0,14.0,10,2.0,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,r,r,D3,r
28.25,14.125,10,2.25,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,r,r,C#3,r
28.5,14.25,10,2.5,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,A3,r,D3,r
28.75,14.375,10,2.75,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,A3,r,E3,r
29.0,14.5,10,3.0,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,D4,r,F#3,r
29.25,14.625,10,3.25,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,D4,r,G3,r
29.5,14.75,10,3.5,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,E4,r,F#3,r
29.75,14.875,10,3.75,r,r,r,r,r,r,r,r,D4,A3,F#3,r,r,E4,r,G3,r
30.0,15.0,11,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,r,A3,D2
30.25,15.125,11,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,r,B3,D2
30.5,15.25,11,1.5,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,F#4,r,A3,D2
30.75,15.375,11,1.75,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,E4,r,G3,D2
31.0,15.5,11,2.0,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,D4,r,F#3,r
31.25,15.625,11,2.25,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,C#4,r,G3,r
31.5,15.75,11,2.5,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,D4,D3,F#3,r
31.75,15.875,11,2.75,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,E4,D3,E3,r
32.0,16.0,11,3.0,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,F#4,A3,D3,r
32.25,16.125,11,3.25,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,G4,A3,E3,r
32.5,16.25,11,3.5,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,F#4,B3,F#3,r
32.75,16.375,11,3.75,r,r,r,r,r,r,r,r,F#4,D4,A3,r,r,G4,B3,D3,r
33.0,16.5,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C#4,G3,D3
33.25,16.625,12,1.25,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,A3,D3
33.5,16.75,12,1.5,r,r,r,r,r,r,r,r,E4,C#4,G3,r,r,E4,C#4,G3,D3
33.75,16.875,12,1.75,r,r,r,r,r,r,r,r,E4,C#4,G3,r,r,D4,B3,F#3,D3
34.0,17.0,12,2.0,r,r,r,r,r,r,r,r,E4,C#4,G3,r,r,C#4,A3,G3,r
34.25,17.125,12,2.25,r,r,r,r,r,r,r,r,E4,C#4,G3,r,r,B3,G3,G3,r
34.5,17.25,12,2.5,r,r,r,r,r,r,r,r,E4,C#4,G3,r,E4,C#4,A3,E3,r
34.75,17.375,12,2.75,r,r,r,r,r,r,r,r,E4,C#4,G3,r,E4,D4,B3,E3,r
35.0,17.5,12,3.0,r,r,r,r,r,r,r,r,E4,C#4,G3,r,A4,E4,C#4,C#3,r
35.25,17.625,12,3.25,r,r,r,r,r,r,r,r,E4,C#4,G3,r,A4,F#4,D4,C#3,r
35.5,17.75,12,3.5,r,r,r,r,r,r,r,r,E4,C#4,G3,r,B4,E4,C#4,E3,r
35.75,17.875,12,3.75,r,r,r,r,r,r,r,r,E4,C#4,G3,r,B4,F#4,D4,E3,r
36.0,18.0,13,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C#5,G4,E4,A2,D2
36.25,18.125,13,1.25,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F#4,A2,D2
36.5,18.25,13,1.5,r,r,r,r,r,r,r,r,G4,E4,C#4,r,C#5,G4,E4,A3,D2
36.75,18.375,13,1.75,r,r,r,r,r,r,r,r,G4,E4,C#4,r,B4,F#4,D4,A3,D2
37.0,18.5,13,2.0,r,r,r,r,r,r,r,r,G4,E4,C#4,r,A4,E4,C#4,r,r
37.25,18.625,13,2.25,r,r,r,r,r,r,r,r,G4,E4,C#4,r,G4,D4,B3,r,r
37.5,18.75,13,2.5,r,r,r,r,r,r,r,r,G4,E4,C#4,r,A4,E4,C#4,G3,r
37.75,18.875,13,2.75,r,r,r,r,r,r,r,r,G4,E4,C#4,r,B4,F#4,D4,F#3,r
38.0,19.0,13,3.0,r,r,r,r,r,r,r,r,G4,E4,C#4,r,C#5,G4,E4,E3,r
38.25,19.125,13,3.25,r,r,r,r,r,r,r,r,G4,E4,C#4,r,D5,A4,F#4,E3,r
38.5,19.25,13,3.5,r,r,r,r,r,r,r,r,G4,E4,C#4,r,B4,F#4,D4,A3,r
38.75,19.375,13,3.75,r,r,r,r,r,r,r,r,G4,E4,C#4,r,C#5,G4,E4,A3,r
39.0,19.5,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,D5,A4,F#4,F#3,D3
39.25,19.625,14,1.25,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,G4,F#3,D3
39.5,19.75,14,1.5,r,r,r,r,r,r,r,r,F#4,D4,A3,r,D5,A4,F#4,D3,D3
39.75,19.875,14,1.75,r,r,r,r,r,r,r,r,F#4,D4,A3,r,C#5,G4,E4,D3,D3
40.0,20.0,14,2.0,r,r,r,r,r,r,r,r,F#4,D4,A3,r,D5,A4,F#4,r,r
40.5,20.25,14,2.5,A4,A4,F#4,D3,A4,A4,A4,F#4,A4,F#4,D4,A4,A4,F#4,D4,D3,D3
41.0,20.5,14,3.0,D5,A4,D4,D3,D5,D5,D5,A4,D5,A4,D4,D5,A4,A4,D4,F#3,F#3
41.5,20.75,14,3.5,E5,A4,A4,A2,E5,E5,E5,C#5,E5,C#5,A4,E5,C#5,A4,A3,A3,A3
42.0,21.0,15,1.0,F#5,A4,D4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,A3,D4,D4
42.5,21.25,15,1.5,G5,A4,D4,D3,G5,G5,G5,E5,G5,E5,B4,G5,E5,B4,F#3,D4,D4
42.6667,21.3333,15,1.6667,F#5,A4,D4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,F#3,D4,D4
42.8333,21.4167,15,1.8333,F#5,A4,D4,D3,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,F#3,D4,D4
43.0,21.5,15,2.0,F#5,r,r,r,F#5,F#5,F#5,D5,F#5,D5,A4,F#5,D5,A4,D4,D4,r
