qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
298.0,302.0,,,P8(Timpani),P8(Tromba 3),U(Oboe 1)&U(Violin 1)&U(Main),U(Oboe 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Violin 1)&U(Main),U(Traverso 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Oboe 1)&U(Main),U(Traverso 2)&U(Oboe 2)&U(Alto),U(Tenor),Main Part,U(Traverso 2)&U(Oboe 2)&U(Violin 2),U(Viola),U(Continuo),U(Bass)
302.0,314.0,P4(Tromba 2)&P8(Tromba 3)&P8(Timpani),P4(Tromba 1)&P4(Tromba 3)&P4(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Timpani),P8(Tromba 1)&P4(Tromba 2)&P8(Tromba 3),U(Oboe 1)&U(Violin 1)&U(Soprano),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1)&U(Soprano),U(Traverso 2)&U(Violin 2),U(Traverso 1)&U(Oboe 1)&U(Soprano),U(Traverso 2)&U(Oboe 2),U(Tenor),U(Traverso 1)&U(Oboe 1)&U(Violin 1),,U(Viola),Main Part,U(Main)
314.0,326.0,,P3(Tromba 3)&P8(Timpani),P3(Tromba 2)&P3(Timpani),P8(Tromba 2)&P3(Tromba 3),U(Oboe 1)&U(Violin 1)&U(Soprano),U(Oboe 2)&U(Violin 2),U(Traverso 1)&U(Violin 1)&U(Soprano),U(Traverso 2)&U(Violin 2),U(Traverso 1)&U(Oboe 1)&U(Soprano),U(Traverso 2)&U(Oboe 2),,U(Traverso 1)&U(Oboe 1)&U(Violin 1),Main Part,,U(Continuo),U(Bass)
326.0,330.0,,Main Part,,,U(Oboe 1)&U(Violin 1)&U(Soprano),P8(Main)&U(Oboe 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Violin 1)&U(Soprano),P8(Main)&U(Traverso 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Oboe 1)&U(Soprano),P8(Main)&U(Traverso 2)&U(Oboe 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Oboe 1)&U(Violin 1),P8(Main)&U(Traverso 2)&U(Oboe 2)&U(Violin 2),U(Viola),U(Continuo),U(Bass)
330.0,337.0,Main Part,P8(Traverso 2)&P8(Oboe 2)&P8(Violin 2)&P8(Alto),,,U(Oboe 1)&U(Violin 1)&U(Soprano),P8(Tromba 2)&U(Oboe 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Violin 1)&U(Soprano),P8(Tromba 2)&U(Traverso 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Oboe 1)&U(Soprano),P8(Tromba 2)&U(Traverso 2)&U(Oboe 2)&U(Alto),P8(Main)&U(Tenor),U(Traverso 1)&U(Oboe 1)&U(Violin 1),P8(Tromba 2)&U(Traverso 2)&U(Oboe 2)&U(Violin 2),P8(Main)&U(Viola),U(Continuo),U(Bass)
337.0,340.5,,Main Part,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Oboe 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Violin 1)&U(Soprano),U(Traverso 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Oboe 1)&U(Soprano),U(Traverso 2)&U(Oboe 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 2)&U(Oboe 2)&U(Violin 2),U(Viola),U(Continuo),U(Bass)
340.5,342.5,Main Part,P3(Bass)&P3(Continuo),,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Oboe 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Violin 1)&U(Soprano),U(Traverso 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Oboe 1)&U(Soprano),U(Traverso 2)&U(Oboe 2)&U(Alto),U(Tenor)&P3(Bass)&P3(Continuo),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 2)&U(Oboe 2)&U(Violin 2),U(Viola)&P3(Bass)&P3(Continuo),P3(Tromba 2)&P3(Viola)&P3(Tenor)&U(Continuo),P3(Tromba 2)&P3(Viola)&P3(Tenor)&U(Bass)
342.5,347.0,P8(Traverso 2)&P8(Oboe 2)&P8(Violin 2)&P8(Alto),,,,U(Oboe 1)&U(Violin 1)&U(Main),P8(Tromba 1)&U(Oboe 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Violin 1)&U(Main),P8(Tromba 1)&U(Traverso 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Oboe 1)&U(Main),P8(Tromba 1)&U(Traverso 2)&U(Oboe 2)&U(Alto),U(Tenor),Main Part,P8(Tromba 1)&U(Traverso 2)&U(Oboe 2)&U(Violin 2),U(Viola),U(Continuo),U(Bass)
347.0,353.0,P3(Tromba 2)&P3(Traverso 1)&P8(Traverso 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Violin 1)&P8(Violin 2)&P3(Soprano),P3(Tromba 1)&U(Traverso 1)&P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&U(Violin 1)&P3(Violin 2)&U(Soprano)&P3(Alto),P8(Timpani),P8(Tromba 3),P3(Tromba 1)&U(Tromba 2)&P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&U(Violin 1)&P3(Violin 2)&U(Soprano)&P3(Alto),P8(Tromba 1)&P3(Tromba 2)&P3(Traverso 1)&P3(Oboe 1)&U(Oboe 2)&P3(Violin 1)&U(Violin 2)&P3(Soprano),P3(Tromba 1)&U(Tromba 2)&U(Traverso 1)&P3(Traverso 2)&P3(Oboe 2)&U(Violin 1)&P3(Violin 2)&U(Soprano)&P3(Alto),P8(Tromba 1)&P3(Tromba 2)&P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1)&P3(Violin 1)&U(Violin 2)&P3(Soprano),P3(Tromba 1)&U(Tromba 2)&U(Traverso 1)&P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&P3(Violin 2)&U(Soprano)&P3(Alto),P8(Tromba 1)&P3(Tromba 2)&P3(Traverso 1)&U(Traverso 2)&P3(Oboe 1)&U(Oboe 2)&P3(Violin 1)&P3(Soprano),U(Main),P3(Tromba 1)&U(Tromba 2)&U(Traverso 1)&P3(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&U(Violin 1)&P3(Violin 2)&P3(Alto),P3(Tromba 2)&P3(Traverso 1)&P3(Oboe 1)&P3(Violin 1)&P3(Soprano),Main Part,U(Continuo),U(Bass)
353.0,360.0,Main Part,,,,U(Oboe 1)&U(Violin 1)&U(Soprano),U(Oboe 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Violin 1)&U(Soprano),U(Traverso 2)&U(Violin 2)&U(Alto),U(Traverso 1)&U(Oboe 1)&U(Soprano),U(Traverso 2)&U(Oboe 2)&U(Alto),U(Tenor),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 2)&U(Oboe 2)&U(Violin 2),U(Viola),P8(Continuo),P8(Bass)
