qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Traverso 1,Traverso 2,Oboe 1,Oboe 2,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
45.0,58.5,,,,,,,,,,,,Main Part,,,,,
58.5,64.5,P4(Tromba 2),P4(Tromba 1),P8(Timpani),P8(Tromba 3),,,,,,,,Main Part,,,,,
64.5,69.5,,,,,,,,,,,,Main Part,,,,,
69.5,80.5,,,,,Main Part,,,,,,,,,,,,
80.5,94.5,,,,,,,,,,,,Main Part,,,,,
94.5,100.5,,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),,U(Traverso 1)&U(Traverso 2)&U(Oboe 1),,,Main Part,,,,,
100.5,111.5,,,,,Main Part,,,,,,,,,,,,
111.5,118.5,,,,,,,Main Part,,,,,,,,,,
118.5,126.0,,,,,,,Main Part,,U(Violin 2)&P8(Viola),U(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),,,,,,
126.0,138.0,,,,,,,Main Part,,,,,,,,,,
138.0,142.5,,,,,,,Main Part,,,,,,,,,,
142.5,148.5,Main Part,,,,U(Traverso 2)&U(Oboe 1),U(Traverso 1)&U(Oboe 1),U(Traverso 1)&U(Traverso 2),U(Violin 2),,U(Oboe 2),,U(Soprano 2)&P3(Alto)&P4(Tenor)&P4(Bass),U(Soprano 1)&P3(Alto)&P4(Tenor)&P4(Bass),P3(Soprano 1)&P3(Soprano 2)&P6(Tenor)&P6(Bass),P4(Soprano 1)&P4(Soprano 2)&P6(Alto)&P8(Bass),P4(Soprano 1)&P4(Soprano 2)&P6(Alto)&P8(Tenor),
148.5,160.5,,,,,U(Traverso 2),U(Traverso 1),,,U(Violin 2)&P4(Viola),U(Violin 1)&P4(Viola),P4(Violin 1)&P4(Violin 2),Main Part,,,,,
160.5,165.25,,,,,,,,,,,,Main Part,,,,P8(Continuo),P8(Bass)
165.25,166.5,P3(Tromba 2)&P6(Traverso 1)&P6(Traverso 2)&P6(Oboe 1)&P6(Oboe 2),P3(Tromba 1)&P4(Traverso 1)&P4(Traverso 2)&P4(Oboe 1)&P4(Oboe 2),,,P6(Tromba 1)&P4(Tromba 2)&U(Traverso 2)&U(Oboe 1)&U(Oboe 2),P6(Tromba 1)&P4(Tromba 2)&U(Traverso 1)&U(Oboe 1)&U(Oboe 2),P6(Tromba 1)&P4(Tromba 2)&U(Traverso 1)&U(Traverso 2)&U(Oboe 2),P6(Tromba 1)&P4(Tromba 2)&U(Traverso 1)&U(Traverso 2)&U(Oboe 1),Main Part,,,U(Soprano 2)&P4(Alto)&P6(Tenor)&P8(Bass),U(Soprano 1)&P4(Alto)&P6(Tenor)&P8(Bass),P4(Soprano 1)&P4(Soprano 2)&P3(Tenor)&P4(Bass),P6(Soprano 1)&P6(Soprano 2)&P3(Alto)&P6(Bass),P8(Soprano 1)&P8(Soprano 2)&P4(Alto)&P6(Tenor),
166.5,171.5,Main Part,,,,,,,,,,,,,,,,
171.5,172.5,P3(Tromba 2),P3(Tromba 1),,,P3(Traverso 2),P3(Traverso 1),P3(Oboe 2)&P3(Soprano 2),P3(Oboe 1)&P8(Soprano 2),,,,,P3(Oboe 1)&P8(Oboe 2),,Main Part,,
172.5,173.5,P3(Tromba 2)&U(Oboe 1)&P3(Oboe 2),P3(Tromba 1)&P3(Oboe 1)&U(Oboe 2),,,P3(Traverso 2)&U(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Soprano 1)&P8(Bass),P3(Traverso 1)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P3(Soprano 1)&P3(Bass),U(Tromba 1)&P3(Tromba 2)&P3(Oboe 2),P3(Tromba 1)&U(Tromba 2)&P3(Oboe 1),U(Traverso 1)&P3(Traverso 2)&P3(Violin 2)&P8(Viola)&P8(Soprano 1)&P8(Bass),P3(Traverso 1)&U(Traverso 2)&P3(Violin 1)&P3(Viola)&P3(Soprano 1)&P3(Bass),P8(Traverso 1)&P3(Traverso 2)&P8(Violin 1)&P3(Violin 2)&U(Soprano 1)&P8(Bass),P8(Traverso 1)&P3(Traverso 2)&P8(Violin 1)&P3(Violin 2)&U(Viola)&P8(Bass),Main Part,,,P8(Traverso 1)&P3(Traverso 2)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Soprano 1),
173.5,185.5,,,,,,,,,,,,Main Part,,,,,
185.5,186.5,,,,,U(Traverso 2)&P2(Main)&P5(Continuo),U(Traverso 1)&P2(Main)&P5(Continuo),,,,,,Main Part,,,,,P5(Traverso 1)&P5(Traverso 2)&P4(Main)
186.5,187.5,,,,,U(Traverso 2),U(Traverso 1),U(Oboe 2)&P3(Alto),U(Oboe 1)&P3(Alto),,,,,Main Part,P3(Oboe 1)&P3(Oboe 2),,P8(Continuo),P8(Bass)
187.5,188.5,,,,,U(Traverso 2),U(Traverso 1),U(Oboe 2),U(Oboe 1),,P4(Viola),P4(Violin 2),P4(Bass),,Main Part,,P4(Soprano 1),
188.5,196.5,,,,,U(Traverso 2),U(Traverso 1),U(Oboe 2),U(Oboe 1),P3(Violin 2)&P4(Viola),P3(Violin 1)&P6(Viola),P4(Violin 1)&P6(Violin 2),Main Part,,,,,
196.5,201.5,,,,,Main Part,U(Main),,,,,,,,,,,
201.5,204.0,,,,,U(Traverso 2)&P3(Oboe 2),U(Traverso 1)&P3(Oboe 2),P5(Oboe 2),P3(Traverso 1)&P3(Traverso 2)&P5(Oboe 1),,P3(Viola),P3(Violin 2),,,,,,Main Part
204.0,207.5,,,,,Main Part,U(Main)&P3(Oboe 2),,P3(Main)&P3(Traverso 2),,,,,,,,,
207.5,210.0,,,,,U(Traverso 2),U(Traverso 1),,,,,,,,,,,Main Part
210.0,220.5,,,,,Main Part,U(Main),,,,,,,,,,,
220.5,235.25,,,,,,,,,,,,,,,,Main Part,
235.25,250.5,,,,,,,,,,,,,,,,Main Part,
250.5,256.5,P3(Tromba 2)&P5(Tromba 3)&P5(Timpani)&U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&U(Soprano 1)&P3(Soprano 2)&P5(Alto)&U(Tenor),P3(Tromba 1)&P3(Tromba 3)&P3(Timpani)&P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1)&U(Oboe 2)&P3(Soprano 1)&U(Soprano 2)&P3(Alto)&P3(Tenor),P5(Tromba 1)&P3(Tromba 2)&P8(Timpani)&P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Soprano 1)&P3(Soprano 2)&U(Alto)&P5(Tenor),P5(Tromba 1)&P3(Tromba 2)&P8(Tromba 3)&P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Soprano 1)&P3(Soprano 2)&P8(Alto)&P5(Tenor),U(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P5(Timpani)&U(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&U(Soprano 1)&P3(Soprano 2)&P5(Alto)&U(Tenor),U(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P5(Timpani)&U(Traverso 1)&U(Oboe 1)&P3(Oboe 2)&U(Soprano 1)&P3(Soprano 2)&P5(Alto)&U(Tenor),U(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P5(Timpani)&U(Traverso 1)&U(Traverso 2)&P3(Oboe 2)&U(Soprano 1)&P3(Soprano 2)&P5(Alto)&U(Tenor),P3(Tromba 1)&U(Tromba 2)&P3(Tromba 3)&P3(Timpani)&P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1)&P3(Soprano 1)&U(Soprano 2)&P3(Alto)&P3(Tenor),,,,U(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P5(Timpani)&U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&P3(Soprano 2)&P5(Alto)&U(Tenor),P3(Tromba 1)&U(Tromba 2)&P3(Tromba 3)&P3(Timpani)&P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1)&U(Oboe 2)&P3(Soprano 1)&P3(Alto)&P3(Tenor),P5(Tromba 1)&P3(Tromba 2)&U(Tromba 3)&P8(Timpani)&P5(Traverso 1)&P5(Traverso 2)&P5(Oboe 1)&P3(Oboe 2)&P5(Soprano 1)&P3(Soprano 2)&P5(Tenor),U(Tromba 1)&P3(Tromba 2)&P5(Tromba 3)&P5(Timpani)&U(Traverso 1)&U(Traverso 2)&U(Oboe 1)&P3(Oboe 2)&U(Soprano 1)&P3(Soprano 2)&P5(Alto),Main Part,
256.5,261.0,Main Part,,,,U(Main)&U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,
261.0,264.5,,,,,Main Part,,U(Main),,,,,P3(Alto)&P5(Tenor)&P8(Bass),P3(Alto),P3(Soprano 1)&P3(Soprano 2)&P3(Tenor)&P3(Bass),P5(Soprano 1)&P3(Alto)&P5(Bass),P8(Soprano 1)&P3(Alto)&P5(Tenor),
264.5,274.5,Main Part,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,
274.5,277.5,,P3(Tromba 3),P3(Tromba 2),,U(Traverso 2)&P3(Oboe 1)&P5(Oboe 2),U(Traverso 1)&P3(Oboe 1)&P5(Oboe 2),P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 2),P5(Traverso 1)&P5(Traverso 2)&P3(Oboe 1),,,,,,,,Main Part,
277.5,280.5,P3(Tromba 2),P3(Tromba 1),,,U(Traverso 2),U(Traverso 1),P3(Oboe 2),P3(Oboe 1),,,,,,Main Part,,,
280.5,283.5,,,,,U(Traverso 2)&P5(Oboe 1)&P3(Oboe 2),U(Traverso 1)&P5(Oboe 1)&P3(Oboe 2),P5(Traverso 1)&P5(Traverso 2)&P3(Oboe 2),P3(Traverso 1)&P3(Traverso 2)&P3(Oboe 1),,,,,,,Main Part,,
283.5,289.5,P3(Tromba 2),P3(Tromba 1),,,,,,,P3(Violin 2)&P5(Viola)&U(Soprano 1),P3(Violin 1)&P3(Viola)&P3(Soprano 1),P5(Violin 1)&P3(Violin 2)&P5(Soprano 1),U(Violin 1)&P3(Violin 2)&P5(Viola),Main Part,,,,
289.5,301.5,,,,,,,,,,,,Main Part,,,,,
301.5,312.0,Main Part,,,,,,,,,,,,,,,P8(Continuo),P8(Bass)
312.0,324.0,Main Part,,,,,,,,,,,,,P8(Main),,,
324.0,331.5,Main Part,,,,,,,,,,,,,,,,
331.5,339.0,,,,,Main Part,,,,U(Violin 2)&U(Viola),U(Violin 1)&U(Viola),U(Violin 1)&U(Violin 2),,,,,,
339.0,351.0,,,,,Main Part,,,,,,,,,,,,
351.0,355.5,,,,,Main Part,,,,,,,,,,,,
355.5,360.0,Main Part,,,,U(Traverso 2)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Oboe 1)&U(Violin 1),U(Traverso 1)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Traverso 1)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,
360.0,361.5,,,,,Main Part,U(Main)&U(Oboe 1)&U(Violin 1),U(Main)&U(Traverso 2)&U(Violin 1),U(Violin 2),U(Main)&U(Traverso 2)&U(Oboe 1),U(Oboe 2),,,,,,,
361.5,372.0,Main Part,,,,,,,,,,,,,,,,
372.0,384.0,Main Part,,,,,,,,,,,,,,,,
384.0,390.0,Main Part,,,,U(Oboe 1)&U(Violin 1),,U(Traverso 1)&U(Violin 1),,U(Traverso 1)&U(Oboe 1),,,,,,,,
