qstamp_start,qstamp_end,Violin solo,Violin 1,Violin 2,Viola,Soprano 2 solo (sic),Continuo
0.0,12.5,Main Part,,,,,
12.5,14.75,,Main Part,,,,
14.75,22.5,Main Part,,,,,
22.5,24.5,,Main Part,,,,
24.5,36.5,Main Part,,,,,
36.5,48.0,Main Part,,,,,
48.0,56.0,,,,,Main Part,
56.0,59.75,Main Part,,,,,
59.75,64.0,,,,,Main Part,
64.0,68.0,Main Part,P3(Violin 2)&P5(Viola)&U(Soprano 2 solo (sic)),P3(Violin 1)&P3(Viola)&P3(Soprano 2 solo (sic)),P5(Violin 1)&P3(Violin 2)&P5(Soprano 2 solo (sic)),U(Violin 1)&P3(Violin 2)&P5(Viola),
68.0,70.75,,U(Main),,,Main Part,
70.75,73.0,Main Part,,,,,
73.0,75.0,,Main Part,,,,
75.0,77.5,,,Main Part,,,
77.5,80.0,,,,,Main Part,
80.0,86.75,Main Part,,,,,
86.75,88.0,,P2(Violin 2)&P4(Viola),P2(Violin 1)&P5(Viola),P4(Violin 1)&P5(Violin 2),Main Part,
88.0,92.25,Main Part,P3(Violin 2)&P5(Viola),P3(Violin 1)&P3(Viola),P5(Violin 1)&P3(Violin 2),,
92.25,93.75,,,,,Main Part,
93.75,94.75,,Main Part,,,,
94.75,103.0,Main Part,,,,,
103.0,104.75,,Main Part,,,,
104.75,108.5,Main Part,,,,,
108.5,120.0,Main Part,,,,,
120.0,122.0,,,,,Main Part,
122.0,123.0,Main Part,P4(Violin 2)&P3(Viola),P4(Violin 1)&P2(Viola),P3(Violin 1)&P2(Violin 2),,
123.0,124.0,P4(Continuo),,,,Main Part,P4(Violin solo)
124.0,125.0,Main Part,P8(Violin 2)&P6(Viola),P8(Violin 1)&P6(Viola),P6(Violin 1)&P6(Violin 2),,
125.0,126.0,P2(Continuo),,,,Main Part,P2(Violin solo)
126.0,127.0,Main Part,P4(Violin 2)&P3(Viola),P4(Violin 1)&P2(Viola),P3(Violin 1)&P2(Violin 2),,
127.0,129.0,,Main Part,,,,
129.0,131.0,Main Part,P4(Violin 2)&P2(Viola),P4(Violin 1)&P3(Viola),P2(Violin 1)&P3(Violin 2),,
131.0,135.75,,Main Part,,,,
135.75,136.5,,,P3(Viola),P3(Violin 2),Main Part,
136.5,138.0,Main Part,,,,P5(Continuo),P5(Soprano 2 solo (sic))
138.0,144.0,,,,,Main Part,
144.0,148.0,Main Part,P6(Violin 2)&P3(Viola),P6(Violin 1)&P4(Viola),P3(Violin 1)&P4(Violin 2),,
148.0,150.75,,Main Part,,,,
150.75,159.5,Main Part,,,,,
159.5,172.0,,,,,Main Part,
172.0,184.0,,,,,Main Part,
184.0,192.0,,,,,Main Part,
192.0,195.75,Main Part,,,,,
195.75,200.0,,,,,Main Part,
200.0,204.0,Main Part,P3(Violin 2)&P5(Viola)&U(Soprano 2 solo (sic)),P3(Violin 1)&P3(Viola)&P3(Soprano 2 solo (sic)),P5(Violin 1)&P3(Violin 2)&P5(Soprano 2 solo (sic)),U(Violin 1)&P3(Violin 2)&P5(Viola),
204.0,206.75,,U(Main),,,Main Part,
206.75,208.5,Main Part,,,,,
208.5,216.5,,,,,Main Part,
216.5,220.0,Main Part,P3(Violin 2)&P6(Viola),P3(Violin 1)&P4(Viola),P6(Violin 1)&P4(Violin 2),,
220.0,222.75,,Main Part,,,,
222.75,231.0,Main Part,,,,,
231.0,232.75,,Main Part,,,,
232.75,246.5,Main Part,,,,,
