qstamp,tstamp,measure,beat,Violin solo,Violin 1,Violin 2,Viola,Soprano 2 solo (sic),Continuo
0.0,0.0,1,4.5,E4,r,r,r,r,A2
0.25,0.2027,1,4.75,E4,r,r,r,r,B2
0.5,0.4054,2,1.0,A4,r,r,r,r,C#3
1.0,0.8108,2,1.5,A4,r,r,r,r,A2
1.25,1.0135,2,1.75,B4,r,r,r,r,A2
1.375,1.1149,2,1.875,C#5,r,r,r,r,A2
1.5,1.2162,2,2.0,B4,r,r,r,r,E3
1.75,1.4189,2,2.25,C#5,r,r,r,r,E3
2.0,1.6216,2,2.5,B4,r,r,r,r,D3
2.25,1.8243,2,2.75,G#4,r,r,r,r,D3
2.5,2.027,2,3.0,A4,r,r,r,r,C#3
3.0,2.4324,2,3.5,G#4,r,r,r,r,B2
3.25,2.6351,2,3.75,F#4,r,r,r,r,B2
3.5,2.8378,2,4.0,E4,r,r,r,r,C#3
4.0,3.2432,2,4.5,E5,E5,B4,E4,r,G#2
4.5,3.6486,3,1.0,D5,D5,A4,E4,r,A2
4.75,3.8514,3,1.25,C#5,C#5,A4,E4,r,A2
5.0,4.0541,3,1.5,B4,B4,E4,C#4,r,C#3
5.25,4.2568,3,1.75,A4,A4,E4,C#4,r,C#3
5.5,4.4595,3,2.0,D5,D5,G#4,D4,r,B2
6.0,4.8649,3,2.5,C#5,C#5,A4,E4,r,A2
6.5,5.2703,3,3.0,B4,B4,G#4,E4,r,E3
7.0,5.6757,3,3.5,B4,B4,G#4,E4,r,F#3
7.5,6.0811,3,4.0,r,r,r,r,r,G#3
8.0,6.4865,3,4.5,B4,r,r,r,r,E3
8.5,6.8919,4,1.0,C#5,r,r,r,r,A3
8.75,7.0946,4,1.25,A4,r,r,r,r,A3
9.0,7.2973,4,1.5,A4,r,r,r,r,F#3
9.25,7.5,4,1.75,B4,r,r,r,r,F#3
9.375,7.6014,4,1.875,C#5,r,r,r,r,F#3
9.5,7.7027,4,2.0,B4,r,r,r,r,G#3
9.75,7.9054,4,2.25,G#4,r,r,r,r,G#3
10.0,8.1081,4,2.5,G#4,r,r,r,r,E3
10.25,8.3108,4,2.75,A4,r,r,r,r,E3
10.375,8.4122,4,2.875,B4,r,r,r,r,E3
10.5,8.5135,4,3.0,A4,r,r,r,r,F#3
10.75,8.7162,4,3.25,F#4,r,r,r,r,F#3
