qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Oboe 1,Oboe 2,Oboe 3,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto 1,Alto 2,Tenor,Bass,Continuo
26.0,28.0,P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P3(Violin 1)&P8(Violin 2)&P6(Viola)&P8(Soprano 1)&P6(Soprano 2)&P6(Bass)&P6(Continuo),P6(Tromba 1)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P8(Soprano 2)&P8(Bass)&P8(Continuo),P3(Tromba 1)&P4(Tromba 2)&P4(Timpani)&U(Violin 1)&P3(Violin 2)&P4(Viola)&P3(Soprano 1)&P4(Soprano 2)&P4(Bass)&P4(Continuo),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P8(Soprano 2)&P8(Bass)&P8(Continuo),,,,P3(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P4(Timpani)&P3(Violin 2)&P4(Viola)&P3(Soprano 1)&P4(Soprano 2)&P4(Bass)&P4(Continuo),P8(Tromba 1)&P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P3(Violin 1)&P6(Viola)&U(Soprano 1)&P6(Soprano 2)&P6(Bass)&P6(Continuo),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P6(Soprano 1)&U(Soprano 2)&P8(Bass)&P8(Continuo),P8(Tromba 1)&P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P3(Violin 1)&U(Violin 2)&P6(Viola)&P6(Soprano 2)&P6(Bass)&P6(Continuo),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&U(Viola)&P6(Soprano 1)&P8(Bass)&P8(Continuo),Main Part,,,P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P8(Soprano 2)&U(Continuo),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P8(Soprano 2)&U(Bass)
28.0,30.0,Main Part,P4(Tromba 3),P4(Tromba 2),P8(Bass)&P8(Continuo),,,,,U(Soprano 1),U(Soprano 2),U(Violin 2),U(Viola),,,,P8(Timpani)&U(Continuo),P8(Timpani)&U(Bass)
30.0,32.0,P5(Tromba 2)&P3(Tromba 3)&P5(Timpani)&P5(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Soprano 1)&P3(Soprano 2)&P5(Bass)&P5(Continuo),P5(Tromba 1)&P3(Tromba 3)&P8(Timpani)&U(Violin 1)&P5(Violin 2)&P3(Viola)&P5(Soprano 1)&P3(Soprano 2)&P8(Bass)&P8(Continuo),P3(Tromba 1)&P3(Tromba 2)&P3(Timpani)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P3(Soprano 1)&P8(Soprano 2)&P3(Bass)&P3(Continuo),P5(Tromba 1)&P8(Tromba 2)&P3(Tromba 3)&P8(Violin 1)&P5(Violin 2)&P3(Viola)&P5(Soprano 1)&P3(Soprano 2)&P8(Bass)&P8(Continuo),,,,P5(Tromba 1)&U(Tromba 2)&P3(Tromba 3)&P8(Timpani)&P5(Violin 2)&P3(Viola)&P5(Soprano 1)&P3(Soprano 2)&P8(Bass)&P8(Continuo),P8(Tromba 1)&P5(Tromba 2)&P3(Tromba 3)&P5(Timpani)&P5(Violin 1)&P3(Viola)&U(Soprano 1)&P3(Soprano 2)&P5(Bass)&P5(Continuo),P3(Tromba 1)&P3(Tromba 2)&P8(Tromba 3)&P3(Timpani)&P3(Violin 1)&P3(Violin 2)&P3(Soprano 1)&U(Soprano 2)&P3(Bass)&P3(Continuo),P8(Tromba 1)&P5(Tromba 2)&P3(Tromba 3)&P5(Timpani)&P5(Violin 1)&U(Violin 2)&P3(Viola)&P3(Soprano 2)&P5(Bass)&P5(Continuo),P3(Tromba 1)&P3(Tromba 2)&P8(Tromba 3)&P3(Timpani)&P3(Violin 1)&P3(Violin 2)&U(Viola)&P3(Soprano 1)&P3(Bass)&P3(Continuo),Main Part,P3(Tenor),P3(Alto 2),P5(Tromba 1)&P8(Tromba 2)&P3(Tromba 3)&P8(Timpani)&P8(Violin 1)&P5(Violin 2)&P3(Viola)&P5(Soprano 1)&P3(Soprano 2)&U(Continuo),P5(Tromba 1)&P8(Tromba 2)&P3(Tromba 3)&P8(Timpani)&P8(Violin 1)&P5(Violin 2)&P3(Viola)&P5(Soprano 1)&P3(Soprano 2)&U(Bass)
32.0,34.0,Main Part,P3(Tromba 3),P3(Tromba 2),P8(Bass)&P8(Continuo),,,,,P3(Viola)&U(Soprano 1)&P3(Soprano 2),P3(Violin 2)&P3(Soprano 1)&U(Soprano 2),U(Violin 2)&P3(Viola)&P3(Soprano 2),P3(Violin 2)&U(Viola)&P3(Soprano 1),,,,P8(Timpani)&U(Continuo),P8(Timpani)&U(Bass)
34.0,40.0,P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P3(Violin 1)&P8(Violin 2)&P6(Viola)&P8(Soprano 1)&P3(Soprano 2)&P6(Bass)&P6(Continuo),P6(Tromba 1)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P4(Soprano 2)&P8(Bass)&P8(Continuo),P3(Tromba 1)&P4(Tromba 2)&P4(Timpani)&U(Violin 1)&P3(Violin 2)&P4(Viola)&P3(Soprano 1)&P8(Soprano 2)&P4(Bass)&P4(Continuo),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P4(Soprano 2)&P8(Bass)&P8(Continuo),,,,P3(Tromba 1)&P4(Tromba 2)&U(Tromba 3)&P4(Timpani)&P3(Violin 2)&P4(Viola)&P3(Soprano 1)&P8(Soprano 2)&P4(Bass)&P4(Continuo),P8(Tromba 1)&P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P3(Violin 1)&P6(Viola)&U(Soprano 1)&P3(Soprano 2)&P6(Bass)&P6(Continuo),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P6(Soprano 1)&P4(Soprano 2)&P8(Bass)&P8(Continuo),P8(Tromba 1)&P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P3(Violin 1)&U(Violin 2)&P6(Viola)&P3(Soprano 2)&P6(Bass)&P6(Continuo),P3(Tromba 1)&P4(Tromba 2)&P8(Tromba 3)&P4(Timpani)&P8(Violin 1)&P3(Violin 2)&P4(Viola)&P3(Soprano 1)&P4(Bass)&P4(Continuo),Main Part,,,P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P4(Soprano 2)&U(Continuo),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Soprano 1)&P4(Soprano 2)&U(Bass)
40.0,42.0,Main Part,P4(Tromba 3),P4(Tromba 2),,P3(Oboe 3)&U(Soprano 1),,P3(Oboe 1)&P3(Soprano 1),,,,U(Oboe 1)&P3(Oboe 3),,,,,U(Continuo),U(Bass)
42.0,48.0,,,,,,,,,,,Main Part,,,,,,
48.0,50.0,Main Part,P3(Main),P5(Soprano 2),P8(Bass)&P8(Continuo),,,,P3(Violin 2),P3(Violin 1),,P3(Alto 1),P5(Tromba 3),P3(Soprano 1),P3(Tenor),P3(Alto 2),P8(Timpani)&U(Continuo),P8(Timpani)&U(Bass)
50.0,52.0,P3(Tromba 2)&P3(Tromba 3)&P3(Timpani)&P3(Soprano 1)&P3(Soprano 2)&P8(Alto 1)&P3(Bass)&P3(Continuo),P3(Tromba 1)&P5(Tromba 3)&P8(Timpani)&U(Soprano 1)&P5(Soprano 2)&P3(Alto 1)&P8(Bass)&P8(Continuo),P3(Tromba 1)&P5(Tromba 2)&P5(Timpani)&P5(Soprano 1)&U(Soprano 2)&P3(Alto 1)&P5(Bass)&P5(Continuo),P3(Tromba 1)&P8(Tromba 2)&P5(Tromba 3)&P8(Soprano 1)&P5(Soprano 2)&P3(Alto 1)&P8(Bass)&P8(Continuo),Main Part,,P3(Main),,,,P3(Tromba 1)&U(Tromba 2)&P5(Tromba 3)&P8(Timpani)&P5(Soprano 2)&P3(Alto 1)&P8(Bass)&P8(Continuo),P3(Tromba 1)&P5(Tromba 2)&U(Tromba 3)&P5(Timpani)&P5(Soprano 1)&P3(Alto 1)&P5(Bass)&P5(Continuo),P8(Tromba 1)&P3(Tromba 2)&P3(Tromba 3)&P3(Timpani)&P3(Soprano 1)&P3(Soprano 2)&P3(Bass)&P3(Continuo),P3(Tenor),P3(Alto 2),P3(Tromba 1)&P8(Tromba 2)&P5(Tromba 3)&P8(Timpani)&P8(Soprano 1)&P5(Soprano 2)&P3(Alto 1)&U(Continuo),P3(Tromba 1)&P8(Tromba 2)&P5(Tromba 3)&P8(Timpani)&P8(Soprano 1)&P5(Soprano 2)&P3(Alto 1)&U(Bass)
52.0,54.0,Main Part,P3(Main),P5(Soprano 1),P8(Bass)&P8(Continuo),P3(Oboe 3),,P3(Oboe 1)&P3(Alto 1),,,,P5(Tromba 3),,P3(Oboe 3),,,P8(Timpani)&U(Continuo),P8(Timpani)&U(Bass)
