qstamp_start,qstamp_end,Tromba 1,Tromba 2,Tromba 3,Timpani,Oboe 1,Oboe 2,Oboe 3,Violin 1,Violin 2,Viola,Soprano 1,Soprano 2,Alto 1,Alto 2,Tenor,Bass,Continuo
188.0,197.0,,,,,P3(Oboe 2)&P4(Oboe 3)&U(Violin 1)&P4(Violin 2)&P3(Viola)&U(Soprano 1)&P4(Soprano 2)&P8(Alto 1)&P8(Bass),P3(Oboe 1)&P6(Oboe 3)&P3(Violin 1)&P6(Violin 2)&U(Viola)&P3(Soprano 1)&P6(Soprano 2)&P3(Alto 1)&P3(Bass),P4(Oboe 1)&P6(Oboe 2)&P4(Violin 1)&U(Violin 2)&P6(Viola)&P4(Soprano 1)&U(Soprano 2)&P4(Alto 1)&P4(Bass),U(Oboe 1)&P3(Oboe 2)&P4(Oboe 3)&P4(Violin 2)&P3(Viola)&U(Soprano 1)&P4(Soprano 2)&P8(Alto 1)&P8(Bass),P4(Oboe 1)&P6(Oboe 2)&U(Oboe 3)&P4(Violin 1)&P6(Viola)&P4(Soprano 1)&U(Soprano 2)&P4(Alto 1)&P4(Bass),P3(Oboe 1)&U(Oboe 2)&P6(Oboe 3)&P3(Violin 1)&P6(Violin 2)&P3(Soprano 1)&P6(Soprano 2)&P3(Alto 1)&P3(Bass),U(Oboe 1)&P3(Oboe 2)&P4(Oboe 3)&U(Violin 1)&P4(Violin 2)&P3(Viola)&P4(Soprano 2)&P8(Alto 1)&P8(Bass),P4(Oboe 1)&P6(Oboe 2)&U(Oboe 3)&P4(Violin 1)&U(Violin 2)&P6(Viola)&P4(Soprano 1)&P4(Alto 1)&P4(Bass),P8(Oboe 1)&P3(Oboe 2)&P4(Oboe 3)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Soprano 1)&P4(Soprano 2)&P8(Bass),,Main Part,P8(Oboe 1)&P3(Oboe 2)&P4(Oboe 3)&P8(Violin 1)&P4(Violin 2)&P3(Viola)&P8(Soprano 1)&P4(Soprano 2)&P8(Alto 1),
197.0,206.0,,,,,,,,,,,,,,Main Part,,,
206.0,215.0,,,,,,,,,,,Main Part,P3(Alto 1),P3(Soprano 2),,,,
215.0,224.0,P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P8(Oboe 1)&P6(Viola)&P6(Bass),P6(Tromba 1)&P4(Tromba 3)&P8(Timpani)&P6(Oboe 1)&P8(Viola)&P8(Bass),P3(Tromba 1)&P4(Tromba 2)&P4(Timpani)&P3(Oboe 1)&P4(Viola)&P4(Bass),P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P6(Oboe 1)&P8(Viola)&U(Bass),P8(Tromba 1)&P6(Tromba 2)&P3(Tromba 3)&P6(Timpani)&P6(Viola)&P6(Bass),,,,,P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&P8(Timpani)&P6(Oboe 1)&P8(Bass),,Main Part,,,,P6(Tromba 1)&P8(Tromba 2)&P4(Tromba 3)&U(Timpani)&P6(Oboe 1)&P8(Viola),
224.0,233.5,,,,,,,,,,P8(Continuo),,,,,Main Part,,P8(Viola)
233.5,235.0,,,,,P3(Oboe 2)&P5(Oboe 3)&P5(Violin 1)&P8(Violin 2)&P3(Viola)&P8(Alto 1),P3(Oboe 1)&P3(Oboe 3)&P3(Violin 1)&P3(Violin 2)&P8(Viola)&P3(Alto 1),P5(Oboe 1)&P3(Oboe 2)&U(Violin 1)&P5(Violin 2)&P3(Viola)&P5(Alto 1),P5(Oboe 1)&P3(Oboe 2)&U(Oboe 3)&P5(Violin 2)&P3(Viola)&P5(Alto 1),P8(Oboe 1)&P3(Oboe 2)&P5(Oboe 3)&P5(Violin 1)&P3(Viola)&P8(Alto 1),P3(Oboe 1)&P8(Oboe 2)&P3(Oboe 3)&P3(Violin 1)&P3(Violin 2)&P3(Alto 1),P3(Soprano 2),P3(Soprano 1),P8(Oboe 1)&P3(Oboe 2)&P5(Oboe 3)&P5(Violin 1)&P8(Violin 2)&P3(Viola),,,Main Part,
235.0,239.0,,,,,P4(Oboe 2)&P6(Oboe 3)&P4(Violin 1)&P6(Violin 2)&P8(Viola)&P6(Alto 1)&P4(Alto 2)&P8(Tenor),P4(Oboe 1)&P3(Oboe 3)&P8(Violin 1)&P3(Violin 2)&P4(Viola)&P3(Alto 1)&P8(Alto 2)&P4(Tenor),P6(Oboe 1)&P3(Oboe 2)&P3(Violin 1)&P8(Violin 2)&P6(Viola)&U(Alto 1)&P3(Alto 2)&P6(Tenor),P4(Oboe 1)&P8(Oboe 2)&P3(Oboe 3)&P3(Violin 2)&P4(Viola)&P3(Alto 1)&U(Alto 2)&P4(Tenor),P6(Oboe 1)&P3(Oboe 2)&P8(Oboe 3)&P3(Violin 1)&P6(Viola)&P8(Alto 1)&P3(Alto 2)&P6(Tenor),P8(Oboe 1)&P4(Oboe 2)&P6(Oboe 3)&P4(Violin 1)&P6(Violin 2)&P6(Alto 1)&P4(Alto 2)&U(Tenor),Main Part,P3(Main),P6(Oboe 1)&P3(Oboe 2)&U(Oboe 3)&P3(Violin 1)&P8(Violin 2)&P6(Viola)&P3(Alto 2)&P6(Tenor),P4(Oboe 1)&P8(Oboe 2)&P3(Oboe 3)&U(Violin 1)&P3(Violin 2)&P4(Viola)&P3(Alto 1)&P4(Tenor),P8(Oboe 1)&P4(Oboe 2)&P6(Oboe 3)&P4(Violin 1)&P6(Violin 2)&U(Viola)&P6(Alto 1)&P4(Alto 2),,
239.0,241.0,,,,,,,,,,,,,Main Part,,,P8(Continuo),P8(Bass)
241.0,242.5,,,,,P3(Oboe 2)&P3(Oboe 3)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&P3(Tenor),P3(Oboe 1)&P5(Oboe 3)&P5(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Tenor),P3(Oboe 1)&P5(Oboe 2)&U(Violin 1)&P3(Violin 2)&P5(Viola)&P5(Tenor),P3(Oboe 1)&P5(Oboe 2)&U(Oboe 3)&P3(Violin 2)&P5(Viola)&P5(Tenor),P8(Oboe 1)&P3(Oboe 2)&P3(Oboe 3)&P3(Violin 1)&P3(Viola)&P3(Tenor),P3(Oboe 1)&P8(Oboe 2)&P5(Oboe 3)&P5(Violin 1)&P3(Violin 2)&U(Tenor),,,,,P3(Oboe 1)&P8(Oboe 2)&P5(Oboe 3)&P5(Violin 1)&P3(Violin 2)&U(Viola),Main Part,
242.5,246.5,,,,,P5(Oboe 2)&P4(Oboe 3)&P8(Tenor),P5(Oboe 1)&P2(Oboe 3)&P5(Tenor),P4(Oboe 1)&P2(Oboe 2)&P4(Tenor),,,,P2(Soprano 2),P2(Soprano 1),Main Part,,P8(Oboe 1)&P5(Oboe 2)&P4(Oboe 3),,
246.5,248.5,,,,,P8(Tenor),U(Main),,P3(Violin 2),P3(Violin 1),,Main Part,,,,P8(Oboe 1),,
248.5,250.0,,,,,P8(Tenor),U(Soprano 1),P3(Violin 1),P3(Oboe 3)&P3(Violin 2)&P3(Alto 1),P3(Violin 1),P3(Soprano 2),U(Oboe 2),P3(Viola),P3(Violin 1),,P8(Oboe 1),Main Part,P8(Main)
250.0,250.5,,,,,P8(Tenor),U(Soprano 1),P3(Viola)&U(Main),P8(Alto 2),U(Soprano 2),P3(Oboe 3)&P3(Main),U(Oboe 2),U(Violin 2),Main Part,P8(Violin 1),P8(Oboe 1),P8(Continuo),P8(Bass)
250.5,256.0,,,,,P8(Main),,,,,,,,,,Main Part,,
256.0,257.5,,,,,,,,P3(Violin 2)&P5(Viola)&P2(Continuo),P3(Violin 1)&P3(Viola)&P4(Continuo),P5(Violin 1)&P3(Violin 2)&P6(Continuo),,,Main Part,,,,P2(Violin 1)&P4(Violin 2)&P6(Viola)
257.5,259.0,,,,,,,,P3(Violin 2)&P3(Viola)&P3(Continuo),P3(Violin 1)&P5(Viola)&P8(Continuo),P3(Violin 1)&P5(Violin 2)&P5(Continuo),,,,,Main Part,,P3(Violin 1)&P8(Violin 2)&P5(Viola)
259.0,260.5,,,,,,,,P3(Violin 2)&P4(Viola)&P2(Continuo),P3(Violin 1)&P6(Viola)&P4(Continuo),P4(Violin 1)&P6(Violin 2)&P3(Continuo),,,,,,Main Part,P2(Violin 1)&P4(Violin 2)&P3(Viola)
260.5,262.0,,,,,,,,P3(Violin 2)&P5(Viola)&P3(Continuo),P3(Violin 1)&P7(Viola)&P8(Continuo),P5(Violin 1)&P7(Violin 2)&P7(Continuo),,,Main Part,,P4(Bass),P4(Tenor),P3(Violin 1)&P8(Violin 2)&P7(Viola)
262.0,263.5,,,,,,P4(Viola),,,,P4(Oboe 2),,,,Main Part,,,
263.5,265.0,,,,,P4(Oboe 3)&P4(Continuo),U(Soprano 1),P4(Oboe 1),,,,U(Oboe 2),,,,Main Part,,P4(Oboe 1)
265.0,267.0,,,,,U(Soprano 2),U(Soprano 1),,P8(Alto 2),P8(Tenor),,U(Oboe 2),U(Oboe 1),,P8(Violin 1),P8(Violin 2),Main Part,U(Main)
267.0,272.5,,,,,U(Soprano 2),U(Oboe 3)&U(Main),U(Oboe 2)&U(Main),,P8(Tenor),,Main Part,U(Oboe 1),,,P8(Violin 2),U(Continuo),U(Bass)
272.5,274.0,,,,,,,,,,,,P7(Alto 1),P7(Soprano 2),Main Part,,,
274.0,278.0,,,,,P4(Oboe 2)&P7(Oboe 3)&P4(Violin 1)&P7(Violin 2)&P8(Viola)&P4(Soprano 1)&P4(Tenor),P4(Oboe 1)&P4(Oboe 3)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&U(Soprano 1)&P8(Tenor),P7(Oboe 1)&P4(Oboe 2)&P4(Violin 1)&P8(Violin 2)&P7(Viola)&P4(Soprano 1)&P4(Tenor),P4(Oboe 1)&P8(Oboe 2)&P4(Oboe 3)&P4(Violin 2)&P4(Viola)&P8(Soprano 1)&U(Tenor),P7(Oboe 1)&P4(Oboe 2)&P8(Oboe 3)&P4(Violin 1)&P7(Viola)&P4(Soprano 1)&P4(Tenor),P8(Oboe 1)&P4(Oboe 2)&P7(Oboe 3)&P4(Violin 1)&P7(Violin 2)&P4(Soprano 1)&P4(Tenor),P4(Oboe 1)&U(Oboe 2)&P4(Oboe 3)&P8(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Tenor),Main Part,,,P4(Oboe 1)&P8(Oboe 2)&P4(Oboe 3)&U(Violin 1)&P4(Violin 2)&P4(Viola)&P8(Soprano 1),,
278.0,279.75,,,,,,,,,P4(Soprano 1),,P4(Violin 2)&P4(Alto 1),,P4(Soprano 1),,Main Part,,
279.75,281.5,Main Part,,,,,,P8(Soprano 1),P8(Tenor),,,P8(Oboe 3),,,,P8(Violin 1),,
281.5,286.0,,P4(Tromba 3),P4(Tromba 2),,,,,,,,Main Part,,,,,,
286.0,287.5,,,,,,,,P3(Viola),,P3(Violin 1),,,,,,Main Part,
287.5,289.0,,,,,U(Soprano 1),,P3(Main),P3(Violin 2),P3(Violin 1),,U(Oboe 1),,P3(Alto 2),P3(Alto 1),Main Part,,
289.0,289.5,P2(Violin 2),,,,U(Soprano 1),P5(Oboe 3)&P3(Violin 1)&U(Soprano 2)&P3(Main),P5(Oboe 2)&P3(Violin 1)&P5(Soprano 2)&P3(Main),P3(Oboe 2)&P3(Oboe 3)&P3(Soprano 2)&P8(Main),P2(Tromba 1),U(Tenor),U(Oboe 1),U(Oboe 2)&P5(Oboe 3)&P3(Violin 1)&P3(Main),,Main Part,U(Viola),,
289.5,290.5,,,,,U(Main),U(Soprano 2),P3(Viola)&U(Alto 1)&P3(Tenor),P8(Alto 2),,P3(Oboe 3)&P3(Alto 1)&U(Tenor),Main Part,U(Oboe 2),U(Oboe 3)&P3(Viola)&P3(Tenor),P8(Violin 1),P3(Oboe 3)&U(Viola)&P3(Alto 1),,
290.5,292.25,,P4(Tromba 3)&P4(Timpani),P4(Tromba 2)&P8(Timpani),P4(Tromba 2)&P8(Tromba 3),U(Soprano 1),U(Soprano 2),U(Alto 1),P8(Alto 2),,U(Tenor),U(Oboe 1),U(Oboe 2),U(Oboe 3),P8(Violin 1),U(Viola),Main Part,P8(Main)
292.25,294.5,Main Part,,,,U(Soprano 1),,,,,,U(Oboe 1),,,,,P8(Continuo),P8(Bass)
294.5,303.5,P5(Tromba 2)&P3(Tromba 3)&P8(Timpani),P5(Tromba 1)&P3(Tromba 3)&P5(Timpani),P3(Tromba 1)&P3(Tromba 2)&P3(Timpani),P8(Tromba 1)&P5(Tromba 2)&P3(Tromba 3),,U(Main),U(Alto 2),,P8(Viola),P8(Violin 2),,Main Part,,U(Oboe 3),,,
303.5,312.5,P3(Tromba 2)&P3(Tromba 3)&P3(Timpani)&P3(Bass),P3(Tromba 1)&P5(Tromba 3)&P8(Timpani)&P8(Bass),P3(Tromba 1)&P5(Tromba 2)&P5(Timpani)&P5(Bass),P3(Tromba 1)&P8(Tromba 2)&P5(Tromba 3)&U(Bass),,,,,U(Viola)&U(Tenor)&P8(Continuo),U(Violin 2)&U(Tenor)&P8(Continuo),,,Main Part,,U(Violin 2)&U(Viola)&P8(Continuo),P3(Tromba 1)&P8(Tromba 2)&P5(Tromba 3)&U(Timpani),P8(Violin 2)&P8(Viola)&P8(Tenor)
312.5,322.0,Main Part,,,,,,,,,,,,,,,,
322.0,323.5,,,,,Main Part,,,P6(Violin 2)&P3(Viola),P6(Violin 1)&P4(Viola),P3(Violin 1)&P4(Violin 2),,,,,,U(Continuo),U(Bass)
323.5,325.0,,,,,P5(Oboe 2)&P3(Oboe 3)&P3(Alto 1),P5(Oboe 1)&P3(Oboe 3)&P3(Alto 1),P3(Oboe 1)&P3(Oboe 2)&U(Alto 1),Main Part,,,,,P3(Oboe 1)&P3(Oboe 2)&U(Oboe 3),,,U(Continuo),U(Bass)
325.0,326.5,,,,,Main Part,,,P3(Violin 2)&P6(Viola),P3(Violin 1)&P4(Viola),P6(Violin 1)&P4(Violin 2),,,,,,U(Continuo),U(Bass)
326.5,328.0,,,,,P3(Oboe 3),,P3(Oboe 1),Main Part,,,,,,P3(Tenor),P3(Alto 2),U(Continuo),U(Bass)
328.0,331.0,,,,,Main Part,,U(Alto 1),P6(Violin 2)&P3(Viola),P6(Violin 1)&P4(Viola),P3(Violin 1)&P4(Violin 2),U(Main),,U(Oboe 3),,,U(Continuo),U(Bass)
331.0,333.5,,,,,U(Soprano 1),P3(Oboe 3)&P3(Alto 1),P3(Oboe 2)&U(Alto 1),P8(Main),P8(Tenor),,U(Oboe 1),,P3(Oboe 2)&U(Oboe 3),Main Part,P8(Violin 2),U(Continuo),U(Bass)
333.5,336.5,,,,,U(Soprano 1),,U(Alto 1),,,,U(Oboe 1),,U(Oboe 3),,,Main Part,U(Main)
336.5,338.0,P5(Tromba 2)&P3(Tromba 3)&P8(Timpani),P5(Tromba 1)&P3(Tromba 3)&P5(Timpani),P3(Tromba 1)&P3(Tromba 2)&P3(Timpani),P8(Tromba 1)&P5(Tromba 2)&P3(Tromba 3),U(Main),U(Soprano 2),U(Alto 1),,,,Main Part,U(Oboe 2),U(Oboe 3),,,U(Continuo),U(Bass)
338.0,346.0,Main Part,,,,,,U(Alto 1),,P8(Tenor),,,,U(Oboe 3),,P8(Violin 2),U(Continuo),U(Bass)
346.0,347.5,,,,,U(Main),U(Soprano 2),U(Alto 1),P8(Alto 2),P8(Tenor),,Main Part,U(Oboe 2),U(Oboe 3),P8(Violin 1),P8(Violin 2),U(Continuo),U(Bass)
347.5,349.0,,,,,U(Main),U(Soprano 2),U(Alto 1),P8(Alto 2),P8(Tenor),,Main Part,U(Oboe 2),U(Oboe 3),P8(Violin 1),P8(Violin 2),U(Continuo),U(Bass)
349.0,350.5,,,,,U(Main),U(Soprano 2),U(Alto 1),P4(Violin 2)&P8(Alto 2)&P4(Tenor),P4(Violin 1)&P4(Alto 2)&P8(Tenor),,Main Part,U(Oboe 2),U(Oboe 3),P8(Violin 1)&P4(Violin 2)&P4(Tenor),P4(Violin 1)&P8(Violin 2)&P4(Alto 2),U(Continuo),U(Bass)
350.5,352.0,,,,,P3(Oboe 2)&U(Main)&P3(Soprano 2),P3(Oboe 1)&P3(Main)&U(Soprano 2),U(Alto 1),,P8(Tenor),,Main Part,P3(Oboe 1)&U(Oboe 2)&P3(Main),U(Oboe 3),,P8(Violin 2),U(Continuo),U(Bass)
352.0,353.5,,,,,P3(Oboe 2)&U(Main)&P3(Soprano 2),P3(Oboe 1)&P3(Main)&U(Soprano 2),U(Alto 1),,P8(Alto 2),,Main Part,P3(Oboe 1)&U(Oboe 2)&P3(Main),U(Oboe 3),P8(Violin 2),,U(Continuo),U(Bass)
353.5,354.5,,U(Tromba 3)&P8(Timpani),U(Tromba 2)&P8(Timpani),P8(Tromba 2)&P8(Tromba 3),P3(Oboe 2)&U(Main)&P3(Soprano 2),P3(Oboe 1)&P3(Main)&U(Soprano 2),U(Alto 1),,P8(Alto 2),P8(Tenor),Main Part,P3(Oboe 1)&U(Oboe 2)&P3(Main),U(Oboe 3),P8(Violin 2),P8(Viola),U(Continuo),U(Bass)
354.5,359.25,Main Part,U(Main)&U(Tromba 3),U(Main)&U(Tromba 2),,U(Soprano 1),U(Soprano 2),U(Alto 1)&P8(Tenor),,,,U(Oboe 1),U(Oboe 2),U(Oboe 3)&P8(Tenor),,P8(Oboe 3)&P8(Alto 1),,
359.25,365.75,,,,,U(Main),U(Soprano 2),,,,,Main Part,U(Oboe 2),,,,P8(Continuo),P8(Bass)
365.75,368.0,Main Part,,,,U(Soprano 1),,U(Alto 2),P8(Soprano 2),,,U(Oboe 1),P8(Violin 1),,U(Oboe 3),,P8(Continuo),P8(Bass)
