score_qstamp,qstamp,measure,beat,769749_tstamp
0.0,0.0,1,1.0,2.76
1.0,1.0,1,2.0,4.2244
2.0,2.0,1,3.0,6.6273
3.0,3.0,1,4.0,7.7765
4.0,4.0,2,1.0,9.4757
5.0,5.0,2,2.0,10.5899
6.0,6.0,2,3.0,11.633
7.0,7.0,2,4.0,12.546
8.0,8.0,3,1.0,13.2574
9.0,9.0,3,2.0,14.7056
9.5,9.5,3,2.5,15.1357
10.0,10.0,3,3.0,16.0617
11.0,11.0,3,4.0,17.3939
12.0,12.0,4,1.0,18.8671
13.0,13.0,4,2.0,20.2966
14.0,14.0,4,3.0,22.1704
15.0,15.0,4,4.0,23.0468
16.0,16.0,5,1.0,24.1644
17.0,17.0,5,2.0,26.571
17.5,17.5,5,2.5,27.153
18.0,18.0,5,3.0,27.4791
19.0,19.0,5,4.0,28.5852
20.0,20.0,6,1.0,30.2905
21.0,21.0,6,2.0,31.7157
22.0,22.0,6,3.0,33.1078
23.0,23.0,6,4.0,33.88
24.0,24.0,7,1.0,35.1938
25.0,25.0,7,2.0,37.6987
25.5,25.5,7,2.5,38.1904
26.0,26.0,7,3.0,38.5565
27.0,27.0,7,4.0,39.3009
28.0,28.0,8,1.0,40.0609
29.0,29.0,8,2.0,40.733
30.0,30.0,8,3.0,41.4652
31.0,31.0,8,4.0,42.2974
32.0,32.0,9,1.0,44.2376
33.0,33.0,9,2.0,45.8854
34.0,34.0,9,3.0,47.7539
35.0,35.0,9,4.0,49.2362
36.0,36.0,10,1.0,50.6583
37.0,37.0,10,2.0,52.2104
38.0,38.0,10,3.0,53.2642
39.0,39.0,10,4.0,54.8548
40.0,40.0,11,1.0,56.241
41.0,41.0,11,2.0,57.4591
42.0,42.0,11,3.0,58.8113
43.0,43.0,11,4.0,60.3235
44.0,44.0,12,1.0,61.8314
45.0,45.0,12,2.0,63.4502
46.0,46.0,12,3.0,64.38
46.5,46.5,12,3.5,65.6322
47.0,47.0,12,4.0,66.1332
48.0,48.0,13,1.0,68.0531
48.5,48.5,13,1.5,68.6504
49.0,49.0,13,2.0,69.2765
50.0,50.0,13,3.0,71.0097
50.5,50.5,13,3.5,71.7548
51.0,51.0,13,4.0,72.2697
52.0,52.0,14,1.0,73.633
52.5,52.5,14,1.5,74.4191
53.0,53.0,14,2.0,75.3824
54.0,54.0,14,3.0,77.0496
55.0,55.0,14,4.0,78.476
56.0,56.0,15,1.0,79.4251
57.0,57.0,15,2.0,80.1939
60.0,60.0,16,1.0,86.7512
64.0,64.0,17,1.0,91.3191
65.0,65.0,17,2.0,92.9913
65.5,65.5,17,2.5,93.494
66.0,66.0,17,3.0,94.2785
67.0,67.0,17,4.0,95.6157
68.0,68.0,18,1.0,96.7258
69.0,69.0,18,2.0,97.94
70.0,70.0,18,3.0,99.4522
71.0,71.0,18,4.0,100.7643
72.0,72.0,19,1.0,101.9845
73.0,73.0,19,2.0,102.8487
74.0,74.0,19,3.0,105.0409
75.0,75.0,19,4.0,106.653
76.0,76.0,20,1.0,107.6972
77.0,77.0,20,2.0,108.9374
78.0,78.0,20,3.0,110.1192
79.0,79.0,20,4.0,110.8242
80.0,80.0,21,1.0,112.6139
81.0,81.0,21,2.0,113.3461
82.0,82.0,21,3.0,115.2583
83.0,83.0,21,4.0,116.444
84.0,84.0,22,1.0,118.0338
85.0,85.0,22,2.0,119.3148
86.0,86.0,22,3.0,121.123
87.0,87.0,22,4.0,122.0991
88.0,88.0,23,1.0,123.5539
89.0,89.0,23,2.0,124.894
90.0,90.0,23,3.0,126.3983
90.5,90.5,23,3.5,126.9617
91.0,91.0,23,4.0,127.5516
92.0,92.0,24,1.0,128.62
93.0,93.0,24,2.0,130.1654
94.0,94.0,24,3.0,131.3129
95.0,95.0,24,4.0,132.6165
96.0,96.0,25,1.0,134.1236
97.0,97.0,25,2.0,135.3036
98.0,98.0,25,3.0,136.553
99.0,99.0,25,4.0,138.3196
100.0,100.0,26,1.0,139.4174
101.0,101.0,26,2.0,141.3592
102.0,102.0,26,3.0,142.1617
102.5,102.5,26,3.5,142.7278
103.0,103.0,26,4.0,143.2478
104.0,104.0,27,1.0,144.7983
105.0,105.0,27,2.0,145.4783
106.0,106.0,27,3.0,147.4296
107.0,107.0,27,4.0,149.6016
108.0,108.0,28,1.0,150.5748
109.0,109.0,28,2.0,151.649
110.0,110.0,28,3.0,152.9791
111.0,111.0,28,4.0,154.6313
112.0,112.0,29,1.0,155.8235
114.0,114.0,29,3.0,157.7994
116.0,116.0,30,1.0,161.0732
118.0,118.0,30,3.0,163.47
119.0,119.0,30,4.0,165.2287
120.0,120.0,31,1.0,166.3609
122.0,122.0,31,3.0,168.436
124.0,124.0,32,1.0,171.4096
126.0,126.0,32,3.0,173.9895
127.0,127.0,32,4.0,175.8261
128.0,128.0,33,1.0,176.5149
130.0,130.0,33,3.0,178.9206
132.0,132.0,34,1.0,180.923
134.0,134.0,34,3.0,183.9913
136.0,136.0,35,1.0,185.2957
138.0,138.0,35,3.0,188.36
140.0,140.0,36,1.0,189.6901
142.0,142.0,36,3.0,191.7687
144.0,144.0,37,1.0,194.093
144.5,144.5,37,1.5,195.0191
145.0,145.0,37,2.0,195.7356
145.5,145.5,37,2.5,196.2713
146.0,146.0,37,3.0,196.6374
146.5,146.5,37,3.5,197.0305
147.0,147.0,37,4.0,197.4296
147.5,147.5,37,4.5,197.9357
148.0,148.0,38,1.0,198.6851
148.5,148.5,38,1.5,199.1478
149.0,149.0,38,2.0,199.7339
149.5,149.5,38,2.5,200.06
150.0,150.0,38,3.0,200.6261
150.5,150.5,38,3.5,201.3322
151.0,151.0,38,4.0,201.7566
151.5,151.5,38,4.5,202.2159
152.0,152.0,39,1.0,203.0208
152.5,152.5,39,1.5,203.4165
153.0,153.0,39,2.0,203.7426
153.5,153.5,39,2.5,204.0774
154.0,154.0,39,3.0,204.4348
154.5,154.5,39,3.5,206.2609
155.0,155.0,39,4.0,206.594
155.5,155.5,39,4.5,206.933
156.0,156.0,40,1.0,207.3591
156.5,156.5,40,1.5,208.0956
157.0,157.0,40,2.0,208.4713
157.5,157.5,40,2.5,208.8974
158.0,158.0,40,3.0,209.567
158.5,158.5,40,3.5,210.4696
159.0,159.0,40,4.0,210.7957
159.5,159.5,40,4.5,211.1217
160.0,160.0,41,1.0,211.6428
160.5,160.5,41,1.5,214.0939
161.0,161.0,41,2.0,214.44
161.3333,161.3333,41,2.3333,214.7374
161.5,161.5,41,2.5,214.8461
161.6667,161.6667,41,2.6667,215.0096
162.0,162.0,41,3.0,215.2322
162.3333,162.3333,41,3.3333,215.499
162.5,162.5,41,3.5,215.7183
162.6667,162.6667,41,3.6667,215.981
163.0,163.0,41,4.0,216.2243
163.3333,163.3333,41,4.3333,216.4834
163.5,163.5,41,4.5,216.6304
163.6667,163.6667,41,4.6667,216.7392
164.0,164.0,42,1.0,216.9565
164.3333,164.3333,42,1.3333,218.7139
164.5,164.5,42,1.5,218.8226
164.6667,164.6667,42,1.6667,218.9313
165.0,165.0,42,2.0,219.1687
165.5,165.5,42,2.5,219.4948
166.0,166.0,42,3.0,219.8254
166.5,166.5,42,3.5,221.047
167.0,167.0,42,4.0,221.373
168.0,168.0,43,1.0,222.3636
169.0,169.0,43,2.0,223.8974
170.0,170.0,43,3.0,224.9096
171.0,171.0,43,4.0,226.1353
172.0,172.0,44,1.0,227.1878
173.0,173.0,44,2.0,229.0461
174.0,174.0,44,3.0,230.1583
175.0,175.0,44,4.0,231.2304
176.0,176.0,45,1.0,232.5982
177.0,177.0,45,2.0,234.4548
178.0,178.0,45,3.0,235.155
179.0,179.0,45,4.0,236.9782
180.0,180.0,46,1.0,237.6913
181.0,181.0,46,2.0,238.809
182.0,182.0,46,3.0,239.9957
183.0,183.0,46,4.0,241.7214
184.0,184.0,47,1.0,242.72
185.0,185.0,47,2.0,243.8254
186.0,186.0,47,3.0,245.3617
187.0,187.0,47,4.0,246.3165
188.0,188.0,48,1.0,247.4087
188.5,188.5,48,1.5,247.7348
189.0,189.0,48,2.0,248.0663
189.5,189.5,48,2.5,248.974
190.0,190.0,48,3.0,249.353
190.5,190.5,48,3.5,249.8391
191.0,191.0,48,4.0,250.6676
191.5,191.5,48,4.5,251.1713
192.0,192.0,49,1.0,251.9574
193.0,193.0,49,2.0,253.0184
194.0,194.0,49,3.0,254.2055
195.0,195.0,49,4.0,255.1139
196.0,196.0,50,1.0,256.3061
196.5,196.5,50,1.5,256.8322
197.0,197.0,50,2.0,257.3515
197.5,197.5,50,2.5,257.8243
198.0,198.0,50,3.0,258.3304
198.5,198.5,50,3.5,258.7565
199.0,199.0,50,4.0,259.4912
199.5,199.5,50,4.5,260.4087
200.0,200.0,51,1.0,260.7348
201.0,201.0,51,2.0,261.867
202.0,202.0,51,3.0,262.5791
203.0,203.0,51,4.0,264.0139
204.0,204.0,52,1.0,265.388
205.0,205.0,52,2.0,266.1757
206.0,206.0,52,3.0,267.1072
207.0,207.0,52,4.0,268.3
208.0,208.0,53,1.0,269.4922
209.0,209.0,53,2.0,270.683
210.0,210.0,53,3.0,271.4965
211.0,211.0,53,4.0,272.2905
212.0,212.0,54,1.0,273.1693
212.3333,212.3333,54,1.3333,274.8382
212.6667,212.6667,54,1.6667,275.0557
213.0,213.0,54,2.0,275.273
213.3333,213.3333,54,2.3333,275.8504
213.6667,213.6667,54,2.6667,276.0678
214.0,214.0,54,3.0,276.5296
214.3333,214.3333,54,3.3333,277.4426
214.6667,214.6667,54,3.6667,277.66
215.0,215.0,54,4.0,277.8774
215.3333,215.3333,54,4.3333,278.3548
215.5,215.5,54,4.5,278.4635
215.6667,215.6667,54,4.6667,278.5722
216.0,216.0,55,1.0,278.7896
216.3333,216.3333,55,1.3333,279.3269
216.6667,216.6667,55,1.6667,279.5444
217.0,217.0,55,2.0,279.7634
217.3333,217.3333,55,2.3333,280.3191
217.5,217.5,55,2.5,280.4278
217.6667,217.6667,55,2.6667,280.7365
218.0,218.0,55,3.0,280.9539
218.3333,218.3333,55,3.3333,281.6113
218.5,218.5,55,3.5,281.72
218.6667,218.6667,55,3.6667,281.8287
219.0,219.0,55,4.0,282.1193
219.3333,219.3333,55,4.3333,282.5235
219.5,219.5,55,4.5,282.6322
219.6667,219.6667,55,4.6667,283.0009
220.0,220.0,56,1.0,283.2383
220.3333,220.3333,56,1.3333,283.8556
220.5,220.5,56,1.5,283.9643
220.6667,220.6667,56,1.6667,284.0731
221.0,221.0,56,2.0,284.2904
221.3333,221.3333,56,2.3333,284.6278
221.5,221.5,56,2.5,284.7365
221.6667,221.6667,56,2.6667,285.1252
222.0,222.0,56,3.0,285.3426
222.3333,222.3333,56,3.3333,285.6
222.5,222.5,56,3.5,285.7609
222.6667,222.6667,56,3.6667,286.2174
223.0,223.0,56,4.0,286.5348
223.3333,223.3333,56,4.3333,286.8722
223.5,223.5,56,4.5,286.9944
223.6667,223.6667,56,4.6667,287.3896
224.0,224.0,57,1.0,287.607
