qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Trombone 1,Trombone 2,Trombone 3,Harp,Soprano,Alto,Tenor,Bass,Viola 1,Viola 2,Violoncello 1,Violoncello 2,Violoncello 3,Contrabass
0.0,4.0,,,,,,,Main Part,U(Main)&P8(Violoncello 3)&P8(Contrabass),,,,,,,,,,,,,P8(Main)&P8(F Horn 2)&P8(Contrabass),P8(Main)&P8(F Horn 2)&P8(Violoncello 3)
4.0,8.0,,,,,,,U(F Horn 2)&P8(Violoncello 3)&P8(Contrabass),U(F Horn 1)&P8(Violoncello 3)&P8(Contrabass),,,,,,,,,,,,Main Part,P8(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Violoncello 3)
8.0,16.0,,,,,,,U(F Horn 2)&P8(Violoncello 3)&P8(Contrabass),U(F Horn 1)&P8(Violoncello 3)&P8(Contrabass),,,,,,,,,,,Main Part,,P8(F Horn 1)&P8(F Horn 2)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P8(Violoncello 3)
16.0,24.0,,,,,,,,,,,,,,,,,,Main Part,,P4(Violoncello 3)&P4(Contrabass),P4(Violoncello 2)&P8(Contrabass),P4(Violoncello 2)&P8(Violoncello 3)
24.0,44.0,,,,,,,,,,,,,,,,,Main Part,,,,P8(Contrabass),P8(Violoncello 3)
44.0,56.0,,,,,,,,P8(Violoncello 3)&P8(Contrabass),,,,,P3(Alto)&P4(Tenor)&P8(Bass),P3(Soprano)&P6(Tenor)&P3(Bass),P4(Soprano)&P6(Alto)&P4(Bass),P8(Soprano)&P3(Alto)&P4(Tenor),Main Part,,,,P8(F Horn 2)&P8(Contrabass),P8(F Horn 2)&P8(Violoncello 3)
56.0,64.0,,,,,,,,P8(Violoncello 3)&P8(Contrabass),,,,,Main Part,,P4(Bass),P4(Tenor),P6(Violoncello 2),,,P6(Viola 1),P8(F Horn 2)&P8(Contrabass),P8(F Horn 2)&P8(Violoncello 3)
64.0,72.0,,,,,,,U(Viola 2),P8(Violoncello 3)&P8(Contrabass),,,,,,P6(Tenor),P6(Alto),,Main Part,U(F Horn 1),U(Main),,P8(F Horn 2)&P8(Contrabass),P8(F Horn 2)&P8(Violoncello 3)
72.0,105.0,,,,,,,,P8(Viola 2),,,,,Main Part,,,,P3(Violoncello 3)&P3(Contrabass),P8(F Horn 2),,,P3(Viola 1)&P8(Contrabass),P3(Viola 1)&P8(Violoncello 3)
105.0,112.0,Main Part,,,,,,U(Viola 2),,,,,,P3(Alto)&P4(Tenor)&P8(Bass),P3(Soprano)&P6(Tenor)&P3(Bass),P4(Soprano)&P6(Alto)&P4(Bass),P8(Soprano)&P3(Alto)&P4(Tenor),U(Main),U(F Horn 1),,U(Violoncello 3)&P8(Contrabass),U(Violoncello 2)&P8(Contrabass),P8(Violoncello 2)&P8(Violoncello 3)
