qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,E Horn 3,E Horn 4,D Trumpet 1,D Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
1.0,0.4167,1,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C#3,C#2
2.0,0.8333,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
3.0,1.25,2,1.0,r,r,r,r,r,r,r,r,F#4,D4,r,r,r,r,r,r,r,r,r,A3,A3,D3,A2,A1
5.0,2.0833,2,3.0,r,r,r,r,r,r,r,r,A4,A3,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
6.0,2.5,3,1.0,r,r,r,r,r,r,A3,F#3,A3,F#3,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
8.0,3.3333,3,3.0,r,r,r,r,r,r,F#3,D3,D4,D3,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
9.0,3.75,4,1.0,r,r,r,r,r,r,G3,G3,E4,C#3,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
10.0,4.1667,4,2.0,r,r,r,r,r,r,A3,G3,F#4,C#3,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
11.0,4.5833,4,3.0,r,r,r,r,r,r,G3,G3,E4,C#3,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
12.0,5.0,5,1.0,r,r,r,r,r,r,A3,D3,D4,D3,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
13.0,5.4167,5,2.0,r,r,r,r,r,r,A3,D3,D4,D3,r,r,r,r,r,r,r,r,r,r,r,r,E3,E2
14.0,5.8333,5,3.0,r,r,r,r,r,r,A3,D3,A3,D3,r,r,r,r,r,r,r,r,r,r,r,r,F#3,F#2
15.0,6.25,6,1.0,A5,F#5,r,r,A4,F#4,A3,F#3,A3,A3,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
16.0,6.6667,6,2.0,B5,G5,r,r,B4,G4,B3,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
17.0,7.0833,6,3.0,C#6,E5,r,r,C#5,E4,C#4,E3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
18.0,7.5,7,1.0,D6,F#5,r,r,D5,F#4,D4,F#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
20.0,8.3333,7,3.0,F#6,A5,r,r,F#5,A4,F#4,A3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
21.0,8.75,8,1.0,E6,G5,r,r,E5,G4,E4,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
23.0,9.5833,8,3.0,A5,G5,r,r,A4,G4,A3,G3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D3,D2
24.0,10.0,9,1.0,D6,F#5,r,r,D5,F#4,D4,F#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,B1
25.0,10.4167,9,2.0,D6,F#5,r,r,D5,F#4,D4,F#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B-2,B-1
26.0,10.8333,9,3.0,D6,F#5,r,r,D5,F#4,D4,F#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B2,B1
27.0,11.25,10,1.0,r,r,r,r,r,r,r,r,r,r,G4,E4,r,r,r,r,r,r,r,r,r,r,E3,E2
29.0,12.0833,10,3.0,r,r,r,r,r,r,r,r,r,r,B4,B3,r,r,r,r,r,r,r,r,r,r,E3,E2
30.0,12.5,11,1.0,r,r,r,r,r,r,B3,G3,r,r,B3,G3,r,r,r,r,r,r,r,r,r,r,E3,E2
32.0,13.3333,11,3.0,r,r,r,r,r,r,G3,E3,r,r,E4,E3,r,r,r,r,r,r,r,r,r,r,E3,E2
33.0,13.75,12,1.0,r,r,r,r,r,r,A3,E-3,r,r,F#4,B3,r,r,r,r,r,r,r,r,r,r,E3,E2
34.0,14.1667,12,2.0,r,r,r,r,r,r,A3,C#3,r,r,E4,B3,r,r,r,r,r,r,r,r,r,r,E3,E2
35.0,14.5833,12,3.0,r,r,r,r,r,r,A3,E-3,r,r,F#4,B3,r,r,r,r,r,r,r,r,r,r,E3,E2
36.0,15.0,13,1.0,r,r,r,r,r,r,G3,E3,r,r,G4,B3,r,r,r,r,r,r,r,r,r,r,E2,E1
37.0,15.4167,13,2.0,r,r,r,r,r,r,B3,G3,r,r,G4,B3,r,r,r,r,r,r,r,r,r,r,E-2,r
38.0,15.8333,13,3.0,r,r,r,r,r,r,B3,G3,r,r,E4,B3,r,r,r,r,r,r,r,r,r,r,E2,E1
39.0,16.25,14,1.0,E6,C#6,r,r,E5,C#5,E3,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
40.0,16.6667,14,2.0,D6,B5,r,r,D5,B4,D3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
41.0,17.0833,14,3.0,C#6,A5,r,r,C#5,A4,C#3,A2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
42.0,17.5,15,1.0,D6,F#5,r,r,D5,F#4,F#3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
44.0,18.3333,15,3.0,C#6,E5,r,r,C#5,E4,E3,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
45.0,18.75,16,1.0,B5,D5,r,r,B4,D4,B3,D3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
47.0,19.5833,16,3.0,G#5,B4,r,r,G#4,B3,G#3,B2,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
48.0,20.0,17,1.0,E5,C#5,r,r,E4,C#4,E3,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
49.0,20.4167,17,2.0,A5,C#5,r,r,A4,C#4,A3,C#3,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A2,A1
