score_qstamp,qstamp,measure,beat,246958_tstamp
0.0,0.0,1,1.0,0.26
1.0,1.0,1,2.0,0.2798
2.0,2.0,1,3.0,0.4133
3.0,3.0,2,1.0,0.7801
5.0,5.0,2,3.0,0.7869
6.0,6.0,3,1.0,0.7902
8.0,8.0,3,3.0,0.797
9.0,9.0,4,1.0,0.85
10.0,10.0,4,2.0,0.9667
11.0,11.0,4,3.0,1.3833
12.0,12.0,5,1.0,1.8
13.0,13.0,5,2.0,2.0424
14.0,14.0,5,3.0,2.0481
15.0,15.0,6,1.0,2.0538
16.0,16.0,6,2.0,2.0595
17.0,17.0,6,3.0,2.0874
18.0,18.0,7,1.0,2.0959
20.0,20.0,7,3.0,2.1333
21.0,21.0,8,1.0,2.1429
23.0,23.0,8,3.0,2.1487
24.0,24.0,9,1.0,2.1516
25.0,25.0,9,2.0,2.1545
26.0,26.0,9,3.0,2.1574
27.0,27.0,10,1.0,2.21
29.0,29.0,10,3.0,2.3419
30.0,30.0,11,1.0,2.343
32.0,32.0,11,3.0,2.3453
33.0,33.0,12,1.0,2.3464
34.0,34.0,12,2.0,2.3476
35.0,35.0,12,3.0,2.3487
36.0,36.0,13,1.0,2.3498
37.0,37.0,13,2.0,2.351
38.0,38.0,13,3.0,2.3521
39.0,39.0,14,1.0,2.3532
40.0,40.0,14,2.0,2.3544
41.0,41.0,14,3.0,2.3555
42.0,42.0,15,1.0,2.3566
44.0,44.0,15,3.0,2.3589
45.0,45.0,16,1.0,2.3601
47.0,47.0,16,3.0,2.3667
48.0,48.0,17,1.0,2.3701
49.0,49.0,17,2.0,2.3734
50.0,50.0,17,3.0,2.3767
51.0,51.0,18,1.0,2.3801
53.0,53.0,18,3.0,2.3867
54.0,54.0,19,1.0,2.3901
55.0,55.0,19,2.0,2.3934
56.0,56.0,19,3.0,2.3967
57.0,57.0,20,1.0,2.405
59.0,59.0,20,3.0,2.6637
60.0,60.0,21,1.0,2.6666
61.0,61.0,21,2.0,2.6696
62.0,62.0,21,3.0,2.6725
63.0,63.0,22,1.0,2.6754
64.0,64.0,22,2.0,2.6784
65.0,65.0,22,3.0,2.8633
