qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.5,10.0,Main Part,,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(A Clarinet 1),P8(Oboe 2)&P8(A Clarinet 2),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 2)&P8(Timpani),P8(A Horn 1)&P8(A Horn 2)&U(D Trumpet 1)&P8(Timpani),P8(A Horn 1)&U(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
10.0,26.0,,,P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,,P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
26.0,42.0,,,,,,,,,,P8(D Trumpet 1)&P8(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 2),P8(A Horn 2)&U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
42.0,58.0,,,,,,,,,,,U(D Trumpet 2),U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
58.0,72.0,,,,,P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,U(D Trumpet 2),U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
72.0,80.0,P8(A Horn 1),,,,,,,,P8(Flute 1),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
80.0,88.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),P8(Bassoon 1),P8(Bassoon 2),P8(A Clarinet 1),P8(A Clarinet 2),,,P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1)&P8(Timpani)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),Main Part,,P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violoncello)&P8(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Contrabass),P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Viola)&P8(Violoncello)
88.0,96.0,U(Flute 2),U(Flute 1),P8(A Clarinet 1),P8(A Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,,P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 2)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
96.0,104.0,U(Flute 2),U(Flute 1),P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Oboe 1)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2),P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1),,,P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
104.0,112.0,Main Part,P8(Main),P8(A Horn 2),P8(A Horn 1),P6(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2),P6(A Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2),P8(A Clarinet 1)&P6(A Clarinet 2)&P6(Bassoon 2),P6(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 1),P8(Oboe 2),P8(Oboe 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),,,,P8(Contrabass),P8(Violoncello)
