score_qstamp,qstamp,measure,beat,723383_tstamp,729191_tstamp,723375_tstamp,730990_tstamp,736448_tstamp,723387_tstamp,723405_tstamp,723416_tstamp,723412_tstamp,723396_tstamp,728538_tstamp,736453_tstamp,723379_tstamp,711683_tstamp
0.0,0.0,1,1.0,1.1,1.28,0.0039,18.08,1.0,0.9806,0.9806,0.9806,0.9806,2.76,1.12,0.5255,0.72,0.9806
0.5,0.5,1,1.5,1.3083,1.4883,0.0047,20.8083,1.1894,0.9867,0.9867,0.9867,0.9867,3.2083,1.3094,0.5278,0.9283,0.9867
0.75,0.75,1,1.75,1.4125,1.5925,0.0051,20.9125,1.2642,0.9898,0.9898,0.9898,0.9898,3.3125,1.3807,0.529,1.0263,0.9898
1.0,1.0,1,2.0,1.5167,1.6967,0.0055,21.0668,1.3256,0.9928,0.9928,0.9928,0.9928,3.4767,1.3865,0.5302,1.1167,0.9928
4.0,5.0,3,1.0,3.7033,4.1033,0.0119,31.7262,2.9633,2.4007,1.9007,2.0407,2.4007,4.6433,2.8233,1.2433,2.5633,2.4233
4.5,5.5,3,1.5,3.9117,4.3117,0.0127,32.6291,3.1717,2.4068,1.9068,2.0468,2.4068,4.8517,2.8806,1.4317,2.7717,2.5049
4.75,5.75,3,1.75,4.0158,4.4158,0.0131,32.9358,3.2758,2.4099,1.9099,2.0499,2.4099,4.9558,2.8855,1.5358,2.8758,2.5087
5.0,6.0,3,2.0,4.12,4.52,0.0135,33.04,3.38,2.4129,1.9129,2.0529,2.4129,5.06,2.8905,1.63,2.98,2.5126
8.0,10.0,5,1.0,6.2467,6.3267,0.0199,103.7067,5.0333,3.8033,3.2867,2.6267,3.7867,6.3267,4.1267,2.0667,4.3267,3.3667
8.5,10.5,5,1.5,6.435,6.535,0.215,103.915,5.235,3.995,3.495,2.795,3.995,6.535,4.335,2.265,4.535,3.575
8.75,10.75,5,1.75,6.5392,6.6392,0.3192,104.096,5.3392,4.0992,3.5992,2.8992,4.0992,6.6584,4.4392,2.3392,4.6392,3.6592
9.0,11.0,5,2.0,6.6433,6.7433,0.4233,104.2233,5.4316,4.2011,3.7033,2.9917,4.2033,6.7633,4.5247,2.4033,4.7433,3.7633
9.25,11.25,5,2.25,6.6856,6.8475,0.5275,104.3275,5.5275,4.2675,3.8075,3.0492,4.3075,6.8675,4.5675,2.5075,4.8475,3.8675
9.5,11.5,5,2.5,6.6943,6.9517,0.6317,104.4517,5.6317,4.3603,3.9117,3.1239,4.4117,6.9717,4.6617,2.6117,4.9517,3.9717
9.75,11.75,5,2.75,6.7358,7.0558,0.7358,104.5558,5.7358,4.3634,4.0158,3.1958,4.5158,7.0758,4.6765,2.7158,5.0716,4.0758
10.0,12.0,6,1.0,6.824,7.16,0.84,104.66,5.786,4.3665,4.12,3.3,4.62,7.18,4.75,2.81,5.18,4.165
10.5,12.5,6,1.5,6.9683,7.3683,1.0483,105.0483,5.8683,4.3726,4.2014,3.5083,4.666,7.3883,4.9483,2.9483,5.3883,4.1857
10.75,12.75,6,1.75,7.0725,7.4725,1.1525,105.1525,5.9725,4.3757,4.2188,3.6125,4.6697,7.4925,5.0525,2.9632,5.4925,4.1897
11.0,13.0,6,2.0,7.1767,7.5767,1.2083,105.2567,6.0767,4.3787,4.3167,3.7167,4.6735,7.5767,5.1567,2.9668,5.5967,4.1937
11.25,13.25,6,2.25,7.2415,7.6808,1.2438,105.3608,6.1808,4.4408,4.4208,3.8208,4.6772,7.6808,5.2608,2.9704,5.7208,4.1977
11.5,13.5,6,2.5,7.2454,7.785,1.2503,105.465,6.285,4.545,4.525,3.925,4.705,7.785,5.365,2.974,5.825,4.2236
11.75,13.75,6,2.75,7.2492,7.8892,1.2568,105.5692,6.3892,4.6273,4.6292,4.0073,4.8092,7.8892,5.4692,2.9776,5.9292,4.2385
12.0,14.0,7,1.0,7.2531,7.9733,1.3133,105.6733,6.4933,4.6933,4.7333,4.0733,4.9133,7.9933,5.5733,3.0133,6.0333,4.3266
12.5,14.5,7,1.5,7.2817,8.1817,1.5217,105.8617,6.7017,4.9017,4.9417,4.2817,5.1217,8.2017,5.7817,3.2017,6.2417,4.5217
12.75,14.75,7,1.75,7.3273,8.2858,1.6258,105.9658,6.7657,4.9286,5.0458,4.3858,5.2258,8.3058,5.8858,3.2858,6.3458,4.6258
13.0,15.0,7,2.0,7.3389,8.39,1.73,106.07,6.7788,4.939,5.15,4.49,5.3233,8.41,5.99,3.385,6.45,4.73
13.25,15.25,7,2.25,7.4342,8.4407,1.8342,106.1742,6.7935,5.0342,5.2342,4.5942,5.3942,8.5142,6.0942,3.4742,6.5542,4.8342
13.5,15.5,7,2.5,7.5383,8.442,1.9383,106.2783,6.8583,5.1383,5.3383,4.6983,5.4983,8.5794,6.1983,3.5783,6.6583,4.9092
13.75,15.75,7,2.75,7.6425,8.4433,2.0425,106.3825,6.9625,5.2425,5.4425,4.8025,5.6025,8.6825,6.3025,3.6825,6.7625,5.0025
14.0,16.0,8,1.0,7.7467,8.4446,2.1467,106.4867,7.0067,5.3067,5.5467,4.9067,5.7067,8.7867,6.363,3.7734,6.8667,5.0853
14.25,16.25,8,1.25,7.8508,8.446,2.2508,106.5908,7.1108,5.4004,5.5901,5.0108,5.8108,8.8908,6.3745,3.8508,6.9636,5.1308
14.5,16.5,8,1.5,7.955,8.4473,2.355,106.695,7.215,5.4046,5.635,5.115,5.915,8.995,6.435,3.955,7.035,5.235
14.75,16.75,8,1.75,8.0592,8.4486,2.4592,106.7992,7.2996,5.4088,5.7392,5.1792,6.0192,9.0992,6.5392,4.0592,7.1392,5.3196
15.0,17.0,8,2.0,8.1633,8.4499,2.5633,106.9033,7.3654,5.4129,5.7879,5.2487,6.1033,9.2033,6.6433,4.1633,7.2433,5.3458
15.25,17.25,8,2.25,8.2675,8.4512,2.6675,107.0075,7.3784,5.4171,5.8075,5.3075,6.2075,9.3075,6.7475,4.2675,7.3475,5.4075
15.5,17.5,8,2.5,8.3717,8.4526,2.7717,107.1117,7.4717,5.4226,5.8458,5.4117,6.3117,9.4117,6.8413,4.3558,7.4517,5.5117
15.75,17.75,8,2.75,8.4758,8.4539,2.8758,107.7316,7.5758,5.4313,5.9232,5.5158,6.4158,9.5158,6.8529,4.4558,7.5558,5.6158
16.0,18.0,9,1.0,8.58,8.4552,2.94,107.98,7.68,5.44,5.96,5.62,6.52,9.62,6.8818,4.56,7.66,5.72
16.25,18.25,9,1.25,8.6547,8.4565,3.0442,108.0842,7.7842,5.4574,6.0642,5.7242,6.6242,9.7242,6.8913,4.6642,7.7521,5.8242
16.5,18.5,9,1.5,8.7483,8.4578,3.1483,108.1883,7.8883,5.5208,6.1683,5.8366,6.7283,9.8283,6.9083,4.7683,7.8483,5.9283
16.75,18.75,9,1.75,8.8525,8.4591,3.2525,108.2925,7.9925,5.5312,6.2725,5.9525,6.7516,9.9162,7.0125,4.8725,7.9525,6.0325
17.0,19.0,9,2.0,8.9567,8.4967,3.3483,108.3967,8.0967,5.5483,6.3767,6.0567,6.7967,10.0167,7.1167,4.9767,8.0367,6.1367
17.25,19.25,9,2.25,9.0608,8.6008,3.4408,108.5008,8.1702,5.6403,6.4808,6.1608,6.9008,10.1208,7.2208,5.0252,8.1408,6.2408
17.5,19.5,9,2.5,9.1083,8.705,3.545,108.605,8.245,5.6925,6.585,6.265,7.005,10.225,7.325,5.085,8.245,6.325
17.75,19.75,9,2.75,9.1692,8.8092,3.6492,108.7092,8.3492,5.7338,6.6315,6.3692,7.0897,10.3292,7.4292,5.1892,8.3492,6.4292
18.0,20.0,10,1.0,9.2644,8.9002,3.7533,108.8133,8.4533,5.8012,6.6933,6.4733,7.1633,10.4333,7.5333,5.2933,8.4533,6.5205
18.5,20.5,10,1.5,9.4417,8.9027,3.9617,109.0217,8.6017,5.8217,6.7218,6.6817,7.3217,10.6417,7.7417,5.5017,8.6617,6.5276
18.75,20.75,10,1.75,9.5458,8.904,4.0658,110.4258,8.7058,5.8929,6.7305,6.7858,7.4258,10.7258,7.8458,5.6058,8.7529,6.5312
19.0,21.0,10,2.0,9.65,8.9053,4.17,116.2,8.81,5.99,6.7392,6.89,7.53,10.83,7.95,5.71,8.85,6.5348
19.25,21.25,10,2.25,9.7542,8.9066,4.2742,116.4142,8.9142,6.0157,6.8019,6.9942,7.5557,10.9342,8.0542,5.7868,8.9542,6.5384
19.5,21.5,10,2.5,9.8583,8.9079,4.3783,116.5183,9.0183,6.0814,6.8077,7.0983,7.6292,11.0383,8.1583,5.8246,9.0583,6.5818
19.75,21.75,10,2.75,9.9625,8.9092,4.4825,116.6225,9.1225,6.0894,6.8135,7.2025,7.7225,11.1312,8.2625,5.8825,9.1342,6.5922
20.0,22.0,11,1.0,10.0333,8.9105,4.5867,116.7867,9.2267,6.0974,6.8193,7.3067,7.8267,11.2267,8.3667,5.9867,9.2267,6.6024
20.5,22.5,11,1.5,10.235,8.913,4.795,116.995,9.435,6.215,6.955,7.515,8.0206,11.415,8.575,6.1775,9.435,6.635
20.75,22.75,11,1.75,10.3392,8.9143,4.9568,117.0992,9.5392,6.3192,7.0592,7.6392,8.025,11.5192,8.6792,6.2792,9.5392,6.7248
21.0,23.0,11,2.0,10.4433,8.9156,5.0633,117.2033,9.6433,6.4078,7.0842,7.7466,8.0293,11.6233,8.7833,6.3833,9.6433,6.7833
21.25,23.25,11,2.25,10.5475,8.9169,5.2475,117.3075,9.6875,6.4875,7.0894,7.8675,8.0336,11.7275,8.8639,6.4875,9.7475,6.8875
21.5,23.5,11,2.5,10.6517,8.9182,5.3517,117.7159,9.6991,6.5917,7.0946,7.9717,8.038,11.8317,8.8788,6.5917,9.8317,6.9917
21.75,23.75,11,2.75,10.7558,8.9195,5.4558,118.0358,9.7958,6.666,7.0998,8.0758,8.0958,11.9358,8.9084,6.7558,9.9179,7.0958
22.0,24.0,12,1.0,10.86,8.98,5.56,118.14,9.8867,6.7,7.2,8.18,8.2,12.04,8.92,6.86,10.02,7.2
22.25,24.25,12,1.25,10.9642,9.0635,5.6642,118.2442,9.9049,6.7069,7.3042,8.2842,8.2807,12.1442,8.9228,6.9642,10.1242,7.2842
22.5,24.5,12,1.5,11.0457,9.0783,5.7683,118.4883,9.9129,6.7139,7.3433,8.3613,8.2835,12.2483,8.9256,7.0683,10.2283,7.3883
22.75,24.75,12,1.75,11.0925,9.1052,5.965,118.5925,9.9207,6.7325,7.3482,8.366,8.2863,12.3525,8.9284,7.1725,10.3325,7.4925
23.0,25.0,12,2.0,11.1646,9.1126,6.0767,118.6967,9.9269,6.8084,7.3532,8.3708,8.2891,12.4567,8.9313,7.2077,10.4367,7.5884
23.25,25.25,12,2.25,11.1776,9.1208,6.1808,118.8408,9.933,6.8904,7.3581,8.3755,8.2919,12.5608,8.9341,7.2181,10.5408,7.6808
23.5,25.5,12,2.5,11.265,9.2031,6.335,119.165,9.9391,6.945,7.425,8.385,8.2947,12.665,8.9369,7.2562,10.645,7.785
23.75,25.75,12,2.75,11.3692,9.2162,6.5892,119.9492,9.9499,7.0418,7.5292,8.4892,8.2975,12.7092,8.9397,7.2712,10.7492,7.8892
24.0,26.0,13,1.0,11.4733,9.2833,6.6933,120.0466,9.9733,7.0733,7.6333,8.5933,8.3133,12.8133,9.0333,7.3133,10.8133,7.9933
24.5,26.5,13,1.5,11.6082,9.3208,6.9017,120.2217,10.1817,7.1542,7.8434,8.7843,8.5217,13.0217,9.1823,7.4644,11.0217,8.2417
24.75,26.75,13,1.75,11.6186,9.3214,7.0116,120.3258,10.3258,7.2058,7.9658,8.8212,8.5486,13.1258,9.1861,7.4718,11.1258,8.3458
25.0,27.0,13,2.0,11.71,9.322,7.13,120.425,10.45,7.31,8.07,8.8405,8.559,13.23,9.19,7.4793,11.23,8.45
25.25,27.25,13,2.25,11.8142,9.3227,7.2342,120.5142,10.5542,7.4142,8.1742,8.8454,8.6024,13.3342,9.1939,7.542,11.3342,8.5542
25.5,27.5,13,2.5,11.9061,9.3233,7.3383,120.6061,10.6783,7.5183,8.2783,8.8504,8.6197,13.4383,9.1977,7.5481,11.4383,8.6583
25.75,27.75,13,2.75,11.9485,9.324,7.4425,120.6825,10.7825,7.6225,8.4025,8.8554,8.6871,13.5425,9.2425,7.5543,11.5425,8.8025
26.0,28.0,14,1.0,11.9934,9.3246,7.6067,120.7867,10.8867,7.7053,8.5067,8.8667,8.7267,13.6467,9.3467,7.5667,11.6467,8.9201
26.5,28.5,14,1.5,12.1247,9.3259,7.815,121.13,11.095,7.855,8.715,8.9097,8.8983,13.8375,9.555,7.6215,11.855,9.155
26.75,28.75,14,1.75,12.1312,9.3266,7.9192,121.2792,11.1992,7.9392,8.8192,8.9155,8.9992,13.8992,9.6592,7.6261,11.9592,9.2592
27.0,29.0,14,2.0,12.1377,9.3272,8.0433,121.3833,11.3033,8.0316,8.9266,8.9433,9.1033,14.0033,9.7633,7.6306,12.0633,9.4033
27.25,29.25,14,2.25,12.2075,9.3279,8.1475,121.4875,11.4075,8.1205,9.0475,8.9655,9.1695,14.1075,9.8675,7.6351,12.1675,9.5075
27.5,29.5,14,2.5,12.3117,9.3285,8.3102,121.5917,11.464,8.1274,9.1517,8.972,9.2317,14.2117,9.9717,7.6396,12.2717,9.6317
27.75,29.75,14,2.75,12.4158,9.3292,8.4558,121.6958,11.472,8.1344,9.2558,8.9785,9.3358,14.3158,10.0758,7.7358,12.349,9.7358
28.0,30.0,15,1.0,12.52,9.3298,8.56,121.8,11.48,8.1418,9.36,9.06,9.44,14.42,10.18,7.8,12.42,9.84
28.5,30.5,15,1.5,12.5887,9.3311,8.7683,122.0083,11.5243,8.1683,9.5683,9.2483,9.6483,14.6242,10.3883,8.0083,12.6283,10.0483
28.75,30.75,15,1.75,12.5949,9.3318,8.8925,122.1125,11.527,8.2725,9.6725,9.3525,9.7525,14.7125,10.4925,8.1325,12.7325,10.1525
29.0,31.0,15,2.0,12.6167,9.3324,8.9967,122.2167,11.5297,8.3367,9.7767,9.4567,9.8567,14.8167,10.6134,8.2567,12.8367,10.2734
29.25,31.25,15,2.25,12.7208,9.333,9.1008,122.3208,11.5323,8.4242,9.8804,9.5608,9.9608,14.9208,10.7208,8.3608,12.9408,10.3808
29.5,31.5,15,2.5,12.825,9.3337,9.205,122.4125,11.535,8.4431,9.965,9.665,10.065,14.9825,10.845,8.465,13.005,10.485
29.75,31.75,15,2.75,12.9292,9.3343,9.3092,122.5092,11.5377,8.4562,10.0692,9.7692,10.1692,15.0492,10.9492,8.5892,13.1092,10.5892
30.0,32.0,16,1.0,13.0333,9.335,9.4133,122.6066,11.5533,8.5212,10.1733,9.8733,10.2733,15.1533,11.0533,8.6933,13.2133,10.6933
30.25,32.25,16,1.25,13.1375,9.3356,9.5175,122.6975,11.6213,8.5307,10.2775,9.9775,10.3775,15.2575,11.1575,8.7975,13.3175,10.8175
30.5,32.5,16,1.5,13.2417,9.3363,9.6217,122.8017,11.6251,8.5402,10.3817,10.0817,10.4817,15.3617,11.2617,8.9017,13.4217,10.9217
30.75,32.75,16,1.75,13.3458,9.3369,9.7258,122.8658,11.6288,8.5506,10.4858,10.1858,10.5858,15.4658,11.3658,9.0116,13.5058,11.0258
31.0,33.0,16,2.0,13.4407,9.3376,9.83,122.965,11.6325,8.5633,10.59,10.29,10.69,15.59,11.47,9.15,13.61,11.13
31.25,33.25,16,2.25,13.4482,9.3382,9.9342,123.0542,11.6362,8.6342,10.6942,10.3942,10.7942,15.6942,11.5942,9.2542,13.7142,11.2342
31.5,33.5,16,2.5,13.4556,9.3389,10.0383,123.1583,11.6399,8.7383,10.7983,10.4983,10.8983,15.7983,11.6983,9.3583,13.8183,11.3383
31.75,33.75,16,2.75,13.5025,9.3395,10.1425,123.2606,11.7213,8.8425,10.9225,10.6025,11.0025,15.9025,11.8025,9.5225,13.9225,11.4425
32.0,34.0,17,1.0,13.6067,9.3667,10.2467,123.3067,11.8067,8.9467,11.0267,10.7067,11.1067,16.0067,11.9067,9.6267,14.0267,11.5467
