qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,A Horn 1,A Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E6,G#5,E4,E2,E1
0.5,0.2083,1,1.5,E6,E5,E5,E5,E5,E4,E4,E3,E4,E3,E5,E5,E3,r,r,r,r,r
0.75,0.3125,1,1.75,E6,E5,E5,E5,E5,E4,E4,E3,E4,E3,E5,E5,E3,r,r,r,r,r
1.0,0.4167,1,2.0,E6,E5,E5,E5,E5,E4,E4,E3,E4,E3,E5,E5,E3,r,r,r,r,r
5.0,2.0833,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,B5,D4,E2,E1
5.5,2.2917,3,1.5,D6,B5,D6,B5,D5,B4,D4,B3,E4,E3,E5,E5,E3,r,r,r,r,r
5.75,2.3958,3,1.75,D6,B5,D6,B5,D5,B4,D4,B3,E4,E3,E5,E5,E3,r,r,r,r,r
6.0,2.5,3,2.0,D6,B5,D6,B5,D5,B4,D4,B3,E4,E3,E5,E5,E3,r,r,r,r,r
10.0,4.1667,5,1.0,E6,E5,B5,G#5,B4,G#4,B3,G#3,E4,E3,E5,E5,E3,B4,E4,G#3,E2,E1
10.5,4.375,5,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,E4,G#3,r,r
10.75,4.4792,5,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,E4,G#3,r,r
11.0,4.5833,5,2.0,r,r,r,r,r,r,r,r,E4,E3,E5,E5,E3,E5,E4,F#3,E2,E1
11.25,4.6875,5,2.25,r,r,r,r,r,r,r,r,E4,E3,E5,E5,E3,D5,E4,F#3,E2,E1
11.5,4.7917,5,2.5,E6,E5,B5,G#5,B4,G#4,B3,G#3,E4,E3,E5,E5,r,C#5,E4,G#3,E2,E1
11.75,4.8958,5,2.75,E6,E5,B5,G#5,B4,G#4,B3,G#3,E4,E3,E5,E5,r,B4,E4,G#3,E2,E1
12.0,5.0,6,1.0,E6,E5,C#6,A5,C#5,A4,C#4,A3,E4,E3,E5,E5,r,C#5,E4,A3,E2,E1
12.5,5.2083,6,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C#5,E4,A3,r,r
12.75,5.3125,6,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,E4,A3,r,r
13.0,5.4167,6,2.0,r,r,r,r,r,r,r,r,E4,E3,E5,E5,E3,F#5,E4,G#3,E2,E1
13.25,5.5208,6,2.25,r,r,r,r,r,r,r,r,E4,E3,E5,E5,E3,E5,E4,G#3,E2,E1
13.5,5.625,6,2.5,E6,E5,C#6,A5,C#5,A4,C#4,A3,E4,E3,E5,E5,r,D5,E4,A3,E2,E1
13.75,5.7292,6,2.75,E6,E5,C#6,A5,C#5,A4,C#4,A3,E4,E3,E5,E5,r,C#5,E4,A3,E2,E1
14.0,5.8333,7,1.0,E6,E5,B5,G#5,B4,G#4,B3,G#3,E4,E3,E5,E5,r,B4,E4,G#3,E2,E1
14.5,6.0417,7,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,E4,G#3,r,r
