qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
0.0,4.0,,,Main Part,P3(Main)&P6(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2),P4(Main)&P6(Oboe 2)&P4(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1)&P4(E Horn 2),P8(Main)&P3(Oboe 2)&P4(A Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2)&U(E Horn 1)&P8(E Horn 2),P3(Main)&P8(Oboe 2)&P6(A Clarinet 1)&P3(A Clarinet 2)&P6(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2),P4(Main)&P6(Oboe 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&P6(Bassoon 1)&P4(E Horn 1)&P4(E Horn 2),P8(Main)&P3(Oboe 2)&P4(A Clarinet 1)&U(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 2),P8(Main)&P3(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 1),,,,,,P3(Violoncello 1)&P4(Violoncello 2)&P4(Contrabass),P3(Viola)&P6(Violoncello 2)&P6(Contrabass),P4(Viola)&P6(Violoncello 1)&P8(Contrabass),P4(Viola)&P6(Violoncello 1)&P8(Violoncello 2)
4.0,20.0,,,P3(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 1)&P8(E Horn 2),P3(Oboe 1)&P6(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2),P4(Oboe 1)&P6(Oboe 2)&P4(A Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P4(E Horn 1)&P4(E Horn 2),P8(Oboe 1)&P3(Oboe 2)&P4(A Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2)&U(E Horn 1)&P8(E Horn 2),P3(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P3(A Clarinet 2)&P6(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2),P4(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P4(A Clarinet 2)&P6(Bassoon 1)&P4(E Horn 1)&P4(E Horn 2),P8(Oboe 1)&P3(Oboe 2)&P4(A Clarinet 1)&U(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 2),P8(Oboe 1)&P3(Oboe 2)&P4(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P8(E Horn 1),,,,,,Main Part,,P8(Contrabass),P8(Violoncello 2)
20.0,36.0,,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello 2)
36.0,52.0,,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello 2)
52.0,68.0,,,,,,,,,,,,,,,,Main Part,U(Main),P8(Contrabass),P8(Violoncello 2)
68.0,82.5,,,,,,,,,,,,,,,,Main Part,U(Main),P8(Contrabass),P8(Violoncello 2)
82.5,100.0,,,,,,,,,,,,,,,,Main Part,U(Main),P8(Contrabass),P8(Violoncello 2)
100.0,116.0,,,,,,,,,,,,,,,Main Part,U(Violoncello 1),U(Viola),P8(Contrabass),P8(Violoncello 2)
116.0,130.5,,,,,,,,,,,,,,,Main Part,P8(Violoncello 1),P8(Viola),P8(Contrabass),P8(Violoncello 2)
130.5,148.0,,U(A Clarinet 1)&P8(A Clarinet 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),,,U(Flute 2)&P8(A Clarinet 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),P8(Flute 2)&P8(A Clarinet 1)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Timpani),,,P8(E Horn 2),P8(E Horn 1),P4(Flute 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(D Trumpet 2)&P8(Timpani),P4(Flute 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(D Trumpet 1)&P8(Timpani),P4(Flute 2)&P4(A Clarinet 1)&P4(A Clarinet 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,Main Part,,,P8(Contrabass),P8(Violoncello 2)
