qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
0.0,0.0,1,1.0,r,r,E5,C5,A4,E4,C4,A3,E4,E3,r,r,r,r,r,r,r,r,r
2.0,1.5789,2,1.0,r,r,E5,C5,A4,E4,C4,A3,E4,E3,r,r,r,r,r,r,r,r,r
4.0,3.1579,3,1.0,r,r,E5,C5,A4,E4,C4,A3,E4,E3,r,r,r,r,r,E3,C3,A2,A1
5.0,3.9474,3,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
5.5,4.3421,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
6.0,4.7368,4,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,G#2,G#1
7.0,5.5263,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,G#2,G#1
8.0,6.3158,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,E2,E1
9.0,7.1053,5,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,E2,E1
9.5,7.5,5,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,E2,E1
10.0,7.8947,6,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
11.0,8.6842,6,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
12.0,9.4737,7,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
13.0,10.2632,7,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
13.5,10.6579,7,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,C3,A2,A1
14.0,11.0526,8,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,C3,G2,G1
15.0,11.8421,8,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,C3,G2,G1
16.0,12.6316,9,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,B2,G2,G1
17.0,13.4211,9,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,A2,G2,G1
17.5,13.8158,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,B2,G2,G1
18.0,14.2105,10,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,C3,C3,C2
20.0,15.7895,11,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,E3,C3,C2
21.0,16.5789,11,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,E3,C3,C2
21.5,16.9737,11,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,E3,C3,C2
22.0,17.3684,12,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,E-3,B2,B1
23.0,18.1579,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,E-3,B2,B1
24.0,18.9474,13,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,D3,B2,B1
25.0,19.7368,13,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,D3,B2,B1
25.5,20.1316,13,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,D3,B2,B1
26.0,20.5263,14,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,C#3,A2,A1
27.0,21.3158,14,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,C3,A2,A1
28.0,22.1053,15,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
29.0,22.8947,15,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
29.5,23.2895,15,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
30.0,23.6842,16,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,G#2,G#1
31.0,24.4737,16,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
32.0,25.2632,17,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,E2,E1
33.0,26.0526,17,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,B2,E2,E1
33.5,26.4474,17,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,B2,E2,E1
34.0,26.8421,18,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,C3,A2,A1
36.0,28.4211,19,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,E3,C3,C2
37.0,29.2105,19,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,E3,C3,C2
37.5,29.6053,19,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,E3,C3,C2
38.0,30.0,20,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,E-3,B2,B1
39.0,30.7895,20,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B3,E-3,B2,B1
