qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
40.0,31.5789,21,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,D3,B2,B1
41.0,32.3684,21,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,D3,B2,B1
41.5,32.7632,21,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,D3,B2,B1
42.0,33.1579,22,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,C#3,A2,A1
43.0,33.9474,22,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,C3,A2,A1
44.0,34.7368,23,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
45.0,35.5263,23,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
45.5,35.9211,23,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
46.0,36.3158,24,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,G#2,G#1
47.0,37.1053,24,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,C3,A2,A1
48.0,37.8947,25,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E3,B2,E2,E1
49.0,38.6842,25,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#3,B2,E2,E1
49.5,39.0789,25,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#3,B2,E2,E1
50.0,39.4737,26,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,C3,A2,A1
52.0,41.0526,27,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,r,r
53.0,41.8421,27,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
53.5,42.2368,27,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
54.0,42.6316,28,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,B3,G#2,G#1
55.0,43.4211,28,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,B3,G#3,G#2
56.0,44.2105,29,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,D4,D4,r,r
57.0,45.0,29,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,D4,D4,E2,E1
57.5,45.3947,29,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,E2,E1
57.75,45.5921,29,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,B3,E2,E1
58.0,45.7895,30,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,B3,A2,A1
58.5,46.1842,30,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,r,r
59.0,46.5789,30,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A3,A2
60.0,47.3684,31,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,r,r
61.0,48.1579,31,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
61.5,48.5526,31,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C4,C4,A2,A1
61.75,48.75,31,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,D4,A2,A1
62.0,48.9474,32,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E-4,E-4,G2,G1
62.5,49.3421,32,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,r,r
63.0,49.7368,32,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,G3,G2
63.5,50.1316,32,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,r,r
64.0,50.5263,33,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,F4,F4,r,r
65.0,51.3158,33,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,F4,F4,G3,G2
65.5,51.7105,33,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,G3,G2
65.75,51.9079,33,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,D4,G3,G2
66.0,52.1053,34,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,D4,D4,C3,C2
66.5,52.5,34,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,r,r
67.0,52.8947,34,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,E4,C4,C3
68.0,53.6842,35,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,r,r
69.0,54.4737,35,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,C3,C2
69.5,54.8684,35,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,E4,C3,C2
70.0,55.2632,36,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,E-4,B2,B1
71.0,56.0526,36,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,E-4,B3,B2
72.0,56.8421,37,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,D4,r,r
72.5,57.2368,37,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,B3,B3,r,r
72.75,57.4342,37,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C#4,C#4,r,r
73.0,57.6316,37,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,D4,E3,E2
73.5,58.0263,37,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,E4,E3,E2
73.75,58.2237,37,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,D4,D4,E3,E2
74.0,58.4211,38,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,D4,D4,A2,A1
74.5,58.8158,38,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,C#4,r,r
75.0,59.2105,38,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,C4,A3,A2
76.0,60.0,39,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,r,r
77.0,60.7895,39,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
77.5,61.1842,39,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
78.0,61.5789,40,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,B3,G#2,G#1
79.0,62.3684,40,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
80.0,63.1579,41,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,D4,D4,r,r
81.0,63.9474,41,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,D4,E2,E1
81.5,64.3421,41,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,C4,C4,E2,E1
81.75,64.5395,41,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,B3,B3,E2,E1
82.0,64.7368,42,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A3,A2,A1
82.5,65.1316,42,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A3,r,r
82.75,65.3289,42,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,B3,B3,r,r
83.0,65.5263,42,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,A3,A2
83.5,65.9211,42,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C4,C4,r,r
83.75,66.1184,42,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,D4,r,r
84.0,66.3158,43,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,r,r
85.0,67.1053,43,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G4,E4,E4,C3,C2
85.5,67.5,43,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,E4,E4,C3,C2
86.0,67.8947,44,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,E-4,B2,B1
87.0,68.6842,44,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,E-4,E-4,B3,B2
88.0,69.4737,45,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,D4,r,r
88.5,69.8684,45,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,B3,B3,r,r
88.75,70.0658,45,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,C#4,C#4,r,r
89.0,70.2632,45,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,D4,E3,E2
89.5,70.6579,45,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,E4,E4,E3,E2
89.75,70.8553,45,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,D4,D4,E3,E2
90.0,71.0526,46,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,D4,D4,A2,A1
90.5,71.4474,46,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C#4,C#4,r,r
91.0,71.8421,46,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C4,C4,A3,A2
92.0,72.6316,47,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,r,r
93.0,73.4211,47,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
93.5,73.8158,47,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
94.0,74.2105,48,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,B3,B3,G#2,G#1
95.0,75.0,48,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,C4,C4,A2,A1
96.0,75.7895,49,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E4,D4,D4,r,r
97.0,76.5789,49,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F#4,D4,D4,E2,E1
97.5,76.9737,49,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,C4,C4,E2,E1
97.75,77.1711,49,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,B3,B3,E2,E1
98.0,77.3684,50,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A3,A3,A2,A1
99.0,78.1579,50,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A3,A2
100.0,78.9474,51,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,r,r,A2,A1
100.5,79.3421,51,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,A3,A3,A2,A1
101.0,79.7368,51,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,C4,C4,r,r
101.5,80.1316,51,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,E3,E3,A3,A2
102.0,80.5263,52,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,r,r,G#2,G#1
102.5,80.9211,52,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,G#3,G#3,G#2,G#1
103.0,81.3158,52,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,B3,B3,r,r
103.5,81.7105,52,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,E3,E3,G#3,G#2
104.0,82.1053,53,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,r,r,E2,E1
104.5,82.5,53,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,G#3,G#3,E2,E1
105.0,82.8947,53,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,B3,B3,r,r
105.5,83.2895,53,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,E3,E3,E3,E2
105.75,83.4868,53,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,E3,E3,E3,E2
106.0,83.6842,54,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,r,r,A2,A1
106.5,84.0789,54,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,A3,A3,A2,A1
107.0,84.4737,54,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,C4,C4,r,r
107.5,84.8684,54,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,E3,E3,A3,A2
108.0,85.2632,55,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,r,r,A2,A1
108.5,85.6579,55,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,A3,A3,A2,A1
109.0,86.0526,55,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,C4,C4,r,r
109.5,86.4474,55,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C5,C3,C3,A3,A2
109.75,86.6447,55,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,C3,C3,A3,A2
110.0,86.8421,56,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E-5,r,r,G2,G1
110.5,87.2368,56,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,G3,G3,G2,G1
111.0,87.6316,56,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,C4,C4,r,r
111.5,88.0263,56,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,C3,C3,G3,G2
112.0,88.4211,57,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F5,r,r,G2,G1
112.5,88.8158,57,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F5,B3,B3,G2,G1
113.0,89.2105,57,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,F5,D4,D4,r,r
113.5,89.6053,57,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,G3,G3,G3,G2
113.75,89.8026,57,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,G3,G3,G3,G2
114.0,90.0,58,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,D5,r,r,C3,C2
114.5,90.3947,58,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,G3,G3,C3,C2
115.0,90.7895,58,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C4,C4,r,r
115.5,91.1842,58,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C3,C3,C4,C3
116.0,91.5789,59,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,r,r,C3,C2
116.5,91.9737,59,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,C4,C4,C3,C2
117.0,92.3684,59,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,E4,E4,r,r
117.5,92.7632,59,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,E5,E3,E3,C4,C3
118.0,93.1579,60,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E-5,r,r,B2,B1
118.5,93.5526,60,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E-5,F#4,F#3,B2,B1
119.0,93.9474,60,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E-5,B4,B3,r,r
119.5,94.3421,60,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E-5,B3,B2,B3,B2
120.0,94.7368,61,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,r,r,B2,B1
120.5,95.1316,61,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,B3,B3,B2,B1
120.75,95.3289,61,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,B3,B3,B2,B1
121.0,95.5263,61,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,D4,D4,r,r
121.5,95.9211,61,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,E5,D3,D3,B3,B2
121.75,96.1184,61,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,D5,D3,D3,B3,B2
122.0,96.3158,62,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,D5,r,r,A2,A1
122.5,96.7105,62,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,C#5,E4,E3,A2,A1
123.0,97.1053,62,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,C5,A4,A3,r,r
123.5,97.5,62,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,C5,A3,A2,A3,A2
124.0,97.8947,63,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,r,r,A2,A1
124.5,98.2895,63,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,A3,A3,A2,A1
125.0,98.6842,63,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,E4,E4,r,r
125.5,99.0789,63,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,E3,E3,A3,A2
126.0,99.4737,64,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,r,r,G#2,G#1
126.5,99.8684,64,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,B3,B3,G#2,G#1
127.0,100.2632,64,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,E4,E4,r,r
127.5,100.6579,64,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,E3,E3,A2,A1
128.0,101.0526,65,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,r,r,E2,E1
128.5,101.4474,65,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,B3,B3,E2,E1
129.0,101.8421,65,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,E4,E4,r,r
129.5,102.2368,65,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,C5,E3,E3,E3,E2
129.75,102.4342,65,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,B4,E3,E3,E3,E2
130.0,102.6316,66,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,A2,A1
130.5,103.0263,66,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,C4,C4,A2,A1
130.75,103.2237,66,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,B4,C4,C4,A2,A1
131.0,103.4211,66,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,E4,E4,r,r
131.5,103.8158,66,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A3,A3,A3,A2
131.75,104.0132,66,2.75,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,A3,A3,A3,A2
132.0,104.2105,67,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,r,r,C3,C2
132.5,104.6053,67,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,E5,C4,C4,C3,C2
133.0,105.0,67,2.0,r,r,G5,E5,r,r,E4,C4,r,r,r,r,r,G5,E5,E4,E4,r,r
133.5,105.3947,67,2.5,r,r,G5,E5,r,r,E4,C4,r,r,r,r,r,A5,E5,E3,E3,C4,C3
134.0,105.7895,68,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E-5,r,r,B2,B1
134.5,106.1842,68,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,B5,E-5,F#4,F#3,B2,B1
135.0,106.5789,68,2.0,r,r,B5,E-5,r,r,F#4,B3,r,r,r,r,r,B5,E-5,B4,B3,r,r
135.5,106.9737,68,2.5,r,r,B5,E-5,r,r,F#4,B3,r,r,r,r,r,B5,E-5,B3,B2,B3,B2
136.0,107.3684,69,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,D5,r,r,B2,B1
136.5,107.7632,69,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,B4,B3,B3,B2,B1
136.75,107.9605,69,1.75,r,r,r,r,r,r,r,r,r,r,r,r,r,F#5,C#5,B3,B3,B2,B1
137.0,108.1579,69,2.0,r,r,F#5,D5,r,r,D4,B3,r,r,r,r,r,F#5,D5,D4,D4,r,r
137.5,108.5526,69,2.5,r,r,F#5,D5,r,r,D4,B3,r,r,r,r,r,G#5,E5,D3,D3,B3,B2
137.75,108.75,69,2.75,r,r,F#5,D5,r,r,D4,B3,r,r,r,r,r,G#5,D5,D3,D3,B3,B2
138.0,108.9474,70,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,D5,r,r,A2,A1
138.5,109.3421,70,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,C#5,E4,E3,A2,A1
139.0,109.7368,70,2.0,r,r,A5,C5,r,r,E4,A3,r,r,r,r,r,A5,C5,A4,A3,r,r
139.5,110.1316,70,2.5,r,r,A5,C5,r,r,E4,A3,r,r,r,r,r,A5,C5,A3,A2,A3,A2
140.0,110.5263,71,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,r,r,A2,A1
140.5,110.9211,71,1.5,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,C5,A3,A3,A2,A1
141.0,111.3158,71,2.0,r,r,E5,C5,r,r,E4,A3,r,r,r,r,r,E5,C5,E4,E4,r,r
141.5,111.7105,71,2.5,r,r,E5,C5,r,r,E4,A3,r,r,r,r,r,E5,C5,E3,E3,A3,A2
142.0,112.1053,72,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,B4,r,r,G#2,G#1
