qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,1,0.0,X,Hn,8
3.0,2,2,0.5,a,Fl,0
12.0,7,1,0.0,X,Hn,8
15.0,8,2,0.5,a,Fl,0
24.0,13,1,0.0,X,Hn,8
27.0,14,2,0.5,a,Cl,4
34.5,18,1.5,0.25,a,Fl,0
36.0,19,1,0.0,a,Vln,20
40.0,21,1,0.0,X,Vln,20
43.0,22,2,0.5,a,Vc,23
67.0,34,2,0.5,a,Vln,21
68.0,35,1,0.0,a,Ob,2
79.0,40,2,0.5,a,Vln,20
80.0,41,1,0.0,a,Fl,0
89.0,45,2,0.5,a,Cl,4
101.0,51,2,0.5,a,Violen,22
109.0,55,2,0.5,Y,Vln,21
113.0,57,2,0.5,a,Vln,20
114.0,58,1,0.0,a,Ob,2
121.0,61,2,0.5,a,Fl,0
125.0,63,2,0.5,a,Vln,20
129.0,65,2,0.5,a,Hn,8
136.0,69,1,0.0,a,Vln,20
141.0,71,2,0.5,a,Cl,4
148.5,75,1.5,0.25,a,Vln,20
150.0,76,1,0.0,a,Vln,21
152.5,77,1.5,0.25,a,Vln,20
154.0,78,1,0.0,a,Vln,21
156.5,79,1.5,0.25,a,Vln,20
158.5,80,1.5,0.25,a,Vln,20
160.5,81,1.5,0.25,a,Vln,20
172.0,87,1,0.0,X,Hn,8
175.0,88,2,0.5,a,Fl,0
184.0,93,1,0.0,X,Hn,8
187.0,94,2,0.5,a,Fl,0
196.0,99,1,0.0,X,Hn,8
199.0,100,2,0.5,a,Cl,4
206.5,104,1.5,0.25,a,Fl,0
208.0,105,1,0.0,a,Vln,20
212.0,107,1,0.0,X,Tpt,12
215.0,108,2,0.5,a,Altposaune,15
217.0,109,2,0.5,a,Hn,8
224.0,113,1,0.0,X,Tpt,12
227.0,114,2,0.5,a,Altposaune,15
229.0,115,2,0.5,a,Hn,8
236.0,119,1,0.0,a,Vc,23
238.0,120,1,0.0,a,Hn,8
240.0,121,1,0.0,a,Vc,23
242.0,122,1,0.0,a,Hn,8
244.0,123,1,0.0,a,Vc,23
246.0,124,1,0.0,a,Hn,8
250.0,126,1,0.0,a,Fl,0
256.0,129,1,0.0,X,Hn,8
259.0,130,2,0.5,a,Vln,21
272.0,137,1,0.0,X,Hn,8
275.0,138,2,0.5,a,Vln,20
