qstamp,tstamp,measure,beat,Violin 1,Violin 2,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,0.0,1,1.0,r,r,r,r,r,E4,r,r
1.0,0.3261,1,1.5,r,r,r,r,r,E4,r,A3
2.0,0.6522,1,2.0,r,r,r,r,r,E4,r,G#3
3.0,0.9783,1,2.5,r,r,r,r,r,E4,r,F#3
4.0,1.3043,1,3.0,r,r,r,r,r,E4,r,E3
5.0,1.6304,1,3.5,r,r,r,r,r,E4,r,D3
6.0,1.9565,1,4.0,r,r,r,r,r,E4,r,C#3
7.0,2.2826,1,4.5,r,r,r,r,r,E4,r,B2
8.0,2.6087,2,1.0,r,r,r,r,r,C#4,r,A2
9.0,2.9348,2,1.5,r,r,r,r,r,C#4,r,B2
10.0,3.2609,2,2.0,r,r,r,r,r,C#4,r,A2
11.0,3.587,2,2.5,r,r,r,r,r,C#4,r,G2
12.0,3.913,2,3.0,r,r,r,r,r,D4,r,F#2
13.0,4.2391,2,3.5,r,r,r,r,r,D4,r,E2
14.0,4.5652,2,4.0,r,r,r,r,r,D4,r,F#2
15.0,4.8913,2,4.5,r,r,r,r,r,D4,r,G#2
16.0,5.2174,3,1.0,r,r,r,r,r,C#4,r,A2
17.0,5.5435,3,1.5,r,r,r,r,r,C#4,r,B2
18.0,5.8696,3,2.0,r,r,r,r,r,C#4,r,C#3
19.0,6.1957,3,2.5,r,r,r,r,r,C#4,r,D3
20.0,6.5217,3,3.0,r,r,r,r,r,B3,r,E3
21.0,6.8478,3,3.5,r,r,r,r,r,B3,r,F#3
22.0,7.1739,3,4.0,r,r,r,r,r,B3,r,E3
23.0,7.5,3,4.5,r,r,r,r,r,B3,r,D3
24.0,7.8261,4,1.0,r,r,r,r,r,E4,A3,C#3
25.0,8.1522,4,1.5,r,r,r,r,r,E4,A3,A2
26.0,8.4783,4,2.0,r,r,r,r,r,E4,A3,B2
27.0,8.8043,4,2.5,r,r,r,r,r,E4,A3,C#3
28.0,9.1304,4,3.0,r,r,r,r,r,F#4,A3,D3
29.0,9.4565,4,3.5,r,r,r,r,r,F#4,A3,C#3
30.0,9.7826,4,4.0,r,r,r,r,r,F#3,A3,D3
31.0,10.1087,4,4.5,r,r,r,r,r,G3,A3,E3
32.0,10.4348,5,1.0,r,r,r,r,r,A3,F#3,F#3
33.0,10.7609,5,1.5,r,r,r,r,r,C#4,F#3,E3
34.0,11.087,5,2.0,r,r,r,r,r,F#4,F#3,D3
35.0,11.413,5,2.5,r,r,r,r,r,F#4,F#3,C#3
36.0,11.7391,5,3.0,r,r,r,r,r,F#4,G3,B2
37.0,12.0652,5,3.5,r,r,r,r,r,F#4,G3,A2
38.0,12.3913,5,4.0,r,r,r,r,r,E4,G3,B2
39.0,12.7174,5,4.5,r,r,r,r,r,E4,G3,C#3
40.0,13.0435,6,1.0,r,r,r,r,A4,E4,F#3,D3
41.0,13.3696,6,1.5,r,r,r,r,A4,A3,F#3,E3
42.0,13.6957,6,2.0,r,r,r,r,A4,D4,F#3,F#3
43.0,14.0217,6,2.5,r,r,r,r,A4,D4,F#3,G3
44.0,14.3478,6,3.0,r,r,r,r,A4,D4,E3,A3
45.0,14.6739,6,3.5,r,r,r,r,A4,C#4,E3,G3
45.5,14.837,6,3.75,r,r,r,r,A4,B3,E3,G3
46.0,15.0,6,4.0,r,r,r,r,A4,C#4,E3,F#3
47.0,15.3261,6,4.5,r,r,r,r,A4,C#4,E3,E3
48.0,15.6522,7,1.0,r,r,r,r,F#4,D4,A3,D3
49.0,15.9783,7,1.5,r,r,r,r,F#4,A3,A3,E3
50.0,16.3043,7,2.0,r,r,r,r,F#4,D4,A3,D3
51.0,16.6304,7,2.5,r,r,r,r,F#4,D4,A3,C#3
