qstamp,tstamp,measure,beat,Violin 1,Violin 2,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
52.0,16.9565,7,3.0,r,r,r,r,G4,D4,B3,B2
53.0,17.2826,7,3.5,r,r,r,r,G4,C#4,B3,A2
54.0,17.6087,7,4.0,r,r,r,r,G4,B3,D3,B2
55.0,17.9348,7,4.5,r,r,r,r,G4,B3,E3,C#3
56.0,18.2609,8,1.0,r,r,r,r,F#4,A3,F#3,D3
57.0,18.587,8,1.5,r,r,r,r,F#4,A3,A3,E3
58.0,18.913,8,2.0,r,r,r,r,F#4,A3,D4,F#3
59.0,19.2391,8,2.5,r,r,r,r,F#4,A3,D4,G3
60.0,19.5652,8,3.0,r,r,r,r,E4,A3,D4,A3
61.0,19.8913,8,3.5,r,r,r,r,E4,A3,D4,B3
62.0,20.2174,8,4.0,r,r,r,r,E4,A3,C#4,C#4
63.0,20.5435,8,4.5,r,r,r,r,E4,A3,B3,D4
64.0,20.8696,9,1.0,r,r,E5,r,A4,A3,E4,C#4
65.0,21.1957,9,1.5,r,r,E5,r,A4,A3,E3,A3
66.0,21.5217,9,2.0,r,r,E5,r,A4,r,A3,G#3
67.0,21.8478,9,2.5,r,r,E5,r,A4,A3,A3,F#3
68.0,22.1739,9,3.0,r,r,E5,r,B4,E4,A3,E3
69.0,22.5,9,3.5,r,r,E5,r,B4,E4,G#3,D3
69.5,22.663,9,3.75,r,r,E5,r,B4,E4,F#3,D3
70.0,22.8261,9,4.0,r,r,E5,r,B4,E4,G#3,C#3
71.0,23.1522,9,4.5,r,r,E5,r,B4,E4,G#3,B2
72.0,23.4783,10,1.0,r,r,C#5,r,B4,E4,A3,A2
73.0,23.8043,10,1.5,r,r,C#5,r,A4,E4,A3,B2
73.5,23.9674,10,1.75,r,r,C#5,r,G#4,E4,A3,B2
74.0,24.1304,10,2.0,r,r,C#5,r,A4,E4,r,A2
74.5,24.2935,10,2.25,r,r,C#5,r,B4,E4,r,A2
75.0,24.4565,10,2.5,r,r,C#5,r,C#5,E4,E3,G#2
76.0,24.7826,10,3.0,r,r,D5,r,C#5,F#4,A3,F#2
77.0,25.1087,10,3.5,r,r,D5,r,D5,F#4,A3,E2
77.5,25.2717,10,3.75,r,r,D5,r,C#5,F#4,A3,E2
78.0,25.4348,10,4.0,r,r,D5,r,B4,F#4,B3,F#2
79.0,25.7609,10,4.5,r,r,D5,r,B4,F#4,B3,G#2
80.0,26.087,11,1.0,r,r,C#5,r,B4,E4,C#4,A2
81.0,26.413,11,1.5,r,r,C#5,r,E4,E4,C#4,B2
82.0,26.7391,11,2.0,r,r,C#5,r,A4,r,C#4,C#3
83.0,27.0652,11,2.5,r,r,C#5,r,A4,F#4,B3,D3
83.5,27.2283,11,2.75,r,r,C#5,r,A4,F#4,A3,D3
84.0,27.3913,11,3.0,r,r,B4,r,A4,B3,E4,E3
85.0,27.7174,11,3.5,r,r,B4,r,G#4,A3,E4,F#3
85.5,27.8804,11,3.75,r,r,B4,r,F#4,A3,E4,F#3
86.0,28.0435,11,4.0,r,r,B4,r,G#4,B3,E4,E3
87.0,28.3696,11,4.5,r,r,B4,r,G#4,B3,E4,D3
88.0,28.6957,12,1.0,r,r,E5,A4,A4,A3,E4,C#3
89.0,29.0217,12,1.5,r,r,E5,A4,A4,A3,C#4,A2
90.0,29.3478,12,2.0,r,r,E5,A4,A4,E4,A3,B2
91.0,29.6739,12,2.5,r,r,E5,A4,G4,E4,A3,C#3
92.0,30.0,12,3.0,r,r,F#5,A4,F#4,E4,r,D3
93.0,30.3261,12,3.5,r,r,F#5,A4,A4,E4,r,C#3
94.0,30.6522,12,4.0,r,r,F#4,A4,D5,D4,r,D3
95.0,30.9783,12,4.5,r,r,G4,A4,D5,D4,r,E3
96.0,31.3043,13,1.0,r,r,A4,F#4,D5,A3,r,F#3
97.0,31.6304,13,1.5,r,r,C#5,F#4,C#5,A3,r,E3
98.0,31.9565,13,2.0,r,r,F#5,F#4,B4,B3,D4,D3
99.0,32.2826,13,2.5,r,r,F#5,F#4,A4,C#4,D4,C#3
100.0,32.6087,13,3.0,r,r,F#5,G4,B4,D4,D4,B2
101.0,32.9348,13,3.5,r,r,F#5,G4,B4,D4,D4,A2
102.0,33.2609,13,4.0,r,r,E5,G4,E4,E4,A3,B2
103.0,33.587,13,4.5,r,r,E5,G4,E4,E4,A3,C#3
104.0,33.913,14,1.0,A5,r,E5,F#4,F#4,A3,A3,D3
105.0,34.2391,14,1.5,A5,r,A4,F#4,G4,A3,G3,E3
106.0,34.5652,14,2.0,A5,r,D5,F#4,A4,r,F#3,F#3
107.0,34.8913,14,2.5,A5,r,D5,F#4,A4,r,D3,G3
108.0,35.2174,14,3.0,A5,r,D5,E4,A4,r,A3,A3
109.0,35.5435,14,3.5,A5,r,C#5,E4,A4,r,A3,G3
109.5,35.7065,14,3.75,A5,r,B4,E4,A4,r,A3,G3
110.0,35.8696,14,4.0,A5,r,C#5,E4,A4,r,A3,F#3
111.0,36.1957,14,4.5,A5,r,C#5,E4,A4,E4,A3,E3
112.0,36.5217,15,1.0,F#5,r,D5,A4,r,F#4,A3,D3
113.0,36.8478,15,1.5,F#5,r,D5,A4,r,G4,G3,E3
114.0,37.1739,15,2.0,F#5,r,D5,A4,r,A4,F#3,D3
115.0,37.5,15,2.5,F#5,r,D5,A4,A3,A4,E3,C#3
116.0,37.8261,15,3.0,G5,r,D5,B4,D4,G4,D3,B2
117.0,38.1522,15,3.5,G5,r,D5,B4,D4,G4,D3,A2
118.0,38.4783,15,4.0,G5,r,B4,D4,D4,G4,r,B2
119.0,38.8043,15,4.5,G5,r,B4,E4,D4,G4,r,C#3
120.0,39.1304,16,1.0,F#5,r,A4,F#4,D4,D4,r,D3
121.0,39.4565,16,1.5,F#5,r,A4,A4,D4,D4,r,E3
122.0,39.7826,16,2.0,F#5,r,D4,D5,C#4,r,r,F#3
123.0,40.1087,16,2.5,F#5,r,D4,D5,B3,r,B3,G#3
124.0,40.4348,16,3.0,E5,r,r,D5,C#4,r,E3,A3
125.0,40.7609,16,3.5,E5,r,r,D5,D4,r,E3,B3
126.0,41.087,16,4.0,E5,r,A4,C#5,E4,r,A3,C#4
127.0,41.413,16,4.5,E5,r,G#4,B4,E4,r,B3,D4
128.0,41.7391,17,1.0,A5,E5,A4,E5,E4,r,C#4,C#4
129.0,42.0652,17,1.5,A5,E5,C#5,E4,E4,r,C#4,A3
130.0,42.3913,17,2.0,A5,E5,E5,A4,E4,r,B3,G#3
131.0,42.7174,17,2.5,A5,E5,E5,A4,E4,r,A3,F#3
132.0,43.0435,17,3.0,B5,E5,E5,A4,E4,r,E4,E3
133.0,43.3696,17,3.5,B5,E5,E5,G#4,E4,r,E4,D3
133.5,43.5326,17,3.75,B5,E5,E5,F#4,E4,r,E4,D3
134.0,43.6957,17,4.0,B5,E5,E4,G#4,B4,r,E4,C#3
135.0,44.0217,17,4.5,B5,E5,E4,G#4,B4,r,E4,B2
136.0,44.3478,18,1.0,B5,C#5,E4,A4,C#5,r,A3,A2
137.0,44.6739,18,1.5,A5,C#5,E4,A4,C#5,r,A3,B2
137.5,44.837,18,1.75,G#5,C#5,E4,A4,C#5,r,A3,B2
138.0,45.0,18,2.0,A5,C#5,r,E5,r,r,A3,A2
138.5,45.163,18,2.25,B5,C#5,r,E5,r,r,A3,A2
139.0,45.3261,18,2.5,C#6,C#5,E4,E5,r,r,A3,G2
140.0,45.6522,18,3.0,C#6,D5,A4,F#5,r,F#4,A3,F#2
141.0,45.9783,18,3.5,D6,D5,G4,F#5,r,F#4,A3,E2
141.5,46.1413,18,3.75,C#6,D5,G4,F#5,r,F#4,A3,E2
142.0,46.3043,18,4.0,B5,D5,F#4,B4,F#4,F#4,D3,D2
143.0,46.6304,18,4.5,B5,D5,G4,B4,F#4,F#4,D3,E2
144.0,46.9565,19,1.0,B5,C#5,A4,F#5,F#4,F#4,r,F#2
145.0,47.2826,19,1.5,B5,C#5,B4,F#5,F#4,F#4,r,G2
146.0,47.6087,19,2.0,A5,C#5,C#5,F#5,C#4,F#4,F#3,A2
147.0,47.9348,19,2.5,A5,C#5,A4,F#5,C#4,F#4,F#3,F#2
148.0,48.2609,19,3.0,A5,B4,B4,B4,r,D4,B3,G2
149.0,48.587,19,3.5,A5,B4,B4,B4,r,D4,A3,F#3
150.0,48.913,19,4.0,G5,B4,B4,r,G4,D4,B3,E3
151.0,49.2391,19,4.5,G5,B4,B4,r,G4,D4,B3,D3
152.0,49.5652,20,1.0,G5,E5,A4,r,r,E4,E3,C#3
153.0,49.8913,20,1.5,B5,E5,A4,r,r,E4,E3,A2
154.0,50.2174,20,2.0,A5,E5,r,E5,r,E4,A3,B2
155.0,50.5435,20,2.5,G5,E5,r,E5,r,E4,A3,C#3
156.0,50.8696,20,3.0,F#5,F#5,r,A4,A4,D4,A3,D3
157.0,51.1957,20,3.5,G5,F#5,r,A4,G4,D4,A3,E3
158.0,51.5217,20,4.0,A5,F#5,A5,A4,F#4,D4,D3,F#3
159.0,51.8478,20,4.5,A5,F#5,A5,B4,D4,D4,D3,G3
160.0,52.1739,21,1.0,A5,E5,A5,C#5,A3,C#4,r,A3
161.0,52.5,21,1.5,B5,E5,A5,C#5,A3,C#4,r,G3
162.0,52.8261,21,2.0,A5,A5,A4,F#5,r,C#4,F#3,F#3
163.0,53.1522,21,2.5,G5,A5,A4,F#5,r,C#4,F#3,E3
164.0,53.4783,21,3.0,F#5,A5,r,B4,B4,F#4,F#3,E-3
165.0,53.8043,21,3.5,F#5,B5,E-5,B4,B4,F#4,F#3,B2
165.5,53.9674,21,3.75,F#5,C6,E-5,B4,B4,F#4,F#3,B2
166.0,54.1304,21,4.0,F#5,B5,E5,r,B4,F#4,B2,C#3
167.0,54.4565,21,4.5,F#5,A5,F#5,r,B4,F#4,B2,E-3
168.0,54.7826,22,1.0,F#5,G5,B4,r,B4,G4,r,E3
169.0,55.1087,22,1.5,F#5,A5,B4,r,B4,G4,r,F#3
170.0,55.4348,22,2.0,E5,B5,E5,r,B4,B3,E3,G3
171.0,55.7609,22,2.5,E-5,B5,E5,r,B4,B3,F#3,F#3
172.0,56.087,22,3.0,E5,B5,r,r,G4,E4,G3,E3
173.0,56.413,22,3.5,E5,B5,B4,r,G4,F#4,A3,D3
174.0,56.7391,22,4.0,E5,r,E5,r,G4,G4,B3,C3
175.0,57.0652,22,4.5,E5,B4,D5,r,G4,G4,B3,B2
176.0,57.3913,23,1.0,E5,E5,C5,r,A4,G4,A3,C3
177.0,57.7174,23,1.5,E5,E5,C5,r,A4,G4,A3,A2
178.0,58.0435,23,2.0,F#5,D5,A4,r,A4,F#4,r,D3
179.0,58.3696,23,2.5,F#5,D5,A4,r,A4,F#4,r,C3
180.0,58.6957,23,3.0,G5,D5,B4,r,G4,F#4,r,B2
181.0,59.0217,23,3.5,G5,E-5,B4,r,G4,B3,r,G2
182.0,59.3478,23,4.0,G5,E5,r,r,G4,E4,r,C3
183.0,59.6739,23,4.5,E5,F#5,r,r,G4,E4,r,B2
183.5,59.837,23,4.75,E5,G5,r,r,G4,E4,r,B2
184.0,60.0,24,1.0,C6,A5,r,r,F#4,E4,r,A2
185.0,60.3261,24,1.5,A5,A4,r,r,F#4,E-4,r,F#2
185.5,60.4891,24,1.75,A5,A4,r,r,F#4,C#4,r,F#2
186.0,60.6522,24,2.0,F#5,A4,r,r,F#4,E-4,B3,B2
187.0,60.9783,24,2.5,F#5,B4,r,r,F#4,E-4,B3,A2
187.5,61.1413,24,2.75,F#5,C5,r,r,F#4,E-4,B3,A2
188.0,61.3043,24,3.0,E5,B4,r,E5,B4,E4,B3,G#2
189.0,61.6304,24,3.5,E5,G#4,r,E5,B4,B3,B3,E2
190.0,61.9565,24,4.0,E5,A4,r,E5,B4,E4,A3,F#2
191.0,62.2826,24,4.5,D5,B4,r,E5,B4,E4,G#3,G#2
192.0,62.6087,25,1.0,C#5,E4,r,E5,C#5,E4,E4,A2
193.0,62.9348,25,1.5,D5,E4,r,E5,C#5,D4,E4,B2
194.0,63.2609,25,2.0,E5,A4,r,E5,E4,C#4,A3,C#3
195.0,63.587,25,2.5,E5,A4,r,E5,E4,D4,B3,B2
196.0,63.913,25,3.0,E5,A3,r,C#5,A4,E4,C#4,A2
197.0,64.2391,25,3.5,E5,A3,r,C#5,B4,E4,D4,G2
198.0,64.5652,25,4.0,A5,E4,r,C#5,C#5,A3,E4,F#2
199.0,64.8913,25,4.5,G5,E4,r,C#5,C#5,A3,E4,E2
200.0,65.2174,26,1.0,F#5,F#4,F#5,D5,F#4,A3,A3,D2
201.0,65.5435,26,1.5,F#5,F#4,F#5,D5,F#4,A3,A3,D3
202.0,65.8696,26,2.0,B5,r,F#5,D5,E4,B3,r,C#3
203.0,66.1957,26,2.5,B5,r,F#5,D5,D4,B3,r,B2
204.0,66.5217,26,3.0,r,r,F#5,C#5,E4,C#4,F#4,B-2
205.0,66.8478,26,3.5,r,r,F#5,C#5,D4,C#4,F#4,F#2
206.0,67.1739,26,4.0,F#5,r,F#5,C#5,C#4,F#4,F#3,G#2
207.0,67.5,26,4.5,F#5,F#4,F#5,C#5,C#4,F#4,F#3,B-2
208.0,67.8261,27,1.0,F#5,F#5,D5,B4,D4,F#4,F#3,B2
209.0,68.1522,27,1.5,E5,F#5,D5,B4,E4,F#4,C#4,C#3
210.0,68.4783,27,2.0,D5,F#5,D5,B4,F#4,B3,D4,B2
211.0,68.8043,27,2.5,C#5,G5,D5,B4,F#4,B3,D4,A2
211.5,68.9674,27,2.75,C#5,F#5,D5,B4,F#4,B3,D4,A2
212.0,69.1304,27,3.0,B4,E5,E5,E5,B3,B3,D4,G#2
213.0,69.4565,27,3.5,B4,E5,E5,E5,G#4,B3,D4,E2
214.0,69.7826,27,4.0,C#5,E5,E5,E5,A4,A3,C#4,A2
215.0,70.1087,27,4.5,B4,E5,E5,E5,A4,A3,C#4,G2
216.0,70.4348,28,1.0,A4,r,D5,F#5,A4,D4,C#4,F#2
217.0,70.7609,28,1.5,D5,r,D5,F#5,A4,D4,F#3,D2
218.0,71.087,28,2.0,D5,r,D5,r,G4,D4,B3,G2
219.0,71.413,28,2.5,G5,r,D5,D5,G4,B3,B3,F#2
220.0,71.7391,28,3.0,G5,r,C#5,E5,C#4,E4,B3,E2
221.0,72.0652,28,3.5,E5,r,C#5,G5,E4,E4,B3,C#2
222.0,72.3913,28,4.0,C#5,r,C#5,F#5,A4,E4,A3,F#2
222.5,72.5543,28,4.25,C#5,r,C#5,F#5,A4,E4,B3,F#2
223.0,72.7174,28,4.5,C#5,r,C#5,F#5,A4,F#4,C#4,E2
223.5,72.8804,28,4.75,C#5,r,C#5,F#5,A4,G4,C#4,E2
224.0,73.0435,29,1.0,B4,B5,F#5,B4,A4,F#4,F#3,E-2
225.0,73.3696,29,1.5,B4,B5,F#5,B4,G#4,F#4,F#3,B2
226.0,73.6957,29,2.0,B4,B5,F#5,r,F#4,r,B3,C#3
227.0,74.0217,29,2.5,B4,B5,F#5,r,F#4,A3,B3,E-3
228.0,74.3478,29,3.0,r,B5,G#5,B4,F#4,G#3,E3,E3
229.0,74.6739,29,3.5,r,B5,G#5,B4,E4,A3,E3,F#3
229.5,74.837,29,3.75,r,B5,G#5,B4,E-4,A3,E3,F#3
230.0,75.0,29,4.0,r,B5,B4,B4,E4,B3,E3,G#3
230.5,75.163,29,4.25,r,B5,B4,C#5,E4,B3,E3,G#3
231.0,75.3261,29,4.5,r,B5,B4,D5,F#4,F#3,E3,F#3
232.0,75.6522,30,1.0,r,G#5,B4,C#5,G#4,C#4,r,F3
233.0,75.9783,30,1.5,r,G#5,B4,C#5,C#5,C#4,F3,C#3
234.0,76.3043,30,2.0,r,G#5,A4,C#5,C#5,C#4,F#3,E-3
235.0,76.6304,30,2.5,r,G#5,G#4,C#5,B4,C#4,G#3,F3
236.0,76.9565,30,3.0,C#6,A5,F#4,C#5,A4,C#4,A3,F#3
237.0,77.2826,30,3.5,C#6,A5,C#5,B4,G#4,C#4,B3,G#3
238.0,77.6087,30,4.0,C#6,A5,F#5,A4,F#4,C#4,C#4,A3
239.0,77.9348,30,4.5,C#6,A5,F#5,F#4,F#4,C#4,C#4,B3
240.0,78.2609,31,1.0,C#6,G#5,F#5,C#5,r,G#4,C#4,C#4
241.0,78.587,31,1.5,C#6,G#5,F5,C#5,r,G#4,C#4,C#3
242.0,78.913,31,2.0,C#6,G#5,C#5,C#5,r,F4,C#3,E-3
243.0,79.2391,31,2.5,C#6,G#5,C#5,G#4,r,F4,C#3,F3
244.0,79.5652,31,3.0,A5,F#5,C#5,A4,r,C#4,F#3,F#3
245.0,79.8913,31,3.5,A5,F#5,B4,A4,r,C#4,F#3,G#3
246.0,80.2174,31,4.0,A5,F#5,C#5,r,A4,F#4,F#3,F#3
247.0,80.5435,31,4.5,A5,F#5,F5,C#5,A4,F#4,F#3,E3
248.0,80.8696,32,1.0,B5,B5,F#5,B4,A4,B3,r,E-3
249.0,81.1957,32,1.5,B5,B5,E-5,B4,A4,B3,r,B2
250.0,81.5217,32,2.0,B5,B5,E5,B4,G#4,r,r,E3
251.0,81.8478,32,2.5,B5,B5,E5,E4,G#4,r,r,D3
252.0,82.1739,32,3.0,A5,C#6,E5,A4,G#4,r,r,C#3
253.0,82.5,32,3.5,A5,C#6,E5,A4,C#5,r,r,A2
254.0,82.8261,32,4.0,A5,C#6,D5,A4,F#4,D4,r,D3
255.0,83.1522,32,4.5,A5,B5,D5,A4,F#4,D4,r,C#3
255.5,83.3152,32,4.75,A5,A5,D5,A4,F#4,D4,r,C#3
256.0,83.4783,33,1.0,G#5,D6,D5,B4,F#4,D4,r,B2
257.0,83.8043,33,1.5,G#5,D6,D5,B4,B4,B3,r,G#2
258.0,84.1304,33,2.0,G#5,C#6,E5,r,E4,G#3,r,C#3
259.0,84.4565,33,2.5,G#5,C#6,D5,G#4,E4,G#3,r,B2
260.0,84.7826,33,3.0,C#6,C#6,C#5,A4,E4,r,A3,A2
261.0,85.1087,33,3.5,C#6,C#6,D5,A4,E4,r,A3,B2
262.0,85.4348,33,4.0,C#6,C#5,E5,A4,r,E4,A3,A2
263.0,85.7609,33,4.5,C#6,C#5,E5,E4,r,E4,A3,G2
264.0,86.087,34,1.0,D6,F#5,A4,F#4,r,D4,A3,F#2
265.0,86.413,34,1.5,D6,A5,A4,D4,r,A3,A3,F#3
265.5,86.5761,34,1.75,D6,G5,A4,D4,r,A3,A3,F#3
266.0,86.7391,34,2.0,D6,A5,A4,A4,r,F#4,A3,E3
267.0,87.0652,34,2.5,C#6,A5,A4,A4,r,F#4,A3,D3
267.5,87.2283,34,2.75,B5,A5,A4,A4,r,F#4,A3,D3
268.0,87.3913,34,3.0,A5,A5,r,E5,G4,E4,A3,C#3
269.0,87.7174,34,3.5,G5,E5,r,E5,G4,E4,A3,A2
269.5,87.8804,34,3.75,F#5,E5,r,E5,G4,E4,A3,A2
270.0,88.0435,34,4.0,E5,A4,C#5,E5,G4,E4,A3,C#3
270.5,88.2065,34,4.25,D5,A4,C#5,E5,G4,E4,A3,C#3
271.0,88.3696,34,4.5,C#5,A4,C#5,E5,G4,E4,A3,E3
271.5,88.5326,34,4.75,B4,A4,C#5,E5,G4,E4,A3,E3
272.0,88.6957,35,1.0,A4,A4,C#5,C#5,E4,r,A3,A3
272.5,88.8587,35,1.25,A4,G4,C#5,C#5,E4,r,A3,A3
273.0,89.0217,35,1.5,E5,A4,C#5,C#5,E4,r,A3,G3
273.5,89.1848,35,1.75,E5,B4,C#5,C#5,E4,r,A3,G3
274.0,89.3478,35,2.0,A5,C#5,A4,C#5,E4,A4,A3,F#3
274.5,89.5109,35,2.25,A5,D5,A4,C#5,E4,A4,A3,F#3
275.0,89.6739,35,2.5,A5,E5,A4,C#5,E4,A4,A3,E3
275.5,89.837,35,2.75,A5,C#5,A4,C#5,E4,A4,A3,E3
276.0,90.0,35,3.0,A5,A4,A4,D5,F#4,A4,F#3,D3
276.5,90.163,35,3.25,G5,A4,A4,D5,F#4,A4,F#3,D3
277.0,90.3261,35,3.5,F#5,A3,A4,D5,F#4,A4,F#3,C#3
277.5,90.4891,35,3.75,E5,A3,A4,D5,F#4,A4,F#3,C#3
278.0,90.6522,35,4.0,D5,r,B4,D5,F#4,F#4,F#3,D3
279.0,90.9783,35,4.5,r,r,B4,D5,F#4,F#4,F#3,E3
280.0,91.3043,36,1.0,r,r,B4,C#5,E4,r,F#3,F#3
281.0,91.6304,36,1.5,r,r,B4,C#5,E4,r,F#3,G3
282.0,91.9565,36,2.0,F#5,r,A4,C#5,E4,A3,F#3,A3
283.0,92.2826,36,2.5,F#5,r,A4,C#5,E4,A3,F#3,F#3
284.0,92.6087,36,3.0,F#5,r,A4,B4,D4,B3,G3,B3
284.5,92.7717,36,3.25,F#5,r,A4,B4,D4,C#4,G3,B3
285.0,92.9348,36,3.5,F#5,r,A4,B4,D4,D4,G3,B2
286.0,93.2609,36,4.0,D5,B4,G4,B4,D4,D4,G3,B3
287.0,93.587,36,4.5,D5,B4,G4,B4,D4,C#4,G3,A3
288.0,93.913,37,1.0,r,B4,G4,E5,G4,B3,G3,G3
289.0,94.2391,37,1.5,r,B4,G4,E5,G4,B3,G3,G2
290.0,94.5652,37,2.0,E5,G4,C#5,E5,G4,E4,G3,F#2
291.0,94.8913,37,2.5,E5,G4,C#5,E5,G4,E4,G3,E2
292.0,95.2174,37,3.0,E5,r,C#5,F#5,A4,C#4,F#3,A2
293.0,95.5435,37,3.5,E5,r,C#5,F#5,A4,C#4,F#3,G2
294.0,95.8696,37,4.0,D5,A4,D5,F#5,A4,F#4,F#3,F#2
295.0,96.1957,37,4.5,C#5,A4,D5,F#5,A4,F#4,F#3,A2
296.0,96.5217,38,1.0,D5,A4,D5,F#5,A4,F#4,F#3,D3
297.0,96.8478,38,1.5,D5,A4,D5,F#5,A4,F#4,F#3,C3
298.0,97.1739,38,2.0,r,G4,D5,D5,r,G4,F#3,B2
299.0,97.5,38,2.5,r,F#4,A4,D5,r,A4,F#3,D3
300.0,97.8261,38,3.0,B5,G4,B4,D5,r,G4,E3,G2
301.0,98.1522,38,3.5,B5,G4,B4,B4,r,G4,E3,G3
302.0,98.4783,38,4.0,B5,G5,C#5,G4,E5,G4,E3,A3
303.0,98.8043,38,4.5,B5,G5,E-5,G4,E5,G4,E3,B3
304.0,99.1304,39,1.0,G5,G5,E5,r,E5,E4,E3,C4
305.0,99.4565,39,1.5,G5,G5,F5,r,B4,E4,E3,D4
306.0,99.7826,39,2.0,G5,E5,G5,E5,G4,E4,E3,C4
307.0,100.1087,39,2.5,G5,E5,G5,E5,G4,E4,E3,B3
308.0,100.4348,39,3.0,A5,E5,G5,C#5,r,E4,A3,A3
309.0,100.7609,39,3.5,A5,E5,G5,E5,r,E4,A3,G#3
310.0,101.087,39,4.0,A5,F5,F5,A4,F4,D4,A3,A3
311.0,101.413,39,4.5,A5,F5,F5,A4,G4,D4,A3,B3
312.0,101.7391,40,1.0,G5,F5,r,A4,A4,C#4,A3,C#4
313.0,102.0652,40,1.5,G5,F5,r,A4,A4,C#4,A3,A3
314.0,102.3913,40,2.0,G5,E5,A5,E4,C#4,A3,A3,B3
315.0,102.7174,40,2.5,G5,E5,A5,E4,C#4,A3,A3,C#4
316.0,103.0435,40,3.0,F#5,E5,A5,B4,F#4,D4,B3,D4
317.0,103.3696,40,3.5,F#5,E5,A5,C5,F#4,D4,B3,C4
318.0,103.6957,40,4.0,F#5,D5,G5,D5,B3,G4,B3,B3
319.0,104.0217,40,4.5,F#5,D5,G5,D5,B3,G4,B3,A3
320.0,104.3478,41,1.0,B5,D5,G5,D5,r,G4,B3,G3
321.0,104.6739,41,1.5,B5,D5,G5,D5,r,A4,B3,F#3
322.0,105.0,41,2.0,B5,G5,B4,r,E4,G4,B3,E3
323.0,105.3261,41,2.5,B5,G5,B4,r,F#4,F#4,B3,E-3
324.0,105.6522,41,3.0,C6,G5,E5,r,G4,E4,B3,E3
