qstamp_start,qstamp_end,Violin 1,Violin 2,Soprano 1,Soprano 2,Alto,Tenor,Bass,Continuo
0.0,24.0,,,,,,Main Part,,
24.0,40.0,,,,,,,Main Part,
40.0,64.0,,,,,Main Part,,,
64.0,88.0,,,Main Part,,,,,
88.0,104.0,,,,Main Part,,,,
104.0,128.0,Main Part,,,,,,,
128.0,140.0,,Main Part,,,,,,
140.0,164.0,,,,,,Main Part,,
164.0,188.0,,,,,Main Part,,,
188.0,200.0,,,,Main Part,,,,
200.0,224.0,,,Main Part,,,,,
224.0,236.0,,Main Part,,,,,,
236.0,268.0,Main Part,,,,,,,
268.0,270.0,,,,Main Part,P3(Main)&P3(Tenor)&P2(Bass),P8(Main)&P3(Alto)&P4(Bass),P4(Main)&P2(Alto)&P4(Tenor),
270.0,300.0,,,Main Part,,,,,
300.0,314.0,Main Part,,,,,,,
314.0,334.0,,,Main Part,,,,,
334.0,341.0,,,Main Part,,,,,
341.0,342.0,P3(Main)&P3(Bass),,P3(Tenor),,Main Part,P3(Soprano 1),P3(Violin 1),
342.0,353.0,,,,Main Part,,,,
353.0,356.0,,Main Part,,P8(Tenor)&P8(Bass)&P8(Continuo),,P8(Soprano 2)&P8(Bass)&P8(Continuo),P8(Soprano 2)&P8(Tenor)&P8(Continuo),P8(Soprano 2)&P8(Tenor)&P8(Bass)
